exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:10:30.663,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:10:30.704,2026-03-06T10:10:38.254,7.55,1,1,Click on the images containing bicycles.,"[""Bus (67).jpg"", ""Bus (54).jpg"", ""Bicycle (144).jpg"", ""Bicycle (506).jpg"", ""Bicycle (671).jpg"", ""Stair (323).jpg"", ""Chimney (127).jpg"", ""Hydrant (41).jpg"", ""Stair (58).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (144).jpg"", ""Bicycle (506).jpg"", ""Bicycle (671).jpg""]",777,1,1,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:10:39.262,2026-03-06T10:10:44.958,5.696,2,1,Click on the images containing bicycles.,"[""Cross (112).jpg"", ""Tlight (66).jpg"", ""Bicycle (132).jpg"", ""Hydrant (106).jpg"", ""Tlight (137).jpg"", ""Chimney (95).jpg"", ""Bicycle (310).jpg"", ""Hydrant (32).jpg"", ""Bicycle (5).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 6, 8]","[""Bicycle (132).jpg"", ""Bicycle (310).jpg"", ""Bicycle (5).jpg""]",774,2,2,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:10:45.965,2026-03-06T10:10:52.486,6.521,3,1,Click on the images containing bicycles.,"[""Hydrant (125).jpg"", ""Bridge (95).jpg"", ""Cross (67).jpg"", ""Tlight (94).jpg"", ""Bicycle (409).jpg"", ""Bridge (117).jpg"", ""Bus (95).jpg"", ""Bicycle (606).jpg"", ""Bicycle (742).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (409).jpg"", ""Bicycle (606).jpg"", ""Bicycle (742).jpg""]",771,3,3,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:10:53.494,2026-03-06T10:11:02.007,8.513,4,1,Click on the images containing bicycles.,"[""Bicycle (39).jpg"", ""Chimney (94).jpg"", ""Bicycle (408).jpg"", ""Bicycle (450).jpg"", ""Bus (77).jpg"", ""Palm (5).jpg"", ""Bus (53).jpg"", ""Bicycle (442).jpg"", ""Bicycle (296).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 3, 7, 8]","[""Bicycle (39).jpg"", ""Bicycle (408).jpg"", ""Bicycle (450).jpg"", ""Bicycle (442).jpg"", ""Bicycle (296).jpg""]",766,4,4,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:03.015,2026-03-06T10:11:06.942,3.927,5,0,Click on the images containing bicycles.,"[""Bicycle (376).jpg"", ""Hydrant (96).jpg"", ""Chimney (7).jpg"", ""Bicycle (150).jpg"", ""Stair (1349).jpg"", ""Bridge (139).jpg"", ""Bicycle (673).jpg"", ""Palm (56).jpg"", ""Stair (1249).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 6]","[""Bicycle (376).jpg"", ""Bicycle (673).jpg""]",763,5,4,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:08.550,2026-03-06T10:11:15.134,6.584,6,1,Click on the images containing bicycles.,"[""Stair (469).jpg"", ""Bicycle (679).jpg"", ""Bicycle (508).jpg"", ""Bicycle (337).jpg"", ""Tlight (51).jpg"", ""Palm (15).jpg"", ""Car (49).jpg"", ""Stair (68).jpg"", ""Hydrant (92).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3]","[""Bicycle (679).jpg"", ""Bicycle (508).jpg"", ""Bicycle (337).jpg""]",760,6,5,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:16.143,2026-03-06T10:11:24.654,8.511,7,1,Click on the images containing bicycles.,"[""Palm (103).jpg"", ""Stair (1138).jpg"", ""Bicycle (740).jpg"", ""Bicycle (774).jpg"", ""Bicycle (583).jpg"", ""Bicycle (229).jpg"", ""Tlight (92).jpg"", ""Bridge (31).jpg"", ""Cross (4).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 4, 5]","[""Bicycle (740).jpg"", ""Bicycle (774).jpg"", ""Bicycle (583).jpg"", ""Bicycle (229).jpg""]",756,7,6,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:25.663,2026-03-06T10:11:29.774,4.111,8,1,Click on the images containing bicycles.,"[""Palm (1).jpg"", ""Bicycle (174).jpg"", ""Palm (61).jpg"", ""Car (114).jpg"", ""Cross (2).jpg"", ""Bicycle (162).jpg"", ""Bicycle (133).jpg"", ""Bicycle (257).jpg"", ""Chimney (61).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 5, 6, 7]","[""Bicycle (174).jpg"", ""Bicycle (162).jpg"", ""Bicycle (133).jpg"", ""Bicycle (257).jpg""]",752,8,7,10,submit,
b58213a3420b4a3a8fe4b53fbbee610f,captcha_pre,100,21,female,2026-03-06T10:11:30.782,2026-03-06T10:11:36.246,5.464,9,1,Click on the images containing bicycles.,"[""Cross (79).jpg"", ""Bicycle (250).jpg"", ""Bus (52).jpg"", ""Bicycle (539).jpg"", ""Bridge (34).jpg"", ""Cross (34).jpg"", ""Car (74).jpg"", ""Bicycle (21).jpg"", ""Bridge (27).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (250).jpg"", ""Bicycle (539).jpg"", ""Bicycle (21).jpg""]",749,9,8,10,submit,
