exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:57:55.415,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:57:55.453,2026-03-17T13:58:13.838,18.385,1,1,Click on the images containing bicycles.,"[""Bicycle (408).jpg"", ""Tlight (84).jpg"", ""Bridge (70).jpg"", ""Bicycle (36).jpg"", ""Cross (68).jpg"", ""Cross (17).jpg"", ""Bus (129).jpg"", ""Hydrant (102).jpg"", ""Bicycle (62).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (408).jpg"", ""Bicycle (36).jpg"", ""Bicycle (62).jpg""]",777,1,1,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:58:13.844,2026-03-17T13:58:26.013,12.169,2,1,Click on the images containing bicycles.,"[""Car (59).jpg"", ""Bicycle (323).jpg"", ""Cross (59).jpg"", ""Bicycle (109).jpg"", ""Palm (60).jpg"", ""Bus (32).jpg"", ""Cross (110).jpg"", ""Bicycle (95).jpg"", ""Cross (44).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (323).jpg"", ""Bicycle (109).jpg"", ""Bicycle (95).jpg""]",774,2,2,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:58:26.020,2026-03-17T13:58:38.998,12.978,3,1,Click on the images containing bicycles.,"[""Bicycle (71).jpg"", ""Bicycle (734).jpg"", ""Palm (3).jpg"", ""Bus (30).jpg"", ""Bridge (50).jpg"", ""Bus (25).jpg"", ""Car (42).jpg"", ""Bicycle (768).jpg"", ""Cross (103).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (71).jpg"", ""Bicycle (734).jpg"", ""Bicycle (768).jpg""]",771,3,3,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:58:39.004,2026-03-17T13:58:51.869,12.865,4,0,Click on the images containing bicycles.,"[""Bicycle (482).jpg"", ""Car (46).jpg"", ""Bicycle (513).jpg"", ""Hydrant (123).jpg"", ""Stair (1037).jpg"", ""Cross (19).jpg"", ""Bicycle (29).jpg"", ""Bicycle (128).jpg"", ""Stair (282).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (482).jpg"", ""Bicycle (29).jpg"", ""Bicycle (128).jpg""]",767,4,3,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:58:53.878,2026-03-17T13:59:01.381,7.503,5,0,Click on the images containing bicycles.,"[""Bridge (24).jpg"", ""Bicycle (164).jpg"", ""Stair (424).jpg"", ""Cross (80).jpg"", ""Bicycle (160).jpg"", ""Palm (125).jpg"", ""Bicycle (604).jpg"", ""Bicycle (732).jpg"", ""Bridge (22).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[6, 7]","[""Bicycle (604).jpg"", ""Bicycle (732).jpg""]",763,5,3,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:59:03.388,2026-03-17T13:59:30.981,27.593,6,1,Click on the images containing bicycles.,"[""Bicycle (187).jpg"", ""Bus (103).jpg"", ""Hydrant (93).jpg"", ""Hydrant (122).jpg"", ""Bicycle (762).jpg"", ""Chimney (94).jpg"", ""Hydrant (119).jpg"", ""Bicycle (313).jpg"", ""Bicycle (571).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 4, 7, 8]","[""Bicycle (187).jpg"", ""Bicycle (762).jpg"", ""Bicycle (313).jpg"", ""Bicycle (571).jpg""]",759,6,4,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:59:30.986,2026-03-17T13:59:46.797,15.811,7,0,Click on the images containing bicycles.,"[""Bicycle (777).jpg"", ""Bicycle (21).jpg"", ""Bridge (125).jpg"", ""Bus (110).jpg"", ""Stair (861).jpg"", ""Stair (1095).jpg"", ""Cross (90).jpg"", ""Bicycle (289).jpg"", ""Bicycle (332).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 7, 8]","[""Bicycle (777).jpg"", ""Bicycle (289).jpg"", ""Bicycle (332).jpg""]",755,7,4,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T13:59:48.805,2026-03-17T14:00:04.829,16.024,8,1,Click on the images containing bicycles.,"[""Palm (48).jpg"", ""Bicycle (140).jpg"", ""Palm (96).jpg"", ""Bicycle (518).jpg"", ""Bicycle (42).jpg"", ""Car (90).jpg"", ""Bicycle (103).jpg"", ""Tlight (128).jpg"", ""Car (89).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 4, 6]","[""Bicycle (140).jpg"", ""Bicycle (518).jpg"", ""Bicycle (42).jpg"", ""Bicycle (103).jpg""]",751,8,5,10,submit,
ea45a2e710794a429c292bfd31101d91,captcha_pre,105,44,female,2026-03-17T14:00:04.835,2026-03-17T14:00:11.941,7.106,9,0,Click on the images containing bicycles.,"[""Bicycle (656).jpg"", ""Bicycle (510).jpg"", ""Stair (1237).jpg"", ""Bridge (76).jpg"", ""Hydrant (27).jpg"", ""Chimney (109).jpg"", ""Bicycle (617).jpg"", ""Tlight (12).jpg"", ""Bicycle (424).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 6]","[""Bicycle (656).jpg"", ""Bicycle (510).jpg"", ""Bicycle (617).jpg""]",747,9,5,10,submit,
