exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:56:25.154,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:56:25.184,2026-03-19T12:57:04.311,39.127,1,1,Click on the images containing bicycles.,"[""Bus (65).jpg"", ""Bicycle (580).jpg"", ""Bicycle (183).jpg"", ""Chimney (61).jpg"", ""Bicycle (238).jpg"", ""Bicycle (493).jpg"", ""Chimney (76).jpg"", ""Cross (57).jpg"", ""Cross (94).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (580).jpg"", ""Bicycle (183).jpg"", ""Bicycle (238).jpg"", ""Bicycle (493).jpg""]",776,1,1,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:57:04.317,2026-03-19T12:57:17.581,13.264,2,0,Click on the images containing bicycles.,"[""Bicycle (43).jpg"", ""Bridge (126).jpg"", ""Bicycle (756).jpg"", ""Bridge (83).jpg"", ""Palm (124).jpg"", ""Bicycle (613).jpg"", ""Bicycle (431).jpg"", ""Bicycle (78).jpg"", ""Bus (131).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 5, 6, 7]","[""Bicycle (756).jpg"", ""Bicycle (613).jpg"", ""Bicycle (431).jpg"", ""Bicycle (78).jpg""]",771,2,1,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:57:19.590,2026-03-19T12:57:32.686,13.096,3,0,Click on the images containing bicycles.,"[""Bicycle (691).jpg"", ""Hydrant (95).jpg"", ""Bicycle (528).jpg"", ""Bicycle (536).jpg"", ""Stair (116).jpg"", ""Stair (544).jpg"", ""Tlight (99).jpg"", ""Bicycle (516).jpg"", ""Bicycle (522).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 3, 7]","[""Bicycle (691).jpg"", ""Bicycle (528).jpg"", ""Bicycle (536).jpg"", ""Bicycle (516).jpg""]",766,3,1,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:57:34.696,2026-03-19T12:57:48.198,13.502,4,0,Click on the images containing bicycles.,"[""Chimney (123).jpg"", ""Stair (1463).jpg"", ""Car (23).jpg"", ""Hydrant (27).jpg"", ""Chimney (85).jpg"", ""Car (22).jpg"", ""Bicycle (425).jpg"", ""Bicycle (779).jpg"", ""Bicycle (353).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]",[8],"[""Bicycle (353).jpg""]",763,4,1,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:57:50.206,2026-03-19T12:58:03.014,12.808,5,1,Click on the images containing bicycles.,"[""Tlight (88).jpg"", ""Cross (18).jpg"", ""Bicycle (210).jpg"", ""Bicycle (456).jpg"", ""Bicycle (769).jpg"", ""Car (63).jpg"", ""Palm (112).jpg"", ""Bicycle (34).jpg"", ""Tlight (109).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 4, 7]","[""Bicycle (210).jpg"", ""Bicycle (456).jpg"", ""Bicycle (769).jpg"", ""Bicycle (34).jpg""]",759,5,2,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:58:03.020,2026-03-19T12:58:13.326,10.306,6,1,Click on the images containing bicycles.,"[""Bicycle (732).jpg"", ""Bicycle (203).jpg"", ""Cross (100).jpg"", ""Car (61).jpg"", ""Bicycle (266).jpg"", ""Chimney (9).jpg"", ""Bicycle (754).jpg"", ""Hydrant (59).jpg"", ""Palm (63).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 4, 6]","[""Bicycle (732).jpg"", ""Bicycle (203).jpg"", ""Bicycle (266).jpg"", ""Bicycle (754).jpg""]",755,6,3,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:58:13.332,2026-03-19T12:58:23.037,9.705,7,1,Click on the images containing bicycles.,"[""Bicycle (442).jpg"", ""Bicycle (503).jpg"", ""Cross (55).jpg"", ""Bicycle (699).jpg"", ""Stair (1465).jpg"", ""Bicycle (448).jpg"", ""Tlight (77).jpg"", ""Bridge (29).jpg"", ""Chimney (5).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 3, 5]","[""Bicycle (442).jpg"", ""Bicycle (503).jpg"", ""Bicycle (699).jpg"", ""Bicycle (448).jpg""]",751,7,4,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:58:23.043,2026-03-19T12:58:32.110,9.067,8,0,Click on the images containing bicycles.,"[""Chimney (81).jpg"", ""Bicycle (9).jpg"", ""Bicycle (217).jpg"", ""Hydrant (49).jpg"", ""Bicycle (595).jpg"", ""Bicycle (10).jpg"", ""Stair (1335).jpg"", ""Bridge (98).jpg"", ""Bicycle (112).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 4, 5]","[""Bicycle (9).jpg"", ""Bicycle (217).jpg"", ""Bicycle (595).jpg"", ""Bicycle (10).jpg""]",746,8,4,10,submit,
c4031e53ce314397878abd07a9173eec,captcha_pre,110,18,female,2026-03-19T12:58:34.118,2026-03-19T12:58:42.613,8.495,9,0,Click on the images containing bicycles.,"[""Bicycle (239).jpg"", ""Bicycle (440).jpg"", ""Car (94).jpg"", ""Bus (31).jpg"", ""Bicycle (622).jpg"", ""Car (37).jpg"", ""Bicycle (156).jpg"", ""Palm (53).jpg"", ""Bicycle (764).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 4, 6, 8]","[""Bicycle (239).jpg"", ""Bicycle (622).jpg"", ""Bicycle (156).jpg"", ""Bicycle (764).jpg""]",741,9,4,10,submit,
