exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:28:14.135,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:28:14.169,2026-03-19T15:28:47.152,32.983,1,1,Click on the images containing bicycles.,"[""Stair (1031).jpg"", ""Bicycle (559).jpg"", ""Stair (1221).jpg"", ""Bicycle (118).jpg"", ""Bicycle (687).jpg"", ""Bicycle (461).jpg"", ""Bicycle (123).jpg"", ""Stair (1467).jpg"", ""Palm (17).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (559).jpg"", ""Bicycle (118).jpg"", ""Bicycle (687).jpg"", ""Bicycle (461).jpg"", ""Bicycle (123).jpg""]",775,1,1,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:28:47.159,2026-03-19T15:29:15.632,28.473,2,1,Click on the images containing bicycles.,"[""Stair (435).jpg"", ""Hydrant (59).jpg"", ""Tlight (44).jpg"", ""Tlight (63).jpg"", ""Bicycle (119).jpg"", ""Bicycle (580).jpg"", ""Bicycle (168).jpg"", ""Bicycle (560).jpg"", ""Tlight (51).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[4, 5, 6, 7]","[""Bicycle (119).jpg"", ""Bicycle (580).jpg"", ""Bicycle (168).jpg"", ""Bicycle (560).jpg""]",771,2,2,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:29:15.639,2026-03-19T15:29:29.704,14.065,3,0,Click on the images containing bicycles.,"[""Stair (427).jpg"", ""Bicycle (343).jpg"", ""Cross (120).jpg"", ""Bicycle (555).jpg"", ""Bicycle (516).jpg"", ""Bus (34).jpg"", ""Bicycle (561).jpg"", ""Palm (131).jpg"", ""Hydrant (129).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 4, 6]","[""Bicycle (343).jpg"", ""Bicycle (516).jpg"", ""Bicycle (561).jpg""]",767,3,2,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:29:31.712,2026-03-19T15:29:51.176,19.464,4,1,Click on the images containing bicycles.,"[""Tlight (72).jpg"", ""Stair (418).jpg"", ""Bicycle (70).jpg"", ""Hydrant (79).jpg"", ""Car (36).jpg"", ""Bicycle (441).jpg"", ""Stair (945).jpg"", ""Bicycle (740).jpg"", ""Cross (39).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 5, 7]","[""Bicycle (70).jpg"", ""Bicycle (441).jpg"", ""Bicycle (740).jpg""]",764,4,3,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:29:51.182,2026-03-19T15:30:11.800,20.618,5,1,Click on the images containing bicycles.,"[""Cross (20).jpg"", ""Palm (10).jpg"", ""Tlight (100).jpg"", ""Bicycle (214).jpg"", ""Bicycle (377).jpg"", ""Bicycle (18).jpg"", ""Bus (52).jpg"", ""Bicycle (611).jpg"", ""Bicycle (639).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T""]","[3, 4, 5, 7, 8]","[""Bicycle (214).jpg"", ""Bicycle (377).jpg"", ""Bicycle (18).jpg"", ""Bicycle (611).jpg"", ""Bicycle (639).jpg""]",759,5,4,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:30:11.807,2026-03-19T15:30:30.615,18.808,6,1,Click on the images containing bicycles.,"[""Bicycle (742).jpg"", ""Palm (18).jpg"", ""Bus (74).jpg"", ""Bridge (57).jpg"", ""Bicycle (284).jpg"", ""Bicycle (589).jpg"", ""Hydrant (80).jpg"", ""Bicycle (421).jpg"", ""Bus (59).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (742).jpg"", ""Bicycle (284).jpg"", ""Bicycle (589).jpg"", ""Bicycle (421).jpg""]",755,6,5,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:30:30.622,2026-03-19T15:30:47.119,16.497,7,1,Click on the images containing bicycles.,"[""Bicycle (250).jpg"", ""Stair (1401).jpg"", ""Chimney (116).jpg"", ""Bicycle (80).jpg"", ""Cross (91).jpg"", ""Car (83).jpg"", ""Car (124).jpg"", ""Bicycle (107).jpg"", ""Bicycle (239).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (250).jpg"", ""Bicycle (80).jpg"", ""Bicycle (107).jpg"", ""Bicycle (239).jpg""]",751,7,6,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:30:47.126,2026-03-19T15:31:06.895,19.769,8,0,Click on the images containing bicycles.,"[""Hydrant (52).jpg"", ""Bicycle (108).jpg"", ""Chimney (72).jpg"", ""Bicycle (175).jpg"", ""Bus (125).jpg"", ""Bicycle (360).jpg"", ""Car (79).jpg"", ""Bicycle (612).jpg"", ""Stair (1456).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[3, 5, 7]","[""Bicycle (175).jpg"", ""Bicycle (360).jpg"", ""Bicycle (612).jpg""]",747,8,6,10,submit,
f7f6dad6d7ee42daa8fc0131095d1b7d,captcha_pre,112,17,female,2026-03-19T15:31:08.903,2026-03-19T15:31:25.128,16.225,9,0,Click on the images containing bicycles.,"[""Bicycle (146).jpg"", ""Bicycle (564).jpg"", ""Stair (1464).jpg"", ""Bicycle (428).jpg"", ""Hydrant (30).jpg"", ""Stair (861).jpg"", ""Bicycle (627).jpg"", ""Car (102).jpg"", ""Bicycle (523).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 6, 8]","[""Bicycle (146).jpg"", ""Bicycle (428).jpg"", ""Bicycle (627).jpg"", ""Bicycle (523).jpg""]",742,9,6,10,submit,
