exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:31:10.748,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:31:10.780,2026-03-20T12:31:50.054,39.274,1,0,Click on the images containing bicycles.,"[""Bicycle (387).jpg"", ""Bicycle (685).jpg"", ""Bus (55).jpg"", ""Hydrant (121).jpg"", ""Bicycle (291).jpg"", ""Bicycle (448).jpg"", ""Stair (699).jpg"", ""Bicycle (780).jpg"", ""Palm (19).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 2, 4, 5, 7]","[""Bicycle (387).jpg"", ""Bicycle (685).jpg"", ""Bus (55).jpg"", ""Bicycle (291).jpg"", ""Bicycle (448).jpg"", ""Bicycle (780).jpg""]",775,1,0,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:31:52.064,2026-03-20T12:32:21.150,29.086,2,0,Click on the images containing bicycles.,"[""Bicycle (110).jpg"", ""Chimney (121).jpg"", ""Bicycle (256).jpg"", ""Bicycle (417).jpg"", ""Hydrant (111).jpg"", ""Bicycle (77).jpg"", ""Tlight (133).jpg"", ""Bicycle (190).jpg"", ""Palm (14).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 5, 7]","[""Bicycle (110).jpg"", ""Bicycle (256).jpg"", ""Bicycle (77).jpg"", ""Bicycle (190).jpg""]",770,2,0,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:32:23.160,2026-03-20T12:32:39.381,16.221,3,1,Click on the images containing bicycles.,"[""Bicycle (182).jpg"", ""Bicycle (262).jpg"", ""Bicycle (392).jpg"", ""Palm (141).jpg"", ""Bridge (36).jpg"", ""Bus (120).jpg"", ""Bicycle (770).jpg"", ""Bus (97).jpg"", ""Bicycle (298).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (182).jpg"", ""Bicycle (262).jpg"", ""Bicycle (392).jpg"", ""Bicycle (770).jpg"", ""Bicycle (298).jpg""]",765,3,1,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:32:39.388,2026-03-20T12:33:00.013,20.625,4,1,Click on the images containing bicycles.,"[""Bicycle (71).jpg"", ""Bicycle (243).jpg"", ""Bridge (85).jpg"", ""Bicycle (202).jpg"", ""Chimney (65).jpg"", ""Cross (41).jpg"", ""Hydrant (36).jpg"", ""Cross (80).jpg"", ""Bridge (94).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (71).jpg"", ""Bicycle (243).jpg"", ""Bicycle (202).jpg""]",762,4,2,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:33:00.019,2026-03-20T12:33:18.013,17.994,5,1,Click on the images containing bicycles.,"[""Stair (1237).jpg"", ""Bus (113).jpg"", ""Bicycle (727).jpg"", ""Hydrant (127).jpg"", ""Bicycle (738).jpg"", ""Bicycle (230).jpg"", ""Car (65).jpg"", ""Bicycle (97).jpg"", ""Cross (26).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 4, 5, 7]","[""Bicycle (727).jpg"", ""Bicycle (738).jpg"", ""Bicycle (230).jpg"", ""Bicycle (97).jpg""]",758,5,3,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:33:18.019,2026-03-20T12:33:39.111,21.092,6,1,Click on the images containing bicycles.,"[""Bicycle (704).jpg"", ""Tlight (17).jpg"", ""Chimney (117).jpg"", ""Bicycle (109).jpg"", ""Hydrant (91).jpg"", ""Bicycle (128).jpg"", ""Bridge (23).jpg"", ""Bus (132).jpg"", ""Bicycle (755).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 5, 8]","[""Bicycle (704).jpg"", ""Bicycle (109).jpg"", ""Bicycle (128).jpg"", ""Bicycle (755).jpg""]",754,6,4,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:33:39.118,2026-03-20T12:34:14.980,35.862,7,0,Click on the images containing bicycles.,"[""Hydrant (73).jpg"", ""Bicycle (121).jpg"", ""Bicycle (662).jpg"", ""Bridge (101).jpg"", ""Bus (71).jpg"", ""Bicycle (117).jpg"", ""Cross (7).jpg"", ""Bicycle (527).jpg"", ""Chimney (20).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (121).jpg"", ""Bicycle (117).jpg"", ""Bicycle (527).jpg""]",750,7,4,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:34:16.988,2026-03-20T12:34:27.877,10.889,8,1,Click on the images containing bicycles.,"[""Bus (43).jpg"", ""Bicycle (732).jpg"", ""Hydrant (118).jpg"", ""Bicycle (618).jpg"", ""Bicycle (151).jpg"", ""Bicycle (592).jpg"", ""Hydrant (56).jpg"", ""Bridge (30).jpg"", ""Car (137).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 4, 5]","[""Bicycle (732).jpg"", ""Bicycle (618).jpg"", ""Bicycle (151).jpg"", ""Bicycle (592).jpg""]",746,8,5,10,submit,
9c7d020c9e8648bea3573b80c9f03186,captcha_pre,114,17,female,2026-03-20T12:34:27.884,2026-03-20T12:34:41.413,13.529,9,1,Click on the images containing bicycles.,"[""Chimney (113).jpg"", ""Car (57).jpg"", ""Bridge (126).jpg"", ""Bicycle (333).jpg"", ""Palm (134).jpg"", ""Tlight (71).jpg"", ""Hydrant (129).jpg"", ""Bicycle (673).jpg"", ""Bicycle (731).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (333).jpg"", ""Bicycle (673).jpg"", ""Bicycle (731).jpg""]",743,9,6,10,submit,
