exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:02:49.852,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:02:49.884,2026-04-21T12:03:28.068,38.184,1,1,Click on the images containing bicycles.,"[""Bus (105).jpg"", ""Bicycle (340).jpg"", ""Bridge (120).jpg"", ""Car (78).jpg"", ""Bicycle (553).jpg"", ""Bicycle (178).jpg"", ""Hydrant (133).jpg"", ""Bicycle (619).jpg"", ""Bicycle (529).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (340).jpg"", ""Bicycle (553).jpg"", ""Bicycle (178).jpg"", ""Bicycle (619).jpg"", ""Bicycle (529).jpg""]",775,1,1,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:03:28.074,2026-04-21T12:03:36.100,8.026,2,0,Click on the images containing bicycles.,"[""Bicycle (201).jpg"", ""Cross (43).jpg"", ""Bus (104).jpg"", ""Tlight (130).jpg"", ""Bus (120).jpg"", ""Bicycle (735).jpg"", ""Bicycle (417).jpg"", ""Hydrant (100).jpg"", ""Bicycle (643).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 8]","[""Bicycle (201).jpg"", ""Bicycle (643).jpg""]",771,2,1,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:03:38.108,2026-04-21T12:03:46.933,8.825,3,1,Click on the images containing bicycles.,"[""Palm (112).jpg"", ""Bicycle (639).jpg"", ""Bicycle (742).jpg"", ""Stair (499).jpg"", ""Bicycle (739).jpg"", ""Bicycle (299).jpg"", ""Hydrant (126).jpg"", ""Chimney (42).jpg"", ""Bus (53).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (639).jpg"", ""Bicycle (742).jpg"", ""Bicycle (739).jpg"", ""Bicycle (299).jpg""]",767,3,2,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:03:46.938,2026-04-21T12:03:56.180,9.242,4,1,Click on the images containing bicycles.,"[""Chimney (33).jpg"", ""Bicycle (168).jpg"", ""Bicycle (441).jpg"", ""Tlight (55).jpg"", ""Chimney (64).jpg"", ""Cross (21).jpg"", ""Bicycle (514).jpg"", ""Bicycle (507).jpg"", ""Cross (13).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 6, 7]","[""Bicycle (168).jpg"", ""Bicycle (441).jpg"", ""Bicycle (514).jpg"", ""Bicycle (507).jpg""]",763,4,3,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:03:56.185,2026-04-21T12:04:05.508,9.323,5,0,Click on the images containing bicycles.,"[""Car (97).jpg"", ""Bicycle (276).jpg"", ""Palm (17).jpg"", ""Palm (106).jpg"", ""Bicycle (93).jpg"", ""Bicycle (630).jpg"", ""Bicycle (88).jpg"", ""Bridge (65).jpg"", ""Bicycle (336).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[1, 4, 5, 6]","[""Bicycle (276).jpg"", ""Bicycle (93).jpg"", ""Bicycle (630).jpg"", ""Bicycle (88).jpg""]",758,5,3,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:04:07.518,2026-04-21T12:04:13.933,6.415,6,1,Click on the images containing bicycles.,"[""Bicycle (579).jpg"", ""Bus (94).jpg"", ""Hydrant (78).jpg"", ""Hydrant (60).jpg"", ""Hydrant (137).jpg"", ""Bicycle (262).jpg"", ""Bicycle (641).jpg"", ""Bus (114).jpg"", ""Palm (72).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (579).jpg"", ""Bicycle (262).jpg"", ""Bicycle (641).jpg""]",755,6,4,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:04:13.937,2026-04-21T12:04:21.092,7.155,7,0,Click on the images containing bicycles.,"[""Bicycle (199).jpg"", ""Bicycle (305).jpg"", ""Chimney (2).jpg"", ""Chimney (7).jpg"", ""Car (114).jpg"", ""Bus (71).jpg"", ""Bicycle (17).jpg"", ""Bicycle (66).jpg"", ""Bicycle (145).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 6, 7, 8]","[""Bicycle (305).jpg"", ""Bicycle (17).jpg"", ""Bicycle (66).jpg"", ""Bicycle (145).jpg""]",750,7,4,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:04:23.101,2026-04-21T12:04:32.367,9.266,8,1,Click on the images containing bicycles.,"[""Cross (40).jpg"", ""Bicycle (543).jpg"", ""Bus (83).jpg"", ""Bicycle (30).jpg"", ""Bicycle (253).jpg"", ""Cross (114).jpg"", ""Bus (129).jpg"", ""Car (88).jpg"", ""Bicycle (156).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 4, 8]","[""Bicycle (543).jpg"", ""Bicycle (30).jpg"", ""Bicycle (253).jpg"", ""Bicycle (156).jpg""]",746,8,5,10,submit,
dcb449585f9c4ccdb12eedf96ccd1d55,captcha_pre,3,17,female,2026-04-21T12:04:32.372,2026-04-21T12:04:42.524,10.152,9,1,Click on the images containing bicycles.,"[""Cross (54).jpg"", ""Stair (884).jpg"", ""Chimney (87).jpg"", ""Bicycle (287).jpg"", ""Bicycle (527).jpg"", ""Bicycle (613).jpg"", ""Bicycle (773).jpg"", ""Hydrant (50).jpg"", ""Bicycle (273).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T""]","[3, 4, 5, 6, 8]","[""Bicycle (287).jpg"", ""Bicycle (527).jpg"", ""Bicycle (613).jpg"", ""Bicycle (773).jpg"", ""Bicycle (273).jpg""]",741,9,6,10,submit,
