exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:07:13.549,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:07:13.582,2026-04-21T13:07:46.031,32.449,1,0,Click on the images containing bicycles.,"[""Bicycle (49).jpg"", ""Tlight (89).jpg"", ""Bicycle (466).jpg"", ""Bridge (120).jpg"", ""Bicycle (638).jpg"", ""Bicycle (180).jpg"", ""Bicycle (586).jpg"", ""Stair (1391).jpg"", ""Bus (39).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (49).jpg"", ""Bicycle (466).jpg"", ""Bicycle (638).jpg"", ""Bicycle (586).jpg""]",775,1,0,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:07:48.039,2026-04-21T13:08:04.382,16.343,2,1,Click on the images containing bicycles.,"[""Chimney (84).jpg"", ""Bicycle (396).jpg"", ""Bicycle (128).jpg"", ""Bicycle (346).jpg"", ""Bicycle (14).jpg"", ""Hydrant (119).jpg"", ""Bridge (116).jpg"", ""Stair (1416).jpg"", ""Tlight (13).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3, 4]","[""Bicycle (396).jpg"", ""Bicycle (128).jpg"", ""Bicycle (346).jpg"", ""Bicycle (14).jpg""]",771,2,1,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:04.387,2026-04-21T13:08:14.790,10.403,3,1,Click on the images containing bicycles.,"[""Bicycle (580).jpg"", ""Bicycle (140).jpg"", ""Bus (67).jpg"", ""Bicycle (113).jpg"", ""Bus (76).jpg"", ""Bus (124).jpg"", ""Bicycle (730).jpg"", ""Bicycle (21).jpg"", ""Palm (135).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 3, 6, 7]","[""Bicycle (580).jpg"", ""Bicycle (140).jpg"", ""Bicycle (113).jpg"", ""Bicycle (730).jpg"", ""Bicycle (21).jpg""]",766,3,2,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:14.796,2026-04-21T13:08:24.485,9.689,4,0,Click on the images containing bicycles.,"[""Stair (981).jpg"", ""Chimney (16).jpg"", ""Bicycle (701).jpg"", ""Palm (98).jpg"", ""Bicycle (742).jpg"", ""Cross (67).jpg"", ""Bicycle (47).jpg"", ""Bicycle (274).jpg"", ""Tlight (121).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (742).jpg"", ""Bicycle (47).jpg"", ""Bicycle (274).jpg""]",762,4,2,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:26.495,2026-04-21T13:08:33.281,6.786,5,0,Click on the images containing bicycles.,"[""Bicycle (292).jpg"", ""Bicycle (87).jpg"", ""Bus (49).jpg"", ""Car (95).jpg"", ""Bicycle (592).jpg"", ""Stair (951).jpg"", ""Bicycle (540).jpg"", ""Tlight (103).jpg"", ""Tlight (136).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 6]","[""Bicycle (292).jpg"", ""Bicycle (540).jpg""]",758,5,2,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:35.292,2026-04-21T13:08:45.238,9.946,6,0,Click on the images containing bicycles.,"[""Palm (63).jpg"", ""Bicycle (595).jpg"", ""Car (28).jpg"", ""Bicycle (657).jpg"", ""Bridge (70).jpg"", ""Bicycle (698).jpg"", ""Bicycle (288).jpg"", ""Bicycle (546).jpg"", ""Car (68).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[3, 5, 6, 7]","[""Bicycle (657).jpg"", ""Bicycle (698).jpg"", ""Bicycle (288).jpg"", ""Bicycle (546).jpg""]",753,6,2,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:47.248,2026-04-21T13:08:52.918,5.67,7,1,Click on the images containing bicycles.,"[""Car (83).jpg"", ""Stair (243).jpg"", ""Bicycle (481).jpg"", ""Bicycle (566).jpg"", ""Bicycle (639).jpg"", ""Bus (26).jpg"", ""Hydrant (124).jpg"", ""Palm (68).jpg"", ""Tlight (53).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (481).jpg"", ""Bicycle (566).jpg"", ""Bicycle (639).jpg""]",750,7,3,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:52.924,2026-04-21T13:08:56.662,3.738,8,0,Click on the images containing bicycles.,"[""Car (70).jpg"", ""Bus (79).jpg"", ""Cross (87).jpg"", ""Stair (393).jpg"", ""Bicycle (671).jpg"", ""Tlight (133).jpg"", ""Bicycle (397).jpg"", ""Bridge (68).jpg"", ""Bicycle (581).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]",[4],"[""Bicycle (671).jpg""]",747,8,3,10,submit,
f421afa804904223a83d5009309f4859,captcha_pre,4,18,female,2026-04-21T13:08:58.672,2026-04-21T13:09:08.065,9.393,9,1,Click on the images containing bicycles.,"[""Bicycle (533).jpg"", ""Bridge (56).jpg"", ""Chimney (12).jpg"", ""Bicycle (523).jpg"", ""Bicycle (84).jpg"", ""Chimney (93).jpg"", ""Tlight (54).jpg"", ""Chimney (62).jpg"", ""Chimney (97).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (533).jpg"", ""Bicycle (523).jpg"", ""Bicycle (84).jpg""]",744,9,4,10,submit,
