exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:02:47.778,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:02:47.808,2026-04-22T10:03:28.511,40.703,1,1,Click on the images containing bicycles.,"[""Bicycle (215).jpg"", ""Tlight (111).jpg"", ""Bicycle (715).jpg"", ""Bicycle (635).jpg"", ""Bridge (87).jpg"", ""Tlight (108).jpg"", ""Bicycle (209).jpg"", ""Chimney (59).jpg"", ""Bicycle (711).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 3, 6, 8]","[""Bicycle (215).jpg"", ""Bicycle (715).jpg"", ""Bicycle (635).jpg"", ""Bicycle (209).jpg"", ""Bicycle (711).jpg""]",775,1,1,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:03:28.517,2026-04-22T10:03:48.583,20.066,2,0,Click on the images containing bicycles.,"[""Bicycle (372).jpg"", ""Bridge (70).jpg"", ""Bicycle (238).jpg"", ""Bicycle (667).jpg"", ""Palm (62).jpg"", ""Tlight (76).jpg"", ""Bicycle (780).jpg"", ""Palm (63).jpg"", ""Bicycle (413).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (372).jpg"", ""Bicycle (780).jpg"", ""Bicycle (413).jpg""]",770,2,1,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:03:50.592,2026-04-22T10:03:58.360,7.768,3,1,Click on the images containing bicycles.,"[""Hydrant (102).jpg"", ""Bicycle (303).jpg"", ""Hydrant (55).jpg"", ""Palm (91).jpg"", ""Tlight (132).jpg"", ""Bicycle (187).jpg"", ""Bridge (95).jpg"", ""Bicycle (104).jpg"", ""Stair (38).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (303).jpg"", ""Bicycle (187).jpg"", ""Bicycle (104).jpg""]",767,3,2,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:03:58.364,2026-04-22T10:04:13.289,14.925,4,1,Click on the images containing bicycles.,"[""Bicycle (775).jpg"", ""Bus (102).jpg"", ""Bicycle (306).jpg"", ""Cross (102).jpg"", ""Bicycle (535).jpg"", ""Bicycle (347).jpg"", ""Bicycle (387).jpg"", ""Stair (974).jpg"", ""Cross (76).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 4, 5, 6]","[""Bicycle (775).jpg"", ""Bicycle (306).jpg"", ""Bicycle (535).jpg"", ""Bicycle (347).jpg"", ""Bicycle (387).jpg""]",762,4,3,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:04:13.294,2026-04-22T10:04:27.039,13.745,5,1,Click on the images containing bicycles.,"[""Bicycle (87).jpg"", ""Bridge (115).jpg"", ""Bicycle (385).jpg"", ""Car (27).jpg"", ""Bicycle (697).jpg"", ""Cross (59).jpg"", ""Bicycle (12).jpg"", ""Bridge (129).jpg"", ""Bus (64).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (87).jpg"", ""Bicycle (385).jpg"", ""Bicycle (697).jpg"", ""Bicycle (12).jpg""]",758,5,4,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:04:27.045,2026-04-22T10:04:37.328,10.283,6,1,Click on the images containing bicycles.,"[""Bicycle (504).jpg"", ""Bicycle (97).jpg"", ""Stair (216).jpg"", ""Cross (72).jpg"", ""Bicycle (728).jpg"", ""Bicycle (333).jpg"", ""Chimney (98).jpg"", ""Bus (107).jpg"", ""Bicycle (442).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 4, 5, 8]","[""Bicycle (504).jpg"", ""Bicycle (97).jpg"", ""Bicycle (728).jpg"", ""Bicycle (333).jpg"", ""Bicycle (442).jpg""]",753,6,5,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:04:37.332,2026-04-22T10:04:49.599,12.267,7,1,Click on the images containing bicycles.,"[""Bicycle (140).jpg"", ""Bicycle (331).jpg"", ""Bicycle (427).jpg"", ""Hydrant (75).jpg"", ""Chimney (43).jpg"", ""Bicycle (396).jpg"", ""Tlight (3).jpg"", ""Bridge (131).jpg"", ""Bridge (57).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 5]","[""Bicycle (140).jpg"", ""Bicycle (331).jpg"", ""Bicycle (427).jpg"", ""Bicycle (396).jpg""]",749,7,6,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:04:49.603,2026-04-22T10:04:59.639,10.036,8,1,Click on the images containing bicycles.,"[""Bicycle (491).jpg"", ""Bus (88).jpg"", ""Bicycle (524).jpg"", ""Bus (45).jpg"", ""Bicycle (205).jpg"", ""Bridge (50).jpg"", ""Hydrant (136).jpg"", ""Car (33).jpg"", ""Bicycle (282).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 4, 8]","[""Bicycle (491).jpg"", ""Bicycle (524).jpg"", ""Bicycle (205).jpg"", ""Bicycle (282).jpg""]",745,8,7,10,submit,
0955eb67041143128a2b1b26ee7d4ebe,captcha_pre,6,17,male,2026-04-22T10:04:59.644,2026-04-22T10:05:12.575,12.931,9,1,Click on the images containing bicycles.,"[""Bridge (78).jpg"", ""Bicycle (163).jpg"", ""Chimney (47).jpg"", ""Bicycle (178).jpg"", ""Bicycle (620).jpg"", ""Bicycle (559).jpg"", ""Car (81).jpg"", ""Bicycle (271).jpg"", ""Cross (10).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 3, 4, 5, 7]","[""Bicycle (163).jpg"", ""Bicycle (178).jpg"", ""Bicycle (620).jpg"", ""Bicycle (559).jpg"", ""Bicycle (271).jpg""]",740,9,8,10,submit,
