exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T10:58:34.995,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T10:58:35.021,2026-04-22T10:59:16.920,41.899,1,0,Click on the images containing bicycles.,"[""Bridge (129).jpg"", ""Cross (111).jpg"", ""Bicycle (401).jpg"", ""Hydrant (50).jpg"", ""Hydrant (36).jpg"", ""Bicycle (713).jpg"", ""Bridge (99).jpg"", ""Bicycle (420).jpg"", ""Hydrant (40).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 7]","[""Bicycle (401).jpg"", ""Bicycle (420).jpg""]",777,1,0,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T10:59:18.929,2026-04-22T10:59:29.351,10.422,2,1,Click on the images containing bicycles.,"[""Bicycle (355).jpg"", ""Bicycle (98).jpg"", ""Chimney (51).jpg"", ""Cross (58).jpg"", ""Bus (137).jpg"", ""Chimney (68).jpg"", ""Bus (42).jpg"", ""Bicycle (673).jpg"", ""Cross (53).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (355).jpg"", ""Bicycle (98).jpg"", ""Bicycle (673).jpg""]",774,2,1,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T10:59:29.356,2026-04-22T10:59:41.601,12.245,3,1,Click on the images containing bicycles.,"[""Bicycle (61).jpg"", ""Palm (132).jpg"", ""Cross (72).jpg"", ""Bicycle (235).jpg"", ""Bus (24).jpg"", ""Bridge (128).jpg"", ""Bicycle (234).jpg"", ""Tlight (111).jpg"", ""Bicycle (649).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 6, 8]","[""Bicycle (61).jpg"", ""Bicycle (235).jpg"", ""Bicycle (234).jpg"", ""Bicycle (649).jpg""]",770,3,2,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T10:59:41.605,2026-04-22T10:59:54.679,13.074,4,1,Click on the images containing bicycles.,"[""Bicycle (118).jpg"", ""Bicycle (137).jpg"", ""Bicycle (724).jpg"", ""Bus (73).jpg"", ""Car (106).jpg"", ""Bus (101).jpg"", ""Car (77).jpg"", ""Bridge (115).jpg"", ""Bus (67).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (118).jpg"", ""Bicycle (137).jpg"", ""Bicycle (724).jpg""]",767,4,3,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T10:59:54.686,2026-04-22T11:00:10.811,16.125,5,1,Click on the images containing bicycles.,"[""Bicycle (13).jpg"", ""Bicycle (744).jpg"", ""Bicycle (381).jpg"", ""Tlight (133).jpg"", ""Bridge (74).jpg"", ""Tlight (122).jpg"", ""Bicycle (172).jpg"", ""Stair (1151).jpg"", ""Bicycle (471).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (13).jpg"", ""Bicycle (744).jpg"", ""Bicycle (381).jpg"", ""Bicycle (172).jpg"", ""Bicycle (471).jpg""]",762,5,4,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T11:00:10.815,2026-04-22T11:00:21.039,10.224,6,1,Click on the images containing bicycles.,"[""Bicycle (569).jpg"", ""Stair (1401).jpg"", ""Stair (14).jpg"", ""Bicycle (388).jpg"", ""Stair (642).jpg"", ""Bicycle (654).jpg"", ""Stair (1227).jpg"", ""Bus (104).jpg"", ""Cross (75).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 5]","[""Bicycle (569).jpg"", ""Bicycle (388).jpg"", ""Bicycle (654).jpg""]",759,6,5,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T11:00:21.046,2026-04-22T11:00:31.743,10.697,7,1,Click on the images containing bicycles.,"[""Bicycle (377).jpg"", ""Stair (331).jpg"", ""Car (39).jpg"", ""Palm (10).jpg"", ""Bus (22).jpg"", ""Chimney (116).jpg"", ""Bicycle (453).jpg"", ""Bicycle (94).jpg"", ""Bicycle (212).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (377).jpg"", ""Bicycle (453).jpg"", ""Bicycle (94).jpg"", ""Bicycle (212).jpg""]",755,7,6,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T11:00:31.748,2026-04-22T11:00:47.135,15.387,8,1,Click on the images containing bicycles.,"[""Bicycle (628).jpg"", ""Bicycle (341).jpg"", ""Bicycle (771).jpg"", ""Bicycle (502).jpg"", ""Bus (34).jpg"", ""Car (22).jpg"", ""Bicycle (282).jpg"", ""Bridge (82).jpg"", ""Bridge (38).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (628).jpg"", ""Bicycle (341).jpg"", ""Bicycle (771).jpg"", ""Bicycle (502).jpg"", ""Bicycle (282).jpg""]",750,8,7,10,submit,
ab2be3030cef4125adb5c3b6ab4f23ab,captcha_pre,7,18,female,2026-04-22T11:00:47.140,2026-04-22T11:00:56.439,9.299,9,1,Click on the images containing bicycles.,"[""Car (96).jpg"", ""Stair (260).jpg"", ""Hydrant (88).jpg"", ""Chimney (77).jpg"", ""Bicycle (460).jpg"", ""Bicycle (754).jpg"", ""Stair (945).jpg"", ""Bicycle (95).jpg"", ""Cross (56).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (460).jpg"", ""Bicycle (754).jpg"", ""Bicycle (95).jpg""]",747,9,8,10,submit,
