exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T11:58:58.638,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T11:58:58.668,2026-04-22T11:59:45.733,47.065,1,1,Click on the images containing bicycles.,"[""Cross (32).jpg"", ""Bicycle (157).jpg"", ""Tlight (4).jpg"", ""Stair (323).jpg"", ""Bridge (129).jpg"", ""Car (137).jpg"", ""Bicycle (515).jpg"", ""Stair (1221).jpg"", ""Bicycle (195).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (157).jpg"", ""Bicycle (515).jpg"", ""Bicycle (195).jpg""]",777,1,1,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T11:59:45.739,2026-04-22T11:59:58.427,12.688,2,1,Click on the images containing bicycles.,"[""Bicycle (38).jpg"", ""Bus (61).jpg"", ""Hydrant (38).jpg"", ""Palm (119).jpg"", ""Bicycle (625).jpg"", ""Hydrant (119).jpg"", ""Bridge (68).jpg"", ""Bicycle (726).jpg"", ""Chimney (45).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 4, 7]","[""Bicycle (38).jpg"", ""Bicycle (625).jpg"", ""Bicycle (726).jpg""]",774,2,2,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T11:59:58.434,2026-04-22T12:00:13.744,15.31,3,1,Click on the images containing bicycles.,"[""Chimney (120).jpg"", ""Bicycle (696).jpg"", ""Car (65).jpg"", ""Bicycle (646).jpg"", ""Bicycle (140).jpg"", ""Tlight (88).jpg"", ""Bicycle (84).jpg"", ""Tlight (111).jpg"", ""Stair (989).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 4, 6]","[""Bicycle (696).jpg"", ""Bicycle (646).jpg"", ""Bicycle (140).jpg"", ""Bicycle (84).jpg""]",770,3,3,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T12:00:13.750,2026-04-22T12:00:24.348,10.598,4,1,Click on the images containing bicycles.,"[""Palm (140).jpg"", ""Bus (119).jpg"", ""Car (99).jpg"", ""Bicycle (519).jpg"", ""Bicycle (283).jpg"", ""Bicycle (198).jpg"", ""Cross (69).jpg"", ""Bicycle (44).jpg"", ""Bridge (36).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[3, 4, 5, 7]","[""Bicycle (519).jpg"", ""Bicycle (283).jpg"", ""Bicycle (198).jpg"", ""Bicycle (44).jpg""]",766,4,4,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T12:00:24.353,2026-04-22T12:00:35.300,10.947,5,1,Click on the images containing bicycles.,"[""Bicycle (295).jpg"", ""Tlight (122).jpg"", ""Tlight (49).jpg"", ""Stair (1456).jpg"", ""Hydrant (106).jpg"", ""Bicycle (613).jpg"", ""Bicycle (30).jpg"", ""Stair (1249).jpg"", ""Stair (1464).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (295).jpg"", ""Bicycle (613).jpg"", ""Bicycle (30).jpg""]",763,5,5,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T12:00:35.306,2026-04-22T12:00:44.509,9.203,6,1,Click on the images containing bicycles.,"[""Bicycle (112).jpg"", ""Bridge (115).jpg"", ""Tlight (103).jpg"", ""Bicycle (565).jpg"", ""Bicycle (182).jpg"", ""Tlight (8).jpg"", ""Bicycle (496).jpg"", ""Tlight (68).jpg"", ""Car (93).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 4, 6]","[""Bicycle (112).jpg"", ""Bicycle (565).jpg"", ""Bicycle (182).jpg"", ""Bicycle (496).jpg""]",759,6,6,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T12:00:44.515,2026-04-22T12:01:01.396,16.881,7,0,Click on the images containing bicycles.,"[""Bicycle (744).jpg"", ""Tlight (81).jpg"", ""Bicycle (66).jpg"", ""Bicycle (27).jpg"", ""Stair (1000).jpg"", ""Bicycle (425).jpg"", ""Bicycle (303).jpg"", ""Chimney (113).jpg"", ""Hydrant (34).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (744).jpg"", ""Bicycle (66).jpg"", ""Bicycle (27).jpg"", ""Bicycle (303).jpg""]",754,7,6,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T12:01:03.407,2026-04-22T12:01:12.861,9.454,8,1,Click on the images containing bicycles.,"[""Bicycle (447).jpg"", ""Bicycle (11).jpg"", ""Bus (44).jpg"", ""Stair (393).jpg"", ""Bicycle (618).jpg"", ""Tlight (56).jpg"", ""Bridge (124).jpg"", ""Bicycle (687).jpg"", ""Palm (87).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 4, 7]","[""Bicycle (447).jpg"", ""Bicycle (11).jpg"", ""Bicycle (618).jpg"", ""Bicycle (687).jpg""]",750,8,7,10,submit,
1e53d11b72574a2aa0696ccbc1e987f7,captcha_pre,8,18,male,2026-04-22T12:01:12.866,2026-04-22T12:01:25.910,13.044,9,0,Click on the images containing bicycles.,"[""Bicycle (287).jpg"", ""Bridge (121).jpg"", ""Bicycle (600).jpg"", ""Bicycle (612).jpg"", ""Palm (56).jpg"", ""Bus (103).jpg"", ""Bicycle (166).jpg"", ""Bicycle (162).jpg"", ""Stair (1454).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 3, 5, 6, 7]","[""Bicycle (287).jpg"", ""Bicycle (600).jpg"", ""Bicycle (612).jpg"", ""Bus (103).jpg"", ""Bicycle (166).jpg"", ""Bicycle (162).jpg""]",745,9,7,10,submit,
