exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:57:42.321,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:57:42.351,2026-04-23T11:58:27.574,45.223,1,0,Click on the images containing bicycles.,"[""Bridge (28).jpg"", ""Bicycle (527).jpg"", ""Bicycle (574).jpg"", ""Cross (19).jpg"", ""Bicycle (29).jpg"", ""Cross (70).jpg"", ""Bicycle (467).jpg"", ""Hydrant (29).jpg"", ""Chimney (108).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 4, 6]","[""Bicycle (527).jpg"", ""Bicycle (574).jpg"", ""Cross (19).jpg"", ""Bicycle (29).jpg"", ""Bicycle (467).jpg""]",776,1,0,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:58:29.584,2026-04-23T11:58:38.628,9.044,2,0,Click on the images containing bicycles.,"[""Bicycle (713).jpg"", ""Palm (129).jpg"", ""Bicycle (614).jpg"", ""Hydrant (64).jpg"", ""Bicycle (207).jpg"", ""Cross (18).jpg"", ""Chimney (37).jpg"", ""Palm (49).jpg"", ""Chimney (50).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 4]","[""Bicycle (614).jpg"", ""Bicycle (207).jpg""]",773,2,0,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:58:40.638,2026-04-23T11:58:48.606,7.968,3,1,Click on the images containing bicycles.,"[""Tlight (41).jpg"", ""Bicycle (374).jpg"", ""Hydrant (32).jpg"", ""Palm (105).jpg"", ""Bus (121).jpg"", ""Bicycle (502).jpg"", ""Bus (22).jpg"", ""Bicycle (689).jpg"", ""Bicycle (396).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 5, 7, 8]","[""Bicycle (374).jpg"", ""Bicycle (502).jpg"", ""Bicycle (689).jpg"", ""Bicycle (396).jpg""]",769,3,1,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:58:48.611,2026-04-23T11:59:01.187,12.576,4,1,Click on the images containing bicycles.,"[""Bicycle (774).jpg"", ""Bicycle (613).jpg"", ""Bicycle (759).jpg"", ""Palm (110).jpg"", ""Chimney (72).jpg"", ""Palm (135).jpg"", ""Bus (74).jpg"", ""Bicycle (343).jpg"", ""Bicycle (174).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 2, 7, 8]","[""Bicycle (774).jpg"", ""Bicycle (613).jpg"", ""Bicycle (759).jpg"", ""Bicycle (343).jpg"", ""Bicycle (174).jpg""]",764,4,2,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:59:01.192,2026-04-23T11:59:08.364,7.172,5,1,Click on the images containing bicycles.,"[""Cross (109).jpg"", ""Hydrant (100).jpg"", ""Stair (427).jpg"", ""Bus (123).jpg"", ""Palm (76).jpg"", ""Bicycle (248).jpg"", ""Bicycle (730).jpg"", ""Hydrant (107).jpg"", ""Bicycle (202).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (248).jpg"", ""Bicycle (730).jpg"", ""Bicycle (202).jpg""]",761,5,3,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:59:08.369,2026-04-23T11:59:15.083,6.714,6,1,Click on the images containing bicycles.,"[""Bicycle (256).jpg"", ""Chimney (82).jpg"", ""Chimney (21).jpg"", ""Bicycle (26).jpg"", ""Bus (90).jpg"", ""Car (53).jpg"", ""Tlight (103).jpg"", ""Bridge (83).jpg"", ""Bicycle (703).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (256).jpg"", ""Bicycle (26).jpg"", ""Bicycle (703).jpg""]",758,6,4,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:59:15.089,2026-04-23T11:59:23.187,8.098,7,1,Click on the images containing bicycles.,"[""Hydrant (71).jpg"", ""Car (38).jpg"", ""Bicycle (503).jpg"", ""Bicycle (708).jpg"", ""Chimney (93).jpg"", ""Hydrant (67).jpg"", ""Bicycle (462).jpg"", ""Bicycle (253).jpg"", ""Bus (139).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (503).jpg"", ""Bicycle (708).jpg"", ""Bicycle (462).jpg"", ""Bicycle (253).jpg""]",754,7,5,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:59:23.191,2026-04-23T11:59:29.188,5.997,8,1,Click on the images containing bicycles.,"[""Bicycle (257).jpg"", ""Tlight (82).jpg"", ""Bridge (69).jpg"", ""Bicycle (592).jpg"", ""Palm (139).jpg"", ""Tlight (45).jpg"", ""Bridge (126).jpg"", ""Cross (68).jpg"", ""Bicycle (611).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (257).jpg"", ""Bicycle (592).jpg"", ""Bicycle (611).jpg""]",751,8,6,10,submit,
dc5266bf7db74dcd8b2a4b4ebed65967,captcha_pre,9,20,female,2026-04-23T11:59:29.193,2026-04-23T11:59:37.093,7.9,9,1,Click on the images containing bicycles.,"[""Tlight (5).jpg"", ""Bicycle (318).jpg"", ""Bus (25).jpg"", ""Hydrant (37).jpg"", ""Bicycle (596).jpg"", ""Stair (1459).jpg"", ""Tlight (59).jpg"", ""Bicycle (701).jpg"", ""Chimney (65).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 4, 7]","[""Bicycle (318).jpg"", ""Bicycle (596).jpg"", ""Bicycle (701).jpg""]",748,9,7,10,submit,
