exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:08:28.779,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:08:28.808,2026-04-23T13:09:18.288,49.48,1,1,Click on the images containing bicycles.,"[""Bicycle (761).jpg"", ""Stair (393).jpg"", ""Bicycle (59).jpg"", ""Tlight (44).jpg"", ""Stair (989).jpg"", ""Bridge (52).jpg"", ""Bicycle (326).jpg"", ""Bicycle (100).jpg"", ""Bicycle (547).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (761).jpg"", ""Bicycle (59).jpg"", ""Bicycle (326).jpg"", ""Bicycle (100).jpg"", ""Bicycle (547).jpg""]",775,1,1,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:09:18.293,2026-04-23T13:09:31.520,13.227,2,1,Click on the images containing bicycles.,"[""Cross (87).jpg"", ""Stair (884).jpg"", ""Bicycle (226).jpg"", ""Bicycle (316).jpg"", ""Bicycle (673).jpg"", ""Bicycle (68).jpg"", ""Bicycle (193).jpg"", ""Hydrant (56).jpg"", ""Bus (84).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 3, 4, 5, 6]","[""Bicycle (226).jpg"", ""Bicycle (316).jpg"", ""Bicycle (673).jpg"", ""Bicycle (68).jpg"", ""Bicycle (193).jpg""]",770,2,2,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:09:31.524,2026-04-23T13:09:43.935,12.411,3,0,Click on the images containing bicycles.,"[""Cross (99).jpg"", ""Bicycle (337).jpg"", ""Hydrant (98).jpg"", ""Palm (49).jpg"", ""Car (102).jpg"", ""Bus (92).jpg"", ""Bicycle (659).jpg"", ""Bicycle (605).jpg"", ""Hydrant (73).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[6, 7]","[""Bicycle (659).jpg"", ""Bicycle (605).jpg""]",767,3,2,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:09:45.946,2026-04-23T13:09:58.895,12.949,4,1,Click on the images containing bicycles.,"[""Bicycle (483).jpg"", ""Palm (123).jpg"", ""Bicycle (37).jpg"", ""Tlight (76).jpg"", ""Chimney (119).jpg"", ""Car (54).jpg"", ""Bicycle (432).jpg"", ""Hydrant (32).jpg"", ""Tlight (73).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 6]","[""Bicycle (483).jpg"", ""Bicycle (37).jpg"", ""Bicycle (432).jpg""]",764,4,3,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:09:58.900,2026-04-23T13:10:15.568,16.668,5,1,Click on the images containing bicycles.,"[""Bus (30).jpg"", ""Bicycle (325).jpg"", ""Cross (74).jpg"", ""Bicycle (623).jpg"", ""Bridge (30).jpg"", ""Chimney (99).jpg"", ""Bicycle (486).jpg"", ""Bicycle (725).jpg"", ""Bicycle (736).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 3, 6, 7, 8]","[""Bicycle (325).jpg"", ""Bicycle (623).jpg"", ""Bicycle (486).jpg"", ""Bicycle (725).jpg"", ""Bicycle (736).jpg""]",759,5,4,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:10:15.573,2026-04-23T13:10:36.231,20.658,6,1,Click on the images containing bicycles.,"[""Bicycle (482).jpg"", ""Tlight (125).jpg"", ""Bicycle (321).jpg"", ""Hydrant (137).jpg"", ""Bicycle (419).jpg"", ""Bicycle (289).jpg"", ""Tlight (127).jpg"", ""Bicycle (364).jpg"", ""Bridge (136).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 4, 5, 7]","[""Bicycle (482).jpg"", ""Bicycle (321).jpg"", ""Bicycle (419).jpg"", ""Bicycle (289).jpg"", ""Bicycle (364).jpg""]",754,6,5,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:10:36.238,2026-04-23T13:11:04.632,28.394,7,1,Click on the images containing bicycles.,"[""Bicycle (109).jpg"", ""Bicycle (330).jpg"", ""Bicycle (290).jpg"", ""Bicycle (83).jpg"", ""Cross (46).jpg"", ""Bridge (79).jpg"", ""Bicycle (75).jpg"", ""Bridge (41).jpg"", ""Palm (71).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (109).jpg"", ""Bicycle (330).jpg"", ""Bicycle (290).jpg"", ""Bicycle (83).jpg"", ""Bicycle (75).jpg""]",749,7,6,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:11:04.638,2026-04-23T13:11:23.487,18.849,8,1,Click on the images containing bicycles.,"[""Tlight (80).jpg"", ""Tlight (78).jpg"", ""Bus (135).jpg"", ""Bicycle (342).jpg"", ""Bicycle (169).jpg"", ""Bicycle (754).jpg"", ""Bicycle (118).jpg"", ""Bicycle (748).jpg"", ""Palm (52).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D""]","[3, 4, 5, 6, 7]","[""Bicycle (342).jpg"", ""Bicycle (169).jpg"", ""Bicycle (754).jpg"", ""Bicycle (118).jpg"", ""Bicycle (748).jpg""]",744,8,7,10,submit,
a32acc2dcc1544d0b011d33223733a40,captcha_pre,10,29,female,2026-04-23T13:11:23.491,2026-04-23T13:11:45.608,22.117,9,1,Click on the images containing bicycles.,"[""Bicycle (111).jpg"", ""Bicycle (262).jpg"", ""Stair (427).jpg"", ""Bicycle (22).jpg"", ""Bicycle (245).jpg"", ""Car (137).jpg"", ""Chimney (94).jpg"", ""Bicycle (350).jpg"", ""Bus (76).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 3, 4, 7]","[""Bicycle (111).jpg"", ""Bicycle (262).jpg"", ""Bicycle (22).jpg"", ""Bicycle (245).jpg"", ""Bicycle (350).jpg""]",739,9,8,10,submit,
