exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T13:59:36.128,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T13:59:36.156,2026-04-23T14:00:32.383,56.227,1,0,Click on the images containing bicycles.,"[""Bus (78).jpg"", ""Bicycle (11).jpg"", ""Cross (32).jpg"", ""Bicycle (230).jpg"", ""Bicycle (17).jpg"", ""Bicycle (267).jpg"", ""Bicycle (310).jpg"", ""Chimney (119).jpg"", ""Bus (55).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6, 8]","[""Bicycle (11).jpg"", ""Bicycle (230).jpg"", ""Bicycle (17).jpg"", ""Bicycle (267).jpg"", ""Bicycle (310).jpg"", ""Bus (55).jpg""]",775,1,0,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:00:34.393,2026-04-23T14:00:50.591,16.198,2,0,Click on the images containing bicycles.,"[""Bicycle (581).jpg"", ""Bridge (76).jpg"", ""Hydrant (75).jpg"", ""Cross (12).jpg"", ""Bicycle (403).jpg"", ""Bicycle (373).jpg"", ""Tlight (68).jpg"", ""Bicycle (463).jpg"", ""Bus (130).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (403).jpg"", ""Bicycle (373).jpg"", ""Bicycle (463).jpg""]",771,2,0,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:00:52.601,2026-04-23T14:01:04.318,11.717,3,0,Click on the images containing bicycles.,"[""Bicycle (534).jpg"", ""Bicycle (319).jpg"", ""Bicycle (214).jpg"", ""Palm (111).jpg"", ""Palm (48).jpg"", ""Bicycle (357).jpg"", ""Stair (1100).jpg"", ""Tlight (103).jpg"", ""Tlight (136).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2]","[""Bicycle (319).jpg"", ""Bicycle (214).jpg""]",767,3,0,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:01:06.329,2026-04-23T14:01:16.599,10.27,4,1,Click on the images containing bicycles.,"[""Bicycle (134).jpg"", ""Palm (128).jpg"", ""Hydrant (83).jpg"", ""Bicycle (680).jpg"", ""Bicycle (34).jpg"", ""Bicycle (157).jpg"", ""Hydrant (47).jpg"", ""Bridge (70).jpg"", ""Chimney (1).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 4, 5]","[""Bicycle (134).jpg"", ""Bicycle (680).jpg"", ""Bicycle (34).jpg"", ""Bicycle (157).jpg""]",763,4,1,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:01:16.604,2026-04-23T14:01:38.407,21.803,5,1,Click on the images containing bicycles.,"[""Chimney (51).jpg"", ""Bicycle (168).jpg"", ""Bicycle (436).jpg"", ""Bridge (127).jpg"", ""Bridge (27).jpg"", ""Chimney (61).jpg"", ""Tlight (123).jpg"", ""Bus (33).jpg"", ""Bicycle (765).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (168).jpg"", ""Bicycle (436).jpg"", ""Bicycle (765).jpg""]",760,5,2,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:01:38.412,2026-04-23T14:01:52.063,13.651,6,0,Click on the images containing bicycles.,"[""Chimney (75).jpg"", ""Bicycle (508).jpg"", ""Chimney (39).jpg"", ""Bicycle (613).jpg"", ""Tlight (49).jpg"", ""Cross (104).jpg"", ""Bicycle (346).jpg"", ""Bicycle (453).jpg"", ""Bicycle (314).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[3, 6, 7, 8]","[""Bicycle (613).jpg"", ""Bicycle (346).jpg"", ""Bicycle (453).jpg"", ""Bicycle (314).jpg""]",755,6,2,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:01:54.071,2026-04-23T14:02:09.800,15.729,7,1,Click on the images containing bicycles.,"[""Bridge (90).jpg"", ""Chimney (85).jpg"", ""Bicycle (118).jpg"", ""Hydrant (68).jpg"", ""Stair (435).jpg"", ""Bus (134).jpg"", ""Bicycle (146).jpg"", ""Bicycle (684).jpg"", ""Car (128).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 6, 7]","[""Bicycle (118).jpg"", ""Bicycle (146).jpg"", ""Bicycle (684).jpg""]",752,7,3,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:02:09.805,2026-04-23T14:02:16.286,6.481,8,0,Click on the images containing bicycles.,"[""Bus (66).jpg"", ""Tlight (59).jpg"", ""Bicycle (507).jpg"", ""Cross (67).jpg"", ""Palm (9).jpg"", ""Bicycle (239).jpg"", ""Cross (100).jpg"", ""Bicycle (752).jpg"", ""Bicycle (623).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (507).jpg"", ""Bicycle (752).jpg"", ""Bicycle (623).jpg""]",748,8,3,10,submit,
023f77ba0feb4f1cac3a22936b3d797c,captcha_pre,11,17,female,2026-04-23T14:02:18.296,2026-04-23T14:02:36.992,18.696,9,0,Click on the images containing bicycles.,"[""Bus (37).jpg"", ""Hydrant (120).jpg"", ""Bicycle (47).jpg"", ""Bicycle (720).jpg"", ""Bicycle (569).jpg"", ""Bicycle (378).jpg"", ""Bus (122).jpg"", ""Bicycle (677).jpg"", ""Stair (1037).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 3, 5, 7]","[""Bicycle (47).jpg"", ""Bicycle (720).jpg"", ""Bicycle (378).jpg"", ""Bicycle (677).jpg""]",743,9,3,10,submit,
