exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:05:42.926,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:05:42.952,2026-04-23T15:06:53.036,70.084,1,0,Click on the images containing bicycles.,"[""Bus (79).jpg"", ""Bicycle (330).jpg"", ""Bicycle (398).jpg"", ""Bicycle (93).jpg"", ""Car (34).jpg"", ""Bus (85).jpg"", ""Chimney (112).jpg"", ""Cross (23).jpg"", ""Tlight (88).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[1, 2]","[""Bicycle (330).jpg"", ""Bicycle (398).jpg""]",777,1,0,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:06:55.044,2026-04-23T15:07:13.596,18.552,2,1,Click on the images containing bicycles.,"[""Cross (92).jpg"", ""Car (29).jpg"", ""Bicycle (427).jpg"", ""Bus (50).jpg"", ""Bicycle (716).jpg"", ""Cross (61).jpg"", ""Bus (97).jpg"", ""Bicycle (43).jpg"", ""Cross (7).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (427).jpg"", ""Bicycle (716).jpg"", ""Bicycle (43).jpg""]",774,2,1,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:07:13.601,2026-04-23T15:07:13.835,0.234,3,0,Click on the images containing bicycles.,"[""Bicycle (524).jpg"", ""Palm (46).jpg"", ""Car (77).jpg"", ""Bicycle (238).jpg"", ""Stair (672).jpg"", ""Car (99).jpg"", ""Bicycle (179).jpg"", ""Bicycle (518).jpg"", ""Chimney (57).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]",[],[],770,3,1,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:07:15.846,2026-04-23T15:07:29.563,13.717,4,1,Click on the images containing bicycles.,"[""Chimney (109).jpg"", ""Car (39).jpg"", ""Bicycle (707).jpg"", ""Hydrant (33).jpg"", ""Hydrant (72).jpg"", ""Bus (125).jpg"", ""Bicycle (682).jpg"", ""Bicycle (595).jpg"", ""Palm (133).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 6, 7]","[""Bicycle (707).jpg"", ""Bicycle (682).jpg"", ""Bicycle (595).jpg""]",767,4,2,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:07:29.569,2026-04-23T15:07:40.467,10.898,5,1,Click on the images containing bicycles.,"[""Palm (126).jpg"", ""Car (102).jpg"", ""Tlight (114).jpg"", ""Bridge (86).jpg"", ""Bicycle (537).jpg"", ""Chimney (51).jpg"", ""Bus (42).jpg"", ""Bicycle (531).jpg"", ""Bicycle (704).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (537).jpg"", ""Bicycle (531).jpg"", ""Bicycle (704).jpg""]",764,5,3,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:07:40.473,2026-04-23T15:07:52.852,12.379,6,1,Click on the images containing bicycles.,"[""Stair (1227).jpg"", ""Bicycle (723).jpg"", ""Cross (108).jpg"", ""Bicycle (189).jpg"", ""Bicycle (63).jpg"", ""Bicycle (357).jpg"", ""Bicycle (370).jpg"", ""Hydrant (125).jpg"", ""Bus (22).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (723).jpg"", ""Bicycle (189).jpg"", ""Bicycle (63).jpg"", ""Bicycle (357).jpg"", ""Bicycle (370).jpg""]",759,6,4,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:07:52.858,2026-04-23T15:08:09.747,16.889,7,1,Click on the images containing bicycles.,"[""Cross (32).jpg"", ""Palm (73).jpg"", ""Bus (58).jpg"", ""Tlight (11).jpg"", ""Bicycle (222).jpg"", ""Bicycle (288).jpg"", ""Palm (54).jpg"", ""Bicycle (373).jpg"", ""Bicycle (368).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (222).jpg"", ""Bicycle (288).jpg"", ""Bicycle (373).jpg"", ""Bicycle (368).jpg""]",755,7,5,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:08:09.752,2026-04-23T15:08:23.093,13.341,8,0,Click on the images containing bicycles.,"[""Car (136).jpg"", ""Bus (135).jpg"", ""Bicycle (639).jpg"", ""Bicycle (141).jpg"", ""Stair (681).jpg"", ""Bicycle (464).jpg"", ""Tlight (130).jpg"", ""Bicycle (358).jpg"", ""Bicycle (594).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 5, 7, 8]","[""Bicycle (141).jpg"", ""Bicycle (464).jpg"", ""Bicycle (358).jpg"", ""Bicycle (594).jpg""]",750,8,5,10,submit,
62a36f18c1e94e6eabff7e80742d4d98,captcha_pre,12,18,female,2026-04-23T15:08:25.101,2026-04-23T15:08:48.340,23.239,9,0,Click on the images containing bicycles.,"[""Bicycle (233).jpg"", ""Chimney (115).jpg"", ""Bicycle (31).jpg"", ""Bicycle (674).jpg"", ""Tlight (56).jpg"", ""Bicycle (429).jpg"", ""Chimney (63).jpg"", ""Car (123).jpg"", ""Bicycle (679).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (233).jpg"", ""Bicycle (674).jpg"", ""Bicycle (679).jpg""]",745,9,5,10,submit,
