exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:58:17.734,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:58:17.762,2026-04-23T15:59:00.120,42.358,1,1,Click on the images containing bicycles.,"[""Car (119).jpg"", ""Tlight (5).jpg"", ""Bicycle (303).jpg"", ""Bicycle (6).jpg"", ""Palm (59).jpg"", ""Bus (77).jpg"", ""Bicycle (188).jpg"", ""Bicycle (434).jpg"", ""Bicycle (708).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[2, 3, 6, 7, 8]","[""Bicycle (303).jpg"", ""Bicycle (6).jpg"", ""Bicycle (188).jpg"", ""Bicycle (434).jpg"", ""Bicycle (708).jpg""]",775,1,1,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:59:00.125,2026-04-23T15:59:15.206,15.081,2,1,Click on the images containing bicycles.,"[""Car (134).jpg"", ""Bicycle (298).jpg"", ""Car (23).jpg"", ""Cross (57).jpg"", ""Bicycle (515).jpg"", ""Car (138).jpg"", ""Bicycle (17).jpg"", ""Bicycle (345).jpg"", ""Bicycle (419).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[1, 4, 6, 7, 8]","[""Bicycle (298).jpg"", ""Bicycle (515).jpg"", ""Bicycle (17).jpg"", ""Bicycle (345).jpg"", ""Bicycle (419).jpg""]",770,2,2,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:59:15.211,2026-04-23T15:59:24.869,9.658,3,1,Click on the images containing bicycles.,"[""Bridge (58).jpg"", ""Palm (47).jpg"", ""Chimney (21).jpg"", ""Bicycle (69).jpg"", ""Car (95).jpg"", ""Bicycle (330).jpg"", ""Hydrant (27).jpg"", ""Cross (65).jpg"", ""Bicycle (489).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (69).jpg"", ""Bicycle (330).jpg"", ""Bicycle (489).jpg""]",767,3,3,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:59:24.875,2026-04-23T15:59:34.326,9.451,4,1,Click on the images containing bicycles.,"[""Hydrant (112).jpg"", ""Bicycle (36).jpg"", ""Car (128).jpg"", ""Chimney (7).jpg"", ""Bicycle (141).jpg"", ""Bicycle (541).jpg"", ""Cross (37).jpg"", ""Bicycle (694).jpg"", ""Palm (89).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 4, 5, 7]","[""Bicycle (36).jpg"", ""Bicycle (141).jpg"", ""Bicycle (541).jpg"", ""Bicycle (694).jpg""]",763,4,4,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:59:34.331,2026-04-23T15:59:46.421,12.09,5,1,Click on the images containing bicycles.,"[""Tlight (45).jpg"", ""Bicycle (466).jpg"", ""Hydrant (60).jpg"", ""Bicycle (32).jpg"", ""Bicycle (433).jpg"", ""Palm (95).jpg"", ""Bicycle (477).jpg"", ""Palm (46).jpg"", ""Bicycle (288).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 4, 6, 8]","[""Bicycle (466).jpg"", ""Bicycle (32).jpg"", ""Bicycle (433).jpg"", ""Bicycle (477).jpg"", ""Bicycle (288).jpg""]",758,5,5,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:59:46.426,2026-04-23T15:59:56.653,10.227,6,1,Click on the images containing bicycles.,"[""Stair (749).jpg"", ""Stair (427).jpg"", ""Stair (981).jpg"", ""Bicycle (176).jpg"", ""Bicycle (147).jpg"", ""Cross (13).jpg"", ""Bicycle (157).jpg"", ""Bridge (139).jpg"", ""Chimney (124).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 4, 6]","[""Bicycle (176).jpg"", ""Bicycle (147).jpg"", ""Bicycle (157).jpg""]",755,6,6,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T15:59:56.658,2026-04-23T16:00:10.870,14.212,7,1,Click on the images containing bicycles.,"[""Bicycle (559).jpg"", ""Hydrant (38).jpg"", ""Bicycle (151).jpg"", ""Cross (120).jpg"", ""Car (45).jpg"", ""Bridge (35).jpg"", ""Bicycle (770).jpg"", ""Bicycle (158).jpg"", ""Bicycle (314).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (559).jpg"", ""Bicycle (151).jpg"", ""Bicycle (770).jpg"", ""Bicycle (158).jpg"", ""Bicycle (314).jpg""]",750,7,7,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T16:00:10.876,2026-04-23T16:00:23.070,12.194,8,1,Click on the images containing bicycles.,"[""Tlight (46).jpg"", ""Hydrant (132).jpg"", ""Bicycle (765).jpg"", ""Bicycle (405).jpg"", ""Hydrant (139).jpg"", ""Cross (77).jpg"", ""Bicycle (509).jpg"", ""Hydrant (66).jpg"", ""Bicycle (145).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 6, 8]","[""Bicycle (765).jpg"", ""Bicycle (405).jpg"", ""Bicycle (509).jpg"", ""Bicycle (145).jpg""]",746,8,8,10,submit,
4aaafe69bd1d423f9068c7ee2b7f1b24,captcha_pre,13,18,female,2026-04-23T16:00:23.075,2026-04-23T16:00:33.645,10.57,9,1,Click on the images containing bicycles.,"[""Bicycle (487).jpg"", ""Chimney (120).jpg"", ""Chimney (34).jpg"", ""Tlight (64).jpg"", ""Bus (93).jpg"", ""Chimney (76).jpg"", ""Bicycle (563).jpg"", ""Car (54).jpg"", ""Bicycle (353).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (487).jpg"", ""Bicycle (563).jpg"", ""Bicycle (353).jpg""]",743,9,9,10,submit,
