exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:58:10.135,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:58:10.163,2026-04-27T07:58:56.442,46.279,1,0,Click on the images containing bicycles.,"[""Car (69).jpg"", ""Car (46).jpg"", ""Bicycle (323).jpg"", ""Bicycle (654).jpg"", ""Bicycle (709).jpg"", ""Bicycle (549).jpg"", ""Bicycle (21).jpg"", ""Hydrant (121).jpg"", ""Hydrant (35).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 3, 4, 5]","[""Bicycle (323).jpg"", ""Bicycle (654).jpg"", ""Bicycle (709).jpg"", ""Bicycle (549).jpg""]",775,1,0,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:58:58.452,2026-04-27T07:59:13.721,15.269,2,1,Click on the images containing bicycles.,"[""Tlight (122).jpg"", ""Bicycle (530).jpg"", ""Bridge (133).jpg"", ""Hydrant (80).jpg"", ""Hydrant (25).jpg"", ""Bicycle (11).jpg"", ""Stair (1031).jpg"", ""Car (101).jpg"", ""Bicycle (303).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (530).jpg"", ""Bicycle (11).jpg"", ""Bicycle (303).jpg""]",772,2,1,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:59:13.727,2026-04-27T07:59:25.513,11.786,3,0,Click on the images containing bicycles.,"[""Bicycle (362).jpg"", ""Bicycle (721).jpg"", ""Bicycle (487).jpg"", ""Bicycle (441).jpg"", ""Bicycle (683).jpg"", ""Chimney (65).jpg"", ""Palm (129).jpg"", ""Bus (118).jpg"", ""Hydrant (34).jpg""]","[""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (362).jpg"", ""Bicycle (721).jpg"", ""Bicycle (487).jpg"", ""Bicycle (441).jpg""]",767,3,1,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:59:27.522,2026-04-27T07:59:43.321,15.799,4,1,Click on the images containing bicycles.,"[""Chimney (20).jpg"", ""Bridge (80).jpg"", ""Stair (793).jpg"", ""Bicycle (466).jpg"", ""Cross (40).jpg"", ""Palm (47).jpg"", ""Bicycle (477).jpg"", ""Bus (120).jpg"", ""Bicycle (653).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[3, 6, 8]","[""Bicycle (466).jpg"", ""Bicycle (477).jpg"", ""Bicycle (653).jpg""]",764,4,2,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:59:43.328,2026-04-27T07:59:54.906,11.578,5,1,Click on the images containing bicycles.,"[""Bicycle (734).jpg"", ""Bicycle (340).jpg"", ""Cross (16).jpg"", ""Chimney (35).jpg"", ""Stair (974).jpg"", ""Cross (80).jpg"", ""Car (139).jpg"", ""Bicycle (582).jpg"", ""Bus (124).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (734).jpg"", ""Bicycle (340).jpg"", ""Bicycle (582).jpg""]",761,5,3,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T07:59:54.912,2026-04-27T08:00:05.833,10.921,6,1,Click on the images containing bicycles.,"[""Bicycle (56).jpg"", ""Bicycle (559).jpg"", ""Bridge (124).jpg"", ""Bicycle (229).jpg"", ""Tlight (58).jpg"", ""Cross (50).jpg"", ""Bus (81).jpg"", ""Bicycle (237).jpg"", ""Bicycle (626).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 3, 7, 8]","[""Bicycle (56).jpg"", ""Bicycle (559).jpg"", ""Bicycle (229).jpg"", ""Bicycle (237).jpg"", ""Bicycle (626).jpg""]",756,6,4,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T08:00:05.838,2026-04-27T08:00:12.497,6.659,7,0,Click on the images containing bicycles.,"[""Bus (31).jpg"", ""Bicycle (570).jpg"", ""Chimney (124).jpg"", ""Bicycle (664).jpg"", ""Bicycle (735).jpg"", ""Bicycle (732).jpg"", ""Palm (126).jpg"", ""Hydrant (104).jpg"", ""Chimney (87).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 5]","[""Bicycle (570).jpg"", ""Bicycle (664).jpg"", ""Bicycle (732).jpg""]",752,7,4,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T08:00:14.507,2026-04-27T08:00:23.065,8.558,8,0,Click on the images containing bicycles.,"[""Cross (19).jpg"", ""Bicycle (610).jpg"", ""Bridge (95).jpg"", ""Hydrant (78).jpg"", ""Cross (17).jpg"", ""Tlight (116).jpg"", ""Bicycle (65).jpg"", ""Bicycle (25).jpg"", ""Bicycle (675).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 8]","[""Bicycle (65).jpg"", ""Bicycle (675).jpg""]",748,8,4,10,submit,
673dcdd4a5344facb04c4a4576b0ba79,captcha_pre,14,18,female,2026-04-27T08:00:25.074,2026-04-27T08:00:33.058,7.984,9,1,Click on the images containing bicycles.,"[""Palm (8).jpg"", ""Bicycle (738).jpg"", ""Bicycle (404).jpg"", ""Palm (120).jpg"", ""Bus (105).jpg"", ""Tlight (3).jpg"", ""Bridge (69).jpg"", ""Bicycle (548).jpg"", ""Stair (1456).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 7]","[""Bicycle (738).jpg"", ""Bicycle (404).jpg"", ""Bicycle (548).jpg""]",745,9,5,10,submit,
