exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:05:57.848,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:05:57.881,2026-04-27T12:06:37.806,39.925,1,0,Click on the images containing bicycles.,"[""Bicycle (316).jpg"", ""Bicycle (60).jpg"", ""Bus (32).jpg"", ""Car (92).jpg"", ""Bridge (127).jpg"", ""Chimney (22).jpg"", ""Bicycle (202).jpg"", ""Bicycle (435).jpg"", ""Bicycle (518).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (316).jpg"", ""Bicycle (202).jpg"", ""Bicycle (435).jpg"", ""Bicycle (518).jpg""]",775,1,0,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:06:39.816,2026-04-27T12:06:49.454,9.638,2,0,Click on the images containing bicycles.,"[""Car (63).jpg"", ""Bicycle (192).jpg"", ""Bicycle (633).jpg"", ""Bicycle (742).jpg"", ""Bicycle (598).jpg"", ""Bicycle (564).jpg"", ""Bridge (67).jpg"", ""Cross (65).jpg"", ""Tlight (66).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 4]","[""Bicycle (192).jpg"", ""Bicycle (633).jpg"", ""Bicycle (742).jpg"", ""Bicycle (598).jpg""]",770,2,0,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:06:51.464,2026-04-27T12:07:07.439,15.975,3,1,Click on the images containing bicycles.,"[""Palm (76).jpg"", ""Bicycle (8).jpg"", ""Stair (1455).jpg"", ""Bicycle (211).jpg"", ""Stair (1183).jpg"", ""Bicycle (184).jpg"", ""Bicycle (471).jpg"", ""Bicycle (751).jpg"", ""Car (41).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 3, 5, 6, 7]","[""Bicycle (8).jpg"", ""Bicycle (211).jpg"", ""Bicycle (184).jpg"", ""Bicycle (471).jpg"", ""Bicycle (751).jpg""]",765,3,1,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:07:07.444,2026-04-27T12:07:20.111,12.667,4,1,Click on the images containing bicycles.,"[""Palm (127).jpg"", ""Bicycle (668).jpg"", ""Stair (339).jpg"", ""Bicycle (603).jpg"", ""Car (78).jpg"", ""Bicycle (582).jpg"", ""Palm (108).jpg"", ""Bus (22).jpg"", ""Bicycle (481).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 5, 8]","[""Bicycle (668).jpg"", ""Bicycle (603).jpg"", ""Bicycle (582).jpg"", ""Bicycle (481).jpg""]",761,4,2,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:07:20.116,2026-04-27T12:07:27.798,7.682,5,0,Click on the images containing bicycles.,"[""Bicycle (735).jpg"", ""Chimney (98).jpg"", ""Bicycle (218).jpg"", ""Hydrant (90).jpg"", ""Cross (86).jpg"", ""Bicycle (572).jpg"", ""Hydrant (69).jpg"", ""Bicycle (69).jpg"", ""Bridge (102).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 5, 7]","[""Bicycle (218).jpg"", ""Bicycle (572).jpg"", ""Bicycle (69).jpg""]",757,5,2,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:07:29.808,2026-04-27T12:07:46.150,16.342,6,1,Click on the images containing bicycles.,"[""Bicycle (177).jpg"", ""Bicycle (608).jpg"", ""Bus (72).jpg"", ""Car (32).jpg"", ""Bridge (29).jpg"", ""Bicycle (542).jpg"", ""Hydrant (80).jpg"", ""Bicycle (601).jpg"", ""Chimney (28).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 5, 7]","[""Bicycle (177).jpg"", ""Bicycle (608).jpg"", ""Bicycle (542).jpg"", ""Bicycle (601).jpg""]",753,6,3,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:07:46.166,2026-04-27T12:07:59.510,13.344,7,1,Click on the images containing bicycles.,"[""Bicycle (722).jpg"", ""Bridge (34).jpg"", ""Bicycle (37).jpg"", ""Bicycle (18).jpg"", ""Stair (874).jpg"", ""Bicycle (261).jpg"", ""Hydrant (47).jpg"", ""Cross (49).jpg"", ""Bicycle (474).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 3, 5, 8]","[""Bicycle (722).jpg"", ""Bicycle (37).jpg"", ""Bicycle (18).jpg"", ""Bicycle (261).jpg"", ""Bicycle (474).jpg""]",748,7,4,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:07:59.516,2026-04-27T12:08:09.918,10.402,8,1,Click on the images containing bicycles.,"[""Bicycle (347).jpg"", ""Tlight (15).jpg"", ""Bicycle (527).jpg"", ""Palm (64).jpg"", ""Cross (15).jpg"", ""Bridge (21).jpg"", ""Bicycle (269).jpg"", ""Car (126).jpg"", ""Bicycle (630).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 6, 8]","[""Bicycle (347).jpg"", ""Bicycle (527).jpg"", ""Bicycle (269).jpg"", ""Bicycle (630).jpg""]",744,8,5,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:08:09.933,2026-04-27T12:08:18.503,8.57,9,1,Click on the images containing bicycles.,"[""Tlight (13).jpg"", ""Bicycle (253).jpg"", ""Bicycle (581).jpg"", ""Bus (33).jpg"", ""Bus (54).jpg"", ""Bicycle (195).jpg"", ""Car (90).jpg"", ""Cross (53).jpg"", ""Palm (117).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (253).jpg"", ""Bicycle (581).jpg"", ""Bicycle (195).jpg""]",741,9,6,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:08:18.508,2026-04-27T12:08:26.831,8.323,10,1,Click on the images containing bicycles.,"[""Bicycle (167).jpg"", ""Bicycle (348).jpg"", ""Bicycle (457).jpg"", ""Bus (96).jpg"", ""Tlight (121).jpg"", ""Tlight (8).jpg"", ""Hydrant (43).jpg"", ""Car (95).jpg"", ""Palm (52).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (167).jpg"", ""Bicycle (348).jpg"", ""Bicycle (457).jpg""]",738,10,7,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:08:26.836,2026-04-27T12:08:36.831,9.995,11,1,Click on the images containing bicycles.,"[""Bridge (53).jpg"", ""Bicycle (2).jpg"", ""Bridge (98).jpg"", ""Car (118).jpg"", ""Bicycle (761).jpg"", ""Bicycle (745).jpg"", ""Hydrant (115).jpg"", ""Bicycle (503).jpg"", ""Bicycle (397).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (2).jpg"", ""Bicycle (761).jpg"", ""Bicycle (745).jpg"", ""Bicycle (503).jpg"", ""Bicycle (397).jpg""]",733,11,8,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:08:36.836,2026-04-27T12:08:48.741,11.905,12,0,Click on the images containing bicycles.,"[""Bicycle (469).jpg"", ""Bicycle (776).jpg"", ""Cross (116).jpg"", ""Bicycle (661).jpg"", ""Chimney (73).jpg"", ""Car (100).jpg"", ""Car (36).jpg"", ""Bicycle (496).jpg"", ""Bicycle (333).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 2, 3, 7, 8]","[""Bicycle (469).jpg"", ""Bicycle (776).jpg"", ""Cross (116).jpg"", ""Bicycle (661).jpg"", ""Bicycle (496).jpg"", ""Bicycle (333).jpg""]",728,12,8,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:08:50.751,2026-04-27T12:09:00.847,10.096,13,1,Click on the images containing bicycles.,"[""Bicycle (734).jpg"", ""Bicycle (297).jpg"", ""Palm (58).jpg"", ""Bicycle (584).jpg"", ""Stair (1454).jpg"", ""Stair (1031).jpg"", ""Bicycle (155).jpg"", ""Car (25).jpg"", ""Hydrant (103).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 3, 6]","[""Bicycle (734).jpg"", ""Bicycle (297).jpg"", ""Bicycle (584).jpg"", ""Bicycle (155).jpg""]",724,13,9,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:09:00.853,2026-04-27T12:09:10.263,9.41,14,1,Click on the images containing bicycles.,"[""Car (62).jpg"", ""Cross (120).jpg"", ""Bicycle (730).jpg"", ""Hydrant (116).jpg"", ""Bicycle (585).jpg"", ""Stair (424).jpg"", ""Tlight (77).jpg"", ""Bicycle (546).jpg"", ""Bicycle (131).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[2, 4, 7, 8]","[""Bicycle (730).jpg"", ""Bicycle (585).jpg"", ""Bicycle (546).jpg"", ""Bicycle (131).jpg""]",720,14,10,10,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_pre,16,18,male,2026-04-27T12:09:00.853,2026-04-27T12:09:12.238,11.385,14,,Click on the images containing bicycles.,[],[],[],[],720,14,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
7fc17f54105c4f4281dc03dfedd3dac2,q_pre_captcha,16,18,male,2026-04-27T12:09:12.244,2026-04-27T12:10:09.117,56.873,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""5"", ""captcha_task_difficulty"": ""6"", ""captcha_task_fun"": ""5"", ""captcha_task_enjoyment"": ""6"", ""captcha_task_meaningfulness"": ""2""}"
7fc17f54105c4f4281dc03dfedd3dac2,q_pre_idaq,16,18,male,2026-04-27T12:10:09.129,2026-04-27T12:15:48.136,339.007,,,,,,,,,,,,submit,"{""idaq_29"": ""7"", ""idaq_17"": ""3"", ""idaq_27"": ""6"", ""idaq_6"": ""8"", ""idaq_30"": ""5"", ""idaq_4"": ""3"", ""idaq_24"": ""7"", ""idaq_13"": ""1"", ""idaq_2"": ""10"", ""idaq_1"": ""3"", ""idaq_8"": ""7"", ""idaq_25"": ""8"", ""idaq_9"": ""1"", ""idaq_23"": ""3"", ""idaq_22"": ""5"", ""idaq_21"": ""1"", ""idaq_12"": ""7"", ""idaq_28"": ""7"", ""idaq_19"": ""8"", ""idaq_7"": ""1"", ""idaq_26"": ""1"", ""idaq_14"": ""1"", ""idaq_3"": ""1"", ""idaq_18"": ""5"", ""idaq_16"": ""9"", ""idaq_10"": ""4"", ""idaq_20"": ""8"", ""idaq_11"": ""3"", ""idaq_15"": ""2"", ""idaq_5"": ""8""}"
7fc17f54105c4f4281dc03dfedd3dac2,q_pre_2050,16,18,male,2026-04-27T12:15:48.147,2026-04-27T12:19:27.623,219.476,,,,,,,,,,,,submit,"{""2050_rights"": ""6"", ""2050_police"": ""4"", ""2050_sports"": ""3"", ""2050_rubbish_collectors"": ""9"", ""2050_flight_attendants"": ""8"", ""2050_crime"": ""4"", ""2050_nursing_home"": ""7"", ""2050_mannequins"": ""9"", ""2050_experiments"": ""2"", ""2050_hiking"": ""2"", ""2050_school"": ""4"", ""2050_art"": ""8"", ""2050_neurosurgery"": ""7"", ""2050_other_worlds"": ""7"", ""2050_shelters"": ""2""}"
7fc17f54105c4f4281dc03dfedd3dac2,q_post_gators,16,18,male,2026-04-27T12:33:32.142,2026-04-27T12:36:13.450,161.308,,,,,,,,,,,,submit,"{""gators_14"": ""5"", ""gators_13"": ""1"", ""gators_2"": ""1"", ""gators_18"": ""7"", ""gators_12"": ""7"", ""gators_15"": ""3"", ""gators_6"": ""1"", ""gators_20"": ""6"", ""gators_4"": ""4"", ""gators_16"": ""2"", ""gators_10"": ""3"", ""gators_11"": ""6"", ""gators_19"": ""7"", ""gators_7"": ""4"", ""gators_9"": ""3"", ""gators_8"": ""5"", ""gators_1"": ""1"", ""gators_5"": ""2"", ""gators_17"": ""7"", ""gators_3"": ""4""}"
7fc17f54105c4f4281dc03dfedd3dac2,q_post_specific,16,18,male,2026-04-27T12:36:13.462,2026-04-27T12:37:15.581,62.119,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""7"", ""robot_likeability"": ""5"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_friendliness"": ""6"", ""robot_empathy"": ""3""}"
7fc17f54105c4f4281dc03dfedd3dac2,captcha_post,16,18,male,2026-04-27T12:37:15.622,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_post,16,18,male,2026-04-27T12:37:15.640,2026-04-27T12:37:36.322,20.682,1,1,Click on the images containing bicycles.,"[""Bicycle (426).jpg"", ""Bicycle (303).jpg"", ""Hydrant (122).jpg"", ""Bicycle (187).jpg"", ""Bridge (109).jpg"", ""Bus (108).jpg"", ""Bicycle (545).jpg"", ""Bus (112).jpg"", ""Bicycle (528).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 3, 6, 8]","[""Bicycle (426).jpg"", ""Bicycle (303).jpg"", ""Bicycle (187).jpg"", ""Bicycle (545).jpg"", ""Bicycle (528).jpg""]",775,1,1,1000,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_post,16,18,male,2026-04-27T12:37:36.326,2026-04-27T12:37:51.277,14.951,2,1,Click on the images containing bicycles.,"[""Bridge (103).jpg"", ""Palm (10).jpg"", ""Bicycle (221).jpg"", ""Bicycle (522).jpg"", ""Bicycle (305).jpg"", ""Bicycle (635).jpg"", ""Hydrant (61).jpg"", ""Bus (139).jpg"", ""Bicycle (632).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 4, 5, 8]","[""Bicycle (221).jpg"", ""Bicycle (522).jpg"", ""Bicycle (305).jpg"", ""Bicycle (635).jpg"", ""Bicycle (632).jpg""]",770,2,2,1000,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_post,16,18,male,2026-04-27T12:37:51.282,2026-04-27T12:38:04.403,13.121,3,1,Click on the images containing bicycles.,"[""Bicycle (569).jpg"", ""Chimney (52).jpg"", ""Bicycle (251).jpg"", ""Bicycle (462).jpg"", ""Chimney (54).jpg"", ""Bridge (67).jpg"", ""Bicycle (537).jpg"", ""Bicycle (77).jpg"", ""Hydrant (24).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 3, 6, 7]","[""Bicycle (569).jpg"", ""Bicycle (251).jpg"", ""Bicycle (462).jpg"", ""Bicycle (537).jpg"", ""Bicycle (77).jpg""]",765,3,3,1000,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_post,16,18,male,2026-04-27T12:38:04.411,2026-04-27T12:38:13.181,8.77,4,1,Click on the images containing bicycles.,"[""Bicycle (235).jpg"", ""Chimney (114).jpg"", ""Bridge (43).jpg"", ""Tlight (133).jpg"", ""Chimney (39).jpg"", ""Car (76).jpg"", ""Bicycle (18).jpg"", ""Bicycle (436).jpg"", ""Car (85).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (235).jpg"", ""Bicycle (18).jpg"", ""Bicycle (436).jpg""]",762,4,4,1000,submit,
7fc17f54105c4f4281dc03dfedd3dac2,captcha_post,16,18,male,2026-04-27T12:38:13.187,2026-04-27T12:38:20.853,7.666,5,1,Click on the images containing bicycles.,"[""Bridge (122).jpg"", ""Cross (7).jpg"", ""Bicycle (439).jpg"", ""Bus (28).jpg"", ""Bicycle (501).jpg"", ""Palm (88).jpg"", ""Car (96).jpg"", ""Tlight (49).jpg"", ""Bicycle (361).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 4, 8]","[""Bicycle (439).jpg"", ""Bicycle (501).jpg"", ""Bicycle (361).jpg""]",759,5,5,1000,submit,
