exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:58:29.791,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:58:29.817,2026-04-28T08:59:07.591,37.774,1,1,Click on the images containing bicycles.,"[""Palm (11).jpg"", ""Chimney (29).jpg"", ""Bridge (74).jpg"", ""Bus (118).jpg"", ""Stair (889).jpg"", ""Bridge (51).jpg"", ""Bicycle (647).jpg"", ""Bicycle (74).jpg"", ""Bicycle (702).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7, 8]","[""Bicycle (647).jpg"", ""Bicycle (74).jpg"", ""Bicycle (702).jpg""]",777,1,1,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:59:07.597,2026-04-28T08:59:17.981,10.384,2,1,Click on the images containing bicycles.,"[""Bridge (130).jpg"", ""Car (93).jpg"", ""Bus (39).jpg"", ""Bicycle (196).jpg"", ""Palm (76).jpg"", ""Hydrant (102).jpg"", ""Bus (22).jpg"", ""Bicycle (700).jpg"", ""Bicycle (13).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (196).jpg"", ""Bicycle (700).jpg"", ""Bicycle (13).jpg""]",774,2,2,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:59:17.989,2026-04-28T08:59:29.909,11.92,3,1,Click on the images containing bicycles.,"[""Bicycle (127).jpg"", ""Car (100).jpg"", ""Bicycle (606).jpg"", ""Bicycle (678).jpg"", ""Palm (114).jpg"", ""Bicycle (342).jpg"", ""Car (94).jpg"", ""Bridge (107).jpg"", ""Cross (68).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 3, 5]","[""Bicycle (127).jpg"", ""Bicycle (606).jpg"", ""Bicycle (678).jpg"", ""Bicycle (342).jpg""]",770,3,3,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:59:29.914,2026-04-28T08:59:43.413,13.499,4,0,Click on the images containing bicycles.,"[""Bridge (108).jpg"", ""Bicycle (82).jpg"", ""Chimney (31).jpg"", ""Bridge (138).jpg"", ""Tlight (122).jpg"", ""Bicycle (665).jpg"", ""Bicycle (217).jpg"", ""Chimney (4).jpg"", ""Bridge (114).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5]","[""Bicycle (82).jpg"", ""Bicycle (665).jpg""]",767,4,3,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:59:45.424,2026-04-28T08:59:54.991,9.567,5,1,Click on the images containing bicycles.,"[""Tlight (91).jpg"", ""Bicycle (91).jpg"", ""Hydrant (123).jpg"", ""Hydrant (53).jpg"", ""Stair (793).jpg"", ""Bicycle (131).jpg"", ""Cross (36).jpg"", ""Bus (56).jpg"", ""Bicycle (331).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (91).jpg"", ""Bicycle (131).jpg"", ""Bicycle (331).jpg""]",764,5,4,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T08:59:54.996,2026-04-28T09:00:06.566,11.57,6,1,Click on the images containing bicycles.,"[""Bicycle (179).jpg"", ""Hydrant (100).jpg"", ""Bus (125).jpg"", ""Stair (136).jpg"", ""Cross (46).jpg"", ""Bicycle (105).jpg"", ""Bicycle (682).jpg"", ""Bicycle (115).jpg"", ""Bicycle (567).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[0, 5, 6, 7, 8]","[""Bicycle (179).jpg"", ""Bicycle (105).jpg"", ""Bicycle (682).jpg"", ""Bicycle (115).jpg"", ""Bicycle (567).jpg""]",759,6,5,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T09:00:06.574,2026-04-28T09:00:14.503,7.929,7,1,Click on the images containing bicycles.,"[""Palm (16).jpg"", ""Chimney (25).jpg"", ""Bicycle (92).jpg"", ""Bicycle (764).jpg"", ""Bicycle (79).jpg"", ""Stair (339).jpg"", ""Bridge (40).jpg"", ""Bicycle (492).jpg"", ""Cross (69).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 4, 7]","[""Bicycle (92).jpg"", ""Bicycle (764).jpg"", ""Bicycle (79).jpg"", ""Bicycle (492).jpg""]",755,7,6,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T09:00:14.509,2026-04-28T09:00:28.525,14.016,8,0,Click on the images containing bicycles.,"[""Tlight (46).jpg"", ""Bicycle (108).jpg"", ""Bicycle (732).jpg"", ""Car (110).jpg"", ""Bicycle (42).jpg"", ""Cross (104).jpg"", ""Bridge (119).jpg"", ""Cross (3).jpg"", ""Palm (135).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (108).jpg"", ""Bicycle (732).jpg"", ""Bicycle (42).jpg"", ""Cross (104).jpg""]",752,8,6,10,submit,
ee867f0d615e4e4699081702333a57f3,captcha_pre,17,18,other,2026-04-28T09:00:30.536,2026-04-28T09:00:39.029,8.493,9,1,Click on the images containing bicycles.,"[""Bridge (52).jpg"", ""Bridge (23).jpg"", ""Chimney (13).jpg"", ""Bridge (73).jpg"", ""Bicycle (261).jpg"", ""Bicycle (374).jpg"", ""Car (79).jpg"", ""Bicycle (758).jpg"", ""Bicycle (225).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (261).jpg"", ""Bicycle (374).jpg"", ""Bicycle (758).jpg"", ""Bicycle (225).jpg""]",748,9,7,10,submit,
