exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T09:59:29.626,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T09:59:29.648,2026-04-28T10:00:19.901,50.253,1,1,Click on the images containing bicycles.,"[""Bicycle (650).jpg"", ""Bridge (45).jpg"", ""Bicycle (526).jpg"", ""Palm (15).jpg"", ""Chimney (123).jpg"", ""Chimney (33).jpg"", ""Tlight (83).jpg"", ""Tlight (51).jpg"", ""Bicycle (369).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 8]","[""Bicycle (650).jpg"", ""Bicycle (526).jpg"", ""Bicycle (369).jpg""]",777,1,1,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:00:19.904,2026-04-28T10:00:38.917,19.013,2,1,Click on the images containing bicycles.,"[""Car (78).jpg"", ""Bicycle (418).jpg"", ""Bicycle (136).jpg"", ""Bicycle (48).jpg"", ""Palm (73).jpg"", ""Bicycle (426).jpg"", ""Tlight (52).jpg"", ""Tlight (20).jpg"", ""Cross (109).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 5]","[""Bicycle (418).jpg"", ""Bicycle (136).jpg"", ""Bicycle (48).jpg"", ""Bicycle (426).jpg""]",773,2,2,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:00:38.921,2026-04-28T10:00:49.436,10.515,3,1,Click on the images containing bicycles.,"[""Bicycle (209).jpg"", ""Bicycle (631).jpg"", ""Bridge (82).jpg"", ""Palm (17).jpg"", ""Palm (48).jpg"", ""Bicycle (111).jpg"", ""Car (97).jpg"", ""Bicycle (616).jpg"", ""Car (123).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 5, 7]","[""Bicycle (209).jpg"", ""Bicycle (631).jpg"", ""Bicycle (111).jpg"", ""Bicycle (616).jpg""]",769,3,3,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:00:49.440,2026-04-28T10:01:02.685,13.245,4,1,Click on the images containing bicycles.,"[""Car (112).jpg"", ""Bicycle (66).jpg"", ""Tlight (19).jpg"", ""Bus (32).jpg"", ""Hydrant (66).jpg"", ""Bicycle (410).jpg"", ""Palm (89).jpg"", ""Bicycle (274).jpg"", ""Bicycle (104).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 5, 7, 8]","[""Bicycle (66).jpg"", ""Bicycle (410).jpg"", ""Bicycle (274).jpg"", ""Bicycle (104).jpg""]",765,4,4,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:01:02.688,2026-04-28T10:01:18.515,15.827,5,1,Click on the images containing bicycles.,"[""Bicycle (438).jpg"", ""Hydrant (107).jpg"", ""Tlight (140).jpg"", ""Bicycle (528).jpg"", ""Stair (672).jpg"", ""Bicycle (71).jpg"", ""Hydrant (135).jpg"", ""Car (59).jpg"", ""Tlight (1).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 5]","[""Bicycle (438).jpg"", ""Bicycle (528).jpg"", ""Bicycle (71).jpg""]",762,5,5,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:01:18.519,2026-04-28T10:01:34.813,16.294,6,1,Click on the images containing bicycles.,"[""Bicycle (697).jpg"", ""Cross (113).jpg"", ""Bicycle (223).jpg"", ""Stair (1462).jpg"", ""Hydrant (54).jpg"", ""Stair (1149).jpg"", ""Chimney (14).jpg"", ""Bicycle (733).jpg"", ""Cross (10).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (697).jpg"", ""Bicycle (223).jpg"", ""Bicycle (733).jpg""]",759,6,6,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:01:34.816,2026-04-28T10:01:49.588,14.772,7,1,Click on the images containing bicycles.,"[""Bicycle (115).jpg"", ""Chimney (16).jpg"", ""Stair (594).jpg"", ""Bicycle (590).jpg"", ""Stair (896).jpg"", ""Tlight (123).jpg"", ""Bicycle (73).jpg"", ""Hydrant (126).jpg"", ""Stair (427).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (115).jpg"", ""Bicycle (590).jpg"", ""Bicycle (73).jpg""]",756,7,7,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:01:49.591,2026-04-28T10:01:59.518,9.927,8,1,Click on the images containing bicycles.,"[""Tlight (59).jpg"", ""Bicycle (547).jpg"", ""Tlight (129).jpg"", ""Bicycle (20).jpg"", ""Stair (1095).jpg"", ""Tlight (135).jpg"", ""Hydrant (74).jpg"", ""Bicycle (228).jpg"", ""Stair (951).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (547).jpg"", ""Bicycle (20).jpg"", ""Bicycle (228).jpg""]",753,8,8,10,submit,
bcc8ff2711444f4fa1cb7a4c732c6b9a,captcha_pre,18,18,female,2026-04-28T10:01:59.521,2026-04-28T10:02:14.900,15.379,9,1,Click on the images containing bicycles.,"[""Bridge (114).jpg"", ""Bicycle (284).jpg"", ""Tlight (139).jpg"", ""Palm (109).jpg"", ""Hydrant (39).jpg"", ""Bridge (101).jpg"", ""Bicycle (289).jpg"", ""Bicycle (764).jpg"", ""Bus (74).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (284).jpg"", ""Bicycle (289).jpg"", ""Bicycle (764).jpg""]",750,9,9,10,submit,
