exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:01:42.223,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:01:42.250,2026-04-28T11:02:14.438,32.188,1,0,Click on the images containing bicycles.,"[""Tlight (114).jpg"", ""Bicycle (149).jpg"", ""Chimney (58).jpg"", ""Bridge (68).jpg"", ""Bridge (101).jpg"", ""Bicycle (27).jpg"", ""Bicycle (706).jpg"", ""Bicycle (595).jpg"", ""Tlight (44).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]",[5],"[""Bicycle (27).jpg""]",776,1,0,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:02:16.450,2026-04-28T11:02:40.640,24.19,2,0,Click on the images containing bicycles.,"[""Bicycle (40).jpg"", ""Bicycle (293).jpg"", ""Bicycle (425).jpg"", ""Chimney (41).jpg"", ""Chimney (2).jpg"", ""Bicycle (558).jpg"", ""Bridge (119).jpg"", ""Bicycle (736).jpg"", ""Cross (101).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (40).jpg"", ""Bicycle (558).jpg"", ""Bicycle (736).jpg""]",771,2,0,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:02:42.649,2026-04-28T11:03:00.241,17.592,3,1,Click on the images containing bicycles.,"[""Hydrant (62).jpg"", ""Bicycle (364).jpg"", ""Bicycle (524).jpg"", ""Bus (82).jpg"", ""Bus (56).jpg"", ""Bicycle (326).jpg"", ""Bicycle (544).jpg"", ""Bicycle (654).jpg"", ""Bridge (117).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 2, 5, 6, 7]","[""Bicycle (364).jpg"", ""Bicycle (524).jpg"", ""Bicycle (326).jpg"", ""Bicycle (544).jpg"", ""Bicycle (654).jpg""]",766,3,1,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:03:00.245,2026-04-28T11:03:14.575,14.33,4,1,Click on the images containing bicycles.,"[""Bicycle (26).jpg"", ""Bicycle (759).jpg"", ""Chimney (7).jpg"", ""Cross (32).jpg"", ""Bicycle (437).jpg"", ""Bicycle (322).jpg"", ""Bridge (27).jpg"", ""Bicycle (178).jpg"", ""Tlight (127).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 4, 5, 7]","[""Bicycle (26).jpg"", ""Bicycle (759).jpg"", ""Bicycle (437).jpg"", ""Bicycle (322).jpg"", ""Bicycle (178).jpg""]",761,4,2,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:03:14.578,2026-04-28T11:03:30.897,16.319,5,1,Click on the images containing bicycles.,"[""Bicycle (611).jpg"", ""Hydrant (33).jpg"", ""Bicycle (400).jpg"", ""Stair (1183).jpg"", ""Cross (104).jpg"", ""Bridge (99).jpg"", ""Bicycle (453).jpg"", ""Bicycle (362).jpg"", ""Bicycle (20).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (611).jpg"", ""Bicycle (400).jpg"", ""Bicycle (453).jpg"", ""Bicycle (362).jpg"", ""Bicycle (20).jpg""]",756,5,3,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:03:30.900,2026-04-28T11:03:42.111,11.211,6,1,Click on the images containing bicycles.,"[""Bicycle (383).jpg"", ""Car (51).jpg"", ""Bicycle (192).jpg"", ""Hydrant (36).jpg"", ""Bicycle (129).jpg"", ""Bridge (97).jpg"", ""Hydrant (130).jpg"", ""Chimney (127).jpg"", ""Bus (33).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (383).jpg"", ""Bicycle (192).jpg"", ""Bicycle (129).jpg""]",753,6,4,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:03:42.115,2026-04-28T11:03:51.440,9.325,7,1,Click on the images containing bicycles.,"[""Bicycle (429).jpg"", ""Cross (31).jpg"", ""Bicycle (271).jpg"", ""Tlight (92).jpg"", ""Palm (111).jpg"", ""Bicycle (174).jpg"", ""Chimney (116).jpg"", ""Cross (16).jpg"", ""Bus (95).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 5]","[""Bicycle (429).jpg"", ""Bicycle (271).jpg"", ""Bicycle (174).jpg""]",750,7,5,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:03:51.443,2026-04-28T11:04:03.649,12.206,8,1,Click on the images containing bicycles.,"[""Bicycle (269).jpg"", ""Bicycle (576).jpg"", ""Chimney (3).jpg"", ""Hydrant (63).jpg"", ""Hydrant (127).jpg"", ""Bicycle (506).jpg"", ""Bicycle (162).jpg"", ""Bridge (110).jpg"", ""Bicycle (49).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 1, 5, 6, 8]","[""Bicycle (269).jpg"", ""Bicycle (576).jpg"", ""Bicycle (506).jpg"", ""Bicycle (162).jpg"", ""Bicycle (49).jpg""]",745,8,6,10,submit,
bea2011ad47945a9991b4962b7a26bbe,captcha_pre,19,18,female,2026-04-28T11:04:03.652,2026-04-28T11:04:17.725,14.073,9,1,Click on the images containing bicycles.,"[""Tlight (113).jpg"", ""Bicycle (345).jpg"", ""Chimney (39).jpg"", ""Bicycle (252).jpg"", ""Cross (99).jpg"", ""Bicycle (689).jpg"", ""Bicycle (237).jpg"", ""Bicycle (458).jpg"", ""Bridge (30).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 3, 5, 6, 7]","[""Bicycle (345).jpg"", ""Bicycle (252).jpg"", ""Bicycle (689).jpg"", ""Bicycle (237).jpg"", ""Bicycle (458).jpg""]",740,9,7,10,submit,
