exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:01:42.321,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:01:42.344,2026-04-28T12:02:26.098,43.754,1,1,Click on the images containing bicycles.,"[""Palm (86).jpg"", ""Bus (26).jpg"", ""Bicycle (72).jpg"", ""Bicycle (601).jpg"", ""Bicycle (274).jpg"", ""Car (87).jpg"", ""Bicycle (554).jpg"", ""Hydrant (126).jpg"", ""Hydrant (22).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 4, 6]","[""Bicycle (72).jpg"", ""Bicycle (601).jpg"", ""Bicycle (274).jpg"", ""Bicycle (554).jpg""]",776,1,1,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:02:26.102,2026-04-28T12:02:37.329,11.227,2,1,Click on the images containing bicycles.,"[""Bicycle (726).jpg"", ""Bicycle (519).jpg"", ""Palm (1).jpg"", ""Bicycle (764).jpg"", ""Bicycle (168).jpg"", ""Bus (119).jpg"", ""Palm (56).jpg"", ""Tlight (50).jpg"", ""Bicycle (727).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 4, 8]","[""Bicycle (726).jpg"", ""Bicycle (519).jpg"", ""Bicycle (764).jpg"", ""Bicycle (168).jpg"", ""Bicycle (727).jpg""]",771,2,2,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:02:37.334,2026-04-28T12:02:45.499,8.165,3,1,Click on the images containing bicycles.,"[""Bus (77).jpg"", ""Bicycle (491).jpg"", ""Bicycle (689).jpg"", ""Stair (38).jpg"", ""Bicycle (773).jpg"", ""Car (126).jpg"", ""Cross (108).jpg"", ""Chimney (111).jpg"", ""Bicycle (719).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 4, 8]","[""Bicycle (491).jpg"", ""Bicycle (689).jpg"", ""Bicycle (773).jpg"", ""Bicycle (719).jpg""]",767,3,3,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:02:45.502,2026-04-28T12:02:53.849,8.347,4,1,Click on the images containing bicycles.,"[""Bridge (137).jpg"", ""Hydrant (117).jpg"", ""Bicycle (153).jpg"", ""Bicycle (334).jpg"", ""Bicycle (550).jpg"", ""Bicycle (488).jpg"", ""Chimney (77).jpg"", ""Cross (8).jpg"", ""Hydrant (55).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 4, 5]","[""Bicycle (153).jpg"", ""Bicycle (334).jpg"", ""Bicycle (550).jpg"", ""Bicycle (488).jpg""]",763,4,4,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:02:53.853,2026-04-28T12:03:02.689,8.836,5,1,Click on the images containing bicycles.,"[""Bicycle (96).jpg"", ""Tlight (117).jpg"", ""Chimney (80).jpg"", ""Bicycle (711).jpg"", ""Bicycle (6).jpg"", ""Bicycle (152).jpg"", ""Palm (6).jpg"", ""Cross (69).jpg"", ""Bicycle (614).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 4, 5, 8]","[""Bicycle (96).jpg"", ""Bicycle (711).jpg"", ""Bicycle (6).jpg"", ""Bicycle (152).jpg"", ""Bicycle (614).jpg""]",758,5,5,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:03:02.692,2026-04-28T12:03:11.088,8.396,6,1,Click on the images containing bicycles.,"[""Stair (699).jpg"", ""Bicycle (454).jpg"", ""Tlight (8).jpg"", ""Chimney (46).jpg"", ""Bicycle (767).jpg"", ""Bicycle (264).jpg"", ""Bicycle (567).jpg"", ""Bridge (88).jpg"", ""Bicycle (431).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[1, 4, 5, 6, 8]","[""Bicycle (454).jpg"", ""Bicycle (767).jpg"", ""Bicycle (264).jpg"", ""Bicycle (567).jpg"", ""Bicycle (431).jpg""]",753,6,6,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:03:11.090,2026-04-28T12:03:21.698,10.608,7,1,Click on the images containing bicycles.,"[""Stair (1221).jpg"", ""Bicycle (81).jpg"", ""Hydrant (46).jpg"", ""Bicycle (269).jpg"", ""Cross (29).jpg"", ""Bicycle (594).jpg"", ""Bicycle (386).jpg"", ""Bridge (100).jpg"", ""Bicycle (562).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 3, 5, 6, 8]","[""Bicycle (81).jpg"", ""Bicycle (269).jpg"", ""Bicycle (594).jpg"", ""Bicycle (386).jpg"", ""Bicycle (562).jpg""]",748,7,7,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:03:21.702,2026-04-28T12:03:33.931,12.229,8,1,Click on the images containing bicycles.,"[""Bus (46).jpg"", ""Bicycle (108).jpg"", ""Palm (51).jpg"", ""Hydrant (23).jpg"", ""Bicycle (398).jpg"", ""Bicycle (60).jpg"", ""Bicycle (167).jpg"", ""Chimney (82).jpg"", ""Bridge (121).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 4, 5, 6]","[""Bicycle (108).jpg"", ""Bicycle (398).jpg"", ""Bicycle (60).jpg"", ""Bicycle (167).jpg""]",744,8,8,10,submit,
30211c3c23054047b300fe7d69b21ea6,captcha_pre,20,18,female,2026-04-28T12:03:33.935,2026-04-28T12:03:41.691,7.756,9,1,Click on the images containing bicycles.,"[""Bus (106).jpg"", ""Palm (129).jpg"", ""Bicycle (410).jpg"", ""Bicycle (189).jpg"", ""Bicycle (320).jpg"", ""Bus (43).jpg"", ""Tlight (124).jpg"", ""Bus (137).jpg"", ""Bicycle (751).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 4, 8]","[""Bicycle (410).jpg"", ""Bicycle (189).jpg"", ""Bicycle (320).jpg"", ""Bicycle (751).jpg""]",740,9,9,10,submit,
