exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:04:31.412,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:04:31.441,2026-04-28T13:05:07.729,36.288,1,1,Click on the images containing bicycles.,"[""Bus (126).jpg"", ""Car (118).jpg"", ""Stair (1454).jpg"", ""Bicycle (705).jpg"", ""Stair (1319).jpg"", ""Bicycle (279).jpg"", ""Bicycle (376).jpg"", ""Bicycle (470).jpg"", ""Bus (75).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[3, 5, 6, 7]","[""Bicycle (705).jpg"", ""Bicycle (279).jpg"", ""Bicycle (376).jpg"", ""Bicycle (470).jpg""]",776,1,1,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:05:07.734,2026-04-28T13:05:17.873,10.139,2,1,Click on the images containing bicycles.,"[""Bicycle (198).jpg"", ""Palm (92).jpg"", ""Bicycle (56).jpg"", ""Bridge (69).jpg"", ""Car (104).jpg"", ""Tlight (8).jpg"", ""Palm (128).jpg"", ""Bicycle (732).jpg"", ""Palm (133).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (198).jpg"", ""Bicycle (56).jpg"", ""Bicycle (732).jpg""]",773,2,2,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:05:17.876,2026-04-28T13:05:31.994,14.118,3,1,Click on the images containing bicycles.,"[""Stair (700).jpg"", ""Stair (912).jpg"", ""Bicycle (698).jpg"", ""Chimney (75).jpg"", ""Cross (25).jpg"", ""Bicycle (604).jpg"", ""Bicycle (535).jpg"", ""Bicycle (388).jpg"", ""Bicycle (662).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[2, 5, 6, 7, 8]","[""Bicycle (698).jpg"", ""Bicycle (604).jpg"", ""Bicycle (535).jpg"", ""Bicycle (388).jpg"", ""Bicycle (662).jpg""]",768,3,3,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:05:31.999,2026-04-28T13:05:41.148,9.149,4,0,Click on the images containing bicycles.,"[""Bicycle (417).jpg"", ""Stair (1353).jpg"", ""Cross (119).jpg"", ""Bicycle (724).jpg"", ""Bridge (53).jpg"", ""Bicycle (695).jpg"", ""Car (32).jpg"", ""Chimney (124).jpg"", ""Bicycle (59).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (724).jpg"", ""Bicycle (695).jpg"", ""Bicycle (59).jpg""]",764,4,3,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:05:43.156,2026-04-28T13:05:50.906,7.75,5,1,Click on the images containing bicycles.,"[""Palm (86).jpg"", ""Bicycle (329).jpg"", ""Bus (100).jpg"", ""Bicycle (266).jpg"", ""Stair (1457).jpg"", ""Bus (60).jpg"", ""Hydrant (37).jpg"", ""Bicycle (443).jpg"", ""Car (103).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (329).jpg"", ""Bicycle (266).jpg"", ""Bicycle (443).jpg""]",761,5,4,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:05:50.908,2026-04-28T13:06:00.976,10.068,6,1,Click on the images containing bicycles.,"[""Cross (98).jpg"", ""Palm (44).jpg"", ""Hydrant (131).jpg"", ""Tlight (97).jpg"", ""Bus (84).jpg"", ""Bicycle (288).jpg"", ""Stair (208).jpg"", ""Bicycle (580).jpg"", ""Bicycle (542).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (288).jpg"", ""Bicycle (580).jpg"", ""Bicycle (542).jpg""]",758,6,5,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:06:00.981,2026-04-28T13:06:11.881,10.9,7,0,Click on the images containing bicycles.,"[""Bus (103).jpg"", ""Bridge (80).jpg"", ""Bicycle (155).jpg"", ""Tlight (113).jpg"", ""Bicycle (229).jpg"", ""Chimney (22).jpg"", ""Bicycle (125).jpg"", ""Bridge (23).jpg"", ""Bus (72).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bus (103).jpg"", ""Bicycle (155).jpg"", ""Bicycle (229).jpg"", ""Bicycle (125).jpg""]",755,7,5,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:06:13.886,2026-04-28T13:06:17.082,3.196,8,0,Click on the images containing bicycles.,"[""Tlight (116).jpg"", ""Tlight (20).jpg"", ""Hydrant (135).jpg"", ""Cross (8).jpg"", ""Cross (68).jpg"", ""Bicycle (326).jpg"", ""Chimney (33).jpg"", ""Bicycle (688).jpg"", ""Bicycle (527).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 8]","[""Bicycle (326).jpg"", ""Bicycle (527).jpg""]",752,8,5,10,submit,
121e88c44bb24c3fac7a01bf04bdb03f,captcha_pre,21,19,female,2026-04-28T13:06:19.088,2026-04-28T13:06:27.830,8.742,9,1,Click on the images containing bicycles.,"[""Bicycle (638).jpg"", ""Chimney (99).jpg"", ""Bicycle (715).jpg"", ""Bridge (48).jpg"", ""Bicycle (277).jpg"", ""Bicycle (547).jpg"", ""Hydrant (22).jpg"", ""Chimney (2).jpg"", ""Bridge (88).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 4, 5]","[""Bicycle (638).jpg"", ""Bicycle (715).jpg"", ""Bicycle (277).jpg"", ""Bicycle (547).jpg""]",748,9,6,10,submit,
