exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T10:58:58.549,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T10:58:58.580,2026-04-30T10:59:39.341,40.761,1,1,Click on the images containing bicycles.,"[""Stair (1388).jpg"", ""Palm (131).jpg"", ""Bicycle (268).jpg"", ""Bicycle (255).jpg"", ""Bicycle (376).jpg"", ""Car (40).jpg"", ""Chimney (10).jpg"", ""Stair (788).jpg"", ""Bicycle (103).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 4, 8]","[""Bicycle (268).jpg"", ""Bicycle (255).jpg"", ""Bicycle (376).jpg"", ""Bicycle (103).jpg""]",776,1,1,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T10:59:39.346,2026-04-30T10:59:54.420,15.074,2,1,Click on the images containing bicycles.,"[""Bicycle (315).jpg"", ""Car (38).jpg"", ""Hydrant (61).jpg"", ""Bicycle (206).jpg"", ""Stair (443).jpg"", ""Bus (21).jpg"", ""Car (81).jpg"", ""Bicycle (196).jpg"", ""Bicycle (65).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (315).jpg"", ""Bicycle (206).jpg"", ""Bicycle (196).jpg"", ""Bicycle (65).jpg""]",772,2,2,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T10:59:54.426,2026-04-30T11:00:09.541,15.115,3,1,Click on the images containing bicycles.,"[""Bicycle (104).jpg"", ""Tlight (119).jpg"", ""Bus (101).jpg"", ""Palm (125).jpg"", ""Chimney (112).jpg"", ""Chimney (58).jpg"", ""Bicycle (98).jpg"", ""Bicycle (281).jpg"", ""Bicycle (644).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (104).jpg"", ""Bicycle (98).jpg"", ""Bicycle (281).jpg"", ""Bicycle (644).jpg""]",768,3,3,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:00:09.545,2026-04-30T11:00:23.805,14.26,4,1,Click on the images containing bicycles.,"[""Bicycle (282).jpg"", ""Bicycle (44).jpg"", ""Bicycle (334).jpg"", ""Bicycle (120).jpg"", ""Car (28).jpg"", ""Bus (137).jpg"", ""Car (105).jpg"", ""Palm (114).jpg"", ""Bicycle (294).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 3, 8]","[""Bicycle (282).jpg"", ""Bicycle (44).jpg"", ""Bicycle (334).jpg"", ""Bicycle (120).jpg"", ""Bicycle (294).jpg""]",763,4,4,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:00:23.810,2026-04-30T11:00:37.811,14.001,5,0,Click on the images containing bicycles.,"[""Hydrant (58).jpg"", ""Chimney (26).jpg"", ""Cross (38).jpg"", ""Cross (41).jpg"", ""Bicycle (434).jpg"", ""Bicycle (71).jpg"", ""Bus (105).jpg"", ""Stair (208).jpg"", ""Bicycle (195).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[4, 5]","[""Bicycle (434).jpg"", ""Bicycle (71).jpg""]",760,5,4,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:00:39.831,2026-04-30T11:00:51.300,11.469,6,1,Click on the images containing bicycles.,"[""Bicycle (621).jpg"", ""Stair (884).jpg"", ""Bicycle (693).jpg"", ""Palm (87).jpg"", ""Bus (68).jpg"", ""Bicycle (238).jpg"", ""Bicycle (517).jpg"", ""Hydrant (86).jpg"", ""Stair (109).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (621).jpg"", ""Bicycle (693).jpg"", ""Bicycle (238).jpg"", ""Bicycle (517).jpg""]",756,6,5,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:00:51.305,2026-04-30T11:01:06.053,14.748,7,1,Click on the images containing bicycles.,"[""Bicycle (161).jpg"", ""Bicycle (733).jpg"", ""Bicycle (139).jpg"", ""Hydrant (57).jpg"", ""Chimney (92).jpg"", ""Bicycle (612).jpg"", ""Hydrant (73).jpg"", ""Bicycle (398).jpg"", ""Bridge (107).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 2, 5, 7]","[""Bicycle (161).jpg"", ""Bicycle (733).jpg"", ""Bicycle (139).jpg"", ""Bicycle (612).jpg"", ""Bicycle (398).jpg""]",751,7,6,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:01:06.059,2026-04-30T11:01:23.956,17.897,8,1,Click on the images containing bicycles.,"[""Bicycle (469).jpg"", ""Bicycle (397).jpg"", ""Bicycle (307).jpg"", ""Bridge (35).jpg"", ""Tlight (56).jpg"", ""Tlight (55).jpg"", ""Bicycle (217).jpg"", ""Bicycle (115).jpg"", ""Car (36).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 2, 6, 7]","[""Bicycle (469).jpg"", ""Bicycle (397).jpg"", ""Bicycle (307).jpg"", ""Bicycle (217).jpg"", ""Bicycle (115).jpg""]",746,8,7,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:01:23.961,2026-04-30T11:01:36.045,12.084,9,1,Click on the images containing bicycles.,"[""Chimney (116).jpg"", ""Bus (50).jpg"", ""Cross (100).jpg"", ""Bicycle (452).jpg"", ""Bicycle (48).jpg"", ""Bridge (44).jpg"", ""Bicycle (105).jpg"", ""Palm (17).jpg"", ""Bicycle (431).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[3, 4, 6, 8]","[""Bicycle (452).jpg"", ""Bicycle (48).jpg"", ""Bicycle (105).jpg"", ""Bicycle (431).jpg""]",742,9,8,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:01:36.051,2026-04-30T11:01:47.772,11.721,10,1,Click on the images containing bicycles.,"[""Cross (120).jpg"", ""Bicycle (127).jpg"", ""Palm (12).jpg"", ""Bicycle (121).jpg"", ""Hydrant (59).jpg"", ""Stair (421).jpg"", ""Bicycle (588).jpg"", ""Hydrant (113).jpg"", ""Bicycle (620).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 6, 8]","[""Bicycle (127).jpg"", ""Bicycle (121).jpg"", ""Bicycle (588).jpg"", ""Bicycle (620).jpg""]",738,10,9,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:01:47.777,2026-04-30T11:02:00.588,12.811,11,0,Click on the images containing bicycles.,"[""Bicycle (742).jpg"", ""Bicycle (704).jpg"", ""Stair (383).jpg"", ""Bicycle (633).jpg"", ""Tlight (105).jpg"", ""Bus (29).jpg"", ""Tlight (11).jpg"", ""Bicycle (38).jpg"", ""Palm (132).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 3, 7]","[""Bicycle (742).jpg"", ""Bicycle (633).jpg"", ""Bicycle (38).jpg""]",734,11,9,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:02:02.597,2026-04-30T11:02:12.348,9.751,12,1,Click on the images containing bicycles.,"[""Bridge (96).jpg"", ""Bicycle (526).jpg"", ""Hydrant (118).jpg"", ""Tlight (72).jpg"", ""Hydrant (56).jpg"", ""Bus (39).jpg"", ""Palm (94).jpg"", ""Bicycle (59).jpg"", ""Bicycle (587).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 7, 8]","[""Bicycle (526).jpg"", ""Bicycle (59).jpg"", ""Bicycle (587).jpg""]",731,12,10,10,submit,
8c78b31e3f02444ab89450f9a192abb9,captcha_pre,22,18,female,2026-04-30T11:02:02.597,2026-04-30T11:02:15.195,12.598,12,,Click on the images containing bicycles.,[],[],[],[],731,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
8c78b31e3f02444ab89450f9a192abb9,q_pre_captcha,22,18,female,2026-04-30T11:02:15.208,2026-04-30T11:02:36.091,20.883,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""5"", ""captcha_task_meaningfulness"": ""1"", ""captcha_task_fun"": ""2"", ""captcha_task_difficulty"": ""2"", ""captcha_task_enjoyment"": ""4""}"
