exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:56:46.845,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:56:46.874,2026-04-30T11:57:32.082,45.208,1,0,Click on the images containing bicycles.,"[""Bridge (33).jpg"", ""Car (103).jpg"", ""Car (127).jpg"", ""Stair (1335).jpg"", ""Stair (109).jpg"", ""Cross (89).jpg"", ""Bicycle (22).jpg"", ""Bicycle (421).jpg"", ""Bicycle (71).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7]","[""Bicycle (22).jpg"", ""Bicycle (421).jpg""]",777,1,0,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:57:34.090,2026-04-30T11:57:45.781,11.691,2,1,Click on the images containing bicycles.,"[""Cross (117).jpg"", ""Bicycle (54).jpg"", ""Bicycle (279).jpg"", ""Bicycle (68).jpg"", ""Bridge (63).jpg"", ""Bicycle (73).jpg"", ""Bicycle (773).jpg"", ""Stair (1138).jpg"", ""Tlight (87).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 3, 5, 6]","[""Bicycle (54).jpg"", ""Bicycle (279).jpg"", ""Bicycle (68).jpg"", ""Bicycle (73).jpg"", ""Bicycle (773).jpg""]",772,2,1,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:57:45.786,2026-04-30T11:57:58.423,12.637,3,1,Click on the images containing bicycles.,"[""Bicycle (157).jpg"", ""Bicycle (149).jpg"", ""Bicycle (519).jpg"", ""Hydrant (92).jpg"", ""Bus (122).jpg"", ""Bus (21).jpg"", ""Bicycle (303).jpg"", ""Tlight (131).jpg"", ""Bicycle (760).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 2, 6, 8]","[""Bicycle (157).jpg"", ""Bicycle (149).jpg"", ""Bicycle (519).jpg"", ""Bicycle (303).jpg"", ""Bicycle (760).jpg""]",767,3,2,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:57:58.428,2026-04-30T11:58:06.112,7.684,4,0,Click on the images containing bicycles.,"[""Bicycle (215).jpg"", ""Car (78).jpg"", ""Cross (77).jpg"", ""Bicycle (208).jpg"", ""Chimney (33).jpg"", ""Stair (1460).jpg"", ""Bicycle (119).jpg"", ""Bridge (79).jpg"", ""Bicycle (251).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 6]","[""Bicycle (215).jpg"", ""Bicycle (208).jpg"", ""Bicycle (119).jpg""]",763,4,2,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:58:08.121,2026-04-30T11:58:19.960,11.839,5,1,Click on the images containing bicycles.,"[""Bicycle (538).jpg"", ""Car (126).jpg"", ""Bicycle (181).jpg"", ""Bicycle (373).jpg"", ""Tlight (77).jpg"", ""Hydrant (38).jpg"", ""Tlight (127).jpg"", ""Bridge (76).jpg"", ""Stair (912).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3]","[""Bicycle (538).jpg"", ""Bicycle (181).jpg"", ""Bicycle (373).jpg""]",760,5,3,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:58:19.966,2026-04-30T11:58:32.575,12.609,6,0,Click on the images containing bicycles.,"[""Bicycle (530).jpg"", ""Bicycle (337).jpg"", ""Bicycle (288).jpg"", ""Car (53).jpg"", ""Bicycle (556).jpg"", ""Bicycle (361).jpg"", ""Chimney (113).jpg"", ""Cross (48).jpg"", ""Stair (383).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (337).jpg"", ""Bicycle (288).jpg"", ""Bicycle (556).jpg"", ""Bicycle (361).jpg""]",755,6,3,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:58:34.586,2026-04-30T11:58:43.823,9.237,7,1,Click on the images containing bicycles.,"[""Tlight (121).jpg"", ""Cross (16).jpg"", ""Chimney (117).jpg"", ""Bus (32).jpg"", ""Bicycle (282).jpg"", ""Bridge (107).jpg"", ""Car (90).jpg"", ""Bicycle (204).jpg"", ""Bicycle (61).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (282).jpg"", ""Bicycle (204).jpg"", ""Bicycle (61).jpg""]",752,7,4,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:58:43.829,2026-04-30T11:58:56.175,12.346,8,1,Click on the images containing bicycles.,"[""Hydrant (45).jpg"", ""Bicycle (746).jpg"", ""Hydrant (44).jpg"", ""Palm (74).jpg"", ""Stair (1462).jpg"", ""Stair (974).jpg"", ""Bicycle (87).jpg"", ""Bridge (128).jpg"", ""Bicycle (93).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (746).jpg"", ""Bicycle (87).jpg"", ""Bicycle (93).jpg""]",749,8,5,10,submit,
2a7ca7b5779c412984f34e46d9bf2635,captcha_pre,23,18,male,2026-04-30T11:58:56.181,2026-04-30T11:59:06.767,10.586,9,1,Click on the images containing bicycles.,"[""Bridge (89).jpg"", ""Cross (99).jpg"", ""Bicycle (150).jpg"", ""Bicycle (613).jpg"", ""Car (52).jpg"", ""Cross (17).jpg"", ""Bridge (26).jpg"", ""Hydrant (121).jpg"", ""Bicycle (358).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 8]","[""Bicycle (150).jpg"", ""Bicycle (613).jpg"", ""Bicycle (358).jpg""]",746,9,6,10,submit,
