exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:01:37.077,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:01:37.104,2026-04-30T14:02:16.085,38.981,1,1,Click on the images containing bicycles.,"[""Bicycle (140).jpg"", ""Palm (47).jpg"", ""Palm (140).jpg"", ""Cross (49).jpg"", ""Bicycle (165).jpg"", ""Cross (37).jpg"", ""Bicycle (183).jpg"", ""Bus (46).jpg"", ""Bridge (59).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (140).jpg"", ""Bicycle (165).jpg"", ""Bicycle (183).jpg""]",777,1,1,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:02:16.090,2026-04-30T14:02:26.757,10.667,2,1,Click on the images containing bicycles.,"[""Bus (22).jpg"", ""Bicycle (248).jpg"", ""Bicycle (226).jpg"", ""Car (124).jpg"", ""Bicycle (191).jpg"", ""Bicycle (655).jpg"", ""Bridge (87).jpg"", ""Chimney (74).jpg"", ""Bridge (81).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (248).jpg"", ""Bicycle (226).jpg"", ""Bicycle (191).jpg"", ""Bicycle (655).jpg""]",773,2,2,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:02:26.763,2026-04-30T14:02:41.734,14.971,3,1,Click on the images containing bicycles.,"[""Palm (105).jpg"", ""Bicycle (223).jpg"", ""Bicycle (638).jpg"", ""Bridge (104).jpg"", ""Bus (75).jpg"", ""Bridge (131).jpg"", ""Bicycle (671).jpg"", ""Bicycle (289).jpg"", ""Bicycle (714).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 6, 7, 8]","[""Bicycle (223).jpg"", ""Bicycle (638).jpg"", ""Bicycle (671).jpg"", ""Bicycle (289).jpg"", ""Bicycle (714).jpg""]",768,3,3,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:02:41.739,2026-04-30T14:02:53.565,11.826,4,1,Click on the images containing bicycles.,"[""Hydrant (103).jpg"", ""Hydrant (74).jpg"", ""Bicycle (427).jpg"", ""Bicycle (139).jpg"", ""Bicycle (610).jpg"", ""Bicycle (278).jpg"", ""Cross (82).jpg"", ""Palm (100).jpg"", ""Chimney (100).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 4, 5]","[""Bicycle (427).jpg"", ""Bicycle (139).jpg"", ""Bicycle (610).jpg"", ""Bicycle (278).jpg""]",764,4,4,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:02:53.571,2026-04-30T14:03:04.925,11.354,5,0,Click on the images containing bicycles.,"[""Stair (323).jpg"", ""Bus (44).jpg"", ""Chimney (83).jpg"", ""Bicycle (207).jpg"", ""Bicycle (591).jpg"", ""Bus (104).jpg"", ""Stair (700).jpg"", ""Bicycle (578).jpg"", ""Bus (124).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 7]","[""Bicycle (207).jpg"", ""Bicycle (578).jpg""]",761,5,4,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:03:06.935,2026-04-30T14:03:20.797,13.862,6,1,Click on the images containing bicycles.,"[""Tlight (15).jpg"", ""Palm (19).jpg"", ""Bicycle (528).jpg"", ""Bicycle (409).jpg"", ""Palm (61).jpg"", ""Bicycle (477).jpg"", ""Chimney (2).jpg"", ""Bridge (52).jpg"", ""Palm (59).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 5]","[""Bicycle (528).jpg"", ""Bicycle (409).jpg"", ""Bicycle (477).jpg""]",758,6,5,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:03:20.802,2026-04-30T14:03:31.621,10.819,7,1,Click on the images containing bicycles.,"[""Bicycle (527).jpg"", ""Tlight (91).jpg"", ""Stair (499).jpg"", ""Bicycle (762).jpg"", ""Bridge (95).jpg"", ""Hydrant (130).jpg"", ""Hydrant (92).jpg"", ""Palm (137).jpg"", ""Bicycle (287).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (527).jpg"", ""Bicycle (762).jpg"", ""Bicycle (287).jpg""]",755,7,6,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:03:31.626,2026-04-30T14:03:42.102,10.476,8,1,Click on the images containing bicycles.,"[""Bicycle (388).jpg"", ""Bicycle (759).jpg"", ""Chimney (117).jpg"", ""Chimney (26).jpg"", ""Car (79).jpg"", ""Chimney (99).jpg"", ""Palm (92).jpg"", ""Bicycle (396).jpg"", ""Bicycle (177).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 7, 8]","[""Bicycle (388).jpg"", ""Bicycle (759).jpg"", ""Bicycle (396).jpg"", ""Bicycle (177).jpg""]",751,8,7,10,submit,
93915b60073745b0bc6f3db0d177d998,captcha_pre,24,18,female,2026-04-30T14:03:42.108,2026-04-30T14:03:57.677,15.569,9,1,Click on the images containing bicycles.,"[""Bicycle (649).jpg"", ""Bicycle (567).jpg"", ""Bicycle (471).jpg"", ""Tlight (93).jpg"", ""Bus (135).jpg"", ""Bicycle (170).jpg"", ""Bicycle (533).jpg"", ""Hydrant (75).jpg"", ""Bus (133).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 2, 5, 6]","[""Bicycle (649).jpg"", ""Bicycle (567).jpg"", ""Bicycle (471).jpg"", ""Bicycle (170).jpg"", ""Bicycle (533).jpg""]",746,9,8,10,submit,
