exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T14:59:18.709,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T14:59:18.738,2026-04-30T15:00:04.340,45.602,1,1,Click on the images containing bicycles.,"[""Stair (1461).jpg"", ""Bicycle (245).jpg"", ""Bicycle (688).jpg"", ""Hydrant (96).jpg"", ""Bicycle (195).jpg"", ""Bicycle (43).jpg"", ""Cross (77).jpg"", ""Hydrant (78).jpg"", ""Chimney (56).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 4, 5]","[""Bicycle (245).jpg"", ""Bicycle (688).jpg"", ""Bicycle (195).jpg"", ""Bicycle (43).jpg""]",776,1,1,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:00:04.344,2026-04-30T15:00:16.059,11.715,2,1,Click on the images containing bicycles.,"[""Stair (312).jpg"", ""Bridge (128).jpg"", ""Hydrant (50).jpg"", ""Bicycle (479).jpg"", ""Car (90).jpg"", ""Palm (100).jpg"", ""Bus (22).jpg"", ""Bicycle (262).jpg"", ""Bicycle (151).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (479).jpg"", ""Bicycle (262).jpg"", ""Bicycle (151).jpg""]",773,2,2,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:00:16.064,2026-04-30T15:00:26.827,10.763,3,1,Click on the images containing bicycles.,"[""Bicycle (290).jpg"", ""Bus (126).jpg"", ""Hydrant (139).jpg"", ""Bicycle (289).jpg"", ""Tlight (20).jpg"", ""Bus (41).jpg"", ""Bicycle (600).jpg"", ""Bicycle (402).jpg"", ""Bicycle (576).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 3, 6, 7, 8]","[""Bicycle (290).jpg"", ""Bicycle (289).jpg"", ""Bicycle (600).jpg"", ""Bicycle (402).jpg"", ""Bicycle (576).jpg""]",768,3,3,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:00:26.833,2026-04-30T15:00:38.155,11.322,4,1,Click on the images containing bicycles.,"[""Bicycle (159).jpg"", ""Stair (136).jpg"", ""Stair (1353).jpg"", ""Hydrant (57).jpg"", ""Bicycle (507).jpg"", ""Chimney (104).jpg"", ""Bicycle (565).jpg"", ""Bicycle (223).jpg"", ""Cross (119).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 4, 6, 7]","[""Bicycle (159).jpg"", ""Bicycle (507).jpg"", ""Bicycle (565).jpg"", ""Bicycle (223).jpg""]",764,4,4,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:00:38.160,2026-04-30T15:00:45.075,6.915,5,1,Click on the images containing bicycles.,"[""Bicycle (232).jpg"", ""Tlight (18).jpg"", ""Cross (4).jpg"", ""Cross (60).jpg"", ""Cross (16).jpg"", ""Bicycle (665).jpg"", ""Cross (103).jpg"", ""Bicycle (59).jpg"", ""Car (115).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (232).jpg"", ""Bicycle (665).jpg"", ""Bicycle (59).jpg""]",761,5,5,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:00:45.081,2026-04-30T15:00:57.442,12.361,6,0,Click on the images containing bicycles.,"[""Bicycle (352).jpg"", ""Bicycle (542).jpg"", ""Bridge (69).jpg"", ""Cross (114).jpg"", ""Tlight (19).jpg"", ""Hydrant (75).jpg"", ""Bicycle (581).jpg"", ""Bicycle (590).jpg"", ""Chimney (91).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 3, 6, 7]","[""Bicycle (352).jpg"", ""Bicycle (542).jpg"", ""Cross (114).jpg"", ""Bicycle (581).jpg"", ""Bicycle (590).jpg""]",757,6,5,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:00:59.453,2026-04-30T15:01:07.658,8.205,7,1,Click on the images containing bicycles.,"[""Stair (792).jpg"", ""Bicycle (703).jpg"", ""Bicycle (423).jpg"", ""Bridge (97).jpg"", ""Car (140).jpg"", ""Palm (11).jpg"", ""Bicycle (8).jpg"", ""Tlight (135).jpg"", ""Bicycle (61).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 2, 6, 8]","[""Bicycle (703).jpg"", ""Bicycle (423).jpg"", ""Bicycle (8).jpg"", ""Bicycle (61).jpg""]",753,7,6,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:01:07.675,2026-04-30T15:01:17.970,10.295,8,1,Click on the images containing bicycles.,"[""Bicycle (78).jpg"", ""Bicycle (200).jpg"", ""Palm (41).jpg"", ""Bicycle (346).jpg"", ""Bicycle (401).jpg"", ""Palm (61).jpg"", ""Bicycle (375).jpg"", ""Stair (1249).jpg"", ""Chimney (61).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 3, 4, 6]","[""Bicycle (78).jpg"", ""Bicycle (200).jpg"", ""Bicycle (346).jpg"", ""Bicycle (401).jpg"", ""Bicycle (375).jpg""]",748,8,7,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:01:17.974,2026-04-30T15:01:26.251,8.277,9,1,Click on the images containing bicycles.,"[""Cross (41).jpg"", ""Bus (77).jpg"", ""Stair (1391).jpg"", ""Bicycle (280).jpg"", ""Stair (749).jpg"", ""Bicycle (9).jpg"", ""Car (85).jpg"", ""Bus (46).jpg"", ""Bicycle (593).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (280).jpg"", ""Bicycle (9).jpg"", ""Bicycle (593).jpg""]",745,9,8,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:01:26.258,2026-04-30T15:01:33.562,7.304,10,0,Click on the images containing bicycles.,"[""Stair (1098).jpg"", ""Bicycle (587).jpg"", ""Cross (22).jpg"", ""Bicycle (606).jpg"", ""Tlight (130).jpg"", ""Bicycle (704).jpg"", ""Bicycle (81).jpg"", ""Bicycle (440).jpg"", ""Bridge (42).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 3, 6, 7]","[""Bicycle (587).jpg"", ""Bicycle (606).jpg"", ""Bicycle (81).jpg"", ""Bicycle (440).jpg""]",740,10,8,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:01:35.577,2026-04-30T15:01:42.763,7.186,11,1,Click on the images containing bicycles.,"[""Bicycle (644).jpg"", ""Bicycle (253).jpg"", ""Cross (104).jpg"", ""Bridge (40).jpg"", ""Cross (81).jpg"", ""Cross (93).jpg"", ""Car (51).jpg"", ""Bicycle (50).jpg"", ""Bicycle (16).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 7, 8]","[""Bicycle (644).jpg"", ""Bicycle (253).jpg"", ""Bicycle (50).jpg"", ""Bicycle (16).jpg""]",736,11,9,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:01:42.768,2026-04-30T15:01:51.828,9.06,12,1,Click on the images containing bicycles.,"[""Bus (57).jpg"", ""Bicycle (641).jpg"", ""Bicycle (714).jpg"", ""Bicycle (326).jpg"", ""Bridge (34).jpg"", ""Car (96).jpg"", ""Palm (47).jpg"", ""Bicycle (349).jpg"", ""Bicycle (22).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 3, 7, 8]","[""Bicycle (641).jpg"", ""Bicycle (714).jpg"", ""Bicycle (326).jpg"", ""Bicycle (349).jpg"", ""Bicycle (22).jpg""]",731,12,10,10,submit,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_pre,25,18,male,2026-04-30T15:01:42.768,2026-04-30T15:01:55.555,12.787,12,,Click on the images containing bicycles.,[],[],[],[],731,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
9f2a4e88194e4080ad8aad6a59b6a1d1,q_pre_captcha,25,18,male,2026-04-30T15:01:55.564,2026-04-30T15:02:40.177,44.613,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""3"", ""captcha_task_fun"": ""3"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_enjoyment"": ""3"", ""captcha_task_difficulty"": ""4""}"
9f2a4e88194e4080ad8aad6a59b6a1d1,q_pre_idaq,25,18,male,2026-04-30T15:02:40.189,2026-04-30T15:05:35.540,175.351,,,,,,,,,,,,submit,"{""idaq_22"": ""5"", ""idaq_21"": ""5"", ""idaq_11"": ""4"", ""idaq_5"": ""5"", ""idaq_14"": ""4"", ""idaq_18"": ""6"", ""idaq_4"": ""6"", ""idaq_30"": ""5"", ""idaq_20"": ""6"", ""idaq_16"": ""6"", ""idaq_10"": ""5"", ""idaq_8"": ""5"", ""idaq_13"": ""5"", ""idaq_3"": ""6"", ""idaq_1"": ""5"", ""idaq_7"": ""4"", ""idaq_15"": ""4"", ""idaq_2"": ""5"", ""idaq_25"": ""6"", ""idaq_9"": ""3"", ""idaq_26"": ""3"", ""idaq_28"": ""6"", ""idaq_29"": ""9"", ""idaq_27"": ""5"", ""idaq_23"": ""5"", ""idaq_12"": ""8"", ""idaq_6"": ""9"", ""idaq_17"": ""5"", ""idaq_19"": ""7"", ""idaq_24"": ""5""}"
9f2a4e88194e4080ad8aad6a59b6a1d1,q_pre_2050,25,18,male,2026-04-30T15:05:35.552,2026-04-30T15:07:56.901,141.349,,,,,,,,,,,,submit,"{""2050_school"": ""4"", ""2050_hiking"": ""4"", ""2050_nursing_home"": ""5"", ""2050_sports"": ""4"", ""2050_neurosurgery"": ""4"", ""2050_experiments"": ""5"", ""2050_mannequins"": ""4"", ""2050_police"": ""3"", ""2050_other_worlds"": ""4"", ""2050_rubbish_collectors"": ""5"", ""2050_flight_attendants"": ""4"", ""2050_shelters"": ""1"", ""2050_art"": ""5"", ""2050_rights"": ""1"", ""2050_crime"": ""2""}"
9f2a4e88194e4080ad8aad6a59b6a1d1,q_post_gators,25,18,male,2026-04-30T15:21:27.512,2026-04-30T15:24:12.385,164.873,,,,,,,,,,,,submit,"{""gators_6"": ""1"", ""gators_7"": ""3"", ""gators_13"": ""4"", ""gators_17"": ""6"", ""gators_1"": ""4"", ""gators_19"": ""4"", ""gators_2"": ""5"", ""gators_12"": ""5"", ""gators_8"": ""1"", ""gators_14"": ""1"", ""gators_15"": ""4"", ""gators_18"": ""4"", ""gators_3"": ""4"", ""gators_9"": ""1"", ""gators_5"": ""5"", ""gators_4"": ""5"", ""gators_20"": ""5"", ""gators_11"": ""5"", ""gators_10"": ""5"", ""gators_16"": ""5""}"
9f2a4e88194e4080ad8aad6a59b6a1d1,q_post_specific,25,18,male,2026-04-30T15:24:12.394,2026-04-30T15:24:47.519,35.125,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""5"", ""robot_likeability"": ""6"", ""mentacy_belief"": ""1"", ""belief_confidence"": ""5"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""6""}"
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_post,25,18,male,2026-04-30T15:24:47.565,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
9f2a4e88194e4080ad8aad6a59b6a1d1,captcha_post,25,18,male,2026-04-30T15:24:47.582,2026-04-30T15:25:04.135,16.553,1,1,Click on the images containing bicycles.,"[""Stair (1149).jpg"", ""Bicycle (192).jpg"", ""Chimney (27).jpg"", ""Chimney (26).jpg"", ""Tlight (132).jpg"", ""Cross (58).jpg"", ""Bicycle (719).jpg"", ""Bicycle (103).jpg"", ""Bridge (103).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (192).jpg"", ""Bicycle (719).jpg"", ""Bicycle (103).jpg""]",777,1,1,1000,submit,
