exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:55:31.481,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:55:31.519,2026-05-05T07:56:05.763,34.244,1,1,Click on the images containing bicycles.,"[""Bicycle (92).jpg"", ""Chimney (104).jpg"", ""Tlight (51).jpg"", ""Bicycle (355).jpg"", ""Bicycle (469).jpg"", ""Tlight (43).jpg"", ""Hydrant (29).jpg"", ""Bicycle (528).jpg"", ""Bicycle (103).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (92).jpg"", ""Bicycle (355).jpg"", ""Bicycle (469).jpg"", ""Bicycle (528).jpg"", ""Bicycle (103).jpg""]",775,1,1,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:56:05.769,2026-05-05T07:56:17.219,11.45,2,1,Click on the images containing bicycles.,"[""Hydrant (77).jpg"", ""Bus (69).jpg"", ""Chimney (56).jpg"", ""Bicycle (458).jpg"", ""Bicycle (436).jpg"", ""Bicycle (402).jpg"", ""Hydrant (49).jpg"", ""Car (89).jpg"", ""Car (91).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[3, 4, 5]","[""Bicycle (458).jpg"", ""Bicycle (436).jpg"", ""Bicycle (402).jpg""]",772,2,2,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:56:17.224,2026-05-05T07:56:25.267,8.043,3,1,Click on the images containing bicycles.,"[""Bicycle (392).jpg"", ""Car (71).jpg"", ""Bus (135).jpg"", ""Palm (97).jpg"", ""Bicycle (625).jpg"", ""Bicycle (249).jpg"", ""Car (54).jpg"", ""Cross (93).jpg"", ""Bridge (46).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 4, 5]","[""Bicycle (392).jpg"", ""Bicycle (625).jpg"", ""Bicycle (249).jpg""]",769,3,3,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:56:25.271,2026-05-05T07:56:33.586,8.315,4,1,Click on the images containing bicycles.,"[""Bicycle (472).jpg"", ""Cross (63).jpg"", ""Stair (1368).jpg"", ""Bicycle (456).jpg"", ""Cross (50).jpg"", ""Bicycle (715).jpg"", ""Bridge (84).jpg"", ""Cross (78).jpg"", ""Bicycle (507).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 5, 8]","[""Bicycle (472).jpg"", ""Bicycle (456).jpg"", ""Bicycle (715).jpg"", ""Bicycle (507).jpg""]",765,4,4,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:56:33.591,2026-05-05T07:56:42.619,9.028,5,1,Click on the images containing bicycles.,"[""Bicycle (368).jpg"", ""Bicycle (40).jpg"", ""Bicycle (644).jpg"", ""Bicycle (102).jpg"", ""Bicycle (210).jpg"", ""Bridge (114).jpg"", ""Palm (105).jpg"", ""Stair (861).jpg"", ""Chimney (114).jpg""]","[""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3, 4]","[""Bicycle (368).jpg"", ""Bicycle (40).jpg"", ""Bicycle (644).jpg"", ""Bicycle (102).jpg"", ""Bicycle (210).jpg""]",760,5,5,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:56:42.624,2026-05-05T07:56:50.682,8.058,6,1,Click on the images containing bicycles.,"[""Hydrant (70).jpg"", ""Car (41).jpg"", ""Tlight (61).jpg"", ""Bicycle (591).jpg"", ""Bicycle (445).jpg"", ""Bicycle (446).jpg"", ""Palm (86).jpg"", ""Tlight (3).jpg"", ""Bus (108).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[3, 4, 5]","[""Bicycle (591).jpg"", ""Bicycle (445).jpg"", ""Bicycle (446).jpg""]",757,6,6,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:56:50.688,2026-05-05T07:56:59.147,8.459,7,0,Click on the images containing bicycles.,"[""Bicycle (553).jpg"", ""Bicycle (577).jpg"", ""Tlight (4).jpg"", ""Hydrant (89).jpg"", ""Bicycle (179).jpg"", ""Car (111).jpg"", ""Bridge (121).jpg"", ""Stair (383).jpg"", ""Bicycle (504).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 4, 7, 8]","[""Bicycle (553).jpg"", ""Bicycle (577).jpg"", ""Bicycle (179).jpg"", ""Stair (383).jpg"", ""Bicycle (504).jpg""]",753,7,6,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:57:01.162,2026-05-05T07:57:11.621,10.459,8,1,Click on the images containing bicycles.,"[""Chimney (126).jpg"", ""Bicycle (484).jpg"", ""Cross (25).jpg"", ""Bicycle (708).jpg"", ""Bicycle (238).jpg"", ""Palm (78).jpg"", ""Hydrant (30).jpg"", ""Bicycle (218).jpg"", ""Bicycle (61).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 3, 4, 7, 8]","[""Bicycle (484).jpg"", ""Bicycle (708).jpg"", ""Bicycle (238).jpg"", ""Bicycle (218).jpg"", ""Bicycle (61).jpg""]",748,8,7,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:57:11.626,2026-05-05T07:57:20.170,8.544,9,1,Click on the images containing bicycles.,"[""Bus (70).jpg"", ""Hydrant (58).jpg"", ""Bicycle (636).jpg"", ""Bicycle (502).jpg"", ""Stair (435).jpg"", ""Bicycle (666).jpg"", ""Bicycle (59).jpg"", ""Tlight (120).jpg"", ""Tlight (9).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[2, 3, 5, 6]","[""Bicycle (636).jpg"", ""Bicycle (502).jpg"", ""Bicycle (666).jpg"", ""Bicycle (59).jpg""]",744,9,8,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:57:20.175,2026-05-05T07:57:25.907,5.732,10,0,Click on the images containing bicycles.,"[""Hydrant (104).jpg"", ""Bus (60).jpg"", ""Hydrant (25).jpg"", ""Bicycle (735).jpg"", ""Bicycle (414).jpg"", ""Bicycle (337).jpg"", ""Car (100).jpg"", ""Bicycle (387).jpg"", ""Chimney (97).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (414).jpg"", ""Bicycle (337).jpg"", ""Bicycle (387).jpg""]",740,10,8,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:57:27.915,2026-05-05T07:57:34.123,6.208,11,1,Click on the images containing bicycles.,"[""Stair (1240).jpg"", ""Chimney (76).jpg"", ""Bicycle (15).jpg"", ""Car (114).jpg"", ""Bicycle (389).jpg"", ""Chimney (5).jpg"", ""Cross (33).jpg"", ""Bicycle (181).jpg"", ""Car (22).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4, 7]","[""Bicycle (15).jpg"", ""Bicycle (389).jpg"", ""Bicycle (181).jpg""]",737,11,9,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:57:34.128,2026-05-05T07:57:40.371,6.243,12,1,Click on the images containing bicycles.,"[""Hydrant (128).jpg"", ""Bicycle (406).jpg"", ""Tlight (128).jpg"", ""Bicycle (254).jpg"", ""Bridge (101).jpg"", ""Cross (95).jpg"", ""Bridge (25).jpg"", ""Bridge (93).jpg"", ""Bicycle (532).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 8]","[""Bicycle (406).jpg"", ""Bicycle (254).jpg"", ""Bicycle (532).jpg""]",734,12,10,10,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_pre,26,18,female,2026-05-05T07:57:34.128,2026-05-05T07:57:42.687,8.559,12,,Click on the images containing bicycles.,[],[],[],[],734,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
8b081f52ad9343fbbda7ef81e6dd3a04,q_pre_captcha,26,18,female,2026-05-05T07:57:42.695,2026-05-05T07:58:12.699,30.004,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""5"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""3"", ""general_captcha_liking"": ""2"", ""captcha_task_meaningfulness"": ""2""}"
8b081f52ad9343fbbda7ef81e6dd3a04,q_pre_idaq,26,18,female,2026-05-05T07:58:12.710,2026-05-05T08:00:51.828,159.118,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_17"": ""6"", ""idaq_8"": ""6"", ""idaq_20"": ""9"", ""idaq_14"": ""7"", ""idaq_21"": ""8"", ""idaq_6"": ""9"", ""idaq_27"": ""8"", ""idaq_28"": ""6"", ""idaq_16"": ""10"", ""idaq_3"": ""10"", ""idaq_19"": ""10"", ""idaq_26"": ""9"", ""idaq_12"": ""8"", ""idaq_23"": ""2"", ""idaq_10"": ""2"", ""idaq_13"": ""3"", ""idaq_25"": ""7"", ""idaq_4"": ""7"", ""idaq_18"": ""4"", ""idaq_7"": ""5"", ""idaq_9"": ""1"", ""idaq_30"": ""8"", ""idaq_22"": ""9"", ""idaq_1"": ""3"", ""idaq_5"": ""4"", ""idaq_29"": ""9"", ""idaq_2"": ""2"", ""idaq_15"": ""3"", ""idaq_24"": ""9""}"
8b081f52ad9343fbbda7ef81e6dd3a04,q_pre_2050,26,18,female,2026-05-05T08:00:51.839,2026-05-05T08:02:54.333,122.494,,,,,,,,,,,,submit,"{""2050_neurosurgery"": ""8"", ""2050_art"": ""7"", ""2050_flight_attendants"": ""6"", ""2050_shelters"": ""2"", ""2050_rubbish_collectors"": ""8"", ""2050_hiking"": ""7"", ""2050_sports"": ""2"", ""2050_police"": ""2"", ""2050_mannequins"": ""4"", ""2050_other_worlds"": ""6"", ""2050_rights"": ""6"", ""2050_crime"": ""7"", ""2050_experiments"": ""4"", ""2050_nursing_home"": ""2"", ""2050_school"": ""3""}"
8b081f52ad9343fbbda7ef81e6dd3a04,q_post_gators,26,18,female,2026-05-05T08:16:02.046,2026-05-05T08:18:07.754,125.708,,,,,,,,,,,,submit,"{""gators_2"": ""7"", ""gators_10"": ""4"", ""gators_7"": ""2"", ""gators_8"": ""1"", ""gators_18"": ""3"", ""gators_3"": ""4"", ""gators_4"": ""5"", ""gators_5"": ""5"", ""gators_16"": ""2"", ""gators_9"": ""1"", ""gators_11"": ""6"", ""gators_13"": ""6"", ""gators_20"": ""7"", ""gators_17"": ""5"", ""gators_15"": ""5"", ""gators_12"": ""6"", ""gators_19"": ""6"", ""gators_1"": ""3"", ""gators_14"": ""5"", ""gators_6"": ""2""}"
8b081f52ad9343fbbda7ef81e6dd3a04,q_post_specific,26,18,female,2026-05-05T08:18:07.767,2026-05-05T08:18:26.647,18.88,,,,,,,,,,,,submit,"{""robot_empathy"": ""5"", ""robot_likeability"": ""7"", ""conversation_interestingness"": ""7"", ""robot_friendliness"": ""7"", ""mentacy_belief"": ""1"", ""belief_confidence"": ""6""}"
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:18:26.683,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:18:26.700,2026-05-05T08:18:36.987,10.287,1,1,Click on the images containing bicycles.,"[""Bicycle (685).jpg"", ""Palm (14).jpg"", ""Stair (408).jpg"", ""Bicycle (287).jpg"", ""Bicycle (371).jpg"", ""Car (84).jpg"", ""Bus (112).jpg"", ""Bicycle (743).jpg"", ""Bicycle (83).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (685).jpg"", ""Bicycle (287).jpg"", ""Bicycle (371).jpg"", ""Bicycle (743).jpg"", ""Bicycle (83).jpg""]",775,1,1,1000,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:18:36.994,2026-05-05T08:18:44.098,7.104,2,1,Click on the images containing bicycles.,"[""Car (61).jpg"", ""Bicycle (67).jpg"", ""Palm (128).jpg"", ""Bicycle (433).jpg"", ""Palm (135).jpg"", ""Bus (82).jpg"", ""Tlight (134).jpg"", ""Bicycle (1).jpg"", ""Car (135).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (67).jpg"", ""Bicycle (433).jpg"", ""Bicycle (1).jpg""]",772,2,2,1000,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:18:44.103,2026-05-05T08:18:51.211,7.108,3,1,Click on the images containing bicycles.,"[""Tlight (94).jpg"", ""Palm (79).jpg"", ""Bicycle (660).jpg"", ""Bicycle (353).jpg"", ""Chimney (4).jpg"", ""Bicycle (322).jpg"", ""Bus (129).jpg"", ""Cross (117).jpg"", ""Chimney (11).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 5]","[""Bicycle (660).jpg"", ""Bicycle (353).jpg"", ""Bicycle (322).jpg""]",769,3,3,1000,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:18:51.216,2026-05-05T08:18:59.681,8.465,4,0,Click on the images containing bicycles.,"[""Bus (40).jpg"", ""Cross (116).jpg"", ""Bridge (117).jpg"", ""Bicycle (415).jpg"", ""Car (105).jpg"", ""Car (136).jpg"", ""Bicycle (308).jpg"", ""Bicycle (109).jpg"", ""Palm (137).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 3, 6, 7]","[""Cross (116).jpg"", ""Bicycle (415).jpg"", ""Bicycle (308).jpg"", ""Bicycle (109).jpg""]",766,4,3,1000,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:19:01.690,2026-05-05T08:19:08.786,7.096,5,1,Click on the images containing bicycles.,"[""Bicycle (265).jpg"", ""Car (74).jpg"", ""Cross (120).jpg"", ""Bus (110).jpg"", ""Bicycle (246).jpg"", ""Chimney (118).jpg"", ""Bicycle (85).jpg"", ""Cross (48).jpg"", ""Cross (17).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (265).jpg"", ""Bicycle (246).jpg"", ""Bicycle (85).jpg""]",763,5,4,1000,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:19:08.792,2026-05-05T08:19:15.155,6.363,6,1,Click on the images containing bicycles.,"[""Bus (104).jpg"", ""Palm (115).jpg"", ""Bicycle (382).jpg"", ""Bus (88).jpg"", ""Bicycle (249).jpg"", ""Bicycle (10).jpg"", ""Cross (58).jpg"", ""Bicycle (514).jpg"", ""Bus (33).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 4, 5, 7]","[""Bicycle (382).jpg"", ""Bicycle (249).jpg"", ""Bicycle (10).jpg"", ""Bicycle (514).jpg""]",759,6,5,1000,submit,
8b081f52ad9343fbbda7ef81e6dd3a04,captcha_post,26,18,female,2026-05-05T08:19:15.161,2026-05-05T08:19:22.235,7.074,7,1,Click on the images containing bicycles.,"[""Bicycle (402).jpg"", ""Tlight (20).jpg"", ""Bridge (125).jpg"", ""Bicycle (76).jpg"", ""Bicycle (682).jpg"", ""Chimney (69).jpg"", ""Car (120).jpg"", ""Bicycle (156).jpg"", ""Bus (97).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 3, 4, 7]","[""Bicycle (402).jpg"", ""Bicycle (76).jpg"", ""Bicycle (682).jpg"", ""Bicycle (156).jpg""]",755,7,6,1000,submit,
