exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:03:43.182,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:03:43.214,2026-05-05T09:04:15.812,32.598,1,1,Click on the images containing bicycles.,"[""Bridge (21).jpg"", ""Bicycle (708).jpg"", ""Chimney (118).jpg"", ""Cross (114).jpg"", ""Bicycle (101).jpg"", ""Cross (87).jpg"", ""Stair (974).jpg"", ""Bicycle (169).jpg"", ""Car (87).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 4, 7]","[""Bicycle (708).jpg"", ""Bicycle (101).jpg"", ""Bicycle (169).jpg""]",777,1,1,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:04:15.816,2026-05-05T09:04:25.540,9.724,2,1,Click on the images containing bicycles.,"[""Palm (119).jpg"", ""Chimney (23).jpg"", ""Car (88).jpg"", ""Bicycle (558).jpg"", ""Tlight (16).jpg"", ""Cross (34).jpg"", ""Bicycle (674).jpg"", ""Bicycle (751).jpg"", ""Car (56).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (558).jpg"", ""Bicycle (674).jpg"", ""Bicycle (751).jpg""]",774,2,2,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:04:25.546,2026-05-05T09:04:35.883,10.337,3,1,Click on the images containing bicycles.,"[""Bicycle (458).jpg"", ""Hydrant (27).jpg"", ""Stair (1416).jpg"", ""Chimney (37).jpg"", ""Bicycle (779).jpg"", ""Bicycle (90).jpg"", ""Stair (1388).jpg"", ""Bicycle (146).jpg"", ""Tlight (74).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (458).jpg"", ""Bicycle (779).jpg"", ""Bicycle (90).jpg"", ""Bicycle (146).jpg""]",770,3,3,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:04:35.901,2026-05-05T09:04:44.348,8.447,4,0,Click on the images containing bicycles.,"[""Cross (105).jpg"", ""Stair (48).jpg"", ""Bicycle (523).jpg"", ""Stair (14).jpg"", ""Bicycle (443).jpg"", ""Car (105).jpg"", ""Bicycle (370).jpg"", ""Tlight (118).jpg"", ""Bicycle (461).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[4, 6, 8]","[""Bicycle (443).jpg"", ""Bicycle (370).jpg"", ""Bicycle (461).jpg""]",766,4,3,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:04:46.358,2026-05-05T09:05:00.036,13.678,5,1,Click on the images containing bicycles.,"[""Stair (1227).jpg"", ""Palm (72).jpg"", ""Hydrant (37).jpg"", ""Car (70).jpg"", ""Tlight (53).jpg"", ""Car (40).jpg"", ""Bicycle (150).jpg"", ""Bicycle (23).jpg"", ""Bicycle (591).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7, 8]","[""Bicycle (150).jpg"", ""Bicycle (23).jpg"", ""Bicycle (591).jpg""]",763,5,4,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:05:00.050,2026-05-05T09:05:05.149,5.099,6,1,Click on the images containing bicycles.,"[""Bicycle (619).jpg"", ""Bicycle (669).jpg"", ""Bridge (108).jpg"", ""Chimney (99).jpg"", ""Hydrant (95).jpg"", ""Bicycle (668).jpg"", ""Stair (889).jpg"", ""Cross (8).jpg"", ""Bus (112).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (619).jpg"", ""Bicycle (669).jpg"", ""Bicycle (668).jpg""]",760,6,5,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:05:05.153,2026-05-05T09:05:11.188,6.035,7,0,Click on the images containing bicycles.,"[""Bicycle (272).jpg"", ""Bicycle (524).jpg"", ""Bus (125).jpg"", ""Tlight (140).jpg"", ""Bridge (83).jpg"", ""Chimney (31).jpg"", ""Hydrant (93).jpg"", ""Chimney (71).jpg"", ""Bicycle (235).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 8]","[""Bicycle (524).jpg"", ""Bicycle (235).jpg""]",757,7,5,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:05:13.197,2026-05-05T09:05:24.934,11.737,8,0,Click on the images containing bicycles.,"[""Bicycle (537).jpg"", ""Bicycle (561).jpg"", ""Bicycle (1).jpg"", ""Bridge (65).jpg"", ""Bridge (123).jpg"", ""Bicycle (529).jpg"", ""Bicycle (606).jpg"", ""Car (94).jpg"", ""Stair (1464).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5]","[""Bicycle (537).jpg"", ""Bicycle (1).jpg"", ""Bicycle (529).jpg""]",752,8,5,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:05:26.944,2026-05-05T09:05:38.795,11.851,9,1,Click on the images containing bicycles.,"[""Hydrant (29).jpg"", ""Bridge (52).jpg"", ""Bicycle (503).jpg"", ""Bicycle (93).jpg"", ""Bicycle (753).jpg"", ""Tlight (64).jpg"", ""Palm (66).jpg"", ""Chimney (26).jpg"", ""Bicycle (144).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 4, 8]","[""Bicycle (503).jpg"", ""Bicycle (93).jpg"", ""Bicycle (753).jpg"", ""Bicycle (144).jpg""]",748,9,6,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:05:38.802,2026-05-05T09:05:49.829,11.027,10,1,Click on the images containing bicycles.,"[""Chimney (64).jpg"", ""Hydrant (70).jpg"", ""Bridge (113).jpg"", ""Bicycle (411).jpg"", ""Bicycle (14).jpg"", ""Tlight (125).jpg"", ""Bicycle (650).jpg"", ""Bicycle (366).jpg"", ""Stair (1224).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[3, 4, 6, 7]","[""Bicycle (411).jpg"", ""Bicycle (14).jpg"", ""Bicycle (650).jpg"", ""Bicycle (366).jpg""]",744,10,7,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:05:49.834,2026-05-05T09:06:07.092,17.258,11,0,Click on the images containing bicycles.,"[""Hydrant (39).jpg"", ""Bicycle (347).jpg"", ""Bicycle (667).jpg"", ""Bridge (125).jpg"", ""Bicycle (632).jpg"", ""Bicycle (469).jpg"", ""Palm (84).jpg"", ""Tlight (93).jpg"", ""Bicycle (324).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 5, 8]","[""Bicycle (347).jpg"", ""Bicycle (667).jpg"", ""Bicycle (469).jpg"", ""Bicycle (324).jpg""]",739,11,7,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:06:09.102,2026-05-05T09:06:24.444,15.342,12,1,Click on the images containing bicycles.,"[""Bicycle (121).jpg"", ""Car (122).jpg"", ""Cross (5).jpg"", ""Bicycle (352).jpg"", ""Stair (594).jpg"", ""Bicycle (423).jpg"", ""Bicycle (628).jpg"", ""Chimney (100).jpg"", ""Tlight (72).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 3, 5, 6]","[""Bicycle (121).jpg"", ""Bicycle (352).jpg"", ""Bicycle (423).jpg"", ""Bicycle (628).jpg""]",735,12,8,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:06:24.450,2026-05-05T09:06:30.276,5.826,13,1,Click on the images containing bicycles.,"[""Bicycle (696).jpg"", ""Car (21).jpg"", ""Chimney (81).jpg"", ""Stair (1191).jpg"", ""Bicycle (744).jpg"", ""Bus (53).jpg"", ""Tlight (90).jpg"", ""Bicycle (329).jpg"", ""Cross (93).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 4, 7]","[""Bicycle (696).jpg"", ""Bicycle (744).jpg"", ""Bicycle (329).jpg""]",732,13,9,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:06:30.284,2026-05-05T09:06:37.196,6.912,14,1,Click on the images containing bicycles.,"[""Palm (17).jpg"", ""Bus (83).jpg"", ""Palm (123).jpg"", ""Palm (78).jpg"", ""Bicycle (673).jpg"", ""Chimney (59).jpg"", ""Bicycle (163).jpg"", ""Bicycle (153).jpg"", ""Car (84).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (673).jpg"", ""Bicycle (163).jpg"", ""Bicycle (153).jpg""]",729,14,10,10,submit,
9cdcc1da3e10496c9a623f7b5284a5ba,captcha_pre,27,18,female,2026-05-05T09:06:30.284,2026-05-05T09:06:44.094,13.81,14,,Click on the images containing bicycles.,[],[],[],[],729,14,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
9cdcc1da3e10496c9a623f7b5284a5ba,q_pre_captcha,27,18,female,2026-05-05T09:06:44.103,2026-05-05T09:07:09.588,25.485,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""6"", ""captcha_task_fun"": ""5"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""6""}"
