exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:03:50.862,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:03:50.891,2026-05-05T10:04:32.515,41.624,1,1,Click on the images containing bicycles.,"[""Palm (19).jpg"", ""Bicycle (319).jpg"", ""Bicycle (169).jpg"", ""Bicycle (130).jpg"", ""Bus (30).jpg"", ""Bridge (38).jpg"", ""Bus (39).jpg"", ""Bicycle (523).jpg"", ""Bicycle (687).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 3, 7, 8]","[""Bicycle (319).jpg"", ""Bicycle (169).jpg"", ""Bicycle (130).jpg"", ""Bicycle (523).jpg"", ""Bicycle (687).jpg""]",775,1,1,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:04:32.521,2026-05-05T10:04:46.818,14.297,2,1,Click on the images containing bicycles.,"[""Bicycle (158).jpg"", ""Bicycle (393).jpg"", ""Hydrant (39).jpg"", ""Bicycle (146).jpg"", ""Hydrant (64).jpg"", ""Hydrant (138).jpg"", ""Cross (88).jpg"", ""Car (96).jpg"", ""Bicycle (673).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 8]","[""Bicycle (158).jpg"", ""Bicycle (393).jpg"", ""Bicycle (146).jpg"", ""Bicycle (673).jpg""]",771,2,2,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:04:46.823,2026-05-05T10:05:06.802,19.979,3,1,Click on the images containing bicycles.,"[""Palm (100).jpg"", ""Bicycle (773).jpg"", ""Bicycle (402).jpg"", ""Bicycle (423).jpg"", ""Bicycle (474).jpg"", ""Palm (48).jpg"", ""Stair (1191).jpg"", ""Stair (951).jpg"", ""Cross (33).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3, 4]","[""Bicycle (773).jpg"", ""Bicycle (402).jpg"", ""Bicycle (423).jpg"", ""Bicycle (474).jpg""]",767,3,3,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:05:06.807,2026-05-05T10:05:23.321,16.514,4,1,Click on the images containing bicycles.,"[""Hydrant (79).jpg"", ""Bicycle (175).jpg"", ""Chimney (28).jpg"", ""Bicycle (311).jpg"", ""Bicycle (446).jpg"", ""Car (23).jpg"", ""Bicycle (53).jpg"", ""Bicycle (372).jpg"", ""Hydrant (73).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 3, 4, 6, 7]","[""Bicycle (175).jpg"", ""Bicycle (311).jpg"", ""Bicycle (446).jpg"", ""Bicycle (53).jpg"", ""Bicycle (372).jpg""]",762,4,4,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:05:23.326,2026-05-05T10:05:38.778,15.452,5,1,Click on the images containing bicycles.,"[""Bicycle (541).jpg"", ""Bicycle (355).jpg"", ""Bicycle (739).jpg"", ""Cross (56).jpg"", ""Bicycle (466).jpg"", ""Hydrant (75).jpg"", ""Cross (47).jpg"", ""Tlight (68).jpg"", ""Stair (48).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 4]","[""Bicycle (541).jpg"", ""Bicycle (355).jpg"", ""Bicycle (739).jpg"", ""Bicycle (466).jpg""]",758,5,5,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:05:38.783,2026-05-05T10:05:56.770,17.987,6,1,Click on the images containing bicycles.,"[""Chimney (87).jpg"", ""Chimney (123).jpg"", ""Bicycle (380).jpg"", ""Bicycle (88).jpg"", ""Car (52).jpg"", ""Bicycle (151).jpg"", ""Tlight (135).jpg"", ""Bicycle (194).jpg"", ""Bicycle (667).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[2, 3, 5, 7, 8]","[""Bicycle (380).jpg"", ""Bicycle (88).jpg"", ""Bicycle (151).jpg"", ""Bicycle (194).jpg"", ""Bicycle (667).jpg""]",753,6,6,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:05:56.776,2026-05-05T10:06:20.233,23.457,7,1,Click on the images containing bicycles.,"[""Bicycle (315).jpg"", ""Bridge (69).jpg"", ""Bus (58).jpg"", ""Bicycle (156).jpg"", ""Bicycle (546).jpg"", ""Car (135).jpg"", ""Bicycle (752).jpg"", ""Car (68).jpg"", ""Bicycle (762).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 4, 6, 8]","[""Bicycle (315).jpg"", ""Bicycle (156).jpg"", ""Bicycle (546).jpg"", ""Bicycle (752).jpg"", ""Bicycle (762).jpg""]",748,7,7,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:06:20.239,2026-05-05T10:06:34.034,13.795,8,1,Click on the images containing bicycles.,"[""Car (74).jpg"", ""Cross (17).jpg"", ""Bicycle (472).jpg"", ""Car (76).jpg"", ""Bicycle (381).jpg"", ""Palm (47).jpg"", ""Bicycle (728).jpg"", ""Chimney (17).jpg"", ""Bicycle (124).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 4, 6, 8]","[""Bicycle (472).jpg"", ""Bicycle (381).jpg"", ""Bicycle (728).jpg"", ""Bicycle (124).jpg""]",744,8,8,10,submit,
6bba52ff679e449391b18a4f3cb3378a,captcha_pre,28,23,male,2026-05-05T10:06:34.038,2026-05-05T10:06:53.332,19.294,9,0,Click on the images containing bicycles.,"[""Bus (71).jpg"", ""Tlight (15).jpg"", ""Palm (56).jpg"", ""Hydrant (137).jpg"", ""Bicycle (525).jpg"", ""Bicycle (622).jpg"", ""Tlight (133).jpg"", ""Bicycle (744).jpg"", ""Bicycle (296).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 6, 7, 8]","[""Bicycle (525).jpg"", ""Bicycle (622).jpg"", ""Tlight (133).jpg"", ""Bicycle (744).jpg"", ""Bicycle (296).jpg""]",740,9,8,10,submit,
