exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:57:51.177,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:57:51.211,2026-05-05T10:58:34.647,43.436,1,1,Click on the images containing bicycles.,"[""Palm (134).jpg"", ""Bicycle (512).jpg"", ""Bus (100).jpg"", ""Bicycle (605).jpg"", ""Bus (125).jpg"", ""Palm (94).jpg"", ""Bicycle (463).jpg"", ""Bridge (123).jpg"", ""Cross (33).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (512).jpg"", ""Bicycle (605).jpg"", ""Bicycle (463).jpg""]",777,1,1,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:58:34.651,2026-05-05T10:58:45.694,11.043,2,1,Click on the images containing bicycles.,"[""Tlight (54).jpg"", ""Bicycle (382).jpg"", ""Hydrant (133).jpg"", ""Car (52).jpg"", ""Tlight (109).jpg"", ""Bicycle (383).jpg"", ""Bicycle (490).jpg"", ""Bridge (82).jpg"", ""Stair (792).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5, 6]","[""Bicycle (382).jpg"", ""Bicycle (383).jpg"", ""Bicycle (490).jpg""]",774,2,2,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:58:45.699,2026-05-05T10:58:56.661,10.962,3,1,Click on the images containing bicycles.,"[""Hydrant (125).jpg"", ""Stair (398).jpg"", ""Bicycle (630).jpg"", ""Bicycle (653).jpg"", ""Bicycle (366).jpg"", ""Bridge (77).jpg"", ""Bicycle (7).jpg"", ""Chimney (97).jpg"", ""Bicycle (153).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 4, 6, 8]","[""Bicycle (630).jpg"", ""Bicycle (653).jpg"", ""Bicycle (366).jpg"", ""Bicycle (7).jpg"", ""Bicycle (153).jpg""]",769,3,3,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:58:56.677,2026-05-05T10:59:05.590,8.913,4,0,Click on the images containing bicycles.,"[""Car (46).jpg"", ""Chimney (71).jpg"", ""Bridge (130).jpg"", ""Bicycle (259).jpg"", ""Bicycle (638).jpg"", ""Bicycle (199).jpg"", ""Bridge (43).jpg"", ""Bicycle (504).jpg"", ""Bicycle (452).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (638).jpg"", ""Bicycle (504).jpg"", ""Bicycle (452).jpg""]",764,4,3,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:59:07.600,2026-05-05T10:59:18.254,10.654,5,1,Click on the images containing bicycles.,"[""Bicycle (190).jpg"", ""Bicycle (624).jpg"", ""Bus (21).jpg"", ""Bicycle (421).jpg"", ""Bus (79).jpg"", ""Bicycle (657).jpg"", ""Chimney (88).jpg"", ""Stair (109).jpg"", ""Bus (67).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 3, 5]","[""Bicycle (190).jpg"", ""Bicycle (624).jpg"", ""Bicycle (421).jpg"", ""Bicycle (657).jpg""]",760,5,4,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:59:18.258,2026-05-05T10:59:30.926,12.668,6,1,Click on the images containing bicycles.,"[""Bicycle (288).jpg"", ""Bridge (111).jpg"", ""Bicycle (642).jpg"", ""Hydrant (59).jpg"", ""Stair (912).jpg"", ""Bicycle (357).jpg"", ""Cross (111).jpg"", ""Bicycle (727).jpg"", ""Stair (1465).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 5, 7]","[""Bicycle (288).jpg"", ""Bicycle (642).jpg"", ""Bicycle (357).jpg"", ""Bicycle (727).jpg""]",756,6,5,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:59:30.932,2026-05-05T10:59:39.766,8.834,7,1,Click on the images containing bicycles.,"[""Bus (37).jpg"", ""Bicycle (592).jpg"", ""Hydrant (74).jpg"", ""Bicycle (321).jpg"", ""Chimney (80).jpg"", ""Bicycle (457).jpg"", ""Bus (75).jpg"", ""Car (38).jpg"", ""Hydrant (82).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 5]","[""Bicycle (592).jpg"", ""Bicycle (321).jpg"", ""Bicycle (457).jpg""]",753,7,6,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:59:39.771,2026-05-05T10:59:46.679,6.908,8,1,Click on the images containing bicycles.,"[""Bicycle (66).jpg"", ""Bicycle (394).jpg"", ""Bicycle (392).jpg"", ""Hydrant (102).jpg"", ""Cross (99).jpg"", ""Hydrant (33).jpg"", ""Stair (393).jpg"", ""Bicycle (517).jpg"", ""Palm (41).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 7]","[""Bicycle (66).jpg"", ""Bicycle (394).jpg"", ""Bicycle (392).jpg"", ""Bicycle (517).jpg""]",749,8,7,10,submit,
1f73ad75111d4a03a9da913787843eae,captcha_pre,29,20,female,2026-05-05T10:59:46.684,2026-05-05T10:59:58.190,11.506,9,1,Click on the images containing bicycles.,"[""Bicycle (244).jpg"", ""Bridge (114).jpg"", ""Bicycle (623).jpg"", ""Stair (989).jpg"", ""Palm (4).jpg"", ""Bicycle (702).jpg"", ""Bicycle (686).jpg"", ""Cross (120).jpg"", ""Chimney (105).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (244).jpg"", ""Bicycle (623).jpg"", ""Bicycle (702).jpg"", ""Bicycle (686).jpg""]",745,9,8,10,submit,
