exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:00:33.632,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:00:33.662,2026-05-05T12:01:03.075,29.413,1,1,Click on the images containing bicycles.,"[""Car (22).jpg"", ""Bridge (96).jpg"", ""Bicycle (167).jpg"", ""Palm (107).jpg"", ""Bicycle (300).jpg"", ""Tlight (83).jpg"", ""Bus (132).jpg"", ""Bicycle (677).jpg"", ""Bicycle (46).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[2, 4, 7, 8]","[""Bicycle (167).jpg"", ""Bicycle (300).jpg"", ""Bicycle (677).jpg"", ""Bicycle (46).jpg""]",776,1,1,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:03.080,2026-05-05T12:01:15.317,12.237,2,1,Click on the images containing bicycles.,"[""Palm (73).jpg"", ""Tlight (80).jpg"", ""Bicycle (631).jpg"", ""Bicycle (599).jpg"", ""Bicycle (142).jpg"", ""Chimney (59).jpg"", ""Car (91).jpg"", ""Bicycle (332).jpg"", ""Bridge (133).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 4, 7]","[""Bicycle (631).jpg"", ""Bicycle (599).jpg"", ""Bicycle (142).jpg"", ""Bicycle (332).jpg""]",772,2,2,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:15.323,2026-05-05T12:01:21.846,6.523,3,1,Click on the images containing bicycles.,"[""Bicycle (363).jpg"", ""Bicycle (503).jpg"", ""Bicycle (316).jpg"", ""Cross (50).jpg"", ""Tlight (111).jpg"", ""Tlight (95).jpg"", ""Tlight (66).jpg"", ""Bicycle (578).jpg"", ""Bus (112).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 7]","[""Bicycle (363).jpg"", ""Bicycle (503).jpg"", ""Bicycle (316).jpg"", ""Bicycle (578).jpg""]",768,3,3,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:21.852,2026-05-05T12:01:29.205,7.353,4,1,Click on the images containing bicycles.,"[""Bicycle (74).jpg"", ""Bicycle (733).jpg"", ""Bicycle (321).jpg"", ""Bus (128).jpg"", ""Palm (110).jpg"", ""Cross (46).jpg"", ""Chimney (2).jpg"", ""Bicycle (605).jpg"", ""Bridge (86).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 7]","[""Bicycle (74).jpg"", ""Bicycle (733).jpg"", ""Bicycle (321).jpg"", ""Bicycle (605).jpg""]",764,4,4,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:29.211,2026-05-05T12:01:37.318,8.107,5,1,Click on the images containing bicycles.,"[""Stair (208).jpg"", ""Bicycle (136).jpg"", ""Stair (896).jpg"", ""Bicycle (50).jpg"", ""Car (83).jpg"", ""Tlight (81).jpg"", ""Bicycle (508).jpg"", ""Car (140).jpg"", ""Cross (8).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (136).jpg"", ""Bicycle (50).jpg"", ""Bicycle (508).jpg""]",761,5,5,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:37.324,2026-05-05T12:01:48.397,11.073,6,1,Click on the images containing bicycles.,"[""Palm (81).jpg"", ""Bicycle (68).jpg"", ""Hydrant (70).jpg"", ""Palm (77).jpg"", ""Hydrant (58).jpg"", ""Stair (1227).jpg"", ""Bicycle (492).jpg"", ""Car (128).jpg"", ""Bicycle (749).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (68).jpg"", ""Bicycle (492).jpg"", ""Bicycle (749).jpg""]",758,6,6,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:48.402,2026-05-05T12:01:56.565,8.163,7,1,Click on the images containing bicycles.,"[""Bicycle (594).jpg"", ""Bicycle (99).jpg"", ""Car (131).jpg"", ""Hydrant (66).jpg"", ""Cross (70).jpg"", ""Palm (124).jpg"", ""Bicycle (111).jpg"", ""Cross (47).jpg"", ""Stair (1454).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (594).jpg"", ""Bicycle (99).jpg"", ""Bicycle (111).jpg""]",755,7,7,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:01:56.571,2026-05-05T12:02:04.677,8.106,8,1,Click on the images containing bicycles.,"[""Palm (2).jpg"", ""Bicycle (322).jpg"", ""Bicycle (572).jpg"", ""Bicycle (29).jpg"", ""Tlight (16).jpg"", ""Bicycle (551).jpg"", ""Bicycle (323).jpg"", ""Cross (79).jpg"", ""Cross (82).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 3, 5, 6]","[""Bicycle (322).jpg"", ""Bicycle (572).jpg"", ""Bicycle (29).jpg"", ""Bicycle (551).jpg"", ""Bicycle (323).jpg""]",750,8,8,10,submit,
b6d5b977f46a4cf597738d6c4b413a9d,captcha_pre,30,19,male,2026-05-05T12:02:04.682,2026-05-05T12:02:16.829,12.147,9,1,Click on the images containing bicycles.,"[""Bicycle (521).jpg"", ""Stair (951).jpg"", ""Bicycle (279).jpg"", ""Chimney (66).jpg"", ""Bicycle (500).jpg"", ""Tlight (104).jpg"", ""Chimney (27).jpg"", ""Bicycle (232).jpg"", ""Bicycle (227).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 4, 7, 8]","[""Bicycle (521).jpg"", ""Bicycle (279).jpg"", ""Bicycle (500).jpg"", ""Bicycle (232).jpg"", ""Bicycle (227).jpg""]",745,9,9,10,submit,
