exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:02:36.001,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:02:36.030,2026-05-07T08:03:12.452,36.422,1,1,Click on the images containing bicycles.,"[""Chimney (6).jpg"", ""Palm (44).jpg"", ""Cross (49).jpg"", ""Stair (469).jpg"", ""Bicycle (55).jpg"", ""Bicycle (2).jpg"", ""Hydrant (91).jpg"", ""Palm (77).jpg"", ""Bicycle (10).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[4, 5, 8]","[""Bicycle (55).jpg"", ""Bicycle (2).jpg"", ""Bicycle (10).jpg""]",777,1,1,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:03:12.456,2026-05-07T08:03:22.371,9.915,2,1,Click on the images containing bicycles.,"[""Bicycle (90).jpg"", ""Bicycle (157).jpg"", ""Car (46).jpg"", ""Cross (67).jpg"", ""Bridge (75).jpg"", ""Car (49).jpg"", ""Bicycle (489).jpg"", ""Chimney (120).jpg"", ""Bridge (66).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (90).jpg"", ""Bicycle (157).jpg"", ""Bicycle (489).jpg""]",774,2,2,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:03:22.377,2026-05-07T08:03:35.275,12.898,3,1,Click on the images containing bicycles.,"[""Bicycle (658).jpg"", ""Bicycle (232).jpg"", ""Cross (39).jpg"", ""Bicycle (196).jpg"", ""Chimney (57).jpg"", ""Chimney (23).jpg"", ""Bicycle (206).jpg"", ""Bicycle (34).jpg"", ""Palm (71).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 3, 6, 7]","[""Bicycle (658).jpg"", ""Bicycle (232).jpg"", ""Bicycle (196).jpg"", ""Bicycle (206).jpg"", ""Bicycle (34).jpg""]",769,3,3,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:03:35.280,2026-05-07T08:03:43.659,8.379,4,0,Click on the images containing bicycles.,"[""Stair (1466).jpg"", ""Cross (41).jpg"", ""Bicycle (701).jpg"", ""Cross (14).jpg"", ""Bicycle (398).jpg"", ""Stair (1134).jpg"", ""Bicycle (386).jpg"", ""Bridge (130).jpg"", ""Bus (138).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 4]","[""Bicycle (701).jpg"", ""Bicycle (398).jpg""]",766,4,3,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:03:45.669,2026-05-07T08:03:57.172,11.503,5,0,Click on the images containing bicycles.,"[""Bicycle (39).jpg"", ""Bicycle (318).jpg"", ""Hydrant (25).jpg"", ""Bicycle (687).jpg"", ""Stair (749).jpg"", ""Chimney (40).jpg"", ""Bridge (123).jpg"", ""Cross (114).jpg"", ""Stair (1224).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3, 7]","[""Bicycle (39).jpg"", ""Bicycle (318).jpg"", ""Bicycle (687).jpg"", ""Cross (114).jpg""]",763,5,3,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:03:59.180,2026-05-07T08:04:07.955,8.775,6,1,Click on the images containing bicycles.,"[""Bicycle (750).jpg"", ""Bicycle (752).jpg"", ""Hydrant (93).jpg"", ""Bicycle (3).jpg"", ""Chimney (99).jpg"", ""Chimney (65).jpg"", ""Bus (71).jpg"", ""Bicycle (153).jpg"", ""Bicycle (554).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 3, 7, 8]","[""Bicycle (750).jpg"", ""Bicycle (752).jpg"", ""Bicycle (3).jpg"", ""Bicycle (153).jpg"", ""Bicycle (554).jpg""]",758,6,4,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:04:07.959,2026-05-07T08:04:15.379,7.42,7,1,Click on the images containing bicycles.,"[""Bus (99).jpg"", ""Hydrant (37).jpg"", ""Chimney (72).jpg"", ""Hydrant (77).jpg"", ""Palm (73).jpg"", ""Bicycle (214).jpg"", ""Hydrant (56).jpg"", ""Bicycle (568).jpg"", ""Bicycle (443).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (214).jpg"", ""Bicycle (568).jpg"", ""Bicycle (443).jpg""]",755,7,5,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:04:15.385,2026-05-07T08:04:25.267,9.882,8,1,Click on the images containing bicycles.,"[""Bicycle (500).jpg"", ""Chimney (82).jpg"", ""Bicycle (38).jpg"", ""Tlight (15).jpg"", ""Bus (82).jpg"", ""Palm (63).jpg"", ""Car (92).jpg"", ""Bicycle (169).jpg"", ""Stair (672).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (500).jpg"", ""Bicycle (38).jpg"", ""Bicycle (169).jpg""]",752,8,6,10,submit,
bbec2a47208a49b19e637fdbe08204c7,captcha_pre,31,20,female,2026-05-07T08:04:25.273,2026-05-07T08:04:34.147,8.874,9,1,Click on the images containing bicycles.,"[""Bridge (30).jpg"", ""Hydrant (129).jpg"", ""Bicycle (258).jpg"", ""Car (43).jpg"", ""Bicycle (402).jpg"", ""Bridge (109).jpg"", ""Bicycle (314).jpg"", ""Bicycle (644).jpg"", ""Tlight (139).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 4, 6, 7]","[""Bicycle (258).jpg"", ""Bicycle (402).jpg"", ""Bicycle (314).jpg"", ""Bicycle (644).jpg""]",748,9,7,10,submit,
