exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:00:22.364,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:00:22.401,2026-05-07T10:01:10.189,47.788,1,1,Click on the images containing bicycles.,"[""Bus (91).jpg"", ""Bicycle (327).jpg"", ""Bicycle (671).jpg"", ""Hydrant (48).jpg"", ""Bicycle (318).jpg"", ""Hydrant (106).jpg"", ""Bicycle (176).jpg"", ""Bicycle (742).jpg"", ""Hydrant (44).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 4, 6, 7]","[""Bicycle (327).jpg"", ""Bicycle (671).jpg"", ""Bicycle (318).jpg"", ""Bicycle (176).jpg"", ""Bicycle (742).jpg""]",775,1,1,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:01:10.194,2026-05-07T10:01:18.332,8.138,2,1,Click on the images containing bicycles.,"[""Bicycle (777).jpg"", ""Tlight (62).jpg"", ""Bicycle (432).jpg"", ""Bus (63).jpg"", ""Chimney (30).jpg"", ""Bridge (27).jpg"", ""Bus (95).jpg"", ""Bus (108).jpg"", ""Bicycle (313).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 8]","[""Bicycle (777).jpg"", ""Bicycle (432).jpg"", ""Bicycle (313).jpg""]",772,2,2,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:01:18.339,2026-05-07T10:01:30.452,12.113,3,1,Click on the images containing bicycles.,"[""Tlight (133).jpg"", ""Bicycle (226).jpg"", ""Stair (243).jpg"", ""Palm (69).jpg"", ""Bridge (40).jpg"", ""Stair (1458).jpg"", ""Bicycle (661).jpg"", ""Bicycle (613).jpg"", ""Bridge (112).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (226).jpg"", ""Bicycle (661).jpg"", ""Bicycle (613).jpg""]",769,3,3,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:01:30.457,2026-05-07T10:01:39.268,8.811,4,1,Click on the images containing bicycles.,"[""Chimney (80).jpg"", ""Hydrant (32).jpg"", ""Bridge (97).jpg"", ""Bicycle (583).jpg"", ""Stair (1245).jpg"", ""Tlight (19).jpg"", ""Bicycle (15).jpg"", ""Bicycle (673).jpg"", ""Bridge (32).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 6, 7]","[""Bicycle (583).jpg"", ""Bicycle (15).jpg"", ""Bicycle (673).jpg""]",766,4,4,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:01:39.274,2026-05-07T10:01:48.732,9.458,5,1,Click on the images containing bicycles.,"[""Palm (47).jpg"", ""Bicycle (244).jpg"", ""Hydrant (100).jpg"", ""Car (35).jpg"", ""Bicycle (761).jpg"", ""Bicycle (195).jpg"", ""Bicycle (468).jpg"", ""Bicycle (741).jpg"", ""Palm (84).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[1, 4, 5, 6, 7]","[""Bicycle (244).jpg"", ""Bicycle (761).jpg"", ""Bicycle (195).jpg"", ""Bicycle (468).jpg"", ""Bicycle (741).jpg""]",761,5,5,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:01:48.737,2026-05-07T10:01:55.198,6.461,6,1,Click on the images containing bicycles.,"[""Tlight (69).jpg"", ""Cross (32).jpg"", ""Car (39).jpg"", ""Bicycle (128).jpg"", ""Chimney (98).jpg"", ""Bicycle (277).jpg"", ""Bicycle (97).jpg"", ""Bridge (94).jpg"", ""Cross (53).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[3, 5, 6]","[""Bicycle (128).jpg"", ""Bicycle (277).jpg"", ""Bicycle (97).jpg""]",758,6,6,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:01:55.204,2026-05-07T10:02:04.259,9.055,7,0,Click on the images containing bicycles.,"[""Bicycle (589).jpg"", ""Car (103).jpg"", ""Bicycle (683).jpg"", ""Bicycle (306).jpg"", ""Bridge (114).jpg"", ""Bicycle (212).jpg"", ""Bus (101).jpg"", ""Bicycle (503).jpg"", ""Bridge (55).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 3, 5, 7]","[""Bicycle (589).jpg"", ""Bicycle (306).jpg"", ""Bicycle (212).jpg"", ""Bicycle (503).jpg""]",753,7,6,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:02:06.268,2026-05-07T10:02:15.069,8.801,8,0,Click on the images containing bicycles.,"[""Bicycle (74).jpg"", ""Car (52).jpg"", ""Bicycle (181).jpg"", ""Cross (86).jpg"", ""Bicycle (402).jpg"", ""Bicycle (308).jpg"", ""Car (123).jpg"", ""Bicycle (216).jpg"", ""Palm (124).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 4, 7]","[""Bicycle (74).jpg"", ""Bicycle (181).jpg"", ""Bicycle (402).jpg"", ""Bicycle (216).jpg""]",748,8,6,10,submit,
cef0e506fa7c47b2bb92964ece39c629,captcha_pre,32,21,female,2026-05-07T10:02:17.077,2026-05-07T10:02:26.861,9.784,9,1,Click on the images containing bicycles.,"[""Bicycle (616).jpg"", ""Bicycle (641).jpg"", ""Bus (135).jpg"", ""Bicycle (163).jpg"", ""Bridge (65).jpg"", ""Bus (128).jpg"", ""Bicycle (357).jpg"", ""Palm (61).jpg"", ""Bicycle (455).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 3, 6, 8]","[""Bicycle (616).jpg"", ""Bicycle (641).jpg"", ""Bicycle (163).jpg"", ""Bicycle (357).jpg"", ""Bicycle (455).jpg""]",743,9,7,10,submit,
