exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:50:47.882,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:50:47.904,2026-05-07T10:51:21.884,33.98,1,0,Click on the images containing bicycles.,"[""Bicycle (515).jpg"", ""Cross (41).jpg"", ""Bicycle (764).jpg"", ""Bicycle (581).jpg"", ""Stair (884).jpg"", ""Hydrant (32).jpg"", ""Chimney (12).jpg"", ""Bicycle (551).jpg"", ""Bridge (108).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (515).jpg"", ""Bicycle (764).jpg"", ""Bicycle (551).jpg""]",776,1,0,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:51:23.899,2026-05-07T10:51:33.452,9.553,2,1,Click on the images containing bicycles.,"[""Bus (80).jpg"", ""Stair (1100).jpg"", ""Bicycle (314).jpg"", ""Bicycle (256).jpg"", ""Bicycle (4).jpg"", ""Bicycle (646).jpg"", ""Bicycle (752).jpg"", ""Chimney (94).jpg"", ""Chimney (43).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 3, 4, 5, 6]","[""Bicycle (314).jpg"", ""Bicycle (256).jpg"", ""Bicycle (4).jpg"", ""Bicycle (646).jpg"", ""Bicycle (752).jpg""]",771,2,1,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:51:33.457,2026-05-07T10:51:45.036,11.579,3,1,Click on the images containing bicycles.,"[""Stair (260).jpg"", ""Bicycle (743).jpg"", ""Palm (97).jpg"", ""Palm (7).jpg"", ""Bicycle (213).jpg"", ""Chimney (26).jpg"", ""Bicycle (526).jpg"", ""Bicycle (543).jpg"", ""Bicycle (70).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[1, 4, 6, 7, 8]","[""Bicycle (743).jpg"", ""Bicycle (213).jpg"", ""Bicycle (526).jpg"", ""Bicycle (543).jpg"", ""Bicycle (70).jpg""]",766,3,2,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:51:45.042,2026-05-07T10:51:58.008,12.966,4,1,Click on the images containing bicycles.,"[""Bicycle (353).jpg"", ""Bicycle (34).jpg"", ""Bridge (64).jpg"", ""Palm (102).jpg"", ""Chimney (100).jpg"", ""Bicycle (556).jpg"", ""Palm (138).jpg"", ""Bus (119).jpg"", ""Bicycle (292).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 5, 8]","[""Bicycle (353).jpg"", ""Bicycle (34).jpg"", ""Bicycle (556).jpg"", ""Bicycle (292).jpg""]",762,4,3,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:51:58.013,2026-05-07T10:52:08.940,10.927,5,0,Click on the images containing bicycles.,"[""Bicycle (219).jpg"", ""Bicycle (406).jpg"", ""Bicycle (85).jpg"", ""Cross (117).jpg"", ""Chimney (42).jpg"", ""Bicycle (102).jpg"", ""Bus (103).jpg"", ""Bridge (88).jpg"", ""Bicycle (317).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 2, 5, 6, 8]","[""Bicycle (219).jpg"", ""Bicycle (406).jpg"", ""Bicycle (85).jpg"", ""Bicycle (102).jpg"", ""Bus (103).jpg"", ""Bicycle (317).jpg""]",757,5,3,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:52:10.949,2026-05-07T10:52:29.324,18.375,6,1,Click on the images containing bicycles.,"[""Stair (68).jpg"", ""Bridge (132).jpg"", ""Bicycle (174).jpg"", ""Bridge (21).jpg"", ""Chimney (101).jpg"", ""Stair (917).jpg"", ""Bicycle (478).jpg"", ""Bicycle (257).jpg"", ""Car (84).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 6, 7]","[""Bicycle (174).jpg"", ""Bicycle (478).jpg"", ""Bicycle (257).jpg""]",754,6,4,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:52:29.329,2026-05-07T10:52:38.180,8.851,7,1,Click on the images containing bicycles.,"[""Car (38).jpg"", ""Bicycle (738).jpg"", ""Bicycle (223).jpg"", ""Cross (120).jpg"", ""Bridge (60).jpg"", ""Bus (105).jpg"", ""Bicycle (348).jpg"", ""Bridge (23).jpg"", ""Bicycle (554).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 2, 6, 8]","[""Bicycle (738).jpg"", ""Bicycle (223).jpg"", ""Bicycle (348).jpg"", ""Bicycle (554).jpg""]",750,7,5,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:52:38.187,2026-05-07T10:52:50.035,11.848,8,1,Click on the images containing bicycles.,"[""Bicycle (217).jpg"", ""Tlight (5).jpg"", ""Bicycle (287).jpg"", ""Hydrant (106).jpg"", ""Bicycle (509).jpg"", ""Bicycle (773).jpg"", ""Bicycle (131).jpg"", ""Palm (111).jpg"", ""Stair (469).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 4, 5, 6]","[""Bicycle (217).jpg"", ""Bicycle (287).jpg"", ""Bicycle (509).jpg"", ""Bicycle (773).jpg"", ""Bicycle (131).jpg""]",745,8,6,10,submit,
da6b1f80b3814716b99154d8a3760901,captcha_pre,33,18,female,2026-05-07T10:52:50.041,2026-05-07T10:53:01.084,11.043,9,1,Click on the images containing bicycles.,"[""Bicycle (177).jpg"", ""Car (137).jpg"", ""Tlight (103).jpg"", ""Bicycle (579).jpg"", ""Cross (80).jpg"", ""Bicycle (92).jpg"", ""Car (95).jpg"", ""Palm (130).jpg"", ""Cross (97).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 5]","[""Bicycle (177).jpg"", ""Bicycle (579).jpg"", ""Bicycle (92).jpg""]",742,9,7,10,submit,
