exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:03:46.565,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:03:46.595,2026-05-07T12:04:24.579,37.984,1,0,Click on the images containing bicycles.,"[""Hydrant (62).jpg"", ""Bicycle (453).jpg"", ""Stair (700).jpg"", ""Hydrant (111).jpg"", ""Chimney (45).jpg"", ""Bicycle (229).jpg"", ""Car (58).jpg"", ""Tlight (93).jpg"", ""Bicycle (25).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5]","[""Bicycle (453).jpg"", ""Bicycle (229).jpg""]",777,1,0,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:04:26.588,2026-05-07T12:04:46.623,20.035,2,1,Click on the images containing bicycles.,"[""Bicycle (165).jpg"", ""Bridge (68).jpg"", ""Cross (77).jpg"", ""Cross (2).jpg"", ""Bicycle (547).jpg"", ""Palm (140).jpg"", ""Bicycle (581).jpg"", ""Bicycle (188).jpg"", ""Bicycle (327).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[0, 4, 6, 7, 8]","[""Bicycle (165).jpg"", ""Bicycle (547).jpg"", ""Bicycle (581).jpg"", ""Bicycle (188).jpg"", ""Bicycle (327).jpg""]",772,2,1,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:04:46.628,2026-05-07T12:05:03.244,16.616,3,0,Click on the images containing bicycles.,"[""Tlight (97).jpg"", ""Tlight (88).jpg"", ""Palm (9).jpg"", ""Bicycle (469).jpg"", ""Bicycle (741).jpg"", ""Bicycle (724).jpg"", ""Palm (136).jpg"", ""Bridge (127).jpg"", ""Bridge (59).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 4, 5]","[""Tlight (88).jpg"", ""Bicycle (469).jpg"", ""Bicycle (741).jpg"", ""Bicycle (724).jpg""]",769,3,1,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:05:05.253,2026-05-07T12:05:23.123,17.87,4,1,Click on the images containing bicycles.,"[""Stair (1459).jpg"", ""Bridge (94).jpg"", ""Chimney (61).jpg"", ""Bicycle (355).jpg"", ""Stair (1100).jpg"", ""Bicycle (387).jpg"", ""Car (120).jpg"", ""Cross (100).jpg"", ""Bicycle (494).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (355).jpg"", ""Bicycle (387).jpg"", ""Bicycle (494).jpg""]",766,4,2,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:05:23.129,2026-05-07T12:05:35.085,11.956,5,1,Click on the images containing bicycles.,"[""Car (87).jpg"", ""Cross (56).jpg"", ""Bicycle (282).jpg"", ""Cross (18).jpg"", ""Bicycle (695).jpg"", ""Bus (51).jpg"", ""Bicycle (663).jpg"", ""Tlight (137).jpg"", ""Car (88).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 4, 6]","[""Bicycle (282).jpg"", ""Bicycle (695).jpg"", ""Bicycle (663).jpg""]",763,5,3,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:05:35.090,2026-05-07T12:05:47.668,12.578,6,1,Click on the images containing bicycles.,"[""Car (64).jpg"", ""Bicycle (700).jpg"", ""Bus (108).jpg"", ""Car (140).jpg"", ""Bicycle (682).jpg"", ""Bicycle (44).jpg"", ""Bicycle (388).jpg"", ""Car (119).jpg"", ""Bicycle (473).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[1, 4, 5, 6, 8]","[""Bicycle (700).jpg"", ""Bicycle (682).jpg"", ""Bicycle (44).jpg"", ""Bicycle (388).jpg"", ""Bicycle (473).jpg""]",758,6,4,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:05:47.673,2026-05-07T12:06:00.955,13.282,7,0,Click on the images containing bicycles.,"[""Bicycle (735).jpg"", ""Palm (117).jpg"", ""Bridge (113).jpg"", ""Bicycle (672).jpg"", ""Tlight (83).jpg"", ""Bicycle (260).jpg"", ""Bicycle (49).jpg"", ""Palm (12).jpg"", ""Bicycle (156).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[3, 5, 6, 8]","[""Bicycle (672).jpg"", ""Bicycle (260).jpg"", ""Bicycle (49).jpg"", ""Bicycle (156).jpg""]",753,7,4,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:06:02.963,2026-05-07T12:06:16.916,13.953,8,1,Click on the images containing bicycles.,"[""Palm (98).jpg"", ""Bridge (24).jpg"", ""Bicycle (660).jpg"", ""Bicycle (376).jpg"", ""Bicycle (399).jpg"", ""Cross (95).jpg"", ""Bicycle (94).jpg"", ""Bridge (78).jpg"", ""Bridge (48).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 4, 6]","[""Bicycle (660).jpg"", ""Bicycle (376).jpg"", ""Bicycle (399).jpg"", ""Bicycle (94).jpg""]",749,8,5,10,submit,
17341d7a428142d89bf00c2b7dbcbcff,captcha_pre,34,19,female,2026-05-07T12:06:16.922,2026-05-07T12:06:25.475,8.553,9,1,Click on the images containing bicycles.,"[""Tlight (98).jpg"", ""Bus (75).jpg"", ""Bicycle (379).jpg"", ""Bridge (79).jpg"", ""Bicycle (298).jpg"", ""Bicycle (86).jpg"", ""Tlight (64).jpg"", ""Bicycle (385).jpg"", ""Bicycle (191).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[2, 4, 5, 7, 8]","[""Bicycle (379).jpg"", ""Bicycle (298).jpg"", ""Bicycle (86).jpg"", ""Bicycle (385).jpg"", ""Bicycle (191).jpg""]",744,9,6,10,submit,
