exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:01:20.278,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:01:20.306,2026-05-07T14:01:56.677,36.371,1,0,Click on the images containing bicycles.,"[""Chimney (26).jpg"", ""Hydrant (136).jpg"", ""Car (71).jpg"", ""Bicycle (639).jpg"", ""Palm (54).jpg"", ""Chimney (8).jpg"", ""Bicycle (557).jpg"", ""Palm (45).jpg"", ""Bicycle (546).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[3, 6]","[""Bicycle (639).jpg"", ""Bicycle (557).jpg""]",777,1,0,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:01:58.686,2026-05-07T14:02:18.813,20.127,2,1,Click on the images containing bicycles.,"[""Car (116).jpg"", ""Bicycle (422).jpg"", ""Stair (1224).jpg"", ""Hydrant (33).jpg"", ""Bicycle (497).jpg"", ""Bicycle (269).jpg"", ""Bus (42).jpg"", ""Bicycle (767).jpg"", ""Cross (85).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 4, 5, 7]","[""Bicycle (422).jpg"", ""Bicycle (497).jpg"", ""Bicycle (269).jpg"", ""Bicycle (767).jpg""]",773,2,1,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:02:18.820,2026-05-07T14:02:34.852,16.032,3,0,Click on the images containing bicycles.,"[""Bus (51).jpg"", ""Bicycle (417).jpg"", ""Bicycle (399).jpg"", ""Bicycle (477).jpg"", ""Chimney (43).jpg"", ""Car (109).jpg"", ""Cross (19).jpg"", ""Bicycle (731).jpg"", ""Bus (22).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (399).jpg"", ""Bicycle (477).jpg"", ""Cross (19).jpg"", ""Bicycle (731).jpg""]",769,3,1,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:02:36.862,2026-05-07T14:02:54.284,17.422,4,1,Click on the images containing bicycles.,"[""Bicycle (571).jpg"", ""Chimney (128).jpg"", ""Tlight (116).jpg"", ""Bicycle (665).jpg"", ""Bicycle (699).jpg"", ""Bus (54).jpg"", ""Bus (124).jpg"", ""Bicycle (425).jpg"", ""Bicycle (424).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (571).jpg"", ""Bicycle (665).jpg"", ""Bicycle (699).jpg"", ""Bicycle (425).jpg"", ""Bicycle (424).jpg""]",764,4,2,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:02:54.290,2026-05-07T14:03:13.065,18.775,5,1,Click on the images containing bicycles.,"[""Bicycle (532).jpg"", ""Palm (115).jpg"", ""Bridge (30).jpg"", ""Palm (112).jpg"", ""Cross (68).jpg"", ""Bicycle (150).jpg"", ""Car (48).jpg"", ""Bicycle (2).jpg"", ""Bicycle (322).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (532).jpg"", ""Bicycle (150).jpg"", ""Bicycle (2).jpg"", ""Bicycle (322).jpg""]",760,5,3,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:03:13.072,2026-05-07T14:03:29.436,16.364,6,1,Click on the images containing bicycles.,"[""Bicycle (669).jpg"", ""Car (64).jpg"", ""Bus (38).jpg"", ""Bridge (69).jpg"", ""Bicycle (402).jpg"", ""Stair (312).jpg"", ""Chimney (13).jpg"", ""Bicycle (6).jpg"", ""Chimney (96).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 4, 7]","[""Bicycle (669).jpg"", ""Bicycle (402).jpg"", ""Bicycle (6).jpg""]",757,6,4,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:03:29.441,2026-05-07T14:03:40.005,10.564,7,1,Click on the images containing bicycles.,"[""Cross (34).jpg"", ""Car (47).jpg"", ""Bridge (129).jpg"", ""Car (132).jpg"", ""Bicycle (132).jpg"", ""Bicycle (499).jpg"", ""Stair (567).jpg"", ""Bicycle (278).jpg"", ""Bridge (102).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (132).jpg"", ""Bicycle (499).jpg"", ""Bicycle (278).jpg""]",754,7,5,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:03:40.012,2026-05-07T14:03:54.092,14.08,8,1,Click on the images containing bicycles.,"[""Car (72).jpg"", ""Bicycle (641).jpg"", ""Hydrant (130).jpg"", ""Stair (483).jpg"", ""Bridge (139).jpg"", ""Bicycle (124).jpg"", ""Bicycle (493).jpg"", ""Bicycle (486).jpg"", ""Bicycle (253).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[1, 5, 6, 7, 8]","[""Bicycle (641).jpg"", ""Bicycle (124).jpg"", ""Bicycle (493).jpg"", ""Bicycle (486).jpg"", ""Bicycle (253).jpg""]",749,8,6,10,submit,
5edab9ad89db4ce29278fcd6967dc22f,captcha_pre,35,19,female,2026-05-07T14:03:54.098,2026-05-07T14:04:10.461,16.363,9,1,Click on the images containing bicycles.,"[""Bus (39).jpg"", ""Bicycle (289).jpg"", ""Bicycle (523).jpg"", ""Cross (89).jpg"", ""Bicycle (460).jpg"", ""Stair (641).jpg"", ""Tlight (103).jpg"", ""Bicycle (575).jpg"", ""Hydrant (69).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 4, 7]","[""Bicycle (289).jpg"", ""Bicycle (523).jpg"", ""Bicycle (460).jpg"", ""Bicycle (575).jpg""]",745,9,7,10,submit,
