exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T10:59:06.604,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T10:59:06.631,2026-05-11T10:59:46.871,40.24,1,1,Click on the images containing bicycles.,"[""Bicycle (309).jpg"", ""Bridge (104).jpg"", ""Cross (62).jpg"", ""Palm (61).jpg"", ""Bicycle (502).jpg"", ""Bicycle (187).jpg"", ""Bicycle (96).jpg"", ""Hydrant (85).jpg"", ""Hydrant (39).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 4, 5, 6]","[""Bicycle (309).jpg"", ""Bicycle (502).jpg"", ""Bicycle (187).jpg"", ""Bicycle (96).jpg""]",776,1,1,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T10:59:46.877,2026-05-11T10:59:54.694,7.817,2,1,Click on the images containing bicycles.,"[""Bicycle (72).jpg"", ""Bicycle (410).jpg"", ""Bicycle (320).jpg"", ""Bicycle (237).jpg"", ""Car (24).jpg"", ""Bicycle (60).jpg"", ""Stair (1095).jpg"", ""Car (75).jpg"", ""Bus (101).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 3, 5]","[""Bicycle (72).jpg"", ""Bicycle (410).jpg"", ""Bicycle (320).jpg"", ""Bicycle (237).jpg"", ""Bicycle (60).jpg""]",771,2,2,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T10:59:54.700,2026-05-11T11:00:07.431,12.731,3,1,Click on the images containing bicycles.,"[""Stair (109).jpg"", ""Bicycle (30).jpg"", ""Chimney (35).jpg"", ""Bicycle (709).jpg"", ""Bicycle (256).jpg"", ""Stair (1249).jpg"", ""Chimney (31).jpg"", ""Hydrant (46).jpg"", ""Bicycle (589).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 4, 8]","[""Bicycle (30).jpg"", ""Bicycle (709).jpg"", ""Bicycle (256).jpg"", ""Bicycle (589).jpg""]",767,3,3,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T11:00:07.436,2026-05-11T11:00:13.488,6.052,4,1,Click on the images containing bicycles.,"[""Bridge (128).jpg"", ""Stair (1031).jpg"", ""Chimney (99).jpg"", ""Bridge (116).jpg"", ""Bicycle (474).jpg"", ""Car (111).jpg"", ""Bicycle (727).jpg"", ""Hydrant (43).jpg"", ""Bicycle (192).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[4, 6, 8]","[""Bicycle (474).jpg"", ""Bicycle (727).jpg"", ""Bicycle (192).jpg""]",764,4,4,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T11:00:13.493,2026-05-11T11:00:24.494,11.001,5,1,Click on the images containing bicycles.,"[""Car (33).jpg"", ""Palm (66).jpg"", ""Bicycle (450).jpg"", ""Bicycle (33).jpg"", ""Cross (52).jpg"", ""Palm (8).jpg"", ""Car (95).jpg"", ""Bicycle (577).jpg"", ""Stair (1335).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 7]","[""Bicycle (450).jpg"", ""Bicycle (33).jpg"", ""Bicycle (577).jpg""]",761,5,5,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T11:00:24.500,2026-05-11T11:00:32.727,8.227,6,1,Click on the images containing bicycles.,"[""Stair (981).jpg"", ""Bicycle (518).jpg"", ""Hydrant (129).jpg"", ""Palm (60).jpg"", ""Bicycle (756).jpg"", ""Tlight (138).jpg"", ""Bicycle (89).jpg"", ""Cross (57).jpg"", ""Bicycle (404).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 4, 6, 8]","[""Bicycle (518).jpg"", ""Bicycle (756).jpg"", ""Bicycle (89).jpg"", ""Bicycle (404).jpg""]",757,6,6,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T11:00:32.732,2026-05-11T11:00:41.366,8.634,7,1,Click on the images containing bicycles.,"[""Bicycle (749).jpg"", ""Bridge (139).jpg"", ""Bus (86).jpg"", ""Bicycle (560).jpg"", ""Bus (76).jpg"", ""Bicycle (152).jpg"", ""Car (131).jpg"", ""Car (108).jpg"", ""Bicycle (505).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 5, 8]","[""Bicycle (749).jpg"", ""Bicycle (560).jpg"", ""Bicycle (152).jpg"", ""Bicycle (505).jpg""]",753,7,7,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T11:00:41.372,2026-05-11T11:00:47.638,6.266,8,1,Click on the images containing bicycles.,"[""Bus (134).jpg"", ""Bridge (79).jpg"", ""Bicycle (230).jpg"", ""Bicycle (658).jpg"", ""Bicycle (697).jpg"", ""Bicycle (462).jpg"", ""Car (47).jpg"", ""Cross (41).jpg"", ""Chimney (80).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 4, 5]","[""Bicycle (230).jpg"", ""Bicycle (658).jpg"", ""Bicycle (697).jpg"", ""Bicycle (462).jpg""]",749,8,8,10,submit,
af0dfcdcede944e5adbf92a4c0ba9b92,captcha_pre,37,18,male,2026-05-11T11:00:47.643,2026-05-11T11:00:55.343,7.7,9,0,Click on the images containing bicycles.,"[""Tlight (11).jpg"", ""Bicycle (664).jpg"", ""Bicycle (574).jpg"", ""Bicycle (288).jpg"", ""Chimney (59).jpg"", ""Bicycle (435).jpg"", ""Stair (1358).jpg"", ""Bicycle (555).jpg"", ""Bus (122).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 3, 5]","[""Bicycle (664).jpg"", ""Bicycle (574).jpg"", ""Bicycle (288).jpg"", ""Bicycle (435).jpg""]",744,9,8,10,submit,
