exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:11:44.339,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:11:44.369,2026-05-11T12:12:21.041,36.672,1,1,Click on the images containing bicycles.,"[""Bicycle (153).jpg"", ""Palm (85).jpg"", ""Car (72).jpg"", ""Bicycle (678).jpg"", ""Bus (99).jpg"", ""Bicycle (297).jpg"", ""Hydrant (43).jpg"", ""Bicycle (252).jpg"", ""Bicycle (371).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 3, 5, 7, 8]","[""Bicycle (153).jpg"", ""Bicycle (678).jpg"", ""Bicycle (297).jpg"", ""Bicycle (252).jpg"", ""Bicycle (371).jpg""]",775,1,1,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:12:21.046,2026-05-11T12:12:31.882,10.836,2,1,Click on the images containing bicycles.,"[""Bicycle (626).jpg"", ""Bridge (76).jpg"", ""Stair (116).jpg"", ""Palm (99).jpg"", ""Bicycle (62).jpg"", ""Tlight (42).jpg"", ""Bicycle (611).jpg"", ""Stair (323).jpg"", ""Cross (110).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (626).jpg"", ""Bicycle (62).jpg"", ""Bicycle (611).jpg""]",772,2,2,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:12:31.889,2026-05-11T12:12:50.025,18.136,3,1,Click on the images containing bicycles.,"[""Bicycle (126).jpg"", ""Bicycle (148).jpg"", ""Palm (111).jpg"", ""Tlight (79).jpg"", ""Bicycle (644).jpg"", ""Bicycle (74).jpg"", ""Hydrant (131).jpg"", ""Bicycle (229).jpg"", ""Tlight (111).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 4, 5, 7]","[""Bicycle (126).jpg"", ""Bicycle (148).jpg"", ""Bicycle (644).jpg"", ""Bicycle (74).jpg"", ""Bicycle (229).jpg""]",767,3,3,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:12:50.030,2026-05-11T12:12:57.177,7.147,4,0,Click on the images containing bicycles.,"[""Hydrant (106).jpg"", ""Chimney (113).jpg"", ""Car (27).jpg"", ""Stair (981).jpg"", ""Bicycle (345).jpg"", ""Palm (126).jpg"", ""Bicycle (171).jpg"", ""Hydrant (139).jpg"", ""Bicycle (766).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[4, 6]","[""Bicycle (345).jpg"", ""Bicycle (171).jpg""]",764,4,3,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:12:59.186,2026-05-11T12:13:09.218,10.032,5,1,Click on the images containing bicycles.,"[""Bicycle (463).jpg"", ""Cross (33).jpg"", ""Car (105).jpg"", ""Chimney (63).jpg"", ""Car (116).jpg"", ""Tlight (44).jpg"", ""Bicycle (693).jpg"", ""Bicycle (298).jpg"", ""Bicycle (97).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (463).jpg"", ""Bicycle (693).jpg"", ""Bicycle (298).jpg"", ""Bicycle (97).jpg""]",760,5,4,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:13:09.223,2026-05-11T12:13:16.929,7.706,6,1,Click on the images containing bicycles.,"[""Hydrant (111).jpg"", ""Bicycle (706).jpg"", ""Bicycle (586).jpg"", ""Car (67).jpg"", ""Chimney (120).jpg"", ""Tlight (106).jpg"", ""Stair (1240).jpg"", ""Stair (1100).jpg"", ""Bicycle (698).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (706).jpg"", ""Bicycle (586).jpg"", ""Bicycle (698).jpg""]",757,6,5,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:13:16.934,2026-05-11T12:13:29.025,12.091,7,1,Click on the images containing bicycles.,"[""Stair (748).jpg"", ""Bridge (106).jpg"", ""Bicycle (183).jpg"", ""Bicycle (742).jpg"", ""Stair (1335).jpg"", ""Palm (66).jpg"", ""Bicycle (270).jpg"", ""Bicycle (533).jpg"", ""Cross (12).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (183).jpg"", ""Bicycle (742).jpg"", ""Bicycle (270).jpg"", ""Bicycle (533).jpg""]",753,7,6,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:13:29.029,2026-05-11T12:13:47.937,18.908,8,0,Click on the images containing bicycles.,"[""Bicycle (736).jpg"", ""Bicycle (327).jpg"", ""Hydrant (91).jpg"", ""Cross (117).jpg"", ""Bicycle (163).jpg"", ""Bus (122).jpg"", ""Bicycle (166).jpg"", ""Palm (61).jpg"", ""Stair (1455).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (736).jpg"", ""Bicycle (163).jpg"", ""Bicycle (166).jpg""]",749,8,6,10,submit,
d48744259ced44b59415148e3901862e,captcha_pre,38,18,female,2026-05-11T12:13:49.946,2026-05-11T12:14:11.313,21.367,9,1,Click on the images containing bicycles.,"[""Bicycle (202).jpg"", ""Car (109).jpg"", ""Tlight (104).jpg"", ""Bicycle (744).jpg"", ""Stair (398).jpg"", ""Bicycle (379).jpg"", ""Bicycle (114).jpg"", ""Bridge (102).jpg"", ""Car (47).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 3, 5, 6]","[""Bicycle (202).jpg"", ""Bicycle (744).jpg"", ""Bicycle (379).jpg"", ""Bicycle (114).jpg""]",745,9,7,10,submit,
