exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:00:45.145,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:00:45.176,2026-05-12T10:01:22.472,37.296,1,1,Click on the images containing bicycles.,"[""Car (120).jpg"", ""Car (109).jpg"", ""Chimney (7).jpg"", ""Chimney (23).jpg"", ""Bicycle (527).jpg"", ""Hydrant (76).jpg"", ""Palm (45).jpg"", ""Bicycle (324).jpg"", ""Bicycle (456).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (527).jpg"", ""Bicycle (324).jpg"", ""Bicycle (456).jpg""]",777,1,1,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:01:22.479,2026-05-12T10:01:35.014,12.535,2,1,Click on the images containing bicycles.,"[""Tlight (65).jpg"", ""Stair (1012).jpg"", ""Car (115).jpg"", ""Tlight (123).jpg"", ""Cross (15).jpg"", ""Bicycle (193).jpg"", ""Bicycle (271).jpg"", ""Hydrant (72).jpg"", ""Bicycle (769).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (193).jpg"", ""Bicycle (271).jpg"", ""Bicycle (769).jpg""]",774,2,2,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:01:35.023,2026-05-12T10:01:51.502,16.479,3,1,Click on the images containing bicycles.,"[""Bridge (111).jpg"", ""Bicycle (404).jpg"", ""Bicycle (38).jpg"", ""Bicycle (765).jpg"", ""Bridge (21).jpg"", ""Bicycle (296).jpg"", ""Bus (59).jpg"", ""Stair (681).jpg"", ""Palm (11).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 5]","[""Bicycle (404).jpg"", ""Bicycle (38).jpg"", ""Bicycle (765).jpg"", ""Bicycle (296).jpg""]",770,3,3,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:01:51.507,2026-05-12T10:02:13.765,22.258,4,0,Click on the images containing bicycles.,"[""Bicycle (646).jpg"", ""Hydrant (89).jpg"", ""Bicycle (267).jpg"", ""Bicycle (152).jpg"", ""Chimney (39).jpg"", ""Bicycle (235).jpg"", ""Bicycle (57).jpg"", ""Stair (1095).jpg"", ""Palm (43).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 3, 5]","[""Bicycle (646).jpg"", ""Bicycle (267).jpg"", ""Bicycle (152).jpg"", ""Bicycle (235).jpg""]",765,4,3,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:02:15.772,2026-05-12T10:02:29.815,14.043,5,1,Click on the images containing bicycles.,"[""Car (54).jpg"", ""Bridge (89).jpg"", ""Bicycle (97).jpg"", ""Bicycle (447).jpg"", ""Palm (73).jpg"", ""Hydrant (98).jpg"", ""Bicycle (607).jpg"", ""Bicycle (519).jpg"", ""Bicycle (648).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[2, 3, 6, 7, 8]","[""Bicycle (97).jpg"", ""Bicycle (447).jpg"", ""Bicycle (607).jpg"", ""Bicycle (519).jpg"", ""Bicycle (648).jpg""]",760,5,4,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:02:29.821,2026-05-12T10:02:40.946,11.125,6,1,Click on the images containing bicycles.,"[""Bicycle (202).jpg"", ""Bridge (29).jpg"", ""Bus (65).jpg"", ""Bicycle (575).jpg"", ""Bicycle (587).jpg"", ""Tlight (75).jpg"", ""Chimney (66).jpg"", ""Car (89).jpg"", ""Bridge (56).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (202).jpg"", ""Bicycle (575).jpg"", ""Bicycle (587).jpg""]",757,6,5,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:02:40.953,2026-05-12T10:02:53.573,12.62,7,0,Click on the images containing bicycles.,"[""Bridge (66).jpg"", ""Palm (105).jpg"", ""Bicycle (312).jpg"", ""Palm (92).jpg"", ""Bicycle (137).jpg"", ""Bus (106).jpg"", ""Stair (71).jpg"", ""Bicycle (274).jpg"", ""Bridge (65).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 4]","[""Bicycle (312).jpg"", ""Bicycle (137).jpg""]",754,7,5,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:02:55.584,2026-05-12T10:03:12.990,17.406,8,1,Click on the images containing bicycles.,"[""Bicycle (697).jpg"", ""Bus (57).jpg"", ""Hydrant (124).jpg"", ""Chimney (122).jpg"", ""Bicycle (133).jpg"", ""Tlight (77).jpg"", ""Bicycle (5).jpg"", ""Bicycle (434).jpg"", ""Bicycle (617).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[0, 4, 6, 7, 8]","[""Bicycle (697).jpg"", ""Bicycle (133).jpg"", ""Bicycle (5).jpg"", ""Bicycle (434).jpg"", ""Bicycle (617).jpg""]",749,8,6,10,submit,
7d8eefccdb224f898923a6c601c8ab83,captcha_pre,39,18,female,2026-05-12T10:03:12.995,2026-05-12T10:03:23.173,10.178,9,1,Click on the images containing bicycles.,"[""Hydrant (109).jpg"", ""Bicycle (679).jpg"", ""Bicycle (210).jpg"", ""Chimney (6).jpg"", ""Bicycle (629).jpg"", ""Bicycle (176).jpg"", ""Bicycle (54).jpg"", ""Chimney (30).jpg"", ""Palm (133).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 4, 5, 6]","[""Bicycle (679).jpg"", ""Bicycle (210).jpg"", ""Bicycle (629).jpg"", ""Bicycle (176).jpg"", ""Bicycle (54).jpg""]",744,9,7,10,submit,
