exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:07:57.860,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:07:57.890,2026-05-12T11:08:54.157,56.267,1,1,Click on the images containing bicycles.,"[""Bicycle (130).jpg"", ""Chimney (77).jpg"", ""Palm (78).jpg"", ""Bus (100).jpg"", ""Bicycle (375).jpg"", ""Bicycle (372).jpg"", ""Hydrant (124).jpg"", ""Bicycle (196).jpg"", ""Bicycle (614).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[0, 4, 5, 7, 8]","[""Bicycle (130).jpg"", ""Bicycle (375).jpg"", ""Bicycle (372).jpg"", ""Bicycle (196).jpg"", ""Bicycle (614).jpg""]",775,1,1,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:08:54.162,2026-05-12T11:09:15.386,21.224,2,1,Click on the images containing bicycles.,"[""Bicycle (494).jpg"", ""Tlight (10).jpg"", ""Cross (85).jpg"", ""Bicycle (424).jpg"", ""Cross (55).jpg"", ""Car (100).jpg"", ""Bicycle (20).jpg"", ""Bus (53).jpg"", ""Bridge (74).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (494).jpg"", ""Bicycle (424).jpg"", ""Bicycle (20).jpg""]",772,2,2,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:09:15.389,2026-05-12T11:09:32.740,17.351,3,1,Click on the images containing bicycles.,"[""Bus (79).jpg"", ""Bicycle (117).jpg"", ""Stair (236).jpg"", ""Bicycle (628).jpg"", ""Bicycle (616).jpg"", ""Stair (71).jpg"", ""Bicycle (312).jpg"", ""Chimney (82).jpg"", ""Palm (81).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 4, 6]","[""Bicycle (117).jpg"", ""Bicycle (628).jpg"", ""Bicycle (616).jpg"", ""Bicycle (312).jpg""]",768,3,3,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:09:32.745,2026-05-12T11:09:55.139,22.394,4,1,Click on the images containing bicycles.,"[""Bicycle (530).jpg"", ""Bus (44).jpg"", ""Bicycle (577).jpg"", ""Bicycle (124).jpg"", ""Tlight (55).jpg"", ""Bridge (62).jpg"", ""Car (90).jpg"", ""Car (78).jpg"", ""Cross (92).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3]","[""Bicycle (530).jpg"", ""Bicycle (577).jpg"", ""Bicycle (124).jpg""]",765,4,4,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:09:55.145,2026-05-12T11:10:17.780,22.635,5,1,Click on the images containing bicycles.,"[""Hydrant (42).jpg"", ""Car (62).jpg"", ""Tlight (44).jpg"", ""Bus (83).jpg"", ""Bus (98).jpg"", ""Bicycle (395).jpg"", ""Bicycle (24).jpg"", ""Bicycle (534).jpg"", ""Palm (16).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[5, 6, 7]","[""Bicycle (395).jpg"", ""Bicycle (24).jpg"", ""Bicycle (534).jpg""]",762,5,5,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:10:17.785,2026-05-12T11:10:55.060,37.275,6,1,Click on the images containing bicycles.,"[""Bicycle (713).jpg"", ""Bicycle (274).jpg"", ""Hydrant (132).jpg"", ""Bus (109).jpg"", ""Bicycle (550).jpg"", ""Bicycle (92).jpg"", ""Tlight (83).jpg"", ""Cross (24).jpg"", ""Bicycle (115).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 4, 5, 8]","[""Bicycle (713).jpg"", ""Bicycle (274).jpg"", ""Bicycle (550).jpg"", ""Bicycle (92).jpg"", ""Bicycle (115).jpg""]",757,6,6,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:10:55.066,2026-05-12T11:11:23.685,28.619,7,1,Click on the images containing bicycles.,"[""Hydrant (27).jpg"", ""Stair (1467).jpg"", ""Cross (56).jpg"", ""Bicycle (779).jpg"", ""Bicycle (6).jpg"", ""Chimney (93).jpg"", ""Bicycle (697).jpg"", ""Chimney (30).jpg"", ""Tlight (122).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 4, 6]","[""Bicycle (779).jpg"", ""Bicycle (6).jpg"", ""Bicycle (697).jpg""]",754,7,7,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:11:23.691,2026-05-12T11:11:49.964,26.273,8,1,Click on the images containing bicycles.,"[""Car (57).jpg"", ""Chimney (20).jpg"", ""Bicycle (686).jpg"", ""Bridge (111).jpg"", ""Stair (973).jpg"", ""Bicycle (364).jpg"", ""Chimney (119).jpg"", ""Stair (1358).jpg"", ""Bicycle (13).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 5, 8]","[""Bicycle (686).jpg"", ""Bicycle (364).jpg"", ""Bicycle (13).jpg""]",751,8,8,10,submit,
fc090a6ff748439ea823340006f8409b,captcha_pre,40,38,male,2026-05-12T11:11:49.970,2026-05-12T11:12:09.637,19.667,9,1,Click on the images containing bicycles.,"[""Tlight (97).jpg"", ""Bicycle (269).jpg"", ""Bicycle (607).jpg"", ""Bicycle (296).jpg"", ""Bicycle (233).jpg"", ""Bicycle (591).jpg"", ""Hydrant (104).jpg"", ""Hydrant (47).jpg"", ""Bus (64).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 4, 5]","[""Bicycle (269).jpg"", ""Bicycle (607).jpg"", ""Bicycle (296).jpg"", ""Bicycle (233).jpg"", ""Bicycle (591).jpg""]",746,9,9,10,submit,
