exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:04:38.155,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:04:38.183,2026-05-12T12:05:20.741,42.558,1,0,Click on the images containing bicycles.,"[""Bicycle (585).jpg"", ""Bicycle (508).jpg"", ""Bicycle (106).jpg"", ""Car (59).jpg"", ""Bicycle (415).jpg"", ""Cross (74).jpg"", ""Bus (90).jpg"", ""Bicycle (11).jpg"", ""Hydrant (77).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 4, 7]","[""Bicycle (508).jpg"", ""Bicycle (106).jpg"", ""Bicycle (415).jpg"", ""Bicycle (11).jpg""]",775,1,0,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:05:22.752,2026-05-12T12:05:37.054,14.302,2,1,Click on the images containing bicycles.,"[""Bridge (49).jpg"", ""Chimney (21).jpg"", ""Bicycle (500).jpg"", ""Bicycle (63).jpg"", ""Bicycle (44).jpg"", ""Stair (1467).jpg"", ""Bicycle (6).jpg"", ""Bus (129).jpg"", ""Bicycle (621).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 4, 6, 8]","[""Bicycle (500).jpg"", ""Bicycle (63).jpg"", ""Bicycle (44).jpg"", ""Bicycle (6).jpg"", ""Bicycle (621).jpg""]",770,2,1,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:05:37.063,2026-05-12T12:05:50.205,13.142,3,1,Click on the images containing bicycles.,"[""Cross (13).jpg"", ""Car (112).jpg"", ""Tlight (17).jpg"", ""Bicycle (639).jpg"", ""Stair (243).jpg"", ""Bicycle (474).jpg"", ""Cross (23).jpg"", ""Car (77).jpg"", ""Bicycle (294).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (639).jpg"", ""Bicycle (474).jpg"", ""Bicycle (294).jpg""]",767,3,2,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:05:50.211,2026-05-12T12:05:57.918,7.707,4,1,Click on the images containing bicycles.,"[""Bus (95).jpg"", ""Car (116).jpg"", ""Bicycle (124).jpg"", ""Chimney (119).jpg"", ""Hydrant (34).jpg"", ""Bicycle (371).jpg"", ""Bicycle (36).jpg"", ""Palm (92).jpg"", ""Bicycle (73).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[2, 5, 6, 8]","[""Bicycle (124).jpg"", ""Bicycle (371).jpg"", ""Bicycle (36).jpg"", ""Bicycle (73).jpg""]",763,4,3,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:05:57.923,2026-05-12T12:06:07.340,9.417,5,0,Click on the images containing bicycles.,"[""Bicycle (264).jpg"", ""Palm (64).jpg"", ""Tlight (113).jpg"", ""Bicycle (93).jpg"", ""Bicycle (261).jpg"", ""Stair (1052).jpg"", ""Bridge (43).jpg"", ""Tlight (20).jpg"", ""Palm (77).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 4]","[""Bicycle (264).jpg"", ""Bicycle (261).jpg""]",760,5,3,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:06:09.350,2026-05-12T12:06:21.149,11.799,6,1,Click on the images containing bicycles.,"[""Cross (30).jpg"", ""Palm (102).jpg"", ""Chimney (109).jpg"", ""Bicycle (3).jpg"", ""Bus (89).jpg"", ""Bicycle (284).jpg"", ""Car (130).jpg"", ""Bicycle (288).jpg"", ""Bicycle (187).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[3, 5, 7, 8]","[""Bicycle (3).jpg"", ""Bicycle (284).jpg"", ""Bicycle (288).jpg"", ""Bicycle (187).jpg""]",756,6,4,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:06:21.154,2026-05-12T12:06:33.743,12.589,7,1,Click on the images containing bicycles.,"[""Bicycle (713).jpg"", ""Bicycle (457).jpg"", ""Cross (52).jpg"", ""Tlight (87).jpg"", ""Bicycle (296).jpg"", ""Chimney (91).jpg"", ""Cross (4).jpg"", ""Chimney (123).jpg"", ""Bicycle (413).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 4, 8]","[""Bicycle (713).jpg"", ""Bicycle (457).jpg"", ""Bicycle (296).jpg"", ""Bicycle (413).jpg""]",752,7,5,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:06:33.748,2026-05-12T12:06:42.367,8.619,8,1,Click on the images containing bicycles.,"[""Stair (973).jpg"", ""Palm (6).jpg"", ""Bicycle (756).jpg"", ""Bicycle (590).jpg"", ""Bridge (132).jpg"", ""Bicycle (704).jpg"", ""Tlight (84).jpg"", ""Car (107).jpg"", ""Bicycle (687).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 5, 8]","[""Bicycle (756).jpg"", ""Bicycle (590).jpg"", ""Bicycle (704).jpg"", ""Bicycle (687).jpg""]",748,8,6,10,submit,
7d6366e64e6c4cfdba0bab82b1604f44,captcha_pre,41,18,female,2026-05-12T12:06:42.372,2026-05-12T12:06:51.751,9.379,9,1,Click on the images containing bicycles.,"[""Chimney (95).jpg"", ""Stair (544).jpg"", ""Bicycle (226).jpg"", ""Bicycle (131).jpg"", ""Bicycle (715).jpg"", ""Tlight (43).jpg"", ""Stair (1151).jpg"", ""Bus (25).jpg"", ""Palm (7).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (226).jpg"", ""Bicycle (131).jpg"", ""Bicycle (715).jpg""]",745,9,7,10,submit,
