exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:57:37.119,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:57:37.139,2026-05-12T12:58:10.615,33.476,1,1,Click on the images containing bicycles.,"[""Chimney (101).jpg"", ""Cross (5).jpg"", ""Tlight (80).jpg"", ""Bicycle (258).jpg"", ""Bicycle (165).jpg"", ""Bicycle (42).jpg"", ""Bicycle (552).jpg"", ""Bicycle (352).jpg"", ""Chimney (121).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T"", ""D""]","[3, 4, 5, 6, 7]","[""Bicycle (258).jpg"", ""Bicycle (165).jpg"", ""Bicycle (42).jpg"", ""Bicycle (552).jpg"", ""Bicycle (352).jpg""]",775,1,1,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:58:10.620,2026-05-12T12:58:23.886,13.266,2,1,Click on the images containing bicycles.,"[""Bus (107).jpg"", ""Hydrant (22).jpg"", ""Bicycle (494).jpg"", ""Hydrant (24).jpg"", ""Bus (96).jpg"", ""Stair (838).jpg"", ""Bicycle (777).jpg"", ""Bus (81).jpg"", ""Bicycle (715).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 6, 8]","[""Bicycle (494).jpg"", ""Bicycle (777).jpg"", ""Bicycle (715).jpg""]",772,2,2,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:58:23.891,2026-05-12T12:58:40.327,16.436,3,1,Click on the images containing bicycles.,"[""Hydrant (32).jpg"", ""Bus (128).jpg"", ""Bicycle (690).jpg"", ""Palm (119).jpg"", ""Bicycle (639).jpg"", ""Bicycle (767).jpg"", ""Bicycle (708).jpg"", ""Cross (3).jpg"", ""Bicycle (750).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (690).jpg"", ""Bicycle (639).jpg"", ""Bicycle (767).jpg"", ""Bicycle (708).jpg"", ""Bicycle (750).jpg""]",767,3,3,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:58:40.332,2026-05-12T12:58:50.125,9.793,4,1,Click on the images containing bicycles.,"[""Cross (66).jpg"", ""Palm (121).jpg"", ""Bridge (136).jpg"", ""Bicycle (225).jpg"", ""Chimney (62).jpg"", ""Bicycle (208).jpg"", ""Bicycle (709).jpg"", ""Bridge (111).jpg"", ""Bicycle (168).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[3, 5, 6, 8]","[""Bicycle (225).jpg"", ""Bicycle (208).jpg"", ""Bicycle (709).jpg"", ""Bicycle (168).jpg""]",763,4,4,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:58:50.130,2026-05-12T12:58:58.637,8.507,5,1,Click on the images containing bicycles.,"[""Hydrant (54).jpg"", ""Stair (208).jpg"", ""Cross (21).jpg"", ""Bridge (89).jpg"", ""Bicycle (620).jpg"", ""Bicycle (542).jpg"", ""Stair (705).jpg"", ""Bicycle (340).jpg"", ""Bicycle (663).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (620).jpg"", ""Bicycle (542).jpg"", ""Bicycle (340).jpg"", ""Bicycle (663).jpg""]",759,5,5,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:58:58.643,2026-05-12T12:59:08.054,9.411,6,1,Click on the images containing bicycles.,"[""Hydrant (48).jpg"", ""Tlight (93).jpg"", ""Bicycle (198).jpg"", ""Chimney (21).jpg"", ""Bicycle (676).jpg"", ""Bicycle (619).jpg"", ""Tlight (9).jpg"", ""Car (32).jpg"", ""Cross (90).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 4, 5]","[""Bicycle (198).jpg"", ""Bicycle (676).jpg"", ""Bicycle (619).jpg""]",756,6,6,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:59:08.059,2026-05-12T12:59:17.557,9.498,7,1,Click on the images containing bicycles.,"[""Bicycle (747).jpg"", ""Bicycle (445).jpg"", ""Bridge (75).jpg"", ""Car (40).jpg"", ""Bicycle (304).jpg"", ""Bridge (65).jpg"", ""Car (38).jpg"", ""Cross (37).jpg"", ""Tlight (114).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (747).jpg"", ""Bicycle (445).jpg"", ""Bicycle (304).jpg""]",753,7,7,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:59:17.563,2026-05-12T12:59:27.621,10.058,8,1,Click on the images containing bicycles.,"[""Bicycle (463).jpg"", ""Stair (418).jpg"", ""Bicycle (498).jpg"", ""Bus (37).jpg"", ""Bicycle (152).jpg"", ""Bicycle (541).jpg"", ""Chimney (90).jpg"", ""Hydrant (35).jpg"", ""Bridge (118).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 4, 5]","[""Bicycle (463).jpg"", ""Bicycle (498).jpg"", ""Bicycle (152).jpg"", ""Bicycle (541).jpg""]",749,8,8,10,submit,
37a96095f39f4370a745a7e32ebf11d5,captcha_pre,42,22,female,2026-05-12T12:59:27.627,2026-05-12T12:59:40.048,12.421,9,1,Click on the images containing bicycles.,"[""Bicycle (137).jpg"", ""Cross (71).jpg"", ""Bicycle (317).jpg"", ""Bus (104).jpg"", ""Bridge (69).jpg"", ""Bicycle (77).jpg"", ""Palm (63).jpg"", ""Car (102).jpg"", ""Tlight (95).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 5]","[""Bicycle (137).jpg"", ""Bicycle (317).jpg"", ""Bicycle (77).jpg""]",746,9,9,10,submit,
