exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T13:59:14.285,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T13:59:14.313,2026-05-12T13:59:47.179,32.866,1,0,Click on the images containing bicycles.,"[""Bicycle (239).jpg"", ""Stair (749).jpg"", ""Hydrant (59).jpg"", ""Car (131).jpg"", ""Bicycle (510).jpg"", ""Bicycle (643).jpg"", ""Cross (73).jpg"", ""Bicycle (717).jpg"", ""Bicycle (36).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (510).jpg"", ""Bicycle (643).jpg"", ""Bicycle (717).jpg"", ""Bicycle (36).jpg""]",775,1,0,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T13:59:49.188,2026-05-12T14:00:04.387,15.199,2,1,Click on the images containing bicycles.,"[""Hydrant (63).jpg"", ""Palm (122).jpg"", ""Bicycle (760).jpg"", ""Bicycle (8).jpg"", ""Hydrant (56).jpg"", ""Stair (1459).jpg"", ""Bicycle (353).jpg"", ""Bicycle (165).jpg"", ""Bicycle (222).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[2, 3, 6, 7, 8]","[""Bicycle (760).jpg"", ""Bicycle (8).jpg"", ""Bicycle (353).jpg"", ""Bicycle (165).jpg"", ""Bicycle (222).jpg""]",770,2,1,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:00:04.392,2026-05-12T14:00:19.273,14.881,3,1,Click on the images containing bicycles.,"[""Palm (57).jpg"", ""Stair (672).jpg"", ""Bicycle (328).jpg"", ""Cross (2).jpg"", ""Bicycle (506).jpg"", ""Bicycle (343).jpg"", ""Bicycle (753).jpg"", ""Bus (67).jpg"", ""Bicycle (475).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (328).jpg"", ""Bicycle (506).jpg"", ""Bicycle (343).jpg"", ""Bicycle (753).jpg"", ""Bicycle (475).jpg""]",765,3,2,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:00:19.278,2026-05-12T14:00:34.418,15.14,4,0,Click on the images containing bicycles.,"[""Bicycle (11).jpg"", ""Bicycle (302).jpg"", ""Bicycle (25).jpg"", ""Car (34).jpg"", ""Bus (53).jpg"", ""Palm (67).jpg"", ""Tlight (70).jpg"", ""Bicycle (139).jpg"", ""Tlight (92).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (11).jpg"", ""Bicycle (302).jpg"", ""Bicycle (139).jpg""]",761,4,2,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:00:36.427,2026-05-12T14:00:50.399,13.972,5,1,Click on the images containing bicycles.,"[""Bicycle (439).jpg"", ""Chimney (92).jpg"", ""Bicycle (253).jpg"", ""Stair (427).jpg"", ""Bicycle (461).jpg"", ""Cross (56).jpg"", ""Bicycle (124).jpg"", ""Bridge (34).jpg"", ""Tlight (102).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (439).jpg"", ""Bicycle (253).jpg"", ""Bicycle (461).jpg"", ""Bicycle (124).jpg""]",757,5,3,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:00:50.402,2026-05-12T14:01:04.151,13.749,6,1,Click on the images containing bicycles.,"[""Bridge (98).jpg"", ""Bicycle (192).jpg"", ""Stair (884).jpg"", ""Bicycle (597).jpg"", ""Stair (840).jpg"", ""Bicycle (414).jpg"", ""Bicycle (123).jpg"", ""Bus (23).jpg"", ""Bicycle (130).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 3, 5, 6, 8]","[""Bicycle (192).jpg"", ""Bicycle (597).jpg"", ""Bicycle (414).jpg"", ""Bicycle (123).jpg"", ""Bicycle (130).jpg""]",752,6,4,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:01:04.157,2026-05-12T14:01:21.131,16.974,7,1,Click on the images containing bicycles.,"[""Bus (59).jpg"", ""Bicycle (260).jpg"", ""Bicycle (498).jpg"", ""Bicycle (178).jpg"", ""Chimney (128).jpg"", ""Chimney (115).jpg"", ""Bicycle (389).jpg"", ""Bus (100).jpg"", ""Chimney (96).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 6]","[""Bicycle (260).jpg"", ""Bicycle (498).jpg"", ""Bicycle (178).jpg"", ""Bicycle (389).jpg""]",748,7,5,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:01:21.136,2026-05-12T14:01:33.578,12.442,8,1,Click on the images containing bicycles.,"[""Tlight (93).jpg"", ""Tlight (61).jpg"", ""Bicycle (51).jpg"", ""Bicycle (480).jpg"", ""Chimney (126).jpg"", ""Bicycle (641).jpg"", ""Cross (51).jpg"", ""Hydrant (53).jpg"", ""Palm (60).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 5]","[""Bicycle (51).jpg"", ""Bicycle (480).jpg"", ""Bicycle (641).jpg""]",745,8,6,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:01:33.583,2026-05-12T14:01:44.411,10.828,9,1,Click on the images containing bicycles.,"[""Palm (111).jpg"", ""Bicycle (579).jpg"", ""Bicycle (128).jpg"", ""Stair (1031).jpg"", ""Bridge (44).jpg"", ""Car (117).jpg"", ""Palm (117).jpg"", ""Bicycle (143).jpg"", ""Car (39).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 7]","[""Bicycle (579).jpg"", ""Bicycle (128).jpg"", ""Bicycle (143).jpg""]",742,9,7,10,submit,
907a2daa3fe54a0ca3ead9847e09b46a,captcha_pre,43,18,male,2026-05-12T14:01:44.415,2026-05-12T14:01:56.595,12.18,10,1,Click on the images containing bicycles.,"[""Bridge (66).jpg"", ""Hydrant (27).jpg"", ""Bicycle (168).jpg"", ""Chimney (68).jpg"", ""Chimney (2).jpg"", ""Bicycle (399).jpg"", ""Stair (544).jpg"", ""Bicycle (157).jpg"", ""Bicycle (489).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[2, 5, 7, 8]","[""Bicycle (168).jpg"", ""Bicycle (399).jpg"", ""Bicycle (157).jpg"", ""Bicycle (489).jpg""]",738,10,8,10,submit,
