exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:17:14.811,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:17:14.941,2026-05-14T09:17:52.888,37.947,1,1,Click on the images containing bicycles.,"[""Bicycle (193).jpg"", ""Bicycle (49).jpg"", ""Stair (165).jpg"", ""Bicycle (511).jpg"", ""Bicycle (645).jpg"", ""Car (117).jpg"", ""Tlight (83).jpg"", ""Tlight (2).jpg"", ""Car (44).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3, 4]","[""Bicycle (193).jpg"", ""Bicycle (49).jpg"", ""Bicycle (511).jpg"", ""Bicycle (645).jpg""]",776,1,1,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:17:52.894,2026-05-14T09:18:07.351,14.457,2,1,Click on the images containing bicycles.,"[""Cross (119).jpg"", ""Car (51).jpg"", ""Car (55).jpg"", ""Bicycle (219).jpg"", ""Chimney (14).jpg"", ""Bicycle (504).jpg"", ""Cross (76).jpg"", ""Car (128).jpg"", ""Bicycle (694).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (219).jpg"", ""Bicycle (504).jpg"", ""Bicycle (694).jpg""]",773,2,2,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:18:07.357,2026-05-14T09:18:24.503,17.146,3,1,Click on the images containing bicycles.,"[""Stair (109).jpg"", ""Palm (56).jpg"", ""Bicycle (392).jpg"", ""Bicycle (61).jpg"", ""Car (33).jpg"", ""Bicycle (8).jpg"", ""Bicycle (281).jpg"", ""Bicycle (204).jpg"", ""Palm (48).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 3, 5, 6, 7]","[""Bicycle (392).jpg"", ""Bicycle (61).jpg"", ""Bicycle (8).jpg"", ""Bicycle (281).jpg"", ""Bicycle (204).jpg""]",768,3,3,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:18:24.508,2026-05-14T09:18:40.728,16.22,4,1,Click on the images containing bicycles.,"[""Bicycle (541).jpg"", ""Tlight (73).jpg"", ""Bicycle (126).jpg"", ""Bus (128).jpg"", ""Bridge (106).jpg"", ""Bicycle (445).jpg"", ""Bus (25).jpg"", ""Bicycle (149).jpg"", ""Stair (443).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 5, 7]","[""Bicycle (541).jpg"", ""Bicycle (126).jpg"", ""Bicycle (445).jpg"", ""Bicycle (149).jpg""]",764,4,4,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:18:40.733,2026-05-14T09:19:00.016,19.283,5,1,Click on the images containing bicycles.,"[""Bicycle (486).jpg"", ""Palm (46).jpg"", ""Bicycle (145).jpg"", ""Bicycle (287).jpg"", ""Hydrant (114).jpg"", ""Bicycle (30).jpg"", ""Car (69).jpg"", ""Bridge (96).jpg"", ""Hydrant (38).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 3, 5]","[""Bicycle (486).jpg"", ""Bicycle (145).jpg"", ""Bicycle (287).jpg"", ""Bicycle (30).jpg""]",760,5,5,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:19:00.021,2026-05-14T09:19:11.421,11.4,6,1,Click on the images containing bicycles.,"[""Bicycle (74).jpg"", ""Hydrant (43).jpg"", ""Bus (28).jpg"", ""Bus (49).jpg"", ""Palm (84).jpg"", ""Bicycle (660).jpg"", ""Bicycle (251).jpg"", ""Chimney (32).jpg"", ""Tlight (113).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (74).jpg"", ""Bicycle (660).jpg"", ""Bicycle (251).jpg""]",757,6,6,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:19:11.424,2026-05-14T09:19:23.271,11.847,7,1,Click on the images containing bicycles.,"[""Hydrant (27).jpg"", ""Bicycle (419).jpg"", ""Car (30).jpg"", ""Chimney (92).jpg"", ""Cross (10).jpg"", ""Bicycle (662).jpg"", ""Bicycle (616).jpg"", ""Tlight (77).jpg"", ""Cross (64).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5, 6]","[""Bicycle (419).jpg"", ""Bicycle (662).jpg"", ""Bicycle (616).jpg""]",754,7,7,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:19:23.276,2026-05-14T09:19:36.185,12.909,8,1,Click on the images containing bicycles.,"[""Car (104).jpg"", ""Bicycle (608).jpg"", ""Tlight (136).jpg"", ""Bridge (44).jpg"", ""Bicycle (628).jpg"", ""Bicycle (146).jpg"", ""Tlight (80).jpg"", ""Bicycle (388).jpg"", ""Bicycle (368).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (608).jpg"", ""Bicycle (628).jpg"", ""Bicycle (146).jpg"", ""Bicycle (388).jpg"", ""Bicycle (368).jpg""]",749,8,8,10,submit,
cac2c0de502348bfad795df71f2a1e71,captcha_pre,45,17,male,2026-05-14T09:19:36.190,2026-05-14T09:19:49.082,12.892,9,1,Click on the images containing bicycles.,"[""Bicycle (477).jpg"", ""Bicycle (779).jpg"", ""Hydrant (36).jpg"", ""Chimney (42).jpg"", ""Stair (681).jpg"", ""Bicycle (613).jpg"", ""Tlight (140).jpg"", ""Bicycle (166).jpg"", ""Bicycle (552).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 1, 5, 7, 8]","[""Bicycle (477).jpg"", ""Bicycle (779).jpg"", ""Bicycle (613).jpg"", ""Bicycle (166).jpg"", ""Bicycle (552).jpg""]",744,9,9,10,submit,
