exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:05:54.572,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:05:54.598,2026-05-14T12:06:35.630,41.032,1,1,Click on the images containing bicycles.,"[""Cross (48).jpg"", ""Bicycle (322).jpg"", ""Tlight (50).jpg"", ""Bicycle (65).jpg"", ""Chimney (19).jpg"", ""Bicycle (309).jpg"", ""Bicycle (370).jpg"", ""Bicycle (567).jpg"", ""Bus (106).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 3, 5, 6, 7]","[""Bicycle (322).jpg"", ""Bicycle (65).jpg"", ""Bicycle (309).jpg"", ""Bicycle (370).jpg"", ""Bicycle (567).jpg""]",775,1,1,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:06:35.635,2026-05-14T12:06:48.269,12.634,2,1,Click on the images containing bicycles.,"[""Chimney (27).jpg"", ""Palm (133).jpg"", ""Car (102).jpg"", ""Palm (82).jpg"", ""Bicycle (56).jpg"", ""Bicycle (113).jpg"", ""Tlight (76).jpg"", ""Bicycle (124).jpg"", ""Bicycle (167).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (56).jpg"", ""Bicycle (113).jpg"", ""Bicycle (124).jpg"", ""Bicycle (167).jpg""]",771,2,2,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:06:48.275,2026-05-14T12:06:59.230,10.955,3,1,Click on the images containing bicycles.,"[""Bicycle (350).jpg"", ""Tlight (111).jpg"", ""Car (55).jpg"", ""Chimney (30).jpg"", ""Cross (26).jpg"", ""Bicycle (122).jpg"", ""Tlight (114).jpg"", ""Bicycle (549).jpg"", ""Car (94).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (350).jpg"", ""Bicycle (122).jpg"", ""Bicycle (549).jpg""]",768,3,3,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:06:59.235,2026-05-14T12:07:11.022,11.787,4,1,Click on the images containing bicycles.,"[""Chimney (43).jpg"", ""Bicycle (368).jpg"", ""Car (57).jpg"", ""Bicycle (711).jpg"", ""Bicycle (5).jpg"", ""Hydrant (123).jpg"", ""Bicycle (753).jpg"", ""Tlight (42).jpg"", ""Bicycle (178).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 4, 6, 8]","[""Bicycle (368).jpg"", ""Bicycle (711).jpg"", ""Bicycle (5).jpg"", ""Bicycle (753).jpg"", ""Bicycle (178).jpg""]",763,4,4,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:11.028,2026-05-14T12:07:17.318,6.29,5,1,Click on the images containing bicycles.,"[""Palm (55).jpg"", ""Tlight (13).jpg"", ""Bicycle (34).jpg"", ""Bicycle (324).jpg"", ""Bicycle (8).jpg"", ""Stair (439).jpg"", ""Bicycle (11).jpg"", ""Bicycle (217).jpg"", ""Chimney (40).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 4, 6, 7]","[""Bicycle (34).jpg"", ""Bicycle (324).jpg"", ""Bicycle (8).jpg"", ""Bicycle (11).jpg"", ""Bicycle (217).jpg""]",758,5,5,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:17.323,2026-05-14T12:07:24.438,7.115,6,1,Click on the images containing bicycles.,"[""Chimney (106).jpg"", ""Stair (282).jpg"", ""Hydrant (41).jpg"", ""Bicycle (519).jpg"", ""Bicycle (206).jpg"", ""Stair (1221).jpg"", ""Car (116).jpg"", ""Bicycle (594).jpg"", ""Bicycle (616).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[3, 4, 7, 8]","[""Bicycle (519).jpg"", ""Bicycle (206).jpg"", ""Bicycle (594).jpg"", ""Bicycle (616).jpg""]",754,6,6,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:24.443,2026-05-14T12:07:33.085,8.642,7,1,Click on the images containing bicycles.,"[""Bicycle (360).jpg"", ""Chimney (105).jpg"", ""Chimney (116).jpg"", ""Bicycle (98).jpg"", ""Cross (16).jpg"", ""Palm (64).jpg"", ""Hydrant (98).jpg"", ""Bridge (35).jpg"", ""Bicycle (397).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (360).jpg"", ""Bicycle (98).jpg"", ""Bicycle (397).jpg""]",751,7,7,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:33.090,2026-05-14T12:07:42.286,9.196,8,1,Click on the images containing bicycles.,"[""Cross (110).jpg"", ""Bicycle (311).jpg"", ""Chimney (124).jpg"", ""Bicycle (89).jpg"", ""Bicycle (712).jpg"", ""Cross (72).jpg"", ""Bicycle (343).jpg"", ""Palm (54).jpg"", ""Bus (72).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 4, 6]","[""Bicycle (311).jpg"", ""Bicycle (89).jpg"", ""Bicycle (712).jpg"", ""Bicycle (343).jpg""]",747,8,8,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:42.291,2026-05-14T12:07:48.710,6.419,9,1,Click on the images containing bicycles.,"[""Bicycle (600).jpg"", ""Bicycle (155).jpg"", ""Bus (111).jpg"", ""Tlight (60).jpg"", ""Bicycle (396).jpg"", ""Palm (73).jpg"", ""Hydrant (133).jpg"", ""Hydrant (53).jpg"", ""Chimney (126).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (600).jpg"", ""Bicycle (155).jpg"", ""Bicycle (396).jpg""]",744,9,9,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:48.715,2026-05-14T12:07:55.253,6.538,10,1,Click on the images containing bicycles.,"[""Bicycle (738).jpg"", ""Car (80).jpg"", ""Cross (82).jpg"", ""Bicycle (304).jpg"", ""Hydrant (35).jpg"", ""Chimney (73).jpg"", ""Bicycle (94).jpg"", ""Bridge (77).jpg"", ""Bicycle (603).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 6, 8]","[""Bicycle (738).jpg"", ""Bicycle (304).jpg"", ""Bicycle (94).jpg"", ""Bicycle (603).jpg""]",740,10,10,10,submit,
b99a2b7b8dd84149960b13cb998f42d7,captcha_pre,47,19,male,2026-05-14T12:07:48.715,2026-05-14T12:07:57.445,8.73,10,,Click on the images containing bicycles.,[],[],[],[],740,10,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
b99a2b7b8dd84149960b13cb998f42d7,q_pre_captcha,47,19,male,2026-05-14T12:07:57.455,2026-05-14T12:08:24.789,27.334,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""2"", ""general_captcha_liking"": ""3"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""3""}"
b99a2b7b8dd84149960b13cb998f42d7,q_pre_idaq,47,19,male,2026-05-14T12:08:24.802,2026-05-14T12:10:46.494,141.692,,,,,,,,,,,,submit,"{""idaq_10"": ""3"", ""idaq_17"": ""5"", ""idaq_18"": ""3"", ""idaq_15"": ""4"", ""idaq_21"": ""4"", ""idaq_23"": ""2"", ""idaq_6"": ""9"", ""idaq_9"": ""1"", ""idaq_28"": ""9"", ""idaq_27"": ""8"", ""idaq_14"": ""3"", ""idaq_2"": ""2"", ""idaq_7"": ""1"", ""idaq_3"": ""1"", ""idaq_20"": ""9"", ""idaq_12"": ""7"", ""idaq_11"": ""2"", ""idaq_1"": ""6"", ""idaq_5"": ""3"", ""idaq_29"": ""8"", ""idaq_19"": ""9"", ""idaq_4"": ""4"", ""idaq_16"": ""7"", ""idaq_22"": ""8"", ""idaq_30"": ""6"", ""idaq_13"": ""2"", ""idaq_8"": ""4"", ""idaq_24"": ""7"", ""idaq_26"": ""1"", ""idaq_25"": ""4""}"
b99a2b7b8dd84149960b13cb998f42d7,q_pre_2050,47,19,male,2026-05-14T12:10:46.505,2026-05-14T12:12:55.558,129.053,,,,,,,,,,,,submit,"{""2050_mannequins"": ""4"", ""2050_nursing_home"": ""3"", ""2050_shelters"": ""1"", ""2050_neurosurgery"": ""4"", ""2050_sports"": ""3"", ""2050_rubbish_collectors"": ""7"", ""2050_other_worlds"": ""4"", ""2050_rights"": ""2"", ""2050_police"": ""3"", ""2050_crime"": ""7"", ""2050_flight_attendants"": ""2"", ""2050_school"": ""3"", ""2050_art"": ""2"", ""2050_hiking"": ""5"", ""2050_experiments"": ""2""}"
b99a2b7b8dd84149960b13cb998f42d7,q_post_gators,47,19,male,2026-05-14T12:26:03.434,2026-05-14T12:28:13.144,129.71,,,,,,,,,,,,submit,"{""gators_13"": ""6"", ""gators_15"": ""5"", ""gators_7"": ""6"", ""gators_12"": ""5"", ""gators_10"": ""6"", ""gators_11"": ""5"", ""gators_3"": ""3"", ""gators_1"": ""6"", ""gators_4"": ""4"", ""gators_6"": ""6"", ""gators_20"": ""5"", ""gators_19"": ""6"", ""gators_18"": ""6"", ""gators_14"": ""6"", ""gators_9"": ""5"", ""gators_17"": ""6"", ""gators_5"": ""3"", ""gators_16"": ""6"", ""gators_2"": ""5"", ""gators_8"": ""3""}"
