exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:52:30.778,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:52:30.804,2026-05-14T13:53:01.305,30.501,1,1,Click on the images containing bicycles.,"[""Car (44).jpg"", ""Stair (896).jpg"", ""Bicycle (648).jpg"", ""Hydrant (53).jpg"", ""Bicycle (114).jpg"", ""Bicycle (319).jpg"", ""Bicycle (35).jpg"", ""Cross (63).jpg"", ""Palm (14).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 4, 5, 6]","[""Bicycle (648).jpg"", ""Bicycle (114).jpg"", ""Bicycle (319).jpg"", ""Bicycle (35).jpg""]",776,1,1,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:53:01.319,2026-05-14T13:53:13.324,12.005,2,0,Click on the images containing bicycles.,"[""Stair (1416).jpg"", ""Bicycle (107).jpg"", ""Bicycle (110).jpg"", ""Bicycle (522).jpg"", ""Bus (82).jpg"", ""Bicycle (156).jpg"", ""Stair (1000).jpg"", ""Car (133).jpg"", ""Bicycle (109).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 5, 8]","[""Bicycle (110).jpg"", ""Bicycle (522).jpg"", ""Bicycle (156).jpg"", ""Bicycle (109).jpg""]",771,2,1,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:53:15.335,2026-05-14T13:53:21.860,6.525,3,1,Click on the images containing bicycles.,"[""Bicycle (152).jpg"", ""Bicycle (695).jpg"", ""Palm (81).jpg"", ""Hydrant (42).jpg"", ""Chimney (123).jpg"", ""Stair (398).jpg"", ""Bridge (55).jpg"", ""Chimney (86).jpg"", ""Bicycle (354).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (152).jpg"", ""Bicycle (695).jpg"", ""Bicycle (354).jpg""]",768,3,2,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:53:21.867,2026-05-14T13:53:35.531,13.664,4,1,Click on the images containing bicycles.,"[""Bicycle (424).jpg"", ""Chimney (40).jpg"", ""Bicycle (758).jpg"", ""Palm (136).jpg"", ""Bicycle (281).jpg"", ""Bicycle (639).jpg"", ""Bridge (48).jpg"", ""Bicycle (409).jpg"", ""Car (131).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 4, 5, 7]","[""Bicycle (424).jpg"", ""Bicycle (758).jpg"", ""Bicycle (281).jpg"", ""Bicycle (639).jpg"", ""Bicycle (409).jpg""]",763,4,3,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:53:35.536,2026-05-14T13:53:43.099,7.563,5,0,Click on the images containing bicycles.,"[""Bus (97).jpg"", ""Tlight (13).jpg"", ""Stair (1134).jpg"", ""Bicycle (331).jpg"", ""Bicycle (703).jpg"", ""Chimney (115).jpg"", ""Bicycle (360).jpg"", ""Cross (62).jpg"", ""Tlight (96).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 6]","[""Bicycle (331).jpg"", ""Bicycle (360).jpg""]",760,5,3,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:53:45.111,2026-05-14T13:53:54.330,9.219,6,1,Click on the images containing bicycles.,"[""Tlight (51).jpg"", ""Bicycle (754).jpg"", ""Bridge (140).jpg"", ""Bicycle (645).jpg"", ""Bicycle (614).jpg"", ""Bridge (23).jpg"", ""Stair (748).jpg"", ""Palm (121).jpg"", ""Bus (90).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 3, 4]","[""Bicycle (754).jpg"", ""Bicycle (645).jpg"", ""Bicycle (614).jpg""]",757,6,4,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:53:54.335,2026-05-14T13:54:02.627,8.292,7,1,Click on the images containing bicycles.,"[""Stair (1095).jpg"", ""Bicycle (510).jpg"", ""Bicycle (744).jpg"", ""Bicycle (179).jpg"", ""Chimney (51).jpg"", ""Cross (112).jpg"", ""Car (58).jpg"", ""Tlight (83).jpg"", ""Hydrant (87).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3]","[""Bicycle (510).jpg"", ""Bicycle (744).jpg"", ""Bicycle (179).jpg""]",754,7,5,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:54:02.633,2026-05-14T13:54:10.629,7.996,8,1,Click on the images containing bicycles.,"[""Bus (66).jpg"", ""Bus (96).jpg"", ""Bicycle (313).jpg"", ""Bicycle (15).jpg"", ""Bicycle (469).jpg"", ""Bicycle (473).jpg"", ""Chimney (105).jpg"", ""Chimney (95).jpg"", ""Bridge (85).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 4, 5]","[""Bicycle (313).jpg"", ""Bicycle (15).jpg"", ""Bicycle (469).jpg"", ""Bicycle (473).jpg""]",750,8,6,10,submit,
831af3997c02419d89911a6b60265c07,captcha_pre,49,18,male,2026-05-14T13:54:10.634,2026-05-14T13:54:17.154,6.52,9,1,Click on the images containing bicycles.,"[""Bus (64).jpg"", ""Bicycle (765).jpg"", ""Palm (118).jpg"", ""Bicycle (658).jpg"", ""Bus (106).jpg"", ""Tlight (20).jpg"", ""Hydrant (62).jpg"", ""Tlight (9).jpg"", ""Bicycle (201).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 8]","[""Bicycle (765).jpg"", ""Bicycle (658).jpg"", ""Bicycle (201).jpg""]",747,9,7,10,submit,
