exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:02:43.823,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:02:43.853,2026-05-18T08:03:14.210,30.357,1,0,Click on the images containing bicycles.,"[""Bicycle (12).jpg"", ""Bicycle (80).jpg"", ""Bicycle (763).jpg"", ""Palm (45).jpg"", ""Bicycle (2).jpg"", ""Bicycle (112).jpg"", ""Cross (40).jpg"", ""Tlight (54).jpg"", ""Chimney (41).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]",[0],"[""Bicycle (12).jpg""]",775,1,0,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:03:16.219,2026-05-18T08:03:22.793,6.574,2,0,Click on the images containing bicycles.,"[""Bicycle (623).jpg"", ""Bicycle (204).jpg"", ""Cross (28).jpg"", ""Bicycle (769).jpg"", ""Car (54).jpg"", ""Bridge (128).jpg"", ""Bridge (48).jpg"", ""Bicycle (367).jpg"", ""Stair (1037).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]",[0],"[""Bicycle (623).jpg""]",771,2,0,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:03:24.802,2026-05-18T08:03:29.601,4.799,3,0,Click on the images containing bicycles.,"[""Hydrant (42).jpg"", ""Bridge (99).jpg"", ""Bus (135).jpg"", ""Bicycle (412).jpg"", ""Bicycle (76).jpg"", ""Tlight (85).jpg"", ""Tlight (8).jpg"", ""Cross (5).jpg"", ""Bicycle (214).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]",[8],"[""Bicycle (214).jpg""]",768,3,0,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:03:31.613,2026-05-18T08:04:00.473,28.86,4,0,Click on the images containing bicycles.,"[""Bicycle (130).jpg"", ""Cross (17).jpg"", ""Bus (87).jpg"", ""Bus (123).jpg"", ""Bicycle (426).jpg"", ""Bicycle (451).jpg"", ""Bicycle (574).jpg"", ""Bicycle (666).jpg"", ""Stair (1224).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[0, 5, 6, 7]","[""Bicycle (130).jpg"", ""Bicycle (451).jpg"", ""Bicycle (574).jpg"", ""Bicycle (666).jpg""]",763,4,0,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:02.486,2026-05-18T08:04:12.480,9.994,5,1,Click on the images containing bicycles.,"[""Hydrant (139).jpg"", ""Bicycle (312).jpg"", ""Hydrant (138).jpg"", ""Car (46).jpg"", ""Bicycle (637).jpg"", ""Bicycle (315).jpg"", ""Bus (78).jpg"", ""Bicycle (223).jpg"", ""Bicycle (213).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[1, 4, 5, 7, 8]","[""Bicycle (312).jpg"", ""Bicycle (637).jpg"", ""Bicycle (315).jpg"", ""Bicycle (223).jpg"", ""Bicycle (213).jpg""]",758,5,1,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:12.485,2026-05-18T08:04:21.938,9.453,6,1,Click on the images containing bicycles.,"[""Chimney (94).jpg"", ""Bicycle (538).jpg"", ""Cross (74).jpg"", ""Tlight (67).jpg"", ""Bicycle (545).jpg"", ""Cross (47).jpg"", ""Bicycle (740).jpg"", ""Hydrant (72).jpg"", ""Bicycle (560).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[1, 4, 6, 8]","[""Bicycle (538).jpg"", ""Bicycle (545).jpg"", ""Bicycle (740).jpg"", ""Bicycle (560).jpg""]",754,6,2,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:21.943,2026-05-18T08:04:32.985,11.042,7,1,Click on the images containing bicycles.,"[""Tlight (63).jpg"", ""Bicycle (441).jpg"", ""Bicycle (227).jpg"", ""Bicycle (310).jpg"", ""Bicycle (121).jpg"", ""Palm (101).jpg"", ""Bus (132).jpg"", ""Bicycle (539).jpg"", ""Chimney (29).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 4, 7]","[""Bicycle (441).jpg"", ""Bicycle (227).jpg"", ""Bicycle (310).jpg"", ""Bicycle (121).jpg"", ""Bicycle (539).jpg""]",749,7,3,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:32.990,2026-05-18T08:04:41.753,8.763,8,1,Click on the images containing bicycles.,"[""Hydrant (95).jpg"", ""Bicycle (567).jpg"", ""Bicycle (746).jpg"", ""Tlight (96).jpg"", ""Bicycle (598).jpg"", ""Tlight (80).jpg"", ""Bicycle (40).jpg"", ""Bus (91).jpg"", ""Bus (26).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 4, 6]","[""Bicycle (567).jpg"", ""Bicycle (746).jpg"", ""Bicycle (598).jpg"", ""Bicycle (40).jpg""]",745,8,4,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:41.758,2026-05-18T08:04:48.542,6.784,9,1,Click on the images containing bicycles.,"[""Bridge (56).jpg"", ""Hydrant (132).jpg"", ""Bridge (35).jpg"", ""Bicycle (669).jpg"", ""Tlight (16).jpg"", ""Bicycle (237).jpg"", ""Bicycle (482).jpg"", ""Cross (90).jpg"", ""Tlight (88).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[3, 5, 6]","[""Bicycle (669).jpg"", ""Bicycle (237).jpg"", ""Bicycle (482).jpg""]",742,9,5,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:48.546,2026-05-18T08:04:55.643,7.097,10,1,Click on the images containing bicycles.,"[""Hydrant (101).jpg"", ""Bicycle (184).jpg"", ""Palm (105).jpg"", ""Chimney (61).jpg"", ""Bridge (42).jpg"", ""Bus (100).jpg"", ""Bicycle (155).jpg"", ""Chimney (49).jpg"", ""Bicycle (111).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (184).jpg"", ""Bicycle (155).jpg"", ""Bicycle (111).jpg""]",739,10,6,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:04:55.647,2026-05-18T08:05:03.650,8.003,11,1,Click on the images containing bicycles.,"[""Bicycle (339).jpg"", ""Chimney (8).jpg"", ""Bicycle (97).jpg"", ""Bus (58).jpg"", ""Bridge (57).jpg"", ""Cross (71).jpg"", ""Chimney (24).jpg"", ""Tlight (83).jpg"", ""Bicycle (717).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 8]","[""Bicycle (339).jpg"", ""Bicycle (97).jpg"", ""Bicycle (717).jpg""]",736,11,7,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:05:03.654,2026-05-18T08:05:13.155,9.501,12,1,Click on the images containing bicycles.,"[""Stair (973).jpg"", ""Bicycle (647).jpg"", ""Bus (99).jpg"", ""Bridge (76).jpg"", ""Tlight (59).jpg"", ""Bicycle (664).jpg"", ""Bicycle (752).jpg"", ""Bicycle (625).jpg"", ""Palm (62).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 5, 6, 7]","[""Bicycle (647).jpg"", ""Bicycle (664).jpg"", ""Bicycle (752).jpg"", ""Bicycle (625).jpg""]",732,12,8,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:05:13.161,2026-05-18T08:05:25.579,12.418,13,0,Click on the images containing bicycles.,"[""Cross (110).jpg"", ""Bicycle (460).jpg"", ""Bicycle (329).jpg"", ""Car (71).jpg"", ""Stair (544).jpg"", ""Bicycle (289).jpg"", ""Bicycle (165).jpg"", ""Bicycle (123).jpg"", ""Palm (95).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[1, 2, 5, 6]","[""Bicycle (460).jpg"", ""Bicycle (329).jpg"", ""Bicycle (289).jpg"", ""Bicycle (165).jpg""]",727,13,8,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:05:27.587,2026-05-18T08:05:38.114,10.527,14,1,Click on the images containing bicycles.,"[""Bridge (95).jpg"", ""Bicycle (553).jpg"", ""Bicycle (263).jpg"", ""Tlight (74).jpg"", ""Bicycle (461).jpg"", ""Stair (1319).jpg"", ""Bicycle (487).jpg"", ""Tlight (65).jpg"", ""Stair (1401).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 4, 6]","[""Bicycle (553).jpg"", ""Bicycle (263).jpg"", ""Bicycle (461).jpg"", ""Bicycle (487).jpg""]",723,14,9,10,submit,
d14543fe53d641f3af028e703af3092c,captcha_pre,51,23,female,2026-05-18T08:05:38.119,2026-05-18T08:05:44.427,6.308,15,1,Click on the images containing bicycles.,"[""Bicycle (660).jpg"", ""Bicycle (695).jpg"", ""Car (53).jpg"", ""Car (23).jpg"", ""Tlight (78).jpg"", ""Hydrant (99).jpg"", ""Bicycle (17).jpg"", ""Bus (46).jpg"", ""Cross (103).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (660).jpg"", ""Bicycle (695).jpg"", ""Bicycle (17).jpg""]",720,15,10,10,submit,
