exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:00:17.736,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:00:17.766,2026-05-19T09:00:58.099,40.333,1,1,Click on the images containing bicycles.,"[""Bicycle (593).jpg"", ""Stair (1463).jpg"", ""Palm (72).jpg"", ""Cross (81).jpg"", ""Bus (98).jpg"", ""Bicycle (190).jpg"", ""Bicycle (750).jpg"", ""Bicycle (689).jpg"", ""Bicycle (49).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[0, 5, 6, 7, 8]","[""Bicycle (593).jpg"", ""Bicycle (190).jpg"", ""Bicycle (750).jpg"", ""Bicycle (689).jpg"", ""Bicycle (49).jpg""]",775,1,1,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:00:58.104,2026-05-19T09:01:15.379,17.275,2,0,Click on the images containing bicycles.,"[""Bicycle (678).jpg"", ""Hydrant (48).jpg"", ""Bicycle (335).jpg"", ""Bicycle (56).jpg"", ""Chimney (35).jpg"", ""Bicycle (304).jpg"", ""Palm (41).jpg"", ""Bicycle (409).jpg"", ""Bus (103).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 3, 5, 7, 8]","[""Bicycle (678).jpg"", ""Bicycle (335).jpg"", ""Bicycle (56).jpg"", ""Bicycle (304).jpg"", ""Bicycle (409).jpg"", ""Bus (103).jpg""]",770,2,1,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:01:17.388,2026-05-19T09:01:32.066,14.678,3,1,Click on the images containing bicycles.,"[""Bicycle (165).jpg"", ""Bicycle (712).jpg"", ""Hydrant (97).jpg"", ""Chimney (120).jpg"", ""Bridge (131).jpg"", ""Car (25).jpg"", ""Bicycle (389).jpg"", ""Tlight (105).jpg"", ""Bicycle (10).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 6, 8]","[""Bicycle (165).jpg"", ""Bicycle (712).jpg"", ""Bicycle (389).jpg"", ""Bicycle (10).jpg""]",766,3,2,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:01:32.071,2026-05-19T09:01:45.962,13.891,4,1,Click on the images containing bicycles.,"[""Bicycle (338).jpg"", ""Palm (53).jpg"", ""Bicycle (605).jpg"", ""Bicycle (595).jpg"", ""Chimney (114).jpg"", ""Bicycle (473).jpg"", ""Bicycle (545).jpg"", ""Bridge (56).jpg"", ""Cross (6).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 3, 5, 6]","[""Bicycle (338).jpg"", ""Bicycle (605).jpg"", ""Bicycle (595).jpg"", ""Bicycle (473).jpg"", ""Bicycle (545).jpg""]",761,4,3,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:01:45.966,2026-05-19T09:01:55.186,9.22,5,1,Click on the images containing bicycles.,"[""Palm (134).jpg"", ""Palm (90).jpg"", ""Bridge (118).jpg"", ""Bicycle (723).jpg"", ""Bicycle (406).jpg"", ""Stair (68).jpg"", ""Bicycle (478).jpg"", ""Bicycle (44).jpg"", ""Bicycle (131).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""T""]","[3, 4, 6, 7, 8]","[""Bicycle (723).jpg"", ""Bicycle (406).jpg"", ""Bicycle (478).jpg"", ""Bicycle (44).jpg"", ""Bicycle (131).jpg""]",756,5,4,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:01:55.191,2026-05-19T09:02:01.698,6.507,6,1,Click on the images containing bicycles.,"[""Tlight (9).jpg"", ""Car (66).jpg"", ""Chimney (1).jpg"", ""Chimney (115).jpg"", ""Bicycle (546).jpg"", ""Bicycle (324).jpg"", ""Bicycle (514).jpg"", ""Chimney (79).jpg"", ""Palm (1).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (546).jpg"", ""Bicycle (324).jpg"", ""Bicycle (514).jpg""]",753,6,5,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:02:01.703,2026-05-19T09:02:08.585,6.882,7,0,Click on the images containing bicycles.,"[""Hydrant (139).jpg"", ""Palm (111).jpg"", ""Bus (67).jpg"", ""Stair (260).jpg"", ""Stair (1151).jpg"", ""Car (28).jpg"", ""Bicycle (198).jpg"", ""Bicycle (433).jpg"", ""Bicycle (650).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[6, 7]","[""Bicycle (198).jpg"", ""Bicycle (433).jpg""]",750,7,5,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:02:10.595,2026-05-19T09:02:20.338,9.743,8,1,Click on the images containing bicycles.,"[""Car (99).jpg"", ""Hydrant (135).jpg"", ""Bicycle (210).jpg"", ""Chimney (66).jpg"", ""Bicycle (313).jpg"", ""Bicycle (734).jpg"", ""Bicycle (75).jpg"", ""Hydrant (68).jpg"", ""Car (115).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[2, 4, 5, 6]","[""Bicycle (210).jpg"", ""Bicycle (313).jpg"", ""Bicycle (734).jpg"", ""Bicycle (75).jpg""]",746,8,6,10,submit,
74dc6bcfe87f4248847e2a64f90bc1ca,captcha_pre,52,17,male,2026-05-19T09:02:20.343,2026-05-19T09:02:27.066,6.723,9,1,Click on the images containing bicycles.,"[""Bicycle (437).jpg"", ""Car (62).jpg"", ""Chimney (47).jpg"", ""Hydrant (21).jpg"", ""Bicycle (543).jpg"", ""Bicycle (491).jpg"", ""Tlight (68).jpg"", ""Bicycle (618).jpg"", ""Bus (80).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7]","[""Bicycle (437).jpg"", ""Bicycle (543).jpg"", ""Bicycle (491).jpg"", ""Bicycle (618).jpg""]",742,9,7,10,submit,
