exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:58:37.914,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:58:37.942,2026-05-19T09:59:09.234,31.292,1,1,Click on the images containing bicycles.,"[""Hydrant (28).jpg"", ""Bicycle (97).jpg"", ""Hydrant (137).jpg"", ""Bicycle (758).jpg"", ""Tlight (73).jpg"", ""Car (94).jpg"", ""Chimney (123).jpg"", ""Hydrant (59).jpg"", ""Bicycle (501).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 8]","[""Bicycle (97).jpg"", ""Bicycle (758).jpg"", ""Bicycle (501).jpg""]",777,1,1,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:59:09.240,2026-05-19T09:59:18.570,9.33,2,1,Click on the images containing bicycles.,"[""Car (112).jpg"", ""Bicycle (158).jpg"", ""Bicycle (81).jpg"", ""Palm (98).jpg"", ""Stair (861).jpg"", ""Hydrant (120).jpg"", ""Cross (112).jpg"", ""Hydrant (68).jpg"", ""Bicycle (48).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (158).jpg"", ""Bicycle (81).jpg"", ""Bicycle (48).jpg""]",774,2,2,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:59:18.577,2026-05-19T09:59:28.562,9.985,3,1,Click on the images containing bicycles.,"[""Stair (469).jpg"", ""Hydrant (58).jpg"", ""Cross (120).jpg"", ""Bicycle (106).jpg"", ""Bicycle (293).jpg"", ""Bicycle (759).jpg"", ""Chimney (31).jpg"", ""Stair (1095).jpg"", ""Bridge (98).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[3, 4, 5]","[""Bicycle (106).jpg"", ""Bicycle (293).jpg"", ""Bicycle (759).jpg""]",771,3,3,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:59:28.567,2026-05-19T09:59:44.458,15.891,4,0,Click on the images containing bicycles.,"[""Bus (116).jpg"", ""Palm (41).jpg"", ""Bicycle (667).jpg"", ""Bicycle (720).jpg"", ""Bicycle (739).jpg"", ""Car (100).jpg"", ""Chimney (117).jpg"", ""Bicycle (488).jpg"", ""Tlight (93).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 7]","[""Bicycle (720).jpg"", ""Bicycle (488).jpg""]",767,4,3,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:59:46.468,2026-05-19T09:59:55.522,9.054,5,1,Click on the images containing bicycles.,"[""Palm (79).jpg"", ""Bicycle (193).jpg"", ""Car (118).jpg"", ""Bicycle (219).jpg"", ""Bicycle (99).jpg"", ""Cross (43).jpg"", ""Hydrant (84).jpg"", ""Stair (1100).jpg"", ""Bicycle (56).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 4, 8]","[""Bicycle (193).jpg"", ""Bicycle (219).jpg"", ""Bicycle (99).jpg"", ""Bicycle (56).jpg""]",763,5,4,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T09:59:55.527,2026-05-19T10:00:03.433,7.906,6,1,Click on the images containing bicycles.,"[""Bridge (59).jpg"", ""Bicycle (102).jpg"", ""Car (60).jpg"", ""Bicycle (698).jpg"", ""Tlight (104).jpg"", ""Bicycle (457).jpg"", ""Cross (75).jpg"", ""Hydrant (112).jpg"", ""Stair (544).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 5]","[""Bicycle (102).jpg"", ""Bicycle (698).jpg"", ""Bicycle (457).jpg""]",760,6,5,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T10:00:03.442,2026-05-19T10:00:13.547,10.105,7,1,Click on the images containing bicycles.,"[""Tlight (13).jpg"", ""Bicycle (446).jpg"", ""Cross (16).jpg"", ""Bus (72).jpg"", ""Bicycle (502).jpg"", ""Bicycle (393).jpg"", ""Bicycle (537).jpg"", ""Cross (4).jpg"", ""Tlight (83).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 4, 5, 6]","[""Bicycle (446).jpg"", ""Bicycle (502).jpg"", ""Bicycle (393).jpg"", ""Bicycle (537).jpg""]",756,7,6,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T10:00:13.552,2026-05-19T10:00:24.058,10.506,8,1,Click on the images containing bicycles.,"[""Stair (1249).jpg"", ""Bicycle (692).jpg"", ""Bridge (23).jpg"", ""Stair (109).jpg"", ""Tlight (56).jpg"", ""Cross (106).jpg"", ""Bicycle (18).jpg"", ""Bicycle (376).jpg"", ""Bus (100).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (692).jpg"", ""Bicycle (18).jpg"", ""Bicycle (376).jpg""]",753,8,7,10,submit,
5ff4662ff28f41589cdcda6c6aa93568,captcha_pre,53,19,male,2026-05-19T10:00:24.063,2026-05-19T10:00:33.979,9.916,9,0,Click on the images containing bicycles.,"[""Bicycle (295).jpg"", ""Bus (38).jpg"", ""Stair (700).jpg"", ""Bicycle (477).jpg"", ""Bus (106).jpg"", ""Bicycle (483).jpg"", ""Bicycle (70).jpg"", ""Bicycle (255).jpg"", ""Hydrant (88).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[0, 3, 5, 6]","[""Bicycle (295).jpg"", ""Bicycle (477).jpg"", ""Bicycle (483).jpg"", ""Bicycle (70).jpg""]",748,9,7,10,submit,
