exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:04:27.924,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:04:27.959,2026-05-21T12:05:07.792,39.833,1,1,Click on the images containing bicycles.,"[""Bicycle (724).jpg"", ""Car (103).jpg"", ""Bicycle (682).jpg"", ""Stair (642).jpg"", ""Bicycle (615).jpg"", ""Stair (1467).jpg"", ""Tlight (103).jpg"", ""Bus (120).jpg"", ""Bus (100).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (724).jpg"", ""Bicycle (682).jpg"", ""Bicycle (615).jpg""]",777,1,1,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:05:07.797,2026-05-21T12:05:16.543,8.746,2,1,Click on the images containing bicycles.,"[""Bicycle (695).jpg"", ""Tlight (47).jpg"", ""Palm (75).jpg"", ""Car (38).jpg"", ""Bicycle (531).jpg"", ""Chimney (91).jpg"", ""Bicycle (90).jpg"", ""Stair (253).jpg"", ""Car (95).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 4, 6]","[""Bicycle (695).jpg"", ""Bicycle (531).jpg"", ""Bicycle (90).jpg""]",774,2,2,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:05:16.548,2026-05-21T12:05:23.894,7.346,3,0,Click on the images containing bicycles.,"[""Hydrant (50).jpg"", ""Bicycle (354).jpg"", ""Stair (482).jpg"", ""Bicycle (250).jpg"", ""Bicycle (220).jpg"", ""Palm (112).jpg"", ""Chimney (105).jpg"", ""Tlight (91).jpg"", ""Bicycle (40).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 8]","[""Bicycle (354).jpg"", ""Bicycle (250).jpg"", ""Bicycle (40).jpg""]",770,3,2,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:05:25.904,2026-05-21T12:05:36.215,10.311,4,1,Click on the images containing bicycles.,"[""Bicycle (340).jpg"", ""Bicycle (524).jpg"", ""Bicycle (94).jpg"", ""Bus (101).jpg"", ""Hydrant (91).jpg"", ""Bicycle (465).jpg"", ""Cross (13).jpg"", ""Bicycle (399).jpg"", ""Stair (793).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 2, 5, 7]","[""Bicycle (340).jpg"", ""Bicycle (524).jpg"", ""Bicycle (94).jpg"", ""Bicycle (465).jpg"", ""Bicycle (399).jpg""]",765,4,3,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:05:36.220,2026-05-21T12:05:45.742,9.522,5,0,Click on the images containing bicycles.,"[""Bicycle (93).jpg"", ""Cross (49).jpg"", ""Bicycle (115).jpg"", ""Bicycle (535).jpg"", ""Car (86).jpg"", ""Tlight (2).jpg"", ""Bicycle (71).jpg"", ""Bicycle (722).jpg"", ""Palm (19).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (115).jpg"", ""Bicycle (535).jpg"", ""Bicycle (71).jpg"", ""Bicycle (722).jpg""]",760,5,3,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:05:47.751,2026-05-21T12:05:48.141,0.39,6,0,Click on the images containing bicycles.,"[""Stair (917).jpg"", ""Car (50).jpg"", ""Bicycle (342).jpg"", ""Bicycle (778).jpg"", ""Tlight (72).jpg"", ""Tlight (18).jpg"", ""Bicycle (357).jpg"", ""Bicycle (674).jpg"", ""Hydrant (63).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]",[],[],756,6,3,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:05:50.151,2026-05-21T12:06:00.903,10.752,7,1,Click on the images containing bicycles.,"[""Palm (9).jpg"", ""Bicycle (537).jpg"", ""Palm (135).jpg"", ""Stair (1463).jpg"", ""Bridge (122).jpg"", ""Bridge (132).jpg"", ""Bicycle (29).jpg"", ""Bus (35).jpg"", ""Bicycle (368).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (537).jpg"", ""Bicycle (29).jpg"", ""Bicycle (368).jpg""]",753,7,4,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:06:00.908,2026-05-21T12:06:13.926,13.018,8,0,Click on the images containing bicycles.,"[""Bicycle (498).jpg"", ""Bicycle (395).jpg"", ""Bicycle (394).jpg"", ""Hydrant (103).jpg"", ""Cross (38).jpg"", ""Hydrant (58).jpg"", ""Palm (102).jpg"", ""Bicycle (392).jpg"", ""Cross (19).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 7, 8]","[""Bicycle (498).jpg"", ""Bicycle (395).jpg"", ""Bicycle (394).jpg"", ""Bicycle (392).jpg"", ""Cross (19).jpg""]",749,8,4,10,submit,
df333f2e67a647d69bf090537633a167,captcha_pre,54,18,female,2026-05-21T12:06:15.935,2026-05-21T12:06:27.365,11.43,9,0,Click on the images containing bicycles.,"[""Hydrant (124).jpg"", ""Stair (981).jpg"", ""Bicycle (135).jpg"", ""Bicycle (123).jpg"", ""Stair (68).jpg"", ""Bicycle (633).jpg"", ""Bicycle (567).jpg"", ""Hydrant (25).jpg"", ""Bicycle (45).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[2, 5, 6, 8]","[""Bicycle (135).jpg"", ""Bicycle (633).jpg"", ""Bicycle (567).jpg"", ""Bicycle (45).jpg""]",744,9,4,10,submit,
