exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:01:29.812,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:01:29.844,2026-05-21T13:02:17.910,48.066,1,1,Click on the images containing bicycles.,"[""Bicycle (62).jpg"", ""Cross (71).jpg"", ""Bicycle (136).jpg"", ""Bus (43).jpg"", ""Palm (42).jpg"", ""Bridge (115).jpg"", ""Bicycle (50).jpg"", ""Car (98).jpg"", ""Bicycle (499).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 6, 8]","[""Bicycle (62).jpg"", ""Bicycle (136).jpg"", ""Bicycle (50).jpg"", ""Bicycle (499).jpg""]",776,1,1,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:02:17.917,2026-05-21T13:02:35.440,17.523,2,0,Click on the images containing bicycles.,"[""Bicycle (217).jpg"", ""Palm (118).jpg"", ""Bus (134).jpg"", ""Tlight (88).jpg"", ""Bicycle (210).jpg"", ""Bicycle (186).jpg"", ""Bus (50).jpg"", ""Bicycle (327).jpg"", ""Palm (89).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (210).jpg"", ""Bicycle (186).jpg"", ""Bicycle (327).jpg""]",772,2,1,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:02:37.448,2026-05-21T13:02:47.703,10.255,3,1,Click on the images containing bicycles.,"[""Bicycle (650).jpg"", ""Bridge (134).jpg"", ""Hydrant (43).jpg"", ""Cross (77).jpg"", ""Palm (88).jpg"", ""Chimney (68).jpg"", ""Bicycle (660).jpg"", ""Chimney (40).jpg"", ""Bicycle (97).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (650).jpg"", ""Bicycle (660).jpg"", ""Bicycle (97).jpg""]",769,3,2,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:02:47.708,2026-05-21T13:03:10.920,23.212,4,1,Click on the images containing bicycles.,"[""Bicycle (762).jpg"", ""Bicycle (517).jpg"", ""Bicycle (704).jpg"", ""Palm (116).jpg"", ""Stair (945).jpg"", ""Car (81).jpg"", ""Bicycle (599).jpg"", ""Hydrant (62).jpg"", ""Palm (111).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 6]","[""Bicycle (762).jpg"", ""Bicycle (517).jpg"", ""Bicycle (704).jpg"", ""Bicycle (599).jpg""]",765,4,3,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:03:10.925,2026-05-21T13:03:19.806,8.881,5,1,Click on the images containing bicycles.,"[""Stair (973).jpg"", ""Stair (393).jpg"", ""Tlight (130).jpg"", ""Stair (499).jpg"", ""Bicycle (175).jpg"", ""Bicycle (44).jpg"", ""Bicycle (5).jpg"", ""Hydrant (74).jpg"", ""Stair (1377).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (175).jpg"", ""Bicycle (44).jpg"", ""Bicycle (5).jpg""]",762,5,4,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:03:19.811,2026-05-21T13:03:33.344,13.533,6,0,Click on the images containing bicycles.,"[""Hydrant (123).jpg"", ""Bicycle (755).jpg"", ""Bicycle (147).jpg"", ""Bicycle (775).jpg"", ""Bicycle (530).jpg"", ""Tlight (9).jpg"", ""Stair (1349).jpg"", ""Car (53).jpg"", ""Bicycle (738).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 4, 8]","[""Bicycle (755).jpg"", ""Bicycle (147).jpg"", ""Bicycle (530).jpg"", ""Bicycle (738).jpg""]",757,6,4,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:03:35.353,2026-05-21T13:03:59.623,24.27,7,0,Click on the images containing bicycles.,"[""Car (64).jpg"", ""Bicycle (149).jpg"", ""Bicycle (404).jpg"", ""Bridge (104).jpg"", ""Tlight (70).jpg"", ""Cross (116).jpg"", ""Bicycle (85).jpg"", ""Bicycle (134).jpg"", ""Bicycle (708).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 5, 6, 7, 8]","[""Bicycle (149).jpg"", ""Bicycle (404).jpg"", ""Cross (116).jpg"", ""Bicycle (85).jpg"", ""Bicycle (134).jpg"", ""Bicycle (708).jpg""]",752,7,4,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:04:01.632,2026-05-21T13:04:13.864,12.232,8,1,Click on the images containing bicycles.,"[""Chimney (92).jpg"", ""Bicycle (63).jpg"", ""Stair (1335).jpg"", ""Bicycle (440).jpg"", ""Bus (24).jpg"", ""Palm (94).jpg"", ""Cross (29).jpg"", ""Cross (21).jpg"", ""Bicycle (460).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 8]","[""Bicycle (63).jpg"", ""Bicycle (440).jpg"", ""Bicycle (460).jpg""]",749,8,5,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:04:13.869,2026-05-21T13:04:29.863,15.994,9,0,Click on the images containing bicycles.,"[""Bicycle (780).jpg"", ""Stair (331).jpg"", ""Bicycle (173).jpg"", ""Hydrant (107).jpg"", ""Bicycle (445).jpg"", ""Car (105).jpg"", ""Bicycle (38).jpg"", ""Bridge (66).jpg"", ""Bicycle (2).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 4, 6, 8]","[""Bicycle (173).jpg"", ""Bicycle (445).jpg"", ""Bicycle (38).jpg"", ""Bicycle (2).jpg""]",744,9,5,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:04:31.872,2026-05-21T13:04:46.937,15.065,10,1,Click on the images containing bicycles.,"[""Tlight (58).jpg"", ""Bicycle (360).jpg"", ""Bicycle (414).jpg"", ""Bus (41).jpg"", ""Chimney (29).jpg"", ""Bicycle (22).jpg"", ""Tlight (113).jpg"", ""Chimney (46).jpg"", ""Cross (25).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (360).jpg"", ""Bicycle (414).jpg"", ""Bicycle (22).jpg""]",741,10,6,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:04:46.942,2026-05-21T13:05:02.953,16.011,11,0,Click on the images containing bicycles.,"[""Cross (89).jpg"", ""Cross (59).jpg"", ""Bicycle (356).jpg"", ""Bicycle (348).jpg"", ""Bicycle (430).jpg"", ""Cross (90).jpg"", ""Bicycle (276).jpg"", ""Chimney (64).jpg"", ""Bicycle (347).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 4, 8]","[""Bicycle (356).jpg"", ""Bicycle (348).jpg"", ""Bicycle (430).jpg"", ""Bicycle (347).jpg""]",736,11,6,10,submit,
7ef7153ef781485ab8ae506f38dfef3b,captcha_pre,55,18,male,2026-05-21T13:05:04.961,2026-05-21T13:05:16.027,11.066,12,1,Click on the images containing bicycles.,"[""Bicycle (72).jpg"", ""Bus (65).jpg"", ""Cross (2).jpg"", ""Hydrant (50).jpg"", ""Palm (130).jpg"", ""Palm (133).jpg"", ""Bicycle (281).jpg"", ""Bicycle (191).jpg"", ""Stair (339).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (72).jpg"", ""Bicycle (281).jpg"", ""Bicycle (191).jpg""]",733,12,7,10,submit,
