exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:37:53.571,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:37:53.600,2026-05-21T13:38:23.934,30.334,1,1,Click on the images containing bicycles.,"[""Chimney (3).jpg"", ""Hydrant (23).jpg"", ""Stair (1237).jpg"", ""Car (123).jpg"", ""Bicycle (192).jpg"", ""Palm (14).jpg"", ""Bicycle (117).jpg"", ""Bicycle (380).jpg"", ""Chimney (8).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (192).jpg"", ""Bicycle (117).jpg"", ""Bicycle (380).jpg""]",777,1,1,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:38:23.939,2026-05-21T13:38:31.341,7.402,2,0,Click on the images containing bicycles.,"[""Bicycle (283).jpg"", ""Bicycle (445).jpg"", ""Cross (63).jpg"", ""Car (95).jpg"", ""Stair (1335).jpg"", ""Chimney (71).jpg"", ""Bicycle (188).jpg"", ""Tlight (118).jpg"", ""Bicycle (112).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 6]","[""Bicycle (283).jpg"", ""Bicycle (445).jpg"", ""Bicycle (188).jpg""]",773,2,1,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:38:33.353,2026-05-21T13:38:43.774,10.421,3,1,Click on the images containing bicycles.,"[""Tlight (7).jpg"", ""Bicycle (471).jpg"", ""Bicycle (566).jpg"", ""Palm (103).jpg"", ""Stair (1149).jpg"", ""Bus (29).jpg"", ""Tlight (19).jpg"", ""Hydrant (106).jpg"", ""Bicycle (373).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (471).jpg"", ""Bicycle (566).jpg"", ""Bicycle (373).jpg""]",770,3,2,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:38:43.779,2026-05-21T13:38:51.206,7.427,4,1,Click on the images containing bicycles.,"[""Bridge (42).jpg"", ""Bicycle (237).jpg"", ""Bridge (66).jpg"", ""Cross (74).jpg"", ""Tlight (62).jpg"", ""Bus (31).jpg"", ""Bicycle (229).jpg"", ""Bicycle (599).jpg"", ""Stair (1461).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (237).jpg"", ""Bicycle (229).jpg"", ""Bicycle (599).jpg""]",767,4,3,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:38:51.211,2026-05-21T13:39:01.670,10.459,5,1,Click on the images containing bicycles.,"[""Chimney (19).jpg"", ""Cross (17).jpg"", ""Bicycle (510).jpg"", ""Bicycle (176).jpg"", ""Tlight (104).jpg"", ""Bicycle (296).jpg"", ""Car (49).jpg"", ""Bus (105).jpg"", ""Stair (672).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[2, 3, 5]","[""Bicycle (510).jpg"", ""Bicycle (176).jpg"", ""Bicycle (296).jpg""]",764,5,4,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:39:01.674,2026-05-21T13:39:11.569,9.895,6,1,Click on the images containing bicycles.,"[""Bicycle (663).jpg"", ""Bicycle (165).jpg"", ""Bicycle (289).jpg"", ""Palm (64).jpg"", ""Chimney (69).jpg"", ""Bicycle (6).jpg"", ""Bus (51).jpg"", ""Bicycle (623).jpg"", ""Bus (99).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 2, 5, 7]","[""Bicycle (663).jpg"", ""Bicycle (165).jpg"", ""Bicycle (289).jpg"", ""Bicycle (6).jpg"", ""Bicycle (623).jpg""]",759,6,5,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:39:11.577,2026-05-21T13:39:20.703,9.126,7,0,Click on the images containing bicycles.,"[""Cross (22).jpg"", ""Bicycle (724).jpg"", ""Car (54).jpg"", ""Chimney (123).jpg"", ""Stair (1466).jpg"", ""Bridge (45).jpg"", ""Hydrant (55).jpg"", ""Bicycle (694).jpg"", ""Bicycle (442).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 7]","[""Bicycle (724).jpg"", ""Bicycle (694).jpg""]",756,7,5,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:39:22.713,2026-05-21T13:39:36.839,14.126,8,1,Click on the images containing bicycles.,"[""Bicycle (565).jpg"", ""Bicycle (523).jpg"", ""Bicycle (44).jpg"", ""Bridge (32).jpg"", ""Car (66).jpg"", ""Bicycle (272).jpg"", ""Tlight (68).jpg"", ""Bridge (139).jpg"", ""Bicycle (557).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 2, 5, 8]","[""Bicycle (565).jpg"", ""Bicycle (523).jpg"", ""Bicycle (44).jpg"", ""Bicycle (272).jpg"", ""Bicycle (557).jpg""]",751,8,6,10,submit,
f582a4098ccc4e26a3e07ae72b71605f,captcha_pre,56,18,other,2026-05-21T13:39:36.844,2026-05-21T13:39:44.110,7.266,9,0,Click on the images containing bicycles.,"[""Stair (339).jpg"", ""Stair (1095).jpg"", ""Bicycle (499).jpg"", ""Stair (1100).jpg"", ""Tlight (60).jpg"", ""Bicycle (417).jpg"", ""Hydrant (136).jpg"", ""Hydrant (129).jpg"", ""Bicycle (659).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 8]","[""Bicycle (499).jpg"", ""Bicycle (659).jpg""]",748,9,6,10,submit,
