exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:04:00.199,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:04:00.231,2026-05-25T10:04:42.930,42.699,1,1,Click on the images containing bicycles.,"[""Bicycle (387).jpg"", ""Bicycle (643).jpg"", ""Chimney (38).jpg"", ""Cross (26).jpg"", ""Bicycle (35).jpg"", ""Chimney (65).jpg"", ""Cross (30).jpg"", ""Chimney (43).jpg"", ""Bridge (51).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (387).jpg"", ""Bicycle (643).jpg"", ""Bicycle (35).jpg""]",777,1,1,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:04:42.934,2026-05-25T10:04:55.208,12.274,2,1,Click on the images containing bicycles.,"[""Chimney (42).jpg"", ""Stair (383).jpg"", ""Bicycle (290).jpg"", ""Hydrant (110).jpg"", ""Hydrant (121).jpg"", ""Stair (1460).jpg"", ""Bridge (102).jpg"", ""Bicycle (79).jpg"", ""Bicycle (554).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (290).jpg"", ""Bicycle (79).jpg"", ""Bicycle (554).jpg""]",774,2,2,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:04:55.212,2026-05-25T10:05:04.855,9.643,3,1,Click on the images containing bicycles.,"[""Bridge (53).jpg"", ""Chimney (122).jpg"", ""Car (99).jpg"", ""Cross (94).jpg"", ""Bicycle (623).jpg"", ""Tlight (61).jpg"", ""Bicycle (156).jpg"", ""Bicycle (260).jpg"", ""Palm (138).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[4, 6, 7]","[""Bicycle (623).jpg"", ""Bicycle (156).jpg"", ""Bicycle (260).jpg""]",771,3,3,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:05:04.861,2026-05-25T10:05:16.992,12.131,4,1,Click on the images containing bicycles.,"[""Bus (110).jpg"", ""Bicycle (544).jpg"", ""Bicycle (68).jpg"", ""Cross (112).jpg"", ""Bridge (111).jpg"", ""Bicycle (483).jpg"", ""Hydrant (84).jpg"", ""Bicycle (685).jpg"", ""Bicycle (563).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 2, 5, 7, 8]","[""Bicycle (544).jpg"", ""Bicycle (68).jpg"", ""Bicycle (483).jpg"", ""Bicycle (685).jpg"", ""Bicycle (563).jpg""]",766,4,4,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:05:16.998,2026-05-25T10:05:28.215,11.217,5,1,Click on the images containing bicycles.,"[""Bridge (100).jpg"", ""Bicycle (751).jpg"", ""Bicycle (84).jpg"", ""Bicycle (3).jpg"", ""Bicycle (302).jpg"", ""Bus (46).jpg"", ""Palm (91).jpg"", ""Bridge (131).jpg"", ""Hydrant (123).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3, 4]","[""Bicycle (751).jpg"", ""Bicycle (84).jpg"", ""Bicycle (3).jpg"", ""Bicycle (302).jpg""]",762,5,5,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:05:28.220,2026-05-25T10:05:38.464,10.244,6,1,Click on the images containing bicycles.,"[""Hydrant (47).jpg"", ""Bicycle (456).jpg"", ""Bridge (86).jpg"", ""Bridge (39).jpg"", ""Bicycle (347).jpg"", ""Cross (117).jpg"", ""Bicycle (369).jpg"", ""Bicycle (288).jpg"", ""Bicycle (261).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[1, 4, 6, 7, 8]","[""Bicycle (456).jpg"", ""Bicycle (347).jpg"", ""Bicycle (369).jpg"", ""Bicycle (288).jpg"", ""Bicycle (261).jpg""]",757,6,6,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:05:38.469,2026-05-25T10:05:47.496,9.027,7,1,Click on the images containing bicycles.,"[""Palm (79).jpg"", ""Chimney (116).jpg"", ""Tlight (102).jpg"", ""Bicycle (335).jpg"", ""Car (140).jpg"", ""Bicycle (205).jpg"", ""Chimney (34).jpg"", ""Car (96).jpg"", ""Bicycle (774).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[3, 5, 8]","[""Bicycle (335).jpg"", ""Bicycle (205).jpg"", ""Bicycle (774).jpg""]",754,7,7,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:05:47.500,2026-05-25T10:05:59.007,11.507,8,1,Click on the images containing bicycles.,"[""Bicycle (569).jpg"", ""Palm (68).jpg"", ""Tlight (51).jpg"", ""Stair (282).jpg"", ""Cross (81).jpg"", ""Chimney (100).jpg"", ""Bicycle (431).jpg"", ""Cross (76).jpg"", ""Bicycle (549).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (569).jpg"", ""Bicycle (431).jpg"", ""Bicycle (549).jpg""]",751,8,8,10,submit,
4ffbdd7ec010402886737610a08d48fe,captcha_pre,57,18,male,2026-05-25T10:05:59.013,2026-05-25T10:06:12.511,13.498,9,1,Click on the images containing bicycles.,"[""Bicycle (732).jpg"", ""Bicycle (484).jpg"", ""Bicycle (740).jpg"", ""Bicycle (258).jpg"", ""Hydrant (132).jpg"", ""Palm (111).jpg"", ""Tlight (67).jpg"", ""Bicycle (223).jpg"", ""Hydrant (114).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 3, 7]","[""Bicycle (732).jpg"", ""Bicycle (484).jpg"", ""Bicycle (740).jpg"", ""Bicycle (258).jpg"", ""Bicycle (223).jpg""]",746,9,9,10,submit,
