exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:08:07.918,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:08:07.951,2026-05-25T11:08:46.250,38.299,1,0,Click on the images containing bicycles.,"[""Tlight (63).jpg"", ""Bus (64).jpg"", ""Tlight (73).jpg"", ""Bicycle (775).jpg"", ""Bus (85).jpg"", ""Bicycle (550).jpg"", ""Bicycle (153).jpg"", ""Bus (41).jpg"", ""Bicycle (189).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (550).jpg"", ""Bicycle (153).jpg"", ""Bicycle (189).jpg""]",776,1,0,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:08:48.260,2026-05-25T11:08:55.737,7.477,2,0,Click on the images containing bicycles.,"[""Palm (43).jpg"", ""Bicycle (157).jpg"", ""Bus (71).jpg"", ""Bicycle (524).jpg"", ""Car (65).jpg"", ""Bicycle (588).jpg"", ""Palm (58).jpg"", ""Car (90).jpg"", ""Bicycle (428).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 8]","[""Bicycle (157).jpg"", ""Bicycle (524).jpg"", ""Bicycle (428).jpg""]",772,2,0,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:08:57.745,2026-05-25T11:09:10.080,12.335,3,1,Click on the images containing bicycles.,"[""Bicycle (679).jpg"", ""Cross (105).jpg"", ""Bicycle (179).jpg"", ""Bicycle (328).jpg"", ""Palm (73).jpg"", ""Bicycle (325).jpg"", ""Car (21).jpg"", ""Bus (59).jpg"", ""Bicycle (413).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 3, 5, 8]","[""Bicycle (679).jpg"", ""Bicycle (179).jpg"", ""Bicycle (328).jpg"", ""Bicycle (325).jpg"", ""Bicycle (413).jpg""]",767,3,1,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:09:10.086,2026-05-25T11:09:22.032,11.946,4,1,Click on the images containing bicycles.,"[""Cross (69).jpg"", ""Hydrant (88).jpg"", ""Palm (100).jpg"", ""Bridge (76).jpg"", ""Bicycle (518).jpg"", ""Bicycle (60).jpg"", ""Bicycle (15).jpg"", ""Bicycle (736).jpg"", ""Bicycle (85).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]","[4, 5, 6, 7, 8]","[""Bicycle (518).jpg"", ""Bicycle (60).jpg"", ""Bicycle (15).jpg"", ""Bicycle (736).jpg"", ""Bicycle (85).jpg""]",762,4,2,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:09:22.038,2026-05-25T11:09:31.856,9.818,5,1,Click on the images containing bicycles.,"[""Bicycle (590).jpg"", ""Bus (35).jpg"", ""Bicycle (333).jpg"", ""Bicycle (610).jpg"", ""Car (136).jpg"", ""Tlight (9).jpg"", ""Bridge (25).jpg"", ""Hydrant (125).jpg"", ""Palm (81).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 3]","[""Bicycle (590).jpg"", ""Bicycle (333).jpg"", ""Bicycle (610).jpg""]",759,5,3,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:09:31.862,2026-05-25T11:09:37.712,5.85,6,1,Click on the images containing bicycles.,"[""Bicycle (671).jpg"", ""Bicycle (288).jpg"", ""Bus (50).jpg"", ""Stair (435).jpg"", ""Chimney (8).jpg"", ""Hydrant (122).jpg"", ""Bicycle (636).jpg"", ""Bicycle (483).jpg"", ""Stair (1183).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (671).jpg"", ""Bicycle (288).jpg"", ""Bicycle (636).jpg"", ""Bicycle (483).jpg""]",755,6,4,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:09:37.716,2026-05-25T11:09:45.240,7.524,7,0,Click on the images containing bicycles.,"[""Bicycle (361).jpg"", ""Bus (99).jpg"", ""Cross (85).jpg"", ""Palm (75).jpg"", ""Bicycle (438).jpg"", ""Bicycle (733).jpg"", ""Bicycle (587).jpg"", ""Bicycle (123).jpg"", ""Stair (1349).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[0, 4, 5, 6]","[""Bicycle (361).jpg"", ""Bicycle (438).jpg"", ""Bicycle (733).jpg"", ""Bicycle (587).jpg""]",750,7,4,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:09:47.248,2026-05-25T11:09:52.416,5.168,8,1,Click on the images containing bicycles.,"[""Bicycle (190).jpg"", ""Hydrant (56).jpg"", ""Chimney (72).jpg"", ""Bus (120).jpg"", ""Bus (119).jpg"", ""Bridge (46).jpg"", ""Bicycle (697).jpg"", ""Bicycle (529).jpg"", ""Bicycle (535).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (190).jpg"", ""Bicycle (697).jpg"", ""Bicycle (529).jpg"", ""Bicycle (535).jpg""]",746,8,5,10,submit,
e6e25c421e8c4061a2f8ad2efd66a109,captcha_pre,58,18,female,2026-05-25T11:09:52.421,2026-05-25T11:10:01.176,8.755,9,1,Click on the images containing bicycles.,"[""Bicycle (420).jpg"", ""Chimney (111).jpg"", ""Chimney (13).jpg"", ""Hydrant (84).jpg"", ""Bicycle (385).jpg"", ""Bus (84).jpg"", ""Palm (11).jpg"", ""Bus (102).jpg"", ""Bicycle (766).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 4, 8]","[""Bicycle (420).jpg"", ""Bicycle (385).jpg"", ""Bicycle (766).jpg""]",743,9,6,10,submit,
