exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:18:03.606,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:18:03.639,2026-05-26T08:18:42.672,39.033,1,0,Click on the images containing bicycles.,"[""Tlight (1).jpg"", ""Bicycle (718).jpg"", ""Car (116).jpg"", ""Bicycle (540).jpg"", ""Bicycle (727).jpg"", ""Bicycle (187).jpg"", ""Bicycle (508).jpg"", ""Tlight (111).jpg"", ""Stair (331).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 4, 5, 6]","[""Bicycle (718).jpg"", ""Bicycle (727).jpg"", ""Bicycle (187).jpg"", ""Bicycle (508).jpg""]",775,1,0,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:18:44.681,2026-05-26T08:19:00.399,15.718,2,1,Click on the images containing bicycles.,"[""Cross (83).jpg"", ""Bus (134).jpg"", ""Bicycle (553).jpg"", ""Palm (83).jpg"", ""Bicycle (374).jpg"", ""Bicycle (256).jpg"", ""Bicycle (260).jpg"", ""Bridge (108).jpg"", ""Bicycle (236).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (553).jpg"", ""Bicycle (374).jpg"", ""Bicycle (256).jpg"", ""Bicycle (260).jpg"", ""Bicycle (236).jpg""]",770,2,1,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:19:00.404,2026-05-26T08:19:15.935,15.531,3,1,Click on the images containing bicycles.,"[""Bicycle (368).jpg"", ""Hydrant (98).jpg"", ""Bicycle (708).jpg"", ""Bridge (124).jpg"", ""Cross (6).jpg"", ""Tlight (6).jpg"", ""Bus (29).jpg"", ""Bicycle (580).jpg"", ""Bicycle (296).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 7, 8]","[""Bicycle (368).jpg"", ""Bicycle (708).jpg"", ""Bicycle (580).jpg"", ""Bicycle (296).jpg""]",766,3,2,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:19:15.939,2026-05-26T08:19:28.822,12.883,4,0,Click on the images containing bicycles.,"[""Bicycle (372).jpg"", ""Cross (18).jpg"", ""Hydrant (101).jpg"", ""Bicycle (611).jpg"", ""Chimney (101).jpg"", ""Tlight (45).jpg"", ""Bicycle (180).jpg"", ""Stair (981).jpg"", ""Bicycle (771).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (372).jpg"", ""Bicycle (611).jpg"", ""Bicycle (771).jpg""]",762,4,2,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:19:30.832,2026-05-26T08:19:43.822,12.99,5,1,Click on the images containing bicycles.,"[""Bus (96).jpg"", ""Bicycle (693).jpg"", ""Bicycle (627).jpg"", ""Bus (56).jpg"", ""Tlight (82).jpg"", ""Bicycle (400).jpg"", ""Car (126).jpg"", ""Bus (101).jpg"", ""Bicycle (270).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 5, 8]","[""Bicycle (693).jpg"", ""Bicycle (627).jpg"", ""Bicycle (400).jpg"", ""Bicycle (270).jpg""]",758,5,3,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:19:43.828,2026-05-26T08:20:00.415,16.587,6,1,Click on the images containing bicycles.,"[""Bicycle (502).jpg"", ""Bus (129).jpg"", ""Bicycle (746).jpg"", ""Bicycle (87).jpg"", ""Bicycle (527).jpg"", ""Chimney (28).jpg"", ""Bicycle (484).jpg"", ""Car (91).jpg"", ""Car (117).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 4, 6]","[""Bicycle (502).jpg"", ""Bicycle (746).jpg"", ""Bicycle (87).jpg"", ""Bicycle (527).jpg"", ""Bicycle (484).jpg""]",753,6,4,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:00.420,2026-05-26T08:20:13.150,12.73,7,1,Click on the images containing bicycles.,"[""Bicycle (451).jpg"", ""Chimney (95).jpg"", ""Stair (14).jpg"", ""Palm (71).jpg"", ""Tlight (54).jpg"", ""Bicycle (404).jpg"", ""Bicycle (216).jpg"", ""Tlight (68).jpg"", ""Bicycle (516).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 5, 6, 8]","[""Bicycle (451).jpg"", ""Bicycle (404).jpg"", ""Bicycle (216).jpg"", ""Bicycle (516).jpg""]",749,7,5,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:13.155,2026-05-26T08:20:20.822,7.667,8,1,Click on the images containing bicycles.,"[""Hydrant (32).jpg"", ""Chimney (54).jpg"", ""Cross (38).jpg"", ""Car (107).jpg"", ""Car (72).jpg"", ""Bicycle (90).jpg"", ""Bicycle (680).jpg"", ""Bicycle (172).jpg"", ""Palm (8).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[5, 6, 7]","[""Bicycle (90).jpg"", ""Bicycle (680).jpg"", ""Bicycle (172).jpg""]",746,8,6,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:20.827,2026-05-26T08:20:31.711,10.884,9,1,Click on the images containing bicycles.,"[""Car (75).jpg"", ""Palm (135).jpg"", ""Car (47).jpg"", ""Bicycle (385).jpg"", ""Hydrant (43).jpg"", ""Bicycle (300).jpg"", ""Bicycle (189).jpg"", ""Bicycle (742).jpg"", ""Bicycle (656).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T""]","[3, 5, 6, 7, 8]","[""Bicycle (385).jpg"", ""Bicycle (300).jpg"", ""Bicycle (189).jpg"", ""Bicycle (742).jpg"", ""Bicycle (656).jpg""]",741,9,7,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:31.716,2026-05-26T08:20:41.702,9.986,10,1,Click on the images containing bicycles.,"[""Stair (1012).jpg"", ""Chimney (64).jpg"", ""Bicycle (620).jpg"", ""Bicycle (395).jpg"", ""Bus (119).jpg"", ""Hydrant (134).jpg"", ""Bicycle (519).jpg"", ""Bicycle (244).jpg"", ""Palm (52).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 6, 7]","[""Bicycle (620).jpg"", ""Bicycle (395).jpg"", ""Bicycle (519).jpg"", ""Bicycle (244).jpg""]",737,10,8,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:41.708,2026-05-26T08:20:50.286,8.578,11,1,Click on the images containing bicycles.,"[""Bicycle (571).jpg"", ""Bus (122).jpg"", ""Stair (216).jpg"", ""Bicycle (522).jpg"", ""Car (112).jpg"", ""Bicycle (721).jpg"", ""Car (84).jpg"", ""Bicycle (437).jpg"", ""Hydrant (66).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 3, 5, 7]","[""Bicycle (571).jpg"", ""Bicycle (522).jpg"", ""Bicycle (721).jpg"", ""Bicycle (437).jpg""]",733,11,9,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:50.291,2026-05-26T08:20:59.997,9.706,12,1,Click on the images containing bicycles.,"[""Bicycle (551).jpg"", ""Hydrant (26).jpg"", ""Bicycle (633).jpg"", ""Bridge (28).jpg"", ""Bicycle (307).jpg"", ""Bicycle (39).jpg"", ""Bicycle (716).jpg"", ""Bus (41).jpg"", ""Cross (73).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 4, 5, 6]","[""Bicycle (551).jpg"", ""Bicycle (633).jpg"", ""Bicycle (307).jpg"", ""Bicycle (39).jpg"", ""Bicycle (716).jpg""]",728,12,10,10,submit,
4fd8825c09d445c9a86d8dc79e00cd98,captcha_pre,59,19,female,2026-05-26T08:20:50.291,2026-05-26T08:21:02.550,12.259,12,,Click on the images containing bicycles.,[],[],[],[],728,12,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
4fd8825c09d445c9a86d8dc79e00cd98,q_pre_captcha,59,19,female,2026-05-26T08:21:02.561,2026-05-26T08:21:31.923,29.362,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""2"", ""captcha_task_meaningfulness"": ""2"", ""captcha_task_enjoyment"": ""2"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4""}"
4fd8825c09d445c9a86d8dc79e00cd98,q_pre_idaq,59,19,female,2026-05-26T08:21:31.935,2026-05-26T08:24:50.065,198.13,,,,,,,,,,,,submit,"{""idaq_29"": ""5"", ""idaq_17"": ""4"", ""idaq_5"": ""4"", ""idaq_28"": ""8"", ""idaq_9"": ""4"", ""idaq_20"": ""7"", ""idaq_3"": ""5"", ""idaq_23"": ""8"", ""idaq_11"": ""5"", ""idaq_4"": ""4"", ""idaq_18"": ""10"", ""idaq_15"": ""5"", ""idaq_16"": ""10"", ""idaq_30"": ""6"", ""idaq_25"": ""9"", ""idaq_6"": ""10"", ""idaq_22"": ""2"", ""idaq_12"": ""6"", ""idaq_19"": ""9"", ""idaq_8"": ""5"", ""idaq_13"": ""1"", ""idaq_27"": ""6"", ""idaq_24"": ""6"", ""idaq_21"": ""5"", ""idaq_14"": ""3"", ""idaq_10"": ""4"", ""idaq_26"": ""3"", ""idaq_7"": ""2"", ""idaq_1"": ""2"", ""idaq_2"": ""6""}"
4fd8825c09d445c9a86d8dc79e00cd98,q_pre_2050,59,19,female,2026-05-26T08:24:50.077,2026-05-26T08:27:26.510,156.433,,,,,,,,,,,,submit,"{""2050_art"": ""4"", ""2050_hiking"": ""2"", ""2050_rights"": ""2"", ""2050_sports"": ""2"", ""2050_police"": ""2"", ""2050_rubbish_collectors"": ""3"", ""2050_school"": ""1"", ""2050_neurosurgery"": ""2"", ""2050_shelters"": ""2"", ""2050_experiments"": ""3"", ""2050_flight_attendants"": ""2"", ""2050_mannequins"": ""2"", ""2050_crime"": ""3"", ""2050_other_worlds"": ""6"", ""2050_nursing_home"": ""2""}"
