exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T08:59:15.289,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T08:59:15.321,2026-05-26T08:59:46.526,31.205,1,1,Click on the images containing bicycles.,"[""Bicycle (139).jpg"", ""Tlight (9).jpg"", ""Bicycle (54).jpg"", ""Bridge (39).jpg"", ""Bus (117).jpg"", ""Cross (55).jpg"", ""Car (71).jpg"", ""Hydrant (134).jpg"", ""Bicycle (117).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 8]","[""Bicycle (139).jpg"", ""Bicycle (54).jpg"", ""Bicycle (117).jpg""]",777,1,1,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T08:59:46.530,2026-05-26T08:59:59.613,13.083,2,1,Click on the images containing bicycles.,"[""Tlight (119).jpg"", ""Bicycle (268).jpg"", ""Bicycle (378).jpg"", ""Bicycle (761).jpg"", ""Palm (84).jpg"", ""Hydrant (98).jpg"", ""Stair (1388).jpg"", ""Bicycle (243).jpg"", ""Bicycle (694).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 3, 7, 8]","[""Bicycle (268).jpg"", ""Bicycle (378).jpg"", ""Bicycle (761).jpg"", ""Bicycle (243).jpg"", ""Bicycle (694).jpg""]",772,2,2,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T08:59:59.619,2026-05-26T09:00:11.660,12.041,3,1,Click on the images containing bicycles.,"[""Car (31).jpg"", ""Palm (95).jpg"", ""Tlight (84).jpg"", ""Car (63).jpg"", ""Bicycle (577).jpg"", ""Chimney (18).jpg"", ""Bicycle (150).jpg"", ""Bridge (74).jpg"", ""Bicycle (588).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[4, 6, 8]","[""Bicycle (577).jpg"", ""Bicycle (150).jpg"", ""Bicycle (588).jpg""]",769,3,3,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T09:00:11.665,2026-05-26T09:00:21.965,10.3,4,1,Click on the images containing bicycles.,"[""Tlight (114).jpg"", ""Stair (1151).jpg"", ""Bicycle (353).jpg"", ""Bridge (58).jpg"", ""Hydrant (135).jpg"", ""Bicycle (586).jpg"", ""Bicycle (307).jpg"", ""Bicycle (623).jpg"", ""Hydrant (54).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[2, 5, 6, 7]","[""Bicycle (353).jpg"", ""Bicycle (586).jpg"", ""Bicycle (307).jpg"", ""Bicycle (623).jpg""]",765,4,4,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T09:00:21.970,2026-05-26T09:00:36.125,14.155,5,1,Click on the images containing bicycles.,"[""Car (139).jpg"", ""Cross (98).jpg"", ""Bicycle (510).jpg"", ""Chimney (104).jpg"", ""Bicycle (575).jpg"", ""Palm (88).jpg"", ""Bicycle (426).jpg"", ""Tlight (65).jpg"", ""Chimney (105).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[2, 4, 6]","[""Bicycle (510).jpg"", ""Bicycle (575).jpg"", ""Bicycle (426).jpg""]",762,5,5,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T09:00:36.130,2026-05-26T09:00:37.693,1.563,6,0,Click on the images containing bicycles.,"[""Cross (96).jpg"", ""Stair (339).jpg"", ""Bicycle (702).jpg"", ""Car (68).jpg"", ""Bicycle (330).jpg"", ""Chimney (116).jpg"", ""Cross (68).jpg"", ""Bicycle (167).jpg"", ""Bicycle (285).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]",[],[],758,6,5,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T09:00:39.704,2026-05-26T09:00:50.477,10.773,7,1,Click on the images containing bicycles.,"[""Bicycle (39).jpg"", ""Car (124).jpg"", ""Car (33).jpg"", ""Bicycle (728).jpg"", ""Palm (57).jpg"", ""Tlight (52).jpg"", ""Chimney (28).jpg"", ""Palm (18).jpg"", ""Bicycle (590).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (39).jpg"", ""Bicycle (728).jpg"", ""Bicycle (590).jpg""]",755,7,6,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T09:00:50.482,2026-05-26T09:00:59.502,9.02,8,1,Click on the images containing bicycles.,"[""Bicycle (352).jpg"", ""Bus (108).jpg"", ""Bicycle (411).jpg"", ""Chimney (4).jpg"", ""Bicycle (96).jpg"", ""Cross (31).jpg"", ""Chimney (45).jpg"", ""Bridge (62).jpg"", ""Bus (120).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (352).jpg"", ""Bicycle (411).jpg"", ""Bicycle (96).jpg""]",752,8,7,10,submit,
2a8b5848f5ae4523afca35451eabe58b,captcha_pre,60,18,female,2026-05-26T09:00:59.507,2026-05-26T09:01:12.206,12.699,9,1,Click on the images containing bicycles.,"[""Chimney (26).jpg"", ""Bicycle (49).jpg"", ""Bicycle (465).jpg"", ""Bicycle (229).jpg"", ""Chimney (114).jpg"", ""Bus (96).jpg"", ""Tlight (131).jpg"", ""Cross (66).jpg"", ""Bicycle (755).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3, 8]","[""Bicycle (49).jpg"", ""Bicycle (465).jpg"", ""Bicycle (229).jpg"", ""Bicycle (755).jpg""]",748,9,8,10,submit,
