exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:00:27.268,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:00:27.298,2026-05-26T10:00:58.839,31.541,1,1,Click on the images containing bicycles.,"[""Chimney (80).jpg"", ""Bicycle (625).jpg"", ""Bridge (117).jpg"", ""Bridge (93).jpg"", ""Cross (44).jpg"", ""Bicycle (142).jpg"", ""Stair (58).jpg"", ""Stair (840).jpg"", ""Bicycle (44).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (625).jpg"", ""Bicycle (142).jpg"", ""Bicycle (44).jpg""]",777,1,1,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:00:58.843,2026-05-26T10:01:08.838,9.995,2,1,Click on the images containing bicycles.,"[""Bus (74).jpg"", ""Bicycle (391).jpg"", ""Bicycle (267).jpg"", ""Chimney (72).jpg"", ""Bus (112).jpg"", ""Bicycle (519).jpg"", ""Stair (567).jpg"", ""Bus (93).jpg"", ""Bridge (57).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (391).jpg"", ""Bicycle (267).jpg"", ""Bicycle (519).jpg""]",774,2,2,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:01:08.843,2026-05-26T10:01:18.182,9.339,3,1,Click on the images containing bicycles.,"[""Bicycle (639).jpg"", ""Stair (68).jpg"", ""Bicycle (326).jpg"", ""Bicycle (214).jpg"", ""Palm (19).jpg"", ""Bicycle (296).jpg"", ""Bus (91).jpg"", ""Bicycle (15).jpg"", ""Hydrant (65).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 3, 5, 7]","[""Bicycle (639).jpg"", ""Bicycle (326).jpg"", ""Bicycle (214).jpg"", ""Bicycle (296).jpg"", ""Bicycle (15).jpg""]",769,3,3,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:01:18.187,2026-05-26T10:01:29.541,11.354,4,1,Click on the images containing bicycles.,"[""Bicycle (14).jpg"", ""Hydrant (35).jpg"", ""Bicycle (675).jpg"", ""Cross (77).jpg"", ""Palm (99).jpg"", ""Bicycle (219).jpg"", ""Palm (5).jpg"", ""Bicycle (270).jpg"", ""Bicycle (517).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 2, 5, 7, 8]","[""Bicycle (14).jpg"", ""Bicycle (675).jpg"", ""Bicycle (219).jpg"", ""Bicycle (270).jpg"", ""Bicycle (517).jpg""]",764,4,4,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:01:29.548,2026-05-26T10:01:51.143,21.595,5,1,Click on the images containing bicycles.,"[""Bicycle (774).jpg"", ""Bicycle (649).jpg"", ""Palm (114).jpg"", ""Bridge (124).jpg"", ""Bicycle (634).jpg"", ""Bicycle (240).jpg"", ""Bridge (40).jpg"", ""Car (52).jpg"", ""Bicycle (479).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 4, 5, 8]","[""Bicycle (774).jpg"", ""Bicycle (649).jpg"", ""Bicycle (634).jpg"", ""Bicycle (240).jpg"", ""Bicycle (479).jpg""]",759,5,5,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:01:51.148,2026-05-26T10:02:08.151,17.003,6,1,Click on the images containing bicycles.,"[""Palm (64).jpg"", ""Bicycle (265).jpg"", ""Tlight (5).jpg"", ""Bicycle (127).jpg"", ""Bicycle (272).jpg"", ""Hydrant (103).jpg"", ""Palm (11).jpg"", ""Bicycle (371).jpg"", ""Bus (49).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 4, 7]","[""Bicycle (265).jpg"", ""Bicycle (127).jpg"", ""Bicycle (272).jpg"", ""Bicycle (371).jpg""]",755,6,6,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:02:08.156,2026-05-26T10:02:23.103,14.947,7,1,Click on the images containing bicycles.,"[""Bicycle (106).jpg"", ""Tlight (131).jpg"", ""Stair (1183).jpg"", ""Chimney (111).jpg"", ""Bicycle (209).jpg"", ""Bicycle (363).jpg"", ""Bicycle (395).jpg"", ""Bicycle (661).jpg"", ""Stair (951).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[0, 4, 5, 6, 7]","[""Bicycle (106).jpg"", ""Bicycle (209).jpg"", ""Bicycle (363).jpg"", ""Bicycle (395).jpg"", ""Bicycle (661).jpg""]",750,7,7,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:02:23.108,2026-05-26T10:02:43.336,20.228,8,1,Click on the images containing bicycles.,"[""Bicycle (447).jpg"", ""Chimney (100).jpg"", ""Bicycle (636).jpg"", ""Bicycle (27).jpg"", ""Stair (1151).jpg"", ""Cross (45).jpg"", ""Bicycle (551).jpg"", ""Bicycle (394).jpg"", ""Tlight (87).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 3, 6, 7]","[""Bicycle (447).jpg"", ""Bicycle (636).jpg"", ""Bicycle (27).jpg"", ""Bicycle (551).jpg"", ""Bicycle (394).jpg""]",745,8,8,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:02:43.341,2026-05-26T10:02:58.200,14.859,9,1,Click on the images containing bicycles.,"[""Car (114).jpg"", ""Chimney (24).jpg"", ""Car (34).jpg"", ""Bicycle (31).jpg"", ""Palm (48).jpg"", ""Bicycle (191).jpg"", ""Bicycle (242).jpg"", ""Hydrant (21).jpg"", ""Bicycle (632).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[3, 5, 6, 8]","[""Bicycle (31).jpg"", ""Bicycle (191).jpg"", ""Bicycle (242).jpg"", ""Bicycle (632).jpg""]",741,9,9,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:02:58.204,2026-05-26T10:03:12.393,14.189,10,1,Click on the images containing bicycles.,"[""Bicycle (757).jpg"", ""Chimney (62).jpg"", ""Palm (73).jpg"", ""Bicycle (759).jpg"", ""Bicycle (772).jpg"", ""Hydrant (34).jpg"", ""Bicycle (611).jpg"", ""Cross (24).jpg"", ""Bicycle (119).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 4, 6, 8]","[""Bicycle (757).jpg"", ""Bicycle (759).jpg"", ""Bicycle (772).jpg"", ""Bicycle (611).jpg"", ""Bicycle (119).jpg""]",736,10,10,10,submit,
ab32926de2c04952b8c2e7e4119f53e2,captcha_pre,61,18,female,2026-05-26T10:02:58.204,2026-05-26T10:03:16.335,18.131,10,,Click on the images containing bicycles.,[],[],[],[],736,10,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
ab32926de2c04952b8c2e7e4119f53e2,q_pre_captcha,61,18,female,2026-05-26T10:03:16.344,2026-05-26T10:03:42.199,25.855,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""5"", ""captcha_task_difficulty"": ""1"", ""captcha_task_meaningfulness"": ""1"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4""}"
ab32926de2c04952b8c2e7e4119f53e2,q_pre_idaq,61,18,female,2026-05-26T10:03:42.211,2026-05-26T10:06:20.273,158.062,,,,,,,,,,,,submit,"{""idaq_23"": ""1"", ""idaq_22"": ""8"", ""idaq_17"": ""1"", ""idaq_7"": ""1"", ""idaq_27"": ""4"", ""idaq_24"": ""6"", ""idaq_16"": ""10"", ""idaq_30"": ""6"", ""idaq_11"": ""2"", ""idaq_9"": ""1"", ""idaq_20"": ""7"", ""idaq_25"": ""6"", ""idaq_15"": ""1"", ""idaq_6"": ""8"", ""idaq_13"": ""1"", ""idaq_29"": ""9"", ""idaq_28"": ""3"", ""idaq_3"": ""1"", ""idaq_12"": ""7"", ""idaq_4"": ""4"", ""idaq_8"": ""3"", ""idaq_14"": ""1"", ""idaq_10"": ""2"", ""idaq_1"": ""1"", ""idaq_2"": ""4"", ""idaq_26"": ""1"", ""idaq_21"": ""6"", ""idaq_5"": ""2"", ""idaq_18"": ""1"", ""idaq_19"": ""9""}"
ab32926de2c04952b8c2e7e4119f53e2,q_pre_2050,61,18,female,2026-05-26T10:06:20.281,2026-05-26T10:08:27.096,126.815,,,,,,,,,,,,submit,"{""2050_nursing_home"": ""6"", ""2050_shelters"": ""1"", ""2050_police"": ""2"", ""2050_flight_attendants"": ""1"", ""2050_rubbish_collectors"": ""6"", ""2050_hiking"": ""2"", ""2050_other_worlds"": ""8"", ""2050_mannequins"": ""2"", ""2050_art"": ""8"", ""2050_experiments"": ""2"", ""2050_rights"": ""2"", ""2050_sports"": ""1"", ""2050_school"": ""1"", ""2050_crime"": ""4"", ""2050_neurosurgery"": ""2""}"
