exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:56:10.269,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:56:10.299,2026-05-26T12:56:50.024,39.725,1,1,Click on the images containing bicycles.,"[""Car (133).jpg"", ""Bridge (96).jpg"", ""Palm (79).jpg"", ""Car (126).jpg"", ""Bus (89).jpg"", ""Bicycle (275).jpg"", ""Bicycle (142).jpg"", ""Bicycle (574).jpg"", ""Bicycle (696).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T""]","[5, 6, 7, 8]","[""Bicycle (275).jpg"", ""Bicycle (142).jpg"", ""Bicycle (574).jpg"", ""Bicycle (696).jpg""]",776,1,1,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:56:50.030,2026-05-26T12:57:06.173,16.143,2,1,Click on the images containing bicycles.,"[""Tlight (66).jpg"", ""Bridge (119).jpg"", ""Bus (47).jpg"", ""Bicycle (715).jpg"", ""Bicycle (754).jpg"", ""Cross (70).jpg"", ""Bicycle (706).jpg"", ""Bicycle (405).jpg"", ""Cross (31).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[3, 4, 6, 7]","[""Bicycle (715).jpg"", ""Bicycle (754).jpg"", ""Bicycle (706).jpg"", ""Bicycle (405).jpg""]",772,2,2,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:57:06.179,2026-05-26T12:57:19.508,13.329,3,1,Click on the images containing bicycles.,"[""Tlight (90).jpg"", ""Chimney (6).jpg"", ""Bus (119).jpg"", ""Bicycle (54).jpg"", ""Bicycle (501).jpg"", ""Bus (139).jpg"", ""Bicycle (498).jpg"", ""Bridge (52).jpg"", ""Bicycle (772).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[3, 4, 6, 8]","[""Bicycle (54).jpg"", ""Bicycle (501).jpg"", ""Bicycle (498).jpg"", ""Bicycle (772).jpg""]",768,3,3,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:57:19.513,2026-05-26T12:57:41.053,21.54,4,1,Click on the images containing bicycles.,"[""Bus (107).jpg"", ""Tlight (91).jpg"", ""Bicycle (16).jpg"", ""Bicycle (771).jpg"", ""Bridge (66).jpg"", ""Car (46).jpg"", ""Bicycle (487).jpg"", ""Car (73).jpg"", ""Bicycle (635).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 3, 6, 8]","[""Bicycle (16).jpg"", ""Bicycle (771).jpg"", ""Bicycle (487).jpg"", ""Bicycle (635).jpg""]",764,4,4,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:57:41.058,2026-05-26T12:57:56.692,15.634,5,0,Click on the images containing bicycles.,"[""Bicycle (723).jpg"", ""Bicycle (342).jpg"", ""Car (67).jpg"", ""Palm (127).jpg"", ""Chimney (14).jpg"", ""Tlight (92).jpg"", ""Bicycle (77).jpg"", ""Bicycle (182).jpg"", ""Bus (112).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (342).jpg"", ""Bicycle (77).jpg"", ""Bicycle (182).jpg""]",760,5,4,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:57:58.700,2026-05-26T12:58:15.245,16.545,6,1,Click on the images containing bicycles.,"[""Bicycle (448).jpg"", ""Bicycle (367).jpg"", ""Bridge (101).jpg"", ""Cross (13).jpg"", ""Bridge (83).jpg"", ""Tlight (113).jpg"", ""Bridge (100).jpg"", ""Car (138).jpg"", ""Bicycle (548).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (448).jpg"", ""Bicycle (367).jpg"", ""Bicycle (548).jpg""]",757,6,5,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:58:15.250,2026-05-26T12:58:21.932,6.682,7,1,Click on the images containing bicycles.,"[""Bicycle (530).jpg"", ""Cross (46).jpg"", ""Bicycle (315).jpg"", ""Stair (912).jpg"", ""Stair (1319).jpg"", ""Stair (1349).jpg"", ""Bicycle (119).jpg"", ""Car (52).jpg"", ""Tlight (54).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 6]","[""Bicycle (530).jpg"", ""Bicycle (315).jpg"", ""Bicycle (119).jpg""]",754,7,6,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:58:21.937,2026-05-26T12:58:36.732,14.795,8,1,Click on the images containing bicycles.,"[""Hydrant (51).jpg"", ""Bicycle (385).jpg"", ""Cross (28).jpg"", ""Bicycle (702).jpg"", ""Car (125).jpg"", ""Stair (748).jpg"", ""Bicycle (636).jpg"", ""Bridge (103).jpg"", ""Bicycle (669).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 6, 8]","[""Bicycle (385).jpg"", ""Bicycle (702).jpg"", ""Bicycle (636).jpg"", ""Bicycle (669).jpg""]",750,8,7,10,submit,
9e259b7e4e614530b3f3da2205837a46,captcha_pre,64,19,female,2026-05-26T12:58:36.737,2026-05-26T12:58:47.468,10.731,9,0,Click on the images containing bicycles.,"[""Bicycle (504).jpg"", ""Bicycle (140).jpg"", ""Cross (67).jpg"", ""Bicycle (640).jpg"", ""Bridge (48).jpg"", ""Bicycle (564).jpg"", ""Bridge (131).jpg"", ""Bicycle (2).jpg"", ""Hydrant (30).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 5, 7]","[""Bicycle (504).jpg"", ""Bicycle (140).jpg"", ""Bicycle (564).jpg"", ""Bicycle (2).jpg""]",745,9,7,10,submit,
