exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:55:55.572,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:55:55.603,2026-05-26T13:56:35.334,39.731,1,1,Click on the images containing bicycles.,"[""Car (123).jpg"", ""Palm (74).jpg"", ""Bicycle (12).jpg"", ""Tlight (82).jpg"", ""Bridge (22).jpg"", ""Cross (36).jpg"", ""Bicycle (192).jpg"", ""Hydrant (66).jpg"", ""Bicycle (160).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 6, 8]","[""Bicycle (12).jpg"", ""Bicycle (192).jpg"", ""Bicycle (160).jpg""]",777,1,1,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:56:35.340,2026-05-26T13:56:50.701,15.361,2,1,Click on the images containing bicycles.,"[""Hydrant (110).jpg"", ""Bicycle (98).jpg"", ""Cross (35).jpg"", ""Bridge (98).jpg"", ""Bicycle (219).jpg"", ""Bicycle (425).jpg"", ""Tlight (42).jpg"", ""Bicycle (385).jpg"", ""Cross (30).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 4, 5, 7]","[""Bicycle (98).jpg"", ""Bicycle (219).jpg"", ""Bicycle (425).jpg"", ""Bicycle (385).jpg""]",773,2,2,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:56:50.707,2026-05-26T13:57:05.574,14.867,3,1,Click on the images containing bicycles.,"[""Bicycle (380).jpg"", ""Bicycle (473).jpg"", ""Bicycle (91).jpg"", ""Bicycle (288).jpg"", ""Palm (111).jpg"", ""Bridge (127).jpg"", ""Stair (71).jpg"", ""Cross (57).jpg"", ""Palm (107).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (380).jpg"", ""Bicycle (473).jpg"", ""Bicycle (91).jpg"", ""Bicycle (288).jpg""]",769,3,3,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:57:05.579,2026-05-26T13:57:19.870,14.291,4,1,Click on the images containing bicycles.,"[""Bus (122).jpg"", ""Bus (79).jpg"", ""Bicycle (138).jpg"", ""Bicycle (442).jpg"", ""Chimney (71).jpg"", ""Bicycle (771).jpg"", ""Bicycle (146).jpg"", ""Car (45).jpg"", ""Bicycle (518).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[2, 3, 5, 6, 8]","[""Bicycle (138).jpg"", ""Bicycle (442).jpg"", ""Bicycle (771).jpg"", ""Bicycle (146).jpg"", ""Bicycle (518).jpg""]",764,4,4,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:57:19.875,2026-05-26T13:57:37.453,17.578,5,1,Click on the images containing bicycles.,"[""Hydrant (71).jpg"", ""Bicycle (77).jpg"", ""Bicycle (63).jpg"", ""Bicycle (188).jpg"", ""Palm (54).jpg"", ""Bicycle (232).jpg"", ""Palm (101).jpg"", ""Cross (97).jpg"", ""Bicycle (319).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 3, 5, 8]","[""Bicycle (77).jpg"", ""Bicycle (63).jpg"", ""Bicycle (188).jpg"", ""Bicycle (232).jpg"", ""Bicycle (319).jpg""]",759,5,5,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:57:37.458,2026-05-26T13:57:48.477,11.019,6,1,Click on the images containing bicycles.,"[""Bicycle (300).jpg"", ""Stair (14).jpg"", ""Bicycle (292).jpg"", ""Bridge (90).jpg"", ""Tlight (107).jpg"", ""Chimney (96).jpg"", ""Bicycle (308).jpg"", ""Bridge (81).jpg"", ""Stair (469).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 6]","[""Bicycle (300).jpg"", ""Bicycle (292).jpg"", ""Bicycle (308).jpg""]",756,6,6,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:57:48.482,2026-05-26T13:57:57.327,8.845,7,1,Click on the images containing bicycles.,"[""Bicycle (21).jpg"", ""Bicycle (92).jpg"", ""Tlight (73).jpg"", ""Bicycle (40).jpg"", ""Car (24).jpg"", ""Tlight (92).jpg"", ""Palm (6).jpg"", ""Stair (482).jpg"", ""Stair (1454).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (21).jpg"", ""Bicycle (92).jpg"", ""Bicycle (40).jpg""]",753,7,7,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:57:57.331,2026-05-26T13:58:09.901,12.57,8,0,Click on the images containing bicycles.,"[""Bicycle (173).jpg"", ""Bridge (36).jpg"", ""Bus (55).jpg"", ""Chimney (32).jpg"", ""Bicycle (89).jpg"", ""Car (109).jpg"", ""Bicycle (283).jpg"", ""Stair (393).jpg"", ""Bicycle (168).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 4, 6, 8]","[""Bicycle (173).jpg"", ""Bus (55).jpg"", ""Bicycle (89).jpg"", ""Bicycle (283).jpg"", ""Bicycle (168).jpg""]",749,8,7,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:58:11.911,2026-05-26T13:58:23.797,11.886,9,1,Click on the images containing bicycles.,"[""Stair (1191).jpg"", ""Hydrant (77).jpg"", ""Bicycle (272).jpg"", ""Bicycle (725).jpg"", ""Bicycle (738).jpg"", ""Stair (917).jpg"", ""Hydrant (123).jpg"", ""Bicycle (164).jpg"", ""Stair (1134).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[2, 3, 4, 7]","[""Bicycle (272).jpg"", ""Bicycle (725).jpg"", ""Bicycle (738).jpg"", ""Bicycle (164).jpg""]",745,9,8,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:58:23.803,2026-05-26T13:58:32.254,8.451,10,1,Click on the images containing bicycles.,"[""Bicycle (384).jpg"", ""Tlight (99).jpg"", ""Stair (1237).jpg"", ""Bicycle (304).jpg"", ""Car (59).jpg"", ""Bus (59).jpg"", ""Bicycle (242).jpg"", ""Car (65).jpg"", ""Bus (50).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (384).jpg"", ""Bicycle (304).jpg"", ""Bicycle (242).jpg""]",742,10,9,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:58:32.259,2026-05-26T13:58:47.193,14.934,11,1,Click on the images containing bicycles.,"[""Cross (14).jpg"", ""Bicycle (669).jpg"", ""Tlight (60).jpg"", ""Bicycle (472).jpg"", ""Stair (1349).jpg"", ""Bicycle (343).jpg"", ""Bridge (37).jpg"", ""Cross (56).jpg"", ""Bicycle (158).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 5, 8]","[""Bicycle (669).jpg"", ""Bicycle (472).jpg"", ""Bicycle (343).jpg"", ""Bicycle (158).jpg""]",738,11,10,10,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_pre,65,20,female,2026-05-26T13:58:32.259,2026-05-26T13:58:49.413,17.154,11,,Click on the images containing bicycles.,[],[],[],[],738,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
eaf2b998190941bfad65f6b552861e4f,q_pre_captcha,65,20,female,2026-05-26T13:58:49.423,2026-05-26T13:59:05.268,15.845,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""1"", ""captcha_task_meaningfulness"": ""1"", ""captcha_task_fun"": ""1"", ""general_captcha_liking"": ""3""}"
eaf2b998190941bfad65f6b552861e4f,q_pre_idaq,65,20,female,2026-05-26T13:59:05.280,2026-05-26T14:01:03.702,118.422,,,,,,,,,,,,submit,"{""idaq_6"": ""10"", ""idaq_29"": ""5"", ""idaq_4"": ""5"", ""idaq_1"": ""8"", ""idaq_25"": ""4"", ""idaq_17"": ""7"", ""idaq_18"": ""6"", ""idaq_19"": ""9"", ""idaq_28"": ""7"", ""idaq_7"": ""5"", ""idaq_8"": ""2"", ""idaq_13"": ""3"", ""idaq_15"": ""5"", ""idaq_22"": ""4"", ""idaq_10"": ""1"", ""idaq_30"": ""1"", ""idaq_12"": ""2"", ""idaq_3"": ""5"", ""idaq_9"": ""2"", ""idaq_20"": ""7"", ""idaq_16"": ""10"", ""idaq_5"": ""1"", ""idaq_23"": ""1"", ""idaq_26"": ""6"", ""idaq_11"": ""1"", ""idaq_27"": ""7"", ""idaq_2"": ""6"", ""idaq_14"": ""5"", ""idaq_21"": ""3"", ""idaq_24"": ""8""}"
eaf2b998190941bfad65f6b552861e4f,q_pre_2050,65,20,female,2026-05-26T14:01:03.713,2026-05-26T14:02:38.401,94.688,,,,,,,,,,,,submit,"{""2050_hiking"": ""7"", ""2050_neurosurgery"": ""10"", ""2050_other_worlds"": ""9"", ""2050_rights"": ""2"", ""2050_art"": ""4"", ""2050_shelters"": ""5"", ""2050_sports"": ""1"", ""2050_flight_attendants"": ""9"", ""2050_rubbish_collectors"": ""10"", ""2050_nursing_home"": ""10"", ""2050_mannequins"": ""8"", ""2050_experiments"": ""10"", ""2050_police"": ""2"", ""2050_school"": ""9"", ""2050_crime"": ""10""}"
eaf2b998190941bfad65f6b552861e4f,q_post_gators,65,20,female,2026-05-26T14:15:10.786,2026-05-26T14:16:57.767,106.981,,,,,,,,,,,,submit,"{""gators_4"": ""3"", ""gators_8"": ""6"", ""gators_17"": ""6"", ""gators_15"": ""5"", ""gators_13"": ""6"", ""gators_12"": ""6"", ""gators_19"": ""7"", ""gators_14"": ""7"", ""gators_6"": ""6"", ""gators_20"": ""7"", ""gators_3"": ""3"", ""gators_1"": ""2"", ""gators_5"": ""1"", ""gators_10"": ""7"", ""gators_16"": ""5"", ""gators_7"": ""6"", ""gators_18"": ""6"", ""gators_9"": ""5"", ""gators_11"": ""5"", ""gators_2"": ""6""}"
eaf2b998190941bfad65f6b552861e4f,q_post_specific,65,20,female,2026-05-26T14:16:57.779,2026-05-26T14:17:14.878,17.099,,,,,,,,,,,,submit,"{""robot_likeability"": ""5"", ""conversation_interestingness"": ""3"", ""robot_friendliness"": ""6"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""5"", ""robot_empathy"": ""2""}"
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:17:14.922,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:17:14.941,2026-05-26T14:17:32.306,17.365,1,1,Click on the images containing bicycles.,"[""Hydrant (46).jpg"", ""Bicycle (669).jpg"", ""Bicycle (329).jpg"", ""Bicycle (316).jpg"", ""Bicycle (498).jpg"", ""Hydrant (121).jpg"", ""Bicycle (712).jpg"", ""Palm (41).jpg"", ""Bus (35).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 4, 6]","[""Bicycle (669).jpg"", ""Bicycle (329).jpg"", ""Bicycle (316).jpg"", ""Bicycle (498).jpg"", ""Bicycle (712).jpg""]",775,1,1,1000,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:17:32.311,2026-05-26T14:17:43.246,10.935,2,1,Click on the images containing bicycles.,"[""Bicycle (394).jpg"", ""Bicycle (147).jpg"", ""Car (75).jpg"", ""Bicycle (398).jpg"", ""Car (41).jpg"", ""Hydrant (104).jpg"", ""Bicycle (326).jpg"", ""Hydrant (119).jpg"", ""Bicycle (87).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 1, 3, 6, 8]","[""Bicycle (394).jpg"", ""Bicycle (147).jpg"", ""Bicycle (398).jpg"", ""Bicycle (326).jpg"", ""Bicycle (87).jpg""]",770,2,2,1000,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:17:43.251,2026-05-26T14:17:54.934,11.683,3,1,Click on the images containing bicycles.,"[""Car (107).jpg"", ""Bicycle (436).jpg"", ""Chimney (43).jpg"", ""Bicycle (597).jpg"", ""Cross (15).jpg"", ""Tlight (15).jpg"", ""Bicycle (185).jpg"", ""Bicycle (604).jpg"", ""Bicycle (499).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 3, 6, 7, 8]","[""Bicycle (436).jpg"", ""Bicycle (597).jpg"", ""Bicycle (185).jpg"", ""Bicycle (604).jpg"", ""Bicycle (499).jpg""]",765,3,3,1000,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:17:54.938,2026-05-26T14:18:04.910,9.972,4,1,Click on the images containing bicycles.,"[""Bicycle (761).jpg"", ""Bicycle (238).jpg"", ""Car (122).jpg"", ""Bicycle (673).jpg"", ""Palm (94).jpg"", ""Palm (105).jpg"", ""Bridge (48).jpg"", ""Stair (38).jpg"", ""Bicycle (50).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 3, 8]","[""Bicycle (761).jpg"", ""Bicycle (238).jpg"", ""Bicycle (673).jpg"", ""Bicycle (50).jpg""]",761,4,4,1000,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:18:04.915,2026-05-26T14:18:15.246,10.331,5,1,Click on the images containing bicycles.,"[""Bus (98).jpg"", ""Bicycle (775).jpg"", ""Hydrant (47).jpg"", ""Chimney (104).jpg"", ""Bicycle (705).jpg"", ""Bus (85).jpg"", ""Bus (36).jpg"", ""Bicycle (521).jpg"", ""Car (33).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 4, 7]","[""Bicycle (775).jpg"", ""Bicycle (705).jpg"", ""Bicycle (521).jpg""]",758,5,5,1000,submit,
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:18:15.251,2026-05-26T14:18:16.949,1.698,6,,Click on the images containing bicycles.,"[""Car (101).jpg"", ""Tlight (17).jpg"", ""Bridge (106).jpg"", ""Car (68).jpg"", ""Bicycle (110).jpg"", ""Bicycle (218).jpg"", ""Chimney (39).jpg"", ""Bridge (131).jpg"", ""Bicycle (615).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]",[],[],755,5,5,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
eaf2b998190941bfad65f6b552861e4f,captcha_post,65,20,female,2026-05-26T14:18:15.251,2026-05-26T14:18:16.956,1.705,6,,Click on the images containing bicycles.,[],[],[],[],755,5,5,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
