exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:01:05.202,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:01:05.227,2026-05-28T08:01:42.488,37.261,1,1,Click on the images containing bicycles.,"[""Cross (106).jpg"", ""Stair (424).jpg"", ""Bicycle (501).jpg"", ""Bicycle (469).jpg"", ""Bicycle (661).jpg"", ""Bicycle (165).jpg"", ""Cross (97).jpg"", ""Bicycle (686).jpg"", ""Bridge (55).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 3, 4, 5, 7]","[""Bicycle (501).jpg"", ""Bicycle (469).jpg"", ""Bicycle (661).jpg"", ""Bicycle (165).jpg"", ""Bicycle (686).jpg""]",775,1,1,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:01:42.493,2026-05-28T08:02:07.543,25.05,2,1,Click on the images containing bicycles.,"[""Bus (85).jpg"", ""Bicycle (143).jpg"", ""Cross (63).jpg"", ""Palm (103).jpg"", ""Bicycle (651).jpg"", ""Bicycle (730).jpg"", ""Bridge (140).jpg"", ""Car (40).jpg"", ""Bicycle (407).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 4, 5, 8]","[""Bicycle (143).jpg"", ""Bicycle (651).jpg"", ""Bicycle (730).jpg"", ""Bicycle (407).jpg""]",771,2,2,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:02:07.548,2026-05-28T08:02:24.527,16.979,3,1,Click on the images containing bicycles.,"[""Stair (312).jpg"", ""Bus (134).jpg"", ""Bridge (83).jpg"", ""Bicycle (159).jpg"", ""Bicycle (524).jpg"", ""Bicycle (666).jpg"", ""Car (50).jpg"", ""Bicycle (492).jpg"", ""Palm (13).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[3, 4, 5, 7]","[""Bicycle (159).jpg"", ""Bicycle (524).jpg"", ""Bicycle (666).jpg"", ""Bicycle (492).jpg""]",767,3,3,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:02:24.532,2026-05-28T08:02:41.183,16.651,4,0,Click on the images containing bicycles.,"[""Chimney (14).jpg"", ""Hydrant (25).jpg"", ""Hydrant (139).jpg"", ""Bicycle (471).jpg"", ""Tlight (79).jpg"", ""Bicycle (429).jpg"", ""Bicycle (743).jpg"", ""Bicycle (349).jpg"", ""Bicycle (147).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T""]","[3, 6, 7, 8]","[""Bicycle (471).jpg"", ""Bicycle (743).jpg"", ""Bicycle (349).jpg"", ""Bicycle (147).jpg""]",762,4,3,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:02:43.192,2026-05-28T08:02:59.751,16.559,5,0,Click on the images containing bicycles.,"[""Tlight (89).jpg"", ""Bicycle (696).jpg"", ""Bicycle (510).jpg"", ""Bus (62).jpg"", ""Bicycle (1).jpg"", ""Bicycle (444).jpg"", ""Car (22).jpg"", ""Stair (499).jpg"", ""Bus (115).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (696).jpg"", ""Bicycle (510).jpg"", ""Bicycle (444).jpg""]",758,5,3,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:03:01.762,2026-05-28T08:03:14.576,12.814,6,1,Click on the images containing bicycles.,"[""Bridge (73).jpg"", ""Car (43).jpg"", ""Bicycle (398).jpg"", ""Bicycle (150).jpg"", ""Bicycle (181).jpg"", ""Bicycle (353).jpg"", ""Stair (989).jpg"", ""Palm (81).jpg"", ""Bicycle (439).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 4, 5, 8]","[""Bicycle (398).jpg"", ""Bicycle (150).jpg"", ""Bicycle (181).jpg"", ""Bicycle (353).jpg"", ""Bicycle (439).jpg""]",753,6,4,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:03:14.582,2026-05-28T08:03:34.855,20.273,7,0,Click on the images containing bicycles.,"[""Bicycle (115).jpg"", ""Bicycle (435).jpg"", ""Bicycle (483).jpg"", ""Chimney (92).jpg"", ""Bicycle (111).jpg"", ""Bicycle (766).jpg"", ""Chimney (123).jpg"", ""Stair (861).jpg"", ""Hydrant (134).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 4]","[""Bicycle (115).jpg"", ""Bicycle (435).jpg"", ""Bicycle (483).jpg"", ""Bicycle (111).jpg""]",748,7,4,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:03:36.865,2026-05-28T08:03:49.733,12.868,8,1,Click on the images containing bicycles.,"[""Bicycle (733).jpg"", ""Tlight (86).jpg"", ""Cross (1).jpg"", ""Hydrant (123).jpg"", ""Bicycle (56).jpg"", ""Bicycle (747).jpg"", ""Hydrant (122).jpg"", ""Bicycle (632).jpg"", ""Bicycle (652).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[0, 4, 5, 7, 8]","[""Bicycle (733).jpg"", ""Bicycle (56).jpg"", ""Bicycle (747).jpg"", ""Bicycle (632).jpg"", ""Bicycle (652).jpg""]",743,8,5,10,submit,
2691c893a7e44918a20165dac64aa688,captcha_pre,67,20,female,2026-05-28T08:03:49.737,2026-05-28T08:04:02.549,12.812,9,1,Click on the images containing bicycles.,"[""Bicycle (6).jpg"", ""Palm (65).jpg"", ""Bicycle (396).jpg"", ""Bicycle (389).jpg"", ""Cross (80).jpg"", ""Palm (130).jpg"", ""Tlight (99).jpg"", ""Bicycle (579).jpg"", ""Bridge (50).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 7]","[""Bicycle (6).jpg"", ""Bicycle (396).jpg"", ""Bicycle (389).jpg"", ""Bicycle (579).jpg""]",739,9,6,10,submit,
