exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:05:27.152,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:05:27.192,2026-05-28T10:06:00.829,33.637,1,1,Click on the images containing bicycles.,"[""Bicycle (387).jpg"", ""Bridge (33).jpg"", ""Hydrant (136).jpg"", ""Tlight (72).jpg"", ""Bicycle (84).jpg"", ""Bicycle (276).jpg"", ""Bicycle (141).jpg"", ""Car (135).jpg"", ""Bicycle (149).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[0, 4, 5, 6, 8]","[""Bicycle (387).jpg"", ""Bicycle (84).jpg"", ""Bicycle (276).jpg"", ""Bicycle (141).jpg"", ""Bicycle (149).jpg""]",775,1,1,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:06:00.835,2026-05-28T10:06:22.710,21.875,2,1,Click on the images containing bicycles.,"[""Bicycle (268).jpg"", ""Bus (118).jpg"", ""Tlight (98).jpg"", ""Bicycle (357).jpg"", ""Bicycle (309).jpg"", ""Palm (76).jpg"", ""Bicycle (152).jpg"", ""Bicycle (239).jpg"", ""Bridge (99).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 4, 6, 7]","[""Bicycle (268).jpg"", ""Bicycle (357).jpg"", ""Bicycle (309).jpg"", ""Bicycle (152).jpg"", ""Bicycle (239).jpg""]",770,2,2,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:06:22.715,2026-05-28T10:06:38.997,16.282,3,1,Click on the images containing bicycles.,"[""Bicycle (329).jpg"", ""Car (125).jpg"", ""Car (115).jpg"", ""Bicycle (137).jpg"", ""Bicycle (338).jpg"", ""Palm (63).jpg"", ""Hydrant (131).jpg"", ""Hydrant (37).jpg"", ""Bicycle (582).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 3, 4, 8]","[""Bicycle (329).jpg"", ""Bicycle (137).jpg"", ""Bicycle (338).jpg"", ""Bicycle (582).jpg""]",766,3,3,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:06:39.003,2026-05-28T10:06:53.837,14.834,4,1,Click on the images containing bicycles.,"[""Bridge (93).jpg"", ""Cross (42).jpg"", ""Bicycle (156).jpg"", ""Bicycle (318).jpg"", ""Bicycle (480).jpg"", ""Chimney (127).jpg"", ""Bicycle (209).jpg"", ""Bicycle (715).jpg"", ""Bridge (79).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 4, 6, 7]","[""Bicycle (156).jpg"", ""Bicycle (318).jpg"", ""Bicycle (480).jpg"", ""Bicycle (209).jpg"", ""Bicycle (715).jpg""]",761,4,4,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:06:53.842,2026-05-28T10:07:13.237,19.395,5,1,Click on the images containing bicycles.,"[""Cross (87).jpg"", ""Bicycle (405).jpg"", ""Bus (64).jpg"", ""Chimney (64).jpg"", ""Bicycle (224).jpg"", ""Bridge (71).jpg"", ""Car (136).jpg"", ""Stair (427).jpg"", ""Bicycle (254).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 4, 8]","[""Bicycle (405).jpg"", ""Bicycle (224).jpg"", ""Bicycle (254).jpg""]",758,5,5,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:07:13.242,2026-05-28T10:07:23.988,10.746,6,1,Click on the images containing bicycles.,"[""Chimney (34).jpg"", ""Bus (21).jpg"", ""Bicycle (407).jpg"", ""Chimney (62).jpg"", ""Car (60).jpg"", ""Palm (129).jpg"", ""Hydrant (64).jpg"", ""Bicycle (592).jpg"", ""Bicycle (46).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (407).jpg"", ""Bicycle (592).jpg"", ""Bicycle (46).jpg""]",755,6,6,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:07:23.994,2026-05-28T10:07:38.508,14.514,7,1,Click on the images containing bicycles.,"[""Bicycle (676).jpg"", ""Chimney (40).jpg"", ""Bicycle (27).jpg"", ""Bus (108).jpg"", ""Chimney (30).jpg"", ""Bicycle (395).jpg"", ""Bicycle (533).jpg"", ""Palm (100).jpg"", ""Bicycle (484).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 2, 5, 6, 8]","[""Bicycle (676).jpg"", ""Bicycle (27).jpg"", ""Bicycle (395).jpg"", ""Bicycle (533).jpg"", ""Bicycle (484).jpg""]",750,7,7,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:07:38.513,2026-05-28T10:07:49.038,10.525,8,1,Click on the images containing bicycles.,"[""Bicycle (18).jpg"", ""Cross (58).jpg"", ""Bridge (120).jpg"", ""Bus (112).jpg"", ""Tlight (136).jpg"", ""Bridge (42).jpg"", ""Bus (70).jpg"", ""Bicycle (653).jpg"", ""Bicycle (319).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 7, 8]","[""Bicycle (18).jpg"", ""Bicycle (653).jpg"", ""Bicycle (319).jpg""]",747,8,8,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:07:49.043,2026-05-28T10:08:00.853,11.81,9,1,Click on the images containing bicycles.,"[""Stair (1353).jpg"", ""Cross (75).jpg"", ""Hydrant (50).jpg"", ""Bicycle (608).jpg"", ""Chimney (116).jpg"", ""Cross (50).jpg"", ""Bicycle (598).jpg"", ""Bicycle (439).jpg"", ""Bicycle (519).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T""]","[3, 6, 7, 8]","[""Bicycle (608).jpg"", ""Bicycle (598).jpg"", ""Bicycle (439).jpg"", ""Bicycle (519).jpg""]",743,9,9,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:08:00.858,2026-05-28T10:08:08.102,7.244,10,1,Click on the images containing bicycles.,"[""Chimney (94).jpg"", ""Bus (81).jpg"", ""Bicycle (677).jpg"", ""Bicycle (775).jpg"", ""Palm (42).jpg"", ""Hydrant (67).jpg"", ""Bridge (118).jpg"", ""Bicycle (711).jpg"", ""Bicycle (285).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 3, 7, 8]","[""Bicycle (677).jpg"", ""Bicycle (775).jpg"", ""Bicycle (711).jpg"", ""Bicycle (285).jpg""]",739,10,10,10,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_pre,68,48,female,2026-05-28T10:08:00.858,2026-05-28T10:08:18.341,17.483,10,,Click on the images containing bicycles.,[],[],[],[],739,10,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
a4847afbee3440488223989d8a8cc3e4,q_pre_captcha,68,48,female,2026-05-28T10:08:18.353,2026-05-28T10:08:41.964,23.611,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""5"", ""captcha_task_fun"": ""5"", ""captcha_task_difficulty"": ""6"", ""captcha_task_meaningfulness"": ""5"", ""captcha_task_enjoyment"": ""5""}"
a4847afbee3440488223989d8a8cc3e4,q_pre_idaq,68,48,female,2026-05-28T10:08:41.976,2026-05-28T10:11:41.334,179.358,,,,,,,,,,,,submit,"{""idaq_10"": ""5"", ""idaq_14"": ""7"", ""idaq_8"": ""4"", ""idaq_27"": ""7"", ""idaq_25"": ""5"", ""idaq_20"": ""8"", ""idaq_26"": ""2"", ""idaq_16"": ""10"", ""idaq_5"": ""7"", ""idaq_19"": ""6"", ""idaq_13"": ""1"", ""idaq_23"": ""8"", ""idaq_6"": ""10"", ""idaq_3"": ""1"", ""idaq_22"": ""6"", ""idaq_11"": ""1"", ""idaq_24"": ""5"", ""idaq_1"": ""1"", ""idaq_7"": ""2"", ""idaq_9"": ""1"", ""idaq_30"": ""7"", ""idaq_12"": ""7"", ""idaq_29"": ""5"", ""idaq_2"": ""3"", ""idaq_17"": ""1"", ""idaq_4"": ""2"", ""idaq_28"": ""8"", ""idaq_21"": ""5"", ""idaq_18"": ""4"", ""idaq_15"": ""1""}"
a4847afbee3440488223989d8a8cc3e4,q_pre_2050,68,48,female,2026-05-28T10:11:41.345,2026-05-28T10:13:54.904,133.559,,,,,,,,,,,,submit,"{""2050_rights"": ""1"", ""2050_crime"": ""1"", ""2050_flight_attendants"": ""4"", ""2050_experiments"": ""1"", ""2050_mannequins"": ""4"", ""2050_police"": ""3"", ""2050_rubbish_collectors"": ""6"", ""2050_art"": ""7"", ""2050_nursing_home"": ""4"", ""2050_hiking"": ""9"", ""2050_sports"": ""2"", ""2050_school"": ""3"", ""2050_shelters"": ""6"", ""2050_other_worlds"": ""10"", ""2050_neurosurgery"": ""10""}"
a4847afbee3440488223989d8a8cc3e4,q_post_gators,68,48,female,2026-05-28T10:28:50.650,2026-05-28T10:31:37.293,166.643,,,,,,,,,,,,submit,"{""gators_18"": ""1"", ""gators_7"": ""2"", ""gators_20"": ""5"", ""gators_4"": ""7"", ""gators_16"": ""2"", ""gators_19"": ""5"", ""gators_3"": ""4"", ""gators_14"": ""4"", ""gators_9"": ""1"", ""gators_15"": ""5"", ""gators_2"": ""5"", ""gators_17"": ""5"", ""gators_12"": ""5"", ""gators_6"": ""1"", ""gators_8"": ""5"", ""gators_10"": ""3"", ""gators_13"": ""3"", ""gators_1"": ""3"", ""gators_11"": ""5"", ""gators_5"": ""4""}"
a4847afbee3440488223989d8a8cc3e4,q_post_specific,68,48,female,2026-05-28T10:31:37.305,2026-05-28T10:31:59.123,21.818,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""7"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""7"", ""robot_friendliness"": ""5"", ""robot_empathy"": ""5"", ""robot_likeability"": ""5""}"
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:31:59.169,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:31:59.185,2026-05-28T10:32:12.444,13.259,1,0,Click on the images containing bicycles.,"[""Bicycle (298).jpg"", ""Bus (138).jpg"", ""Stair (945).jpg"", ""Bicycle (102).jpg"", ""Bridge (44).jpg"", ""Chimney (2).jpg"", ""Bicycle (656).jpg"", ""Cross (102).jpg"", ""Cross (108).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 3, 6]","[""Bicycle (298).jpg"", ""Stair (945).jpg"", ""Bicycle (102).jpg"", ""Bicycle (656).jpg""]",777,1,0,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:32:14.453,2026-05-28T10:32:29.340,14.887,2,1,Click on the images containing bicycles.,"[""Bicycle (485).jpg"", ""Hydrant (49).jpg"", ""Bicycle (303).jpg"", ""Bicycle (389).jpg"", ""Bicycle (721).jpg"", ""Bridge (79).jpg"", ""Car (121).jpg"", ""Bicycle (270).jpg"", ""Palm (112).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 4, 7]","[""Bicycle (485).jpg"", ""Bicycle (303).jpg"", ""Bicycle (389).jpg"", ""Bicycle (721).jpg"", ""Bicycle (270).jpg""]",772,2,1,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:32:29.345,2026-05-28T10:32:49.980,20.635,3,0,Click on the images containing bicycles.,"[""Hydrant (120).jpg"", ""Bicycle (94).jpg"", ""Bus (48).jpg"", ""Cross (16).jpg"", ""Bicycle (144).jpg"", ""Bicycle (487).jpg"", ""Bicycle (736).jpg"", ""Car (75).jpg"", ""Bicycle (779).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[1, 4, 5, 6, 7, 8]","[""Bicycle (94).jpg"", ""Bicycle (144).jpg"", ""Bicycle (487).jpg"", ""Bicycle (736).jpg"", ""Car (75).jpg"", ""Bicycle (779).jpg""]",767,3,1,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:32:51.989,2026-05-28T10:33:00.980,8.991,4,1,Click on the images containing bicycles.,"[""Bicycle (620).jpg"", ""Bicycle (374).jpg"", ""Chimney (54).jpg"", ""Hydrant (69).jpg"", ""Chimney (33).jpg"", ""Bicycle (552).jpg"", ""Tlight (97).jpg"", ""Cross (66).jpg"", ""Chimney (11).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (620).jpg"", ""Bicycle (374).jpg"", ""Bicycle (552).jpg""]",764,4,2,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:33:00.985,2026-05-28T10:33:15.500,14.515,5,1,Click on the images containing bicycles.,"[""Palm (81).jpg"", ""Chimney (124).jpg"", ""Bicycle (48).jpg"", ""Hydrant (47).jpg"", ""Bicycle (510).jpg"", ""Bicycle (234).jpg"", ""Bicycle (210).jpg"", ""Palm (105).jpg"", ""Bicycle (338).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (48).jpg"", ""Bicycle (510).jpg"", ""Bicycle (234).jpg"", ""Bicycle (210).jpg"", ""Bicycle (338).jpg""]",759,5,3,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:33:15.506,2026-05-28T10:33:25.110,9.604,6,1,Click on the images containing bicycles.,"[""Hydrant (71).jpg"", ""Bus (126).jpg"", ""Bicycle (527).jpg"", ""Bus (116).jpg"", ""Stair (282).jpg"", ""Tlight (105).jpg"", ""Stair (1467).jpg"", ""Bicycle (319).jpg"", ""Bicycle (730).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 7, 8]","[""Bicycle (527).jpg"", ""Bicycle (319).jpg"", ""Bicycle (730).jpg""]",756,6,4,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:33:25.115,2026-05-28T10:33:39.310,14.195,7,1,Click on the images containing bicycles.,"[""Bicycle (742).jpg"", ""Car (100).jpg"", ""Bridge (121).jpg"", ""Bicycle (379).jpg"", ""Bicycle (242).jpg"", ""Palm (138).jpg"", ""Bicycle (775).jpg"", ""Cross (23).jpg"", ""Bicycle (461).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 4, 6, 8]","[""Bicycle (742).jpg"", ""Bicycle (379).jpg"", ""Bicycle (242).jpg"", ""Bicycle (775).jpg"", ""Bicycle (461).jpg""]",751,7,5,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:33:39.315,2026-05-28T10:33:52.444,13.129,8,1,Click on the images containing bicycles.,"[""Bus (78).jpg"", ""Bicycle (170).jpg"", ""Cross (84).jpg"", ""Stair (253).jpg"", ""Tlight (67).jpg"", ""Bridge (128).jpg"", ""Bicycle (447).jpg"", ""Bicycle (591).jpg"", ""Bicycle (248).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 6, 7, 8]","[""Bicycle (170).jpg"", ""Bicycle (447).jpg"", ""Bicycle (591).jpg"", ""Bicycle (248).jpg""]",747,8,6,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:33:52.450,2026-05-28T10:34:01.293,8.843,9,1,Click on the images containing bicycles.,"[""Tlight (64).jpg"", ""Bridge (27).jpg"", ""Hydrant (136).jpg"", ""Cross (60).jpg"", ""Bicycle (626).jpg"", ""Bicycle (635).jpg"", ""Hydrant (113).jpg"", ""Bicycle (622).jpg"", ""Bicycle (100).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T""]","[4, 5, 7, 8]","[""Bicycle (626).jpg"", ""Bicycle (635).jpg"", ""Bicycle (622).jpg"", ""Bicycle (100).jpg""]",743,9,7,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:34:01.299,2026-05-28T10:34:16.516,15.217,10,1,Click on the images containing bicycles.,"[""Bicycle (590).jpg"", ""Bicycle (51).jpg"", ""Bicycle (366).jpg"", ""Bicycle (117).jpg"", ""Tlight (90).jpg"", ""Hydrant (81).jpg"", ""Bicycle (159).jpg"", ""Car (107).jpg"", ""Tlight (83).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (590).jpg"", ""Bicycle (51).jpg"", ""Bicycle (366).jpg"", ""Bicycle (117).jpg"", ""Bicycle (159).jpg""]",738,10,8,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:34:16.523,2026-05-28T10:34:23.804,7.281,11,1,Click on the images containing bicycles.,"[""Bus (38).jpg"", ""Car (44).jpg"", ""Cross (120).jpg"", ""Bicycle (376).jpg"", ""Cross (1).jpg"", ""Hydrant (94).jpg"", ""Car (57).jpg"", ""Bicycle (491).jpg"", ""Bicycle (297).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (376).jpg"", ""Bicycle (491).jpg"", ""Bicycle (297).jpg""]",735,11,9,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:34:23.809,2026-05-28T10:34:37.357,13.548,12,1,Click on the images containing bicycles.,"[""Bicycle (109).jpg"", ""Bicycle (18).jpg"", ""Bicycle (763).jpg"", ""Chimney (62).jpg"", ""Bicycle (188).jpg"", ""Chimney (21).jpg"", ""Chimney (121).jpg"", ""Bicycle (758).jpg"", ""Chimney (91).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 2, 4, 7]","[""Bicycle (109).jpg"", ""Bicycle (18).jpg"", ""Bicycle (763).jpg"", ""Bicycle (188).jpg"", ""Bicycle (758).jpg""]",730,12,10,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:34:37.363,2026-05-28T10:34:51.117,13.754,13,1,Click on the images containing bicycles.,"[""Bus (109).jpg"", ""Cross (89).jpg"", ""Bicycle (760).jpg"", ""Cross (8).jpg"", ""Stair (499).jpg"", ""Stair (383).jpg"", ""Bicycle (605).jpg"", ""Chimney (98).jpg"", ""Bicycle (251).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[2, 6, 8]","[""Bicycle (760).jpg"", ""Bicycle (605).jpg"", ""Bicycle (251).jpg""]",727,13,11,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:34:51.122,2026-05-28T10:35:13.604,22.482,14,1,Click on the images containing bicycles.,"[""Bicycle (263).jpg"", ""Stair (840).jpg"", ""Bicycle (685).jpg"", ""Palm (66).jpg"", ""Bicycle (481).jpg"", ""Hydrant (106).jpg"", ""Bicycle (429).jpg"", ""Bus (26).jpg"", ""Bicycle (615).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 4, 6, 8]","[""Bicycle (263).jpg"", ""Bicycle (685).jpg"", ""Bicycle (481).jpg"", ""Bicycle (429).jpg"", ""Bicycle (615).jpg""]",722,14,12,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:35:13.610,2026-05-28T10:35:31.931,18.321,15,1,Click on the images containing bicycles.,"[""Chimney (51).jpg"", ""Bicycle (502).jpg"", ""Hydrant (103).jpg"", ""Bus (37).jpg"", ""Bridge (91).jpg"", ""Chimney (50).jpg"", ""Bicycle (78).jpg"", ""Bicycle (244).jpg"", ""Bridge (102).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 6, 7]","[""Bicycle (502).jpg"", ""Bicycle (78).jpg"", ""Bicycle (244).jpg""]",719,15,13,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:35:31.936,2026-05-28T10:35:47.453,15.517,16,1,Click on the images containing bicycles.,"[""Car (96).jpg"", ""Bicycle (67).jpg"", ""Palm (101).jpg"", ""Bus (93).jpg"", ""Bridge (68).jpg"", ""Bicycle (34).jpg"", ""Chimney (85).jpg"", ""Bicycle (237).jpg"", ""Chimney (101).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (67).jpg"", ""Bicycle (34).jpg"", ""Bicycle (237).jpg""]",716,16,14,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:35:47.459,2026-05-28T10:36:00.261,12.802,17,1,Click on the images containing bicycles.,"[""Palm (51).jpg"", ""Hydrant (79).jpg"", ""Cross (31).jpg"", ""Bicycle (558).jpg"", ""Bicycle (750).jpg"", ""Bicycle (757).jpg"", ""Palm (1).jpg"", ""Bicycle (317).jpg"", ""Bicycle (290).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T""]","[3, 4, 5, 7, 8]","[""Bicycle (558).jpg"", ""Bicycle (750).jpg"", ""Bicycle (757).jpg"", ""Bicycle (317).jpg"", ""Bicycle (290).jpg""]",711,17,15,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:36:00.266,2026-05-28T10:36:10.452,10.186,18,0,Click on the images containing bicycles.,"[""Bus (115).jpg"", ""Tlight (114).jpg"", ""Bicycle (603).jpg"", ""Bicycle (252).jpg"", ""Bicycle (30).jpg"", ""Chimney (83).jpg"", ""Bridge (34).jpg"", ""Bicycle (439).jpg"", ""Bicycle (60).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[2, 3, 7, 8]","[""Bicycle (603).jpg"", ""Bicycle (252).jpg"", ""Bicycle (439).jpg"", ""Bicycle (60).jpg""]",706,18,15,1000,submit,
a4847afbee3440488223989d8a8cc3e4,captcha_post,68,48,female,2026-05-28T10:36:12.461,2026-05-28T10:36:14.156,1.695,19,,Click on the images containing bicycles.,"[""Tlight (59).jpg"", ""Bicycle (516).jpg"", ""Bicycle (55).jpg"", ""Cross (78).jpg"", ""Tlight (45).jpg"", ""Cross (14).jpg"", ""Bicycle (131).jpg"", ""Bicycle (468).jpg"", ""Bridge (65).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]",[],[],702,18,15,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
