exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:52:14.976,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:52:15.007,2026-06-01T09:53:03.356,48.349,1,1,Click on the images containing bicycles.,"[""Stair (1454).jpg"", ""Car (27).jpg"", ""Stair (1368).jpg"", ""Stair (1060).jpg"", ""Bicycle (587).jpg"", ""Bicycle (779).jpg"", ""Bicycle (219).jpg"", ""Bicycle (145).jpg"", ""Bicycle (427).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]","[4, 5, 6, 7, 8]","[""Bicycle (587).jpg"", ""Bicycle (779).jpg"", ""Bicycle (219).jpg"", ""Bicycle (145).jpg"", ""Bicycle (427).jpg""]",775,1,1,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:53:03.362,2026-06-01T09:53:19.484,16.122,2,1,Click on the images containing bicycles.,"[""Bicycle (274).jpg"", ""Bridge (38).jpg"", ""Stair (981).jpg"", ""Tlight (103).jpg"", ""Chimney (5).jpg"", ""Tlight (50).jpg"", ""Bicycle (263).jpg"", ""Bicycle (360).jpg"", ""Bicycle (293).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (274).jpg"", ""Bicycle (263).jpg"", ""Bicycle (360).jpg"", ""Bicycle (293).jpg""]",771,2,2,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:53:19.488,2026-06-01T09:53:29.547,10.059,3,1,Click on the images containing bicycles.,"[""Chimney (31).jpg"", ""Bus (27).jpg"", ""Bridge (28).jpg"", ""Tlight (20).jpg"", ""Hydrant (139).jpg"", ""Bicycle (146).jpg"", ""Bicycle (638).jpg"", ""Bridge (52).jpg"", ""Bicycle (451).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (146).jpg"", ""Bicycle (638).jpg"", ""Bicycle (451).jpg""]",768,3,3,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:53:29.553,2026-06-01T09:53:43.085,13.532,4,1,Click on the images containing bicycles.,"[""Hydrant (82).jpg"", ""Bicycle (749).jpg"", ""Bicycle (674).jpg"", ""Bicycle (740).jpg"", ""Bus (78).jpg"", ""Bicycle (611).jpg"", ""Palm (62).jpg"", ""Hydrant (96).jpg"", ""Cross (79).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 5]","[""Bicycle (749).jpg"", ""Bicycle (674).jpg"", ""Bicycle (740).jpg"", ""Bicycle (611).jpg""]",764,4,4,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:53:43.090,2026-06-01T09:53:56.148,13.058,5,0,Click on the images containing bicycles.,"[""Tlight (95).jpg"", ""Bridge (140).jpg"", ""Bicycle (640).jpg"", ""Cross (1).jpg"", ""Stair (1286).jpg"", ""Bicycle (266).jpg"", ""Tlight (136).jpg"", ""Bicycle (177).jpg"", ""Bicycle (115).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (266).jpg"", ""Bicycle (177).jpg"", ""Bicycle (115).jpg""]",760,5,4,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:53:58.157,2026-06-01T09:54:16.091,17.934,6,1,Click on the images containing bicycles.,"[""Bicycle (184).jpg"", ""Bicycle (388).jpg"", ""Bicycle (114).jpg"", ""Bicycle (339).jpg"", ""Bus (31).jpg"", ""Car (29).jpg"", ""Bicycle (238).jpg"", ""Hydrant (69).jpg"", ""Chimney (120).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (184).jpg"", ""Bicycle (388).jpg"", ""Bicycle (114).jpg"", ""Bicycle (339).jpg"", ""Bicycle (238).jpg""]",755,6,5,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:54:16.097,2026-06-01T09:54:32.923,16.826,7,1,Click on the images containing bicycles.,"[""Hydrant (59).jpg"", ""Chimney (48).jpg"", ""Bicycle (644).jpg"", ""Car (35).jpg"", ""Bicycle (324).jpg"", ""Bicycle (22).jpg"", ""Bicycle (558).jpg"", ""Palm (103).jpg"", ""Bicycle (540).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T""]","[2, 4, 5, 6, 8]","[""Bicycle (644).jpg"", ""Bicycle (324).jpg"", ""Bicycle (22).jpg"", ""Bicycle (558).jpg"", ""Bicycle (540).jpg""]",750,7,6,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:54:32.928,2026-06-01T09:54:44.731,11.803,8,1,Click on the images containing bicycles.,"[""Bus (63).jpg"", ""Bicycle (71).jpg"", ""Chimney (68).jpg"", ""Bus (116).jpg"", ""Car (64).jpg"", ""Bicycle (106).jpg"", ""Bicycle (394).jpg"", ""Stair (1183).jpg"", ""Bus (24).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 5, 6]","[""Bicycle (71).jpg"", ""Bicycle (106).jpg"", ""Bicycle (394).jpg""]",747,8,7,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:54:44.736,2026-06-01T09:54:58.786,14.05,9,1,Click on the images containing bicycles.,"[""Tlight (48).jpg"", ""Tlight (104).jpg"", ""Bicycle (318).jpg"", ""Bicycle (296).jpg"", ""Bus (86).jpg"", ""Chimney (38).jpg"", ""Bicycle (277).jpg"", ""Cross (80).jpg"", ""Car (69).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 6]","[""Bicycle (318).jpg"", ""Bicycle (296).jpg"", ""Bicycle (277).jpg""]",744,9,8,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:54:58.792,2026-06-01T09:55:10.324,11.532,10,1,Click on the images containing bicycles.,"[""Stair (1151).jpg"", ""Bicycle (675).jpg"", ""Bicycle (17).jpg"", ""Bicycle (328).jpg"", ""Bicycle (711).jpg"", ""Bridge (50).jpg"", ""Bridge (67).jpg"", ""Stair (14).jpg"", ""Bridge (131).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 3, 4]","[""Bicycle (675).jpg"", ""Bicycle (17).jpg"", ""Bicycle (328).jpg"", ""Bicycle (711).jpg""]",740,10,9,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:55:10.328,2026-06-01T09:55:18.690,8.362,11,1,Click on the images containing bicycles.,"[""Bus (35).jpg"", ""Bicycle (679).jpg"", ""Bicycle (554).jpg"", ""Bus (125).jpg"", ""Car (33).jpg"", ""Bicycle (607).jpg"", ""Bus (36).jpg"", ""Bicycle (650).jpg"", ""Hydrant (88).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 5, 7]","[""Bicycle (679).jpg"", ""Bicycle (554).jpg"", ""Bicycle (607).jpg"", ""Bicycle (650).jpg""]",736,11,10,10,submit,
8699d4cf905a4fa8bc11601c72ba7be4,captcha_pre,70,18,female,2026-06-01T09:55:10.328,2026-06-01T09:55:21.674,11.346,11,,Click on the images containing bicycles.,[],[],[],[],736,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
8699d4cf905a4fa8bc11601c72ba7be4,q_pre_captcha,70,18,female,2026-06-01T09:55:21.684,2026-06-01T09:55:47.186,25.502,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""6"", ""captcha_task_difficulty"": ""2"", ""general_captcha_liking"": ""3"", ""captcha_task_enjoyment"": ""3"", ""captcha_task_fun"": ""3""}"
8699d4cf905a4fa8bc11601c72ba7be4,q_pre_idaq,70,18,female,2026-06-01T09:55:47.198,2026-06-01T09:58:22.385,155.187,,,,,,,,,,,,submit,"{""idaq_19"": ""9"", ""idaq_8"": ""5"", ""idaq_22"": ""7"", ""idaq_6"": ""8"", ""idaq_9"": ""9"", ""idaq_23"": ""4"", ""idaq_4"": ""6"", ""idaq_15"": ""7"", ""idaq_21"": ""4"", ""idaq_1"": ""4"", ""idaq_17"": ""7"", ""idaq_14"": ""5"", ""idaq_10"": ""6"", ""idaq_27"": ""2"", ""idaq_7"": ""2"", ""idaq_26"": ""5"", ""idaq_29"": ""7"", ""idaq_28"": ""3"", ""idaq_25"": ""8"", ""idaq_18"": ""5"", ""idaq_3"": ""1"", ""idaq_16"": ""8"", ""idaq_11"": ""2"", ""idaq_5"": ""8"", ""idaq_20"": ""9"", ""idaq_24"": ""5"", ""idaq_2"": ""8"", ""idaq_13"": ""1"", ""idaq_12"": ""8"", ""idaq_30"": ""9""}"
8699d4cf905a4fa8bc11601c72ba7be4,q_pre_2050,70,18,female,2026-06-01T09:58:22.396,2026-06-01T10:00:23.560,121.164,,,,,,,,,,,,submit,"{""2050_rubbish_collectors"": ""10"", ""2050_nursing_home"": ""6"", ""2050_flight_attendants"": ""6"", ""2050_rights"": ""3"", ""2050_hiking"": ""2"", ""2050_police"": ""3"", ""2050_neurosurgery"": ""1"", ""2050_shelters"": ""3"", ""2050_crime"": ""4"", ""2050_experiments"": ""2"", ""2050_school"": ""4"", ""2050_other_worlds"": ""6"", ""2050_mannequins"": ""7"", ""2050_sports"": ""2"", ""2050_art"": ""3""}"
8699d4cf905a4fa8bc11601c72ba7be4,q_post_gators,70,18,female,2026-06-01T10:13:25.845,2026-06-01T10:15:59.197,153.352,,,,,,,,,,,,submit,"{""gators_10"": ""6"", ""gators_12"": ""5"", ""gators_8"": ""3"", ""gators_4"": ""3"", ""gators_11"": ""6"", ""gators_17"": ""6"", ""gators_3"": ""3"", ""gators_9"": ""3"", ""gators_15"": ""4"", ""gators_13"": ""3"", ""gators_20"": ""6"", ""gators_5"": ""3"", ""gators_14"": ""5"", ""gators_6"": ""3"", ""gators_2"": ""6"", ""gators_19"": ""3"", ""gators_16"": ""6"", ""gators_18"": ""6"", ""gators_7"": ""5"", ""gators_1"": ""4""}"
8699d4cf905a4fa8bc11601c72ba7be4,q_post_specific,70,18,female,2026-06-01T10:15:59.209,2026-06-01T10:16:27.323,28.114,,,,,,,,,,,,submit,"{""mentacy_belief"": ""1"", ""belief_confidence"": ""4"", ""robot_friendliness"": ""7"", ""robot_empathy"": ""7"", ""robot_likeability"": ""6"", ""conversation_interestingness"": ""5""}"
8699d4cf905a4fa8bc11601c72ba7be4,captcha_post,70,18,female,2026-06-01T10:16:27.365,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
