exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:02:28.474,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:02:28.503,2026-06-01T11:03:23.486,54.983,1,0,Click on the images containing bicycles.,"[""Bicycle (407).jpg"", ""Bicycle (502).jpg"", ""Bus (33).jpg"", ""Bicycle (747).jpg"", ""Bicycle (440).jpg"", ""Tlight (103).jpg"", ""Bicycle (353).jpg"", ""Chimney (10).jpg"", ""Tlight (49).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (407).jpg"", ""Bicycle (502).jpg"", ""Bicycle (353).jpg""]",775,1,0,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:03:25.496,2026-06-01T11:03:35.566,10.07,2,1,Click on the images containing bicycles.,"[""Bicycle (374).jpg"", ""Bus (82).jpg"", ""Bus (133).jpg"", ""Car (73).jpg"", ""Bicycle (322).jpg"", ""Bicycle (142).jpg"", ""Bicycle (605).jpg"", ""Cross (23).jpg"", ""Hydrant (79).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 4, 5, 6]","[""Bicycle (374).jpg"", ""Bicycle (322).jpg"", ""Bicycle (142).jpg"", ""Bicycle (605).jpg""]",771,2,1,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:03:35.571,2026-06-01T11:03:47.558,11.987,3,1,Click on the images containing bicycles.,"[""Car (41).jpg"", ""Bicycle (760).jpg"", ""Bicycle (189).jpg"", ""Bicycle (330).jpg"", ""Bicycle (122).jpg"", ""Bus (60).jpg"", ""Bicycle (237).jpg"", ""Bus (85).jpg"", ""Hydrant (100).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 4, 6]","[""Bicycle (760).jpg"", ""Bicycle (189).jpg"", ""Bicycle (330).jpg"", ""Bicycle (122).jpg"", ""Bicycle (237).jpg""]",766,3,2,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:03:47.564,2026-06-01T11:03:59.173,11.609,4,1,Click on the images containing bicycles.,"[""Palm (5).jpg"", ""Bicycle (447).jpg"", ""Chimney (59).jpg"", ""Car (61).jpg"", ""Bicycle (332).jpg"", ""Bicycle (711).jpg"", ""Cross (30).jpg"", ""Bicycle (257).jpg"", ""Bridge (72).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 4, 5, 7]","[""Bicycle (447).jpg"", ""Bicycle (332).jpg"", ""Bicycle (711).jpg"", ""Bicycle (257).jpg""]",762,4,3,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:03:59.178,2026-06-01T11:04:09.533,10.355,5,1,Click on the images containing bicycles.,"[""Bicycle (705).jpg"", ""Bicycle (710).jpg"", ""Bridge (32).jpg"", ""Bicycle (765).jpg"", ""Tlight (89).jpg"", ""Bicycle (279).jpg"", ""Chimney (128).jpg"", ""Bus (69).jpg"", ""Bicycle (280).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 3, 5, 8]","[""Bicycle (705).jpg"", ""Bicycle (710).jpg"", ""Bicycle (765).jpg"", ""Bicycle (279).jpg"", ""Bicycle (280).jpg""]",757,5,4,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:09.539,2026-06-01T11:04:16.061,6.522,6,1,Click on the images containing bicycles.,"[""Bicycle (107).jpg"", ""Bicycle (147).jpg"", ""Chimney (37).jpg"", ""Cross (35).jpg"", ""Bridge (96).jpg"", ""Palm (97).jpg"", ""Palm (107).jpg"", ""Bicycle (38).jpg"", ""Stair (435).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (107).jpg"", ""Bicycle (147).jpg"", ""Bicycle (38).jpg""]",754,6,5,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:16.066,2026-06-01T11:04:27.701,11.635,7,1,Click on the images containing bicycles.,"[""Palm (78).jpg"", ""Chimney (88).jpg"", ""Palm (8).jpg"", ""Car (83).jpg"", ""Bicycle (156).jpg"", ""Bicycle (435).jpg"", ""Bicycle (507).jpg"", ""Hydrant (36).jpg"", ""Hydrant (47).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (156).jpg"", ""Bicycle (435).jpg"", ""Bicycle (507).jpg""]",751,7,6,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:27.706,2026-06-01T11:04:42.157,14.451,8,1,Click on the images containing bicycles.,"[""Hydrant (58).jpg"", ""Bicycle (694).jpg"", ""Bicycle (44).jpg"", ""Bridge (139).jpg"", ""Chimney (87).jpg"", ""Tlight (109).jpg"", ""Bicycle (458).jpg"", ""Palm (58).jpg"", ""Cross (73).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 6]","[""Bicycle (694).jpg"", ""Bicycle (44).jpg"", ""Bicycle (458).jpg""]",748,8,7,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:42.162,2026-06-01T11:04:50.717,8.555,9,1,Click on the images containing bicycles.,"[""Car (88).jpg"", ""Hydrant (50).jpg"", ""Bicycle (176).jpg"", ""Bicycle (557).jpg"", ""Bridge (22).jpg"", ""Stair (1454).jpg"", ""Bicycle (592).jpg"", ""Bus (113).jpg"", ""Car (29).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[2, 3, 6]","[""Bicycle (176).jpg"", ""Bicycle (557).jpg"", ""Bicycle (592).jpg""]",745,9,8,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:50.723,2026-06-01T11:04:56.381,5.658,10,1,Click on the images containing bicycles.,"[""Hydrant (33).jpg"", ""Tlight (121).jpg"", ""Palm (133).jpg"", ""Tlight (137).jpg"", ""Bicycle (722).jpg"", ""Bicycle (636).jpg"", ""Bicycle (304).jpg"", ""Car (79).jpg"", ""Cross (115).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[4, 5, 6]","[""Bicycle (722).jpg"", ""Bicycle (636).jpg"", ""Bicycle (304).jpg""]",742,10,9,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:56.386,2026-06-01T11:05:09.549,13.163,11,1,Click on the images containing bicycles.,"[""Bicycle (661).jpg"", ""Bicycle (647).jpg"", ""Bicycle (154).jpg"", ""Bicycle (75).jpg"", ""Stair (424).jpg"", ""Tlight (69).jpg"", ""Bicycle (18).jpg"", ""Hydrant (21).jpg"", ""Car (133).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (661).jpg"", ""Bicycle (647).jpg"", ""Bicycle (154).jpg"", ""Bicycle (75).jpg"", ""Bicycle (18).jpg""]",737,11,10,10,submit,
856e3316894747d2b9c9ee1f0f216ce8,captcha_pre,71,20,female,2026-06-01T11:04:56.386,2026-06-01T11:05:12.142,15.756,11,,Click on the images containing bicycles.,[],[],[],[],737,11,10,10,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
856e3316894747d2b9c9ee1f0f216ce8,q_pre_captcha,71,20,female,2026-06-01T11:05:12.153,2026-06-01T11:05:45.516,33.363,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""3"", ""captcha_task_difficulty"": ""2"", ""captcha_task_meaningfulness"": ""3"", ""general_captcha_liking"": ""3"", ""captcha_task_enjoyment"": ""4""}"
856e3316894747d2b9c9ee1f0f216ce8,q_pre_idaq,71,20,female,2026-06-01T11:05:45.526,2026-06-01T11:09:23.443,217.917,,,,,,,,,,,,submit,"{""idaq_26"": ""3"", ""idaq_10"": ""3"", ""idaq_9"": ""3"", ""idaq_12"": ""5"", ""idaq_5"": ""2"", ""idaq_2"": ""5"", ""idaq_30"": ""3"", ""idaq_4"": ""4"", ""idaq_27"": ""5"", ""idaq_6"": ""6"", ""idaq_25"": ""6"", ""idaq_15"": ""4"", ""idaq_11"": ""4"", ""idaq_13"": ""2"", ""idaq_8"": ""4"", ""idaq_7"": ""3"", ""idaq_29"": ""5"", ""idaq_23"": ""3"", ""idaq_22"": ""4"", ""idaq_14"": ""4"", ""idaq_20"": ""5"", ""idaq_3"": ""3"", ""idaq_19"": ""7"", ""idaq_28"": ""5"", ""idaq_18"": ""5"", ""idaq_16"": ""8"", ""idaq_17"": ""3"", ""idaq_21"": ""3"", ""idaq_1"": ""4"", ""idaq_24"": ""5""}"
