exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:48:01.306,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:48:01.338,2026-06-01T11:48:49.934,48.596,1,0,Click on the images containing bicycles.,"[""Bicycle (188).jpg"", ""Bicycle (9).jpg"", ""Palm (71).jpg"", ""Hydrant (50).jpg"", ""Bicycle (123).jpg"", ""Tlight (62).jpg"", ""Bicycle (439).jpg"", ""Stair (1463).jpg"", ""Tlight (128).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (188).jpg"", ""Bicycle (9).jpg"", ""Bicycle (439).jpg""]",776,1,0,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:48:51.942,2026-06-01T11:49:09.181,17.239,2,1,Click on the images containing bicycles.,"[""Car (58).jpg"", ""Tlight (126).jpg"", ""Chimney (2).jpg"", ""Bicycle (263).jpg"", ""Bicycle (530).jpg"", ""Palm (102).jpg"", ""Hydrant (66).jpg"", ""Bicycle (456).jpg"", ""Hydrant (63).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 4, 7]","[""Bicycle (263).jpg"", ""Bicycle (530).jpg"", ""Bicycle (456).jpg""]",773,2,1,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:49:09.186,2026-06-01T11:49:40.708,31.522,3,1,Click on the images containing bicycles.,"[""Bicycle (595).jpg"", ""Bus (93).jpg"", ""Car (71).jpg"", ""Bicycle (573).jpg"", ""Bus (135).jpg"", ""Bicycle (378).jpg"", ""Bus (107).jpg"", ""Bicycle (756).jpg"", ""Chimney (97).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 3, 5, 7]","[""Bicycle (595).jpg"", ""Bicycle (573).jpg"", ""Bicycle (378).jpg"", ""Bicycle (756).jpg""]",769,3,2,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:49:40.714,2026-06-01T11:50:17.229,36.515,4,1,Click on the images containing bicycles.,"[""Cross (106).jpg"", ""Bicycle (7).jpg"", ""Tlight (12).jpg"", ""Bicycle (30).jpg"", ""Bicycle (360).jpg"", ""Bicycle (549).jpg"", ""Bicycle (567).jpg"", ""Palm (19).jpg"", ""Bridge (133).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (7).jpg"", ""Bicycle (30).jpg"", ""Bicycle (360).jpg"", ""Bicycle (549).jpg"", ""Bicycle (567).jpg""]",764,4,3,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:50:17.235,2026-06-01T11:50:50.540,33.305,5,1,Click on the images containing bicycles.,"[""Hydrant (124).jpg"", ""Hydrant (64).jpg"", ""Bicycle (699).jpg"", ""Stair (418).jpg"", ""Bicycle (602).jpg"", ""Stair (443).jpg"", ""Bicycle (307).jpg"", ""Bicycle (105).jpg"", ""Bicycle (583).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[2, 4, 6, 7, 8]","[""Bicycle (699).jpg"", ""Bicycle (602).jpg"", ""Bicycle (307).jpg"", ""Bicycle (105).jpg"", ""Bicycle (583).jpg""]",759,5,4,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:50:50.546,2026-06-01T11:51:20.052,29.506,6,1,Click on the images containing bicycles.,"[""Bus (106).jpg"", ""Bicycle (686).jpg"", ""Bicycle (128).jpg"", ""Car (129).jpg"", ""Hydrant (36).jpg"", ""Bus (85).jpg"", ""Cross (94).jpg"", ""Bicycle (374).jpg"", ""Bicycle (305).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 7, 8]","[""Bicycle (686).jpg"", ""Bicycle (128).jpg"", ""Bicycle (374).jpg"", ""Bicycle (305).jpg""]",755,6,5,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:51:20.057,2026-06-01T11:51:44.340,24.283,7,1,Click on the images containing bicycles.,"[""Stair (323).jpg"", ""Tlight (50).jpg"", ""Cross (45).jpg"", ""Bicycle (328).jpg"", ""Bicycle (81).jpg"", ""Bicycle (89).jpg"", ""Bridge (139).jpg"", ""Bicycle (620).jpg"", ""Bicycle (426).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T""]","[3, 4, 5, 7, 8]","[""Bicycle (328).jpg"", ""Bicycle (81).jpg"", ""Bicycle (89).jpg"", ""Bicycle (620).jpg"", ""Bicycle (426).jpg""]",750,7,6,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:51:44.345,2026-06-01T11:52:09.516,25.171,8,1,Click on the images containing bicycles.,"[""Chimney (112).jpg"", ""Bridge (80).jpg"", ""Cross (3).jpg"", ""Bus (58).jpg"", ""Bicycle (392).jpg"", ""Bus (111).jpg"", ""Bus (114).jpg"", ""Bicycle (371).jpg"", ""Bicycle (710).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (392).jpg"", ""Bicycle (371).jpg"", ""Bicycle (710).jpg""]",747,8,7,10,submit,
18ae6b1aeb664685b0fd2c4e318f50d4,captcha_pre,72,23,male,2026-06-01T11:52:09.522,2026-06-01T11:52:23.021,13.499,9,1,Click on the images containing bicycles.,"[""Bicycle (532).jpg"", ""Bridge (68).jpg"", ""Chimney (14).jpg"", ""Bicycle (241).jpg"", ""Hydrant (125).jpg"", ""Hydrant (133).jpg"", ""Bicycle (202).jpg"", ""Palm (42).jpg"", ""Palm (6).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (532).jpg"", ""Bicycle (241).jpg"", ""Bicycle (202).jpg""]",744,9,8,10,submit,
